Summary_file = fieldS113.sum
Title = south plots field
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)             sw(21)             sw(22)             sw(23)             sw(24)             sw(25)             sw(26)             sw(27)             sw(28)             psi(1)             psi(2)             psi(3)             psi(4)             psi(5)             psi(6)             psi(7)             psi(8)             psi(9)            psi(10)            psi(11)            psi(12)     sw_dep_025    sw_dep_2590   sw_dep_90180          sw_dep(1)          sw_dep(2)          sw_dep(3)          sw_dep(4)          sw_dep(5)          sw_dep(6)          sw_dep(7)          sw_dep(8)          sw_dep(9)         sw_dep(10)         sw_dep(11)         sw_dep(12)         sw_dep(13)         sw_dep(14)         sw_dep(15)         sw_dep(16)         sw_dep(17)         sw_dep(18)         sw_dep(19)         sw_dep(20)         sw_dep(21)         sw_dep(22)         sw_dep(23)         sw_dep(24)         sw_dep(25)         sw_dep(26)         sw_dep(27)         sw_dep(28)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)             ()             ()             ()               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)
      2000         4        94         3              0.280              0.281              0.281              0.283              0.275              0.257              0.259              0.284              0.291              0.316              0.323              0.326              0.337              0.347              0.348              0.348              0.347              0.335              0.321              0.307              0.308              0.307              0.300              0.311              0.316              0.316              0.313              0.302           -112.817           -111.811           -110.792           -107.671           -102.251            -87.024            -81.382            -92.762            -96.532            -66.605            -53.400            -41.019         67.513        155.968        303.792              1.402              2.810              5.629             11.319             20.612             25.741             25.928             28.384             43.655             63.218             64.520             65.118             67.493             69.418             69.503             69.562             69.313             67.098             64.104             61.467             46.208             92.056            150.017            155.277            157.899            158.080            156.497             75.541
      2000         4       110        19              0.313              0.314              0.315              0.318              0.305              0.276              0.275              0.299              0.299              0.322              0.329              0.333              0.343              0.353              0.353              0.354              0.353              0.343              0.328              0.315              0.315              0.314              0.306              0.316              0.320              0.317              0.316              0.316            -63.154            -62.154            -61.154            -58.137            -53.845            -45.886            -47.392            -57.097            -73.234            -51.383            -36.185            -23.249         74.207        162.636        309.467              1.565              3.140              6.299             12.719             22.899             27.585             27.489             29.856             44.789             64.407             65.834             66.532             68.699             70.642             70.677             70.713             70.606             68.614             65.664             62.938             47.305             94.160            152.876            158.010            159.936            158.453            157.975             78.944
      2000         5       131        10              0.302              0.303              0.304              0.306              0.295              0.269              0.269              0.292              0.292              0.320              0.327              0.330              0.341              0.351              0.351              0.351              0.351              0.341              0.325              0.311              0.310              0.309              0.301              0.312              0.317              0.317              0.317              0.317            -76.367            -75.366            -74.364            -71.343            -66.668            -58.355            -58.379            -71.598            -94.727            -56.071            -42.314            -28.949         71.840        159.296        307.255              1.510              3.028              6.071             12.237             22.116             26.878             26.876             29.160             43.731             64.004             65.303             65.979             68.228             70.170             70.227             70.281             70.158             68.142             65.066             62.119             46.545             92.572            150.583            155.796            158.383            158.449            158.512             79.271
      2000         6       165        13              0.294              0.295              0.295              0.297              0.287              0.265              0.266              0.289              0.291              0.319              0.325              0.328              0.340              0.350              0.350              0.350              0.349              0.339              0.325              0.312              0.313              0.311              0.303              0.314              0.319              0.319              0.319              0.319            -87.799            -86.797            -85.791            -82.746            -77.818            -66.905            -64.243            -78.050            -96.802            -58.569            -45.850            -32.435         70.268        158.141        306.079              1.471              2.948              5.908             11.898             21.560             26.483             26.600             28.899             43.643             63.804             65.032             65.697             67.980             69.910             69.976             70.040             69.885             67.876             64.989             62.347             46.882             93.384            151.749            156.887            159.379            159.383            159.364             79.674
      2000         7       194        12              0.305              0.306              0.307              0.309              0.298              0.270              0.270              0.293              0.293              0.319              0.326              0.328              0.339              0.348              0.348              0.349              0.348              0.337              0.323              0.310              0.311              0.310              0.302              0.312              0.317              0.317              0.316              0.316            -72.197            -71.196            -70.196            -67.181            -62.622            -55.229            -56.581            -69.286            -90.200            -57.474            -44.922            -32.515         72.484        159.745        305.486              1.526              3.060              6.137             12.377             22.346             27.038             26.967             29.260             43.930             63.891             65.101             65.691             67.880             69.684             69.680             69.713             69.502             67.482             64.618             62.027             46.664             92.968            151.145            156.185            158.512            158.308            158.192             79.081
      2000         8       215         2              0.283              0.284              0.284              0.286              0.278              0.259              0.261              0.285              0.291              0.315              0.322              0.324              0.336              0.345              0.345              0.345              0.344              0.334              0.320              0.308              0.309              0.308              0.301              0.311              0.316              0.316              0.317              0.317           -106.697           -105.691           -104.674           -101.562            -96.197            -80.954            -75.653            -88.877            -96.263            -70.121            -56.447            -46.345         68.155        156.420        302.214              1.417              2.840              5.690             11.445             20.820             25.943             26.134             28.510             43.666             62.985             64.334             64.819             67.131             69.025             69.072             69.093             68.865             66.827             64.040             61.528             46.305             92.289            150.356            155.596            158.185            158.233            158.275             79.147
      2000         8       242        29              0.322              0.323              0.324              0.327              0.313              0.284              0.283              0.304              0.302              0.322              0.329              0.332              0.343              0.352              0.352              0.352              0.352              0.341              0.327              0.313              0.314              0.313              0.305              0.315              0.320              0.319              0.319              0.319            -53.883            -52.884            -51.888            -48.946            -43.999            -34.952            -36.692            -47.695            -64.908            -50.965            -36.308            -24.043         76.334        165.291        308.740              1.612              3.234              6.487             13.087             23.507             28.407             28.258             30.421             45.294             64.444             65.823             66.448             68.542             70.417             70.422             70.444             70.301             68.281             65.355             62.658             47.095             93.778            152.296            157.395            159.822            159.699            159.485             79.683
      2000         9       271        27              0.265              0.265              0.264              0.263              0.254              0.237              0.237              0.261              0.268              0.289              0.299              0.304              0.321              0.338              0.341              0.343              0.343              0.333              0.320              0.308              0.309              0.308              0.301              0.312              0.317              0.317              0.317              0.317           -150.823           -152.642           -154.366           -158.614           -166.372           -185.761           -185.644           -210.324           -236.215           -231.517           -231.467           -258.658         62.514        143.565        290.757              1.327              2.648              5.285             10.516             19.026             23.712             23.714             26.063             40.179             57.798             59.794             60.750             64.135             67.696             68.279             68.604             68.570             66.676             63.983             61.526             46.332             92.368            150.525            155.808            158.425            158.516            158.599             79.319
      2000        10       297        23              0.331              0.332              0.333              0.335              0.320              0.288              0.267              0.272              0.228              0.237              0.260              0.274              0.289              0.330              0.335              0.337              0.337              0.328              0.316              0.304              0.306              0.305              0.299              0.309              0.315              0.315              0.315              0.315            -44.609            -43.733            -42.849            -40.150            -35.831            -31.013            -62.757           -137.902          -1343.116          -3664.672          -3533.735          -3904.858         77.761        142.842        271.698              1.655              3.318              6.651             13.388             23.974             28.775             26.667             27.235             34.209             47.360             51.912             54.841             57.788             66.040             67.073             67.462             67.499             65.664             63.133             60.795             45.825             91.434            149.256            154.666            157.387            157.491            157.583             78.813
      2000        11       325        20              0.132              0.194              0.209              0.219              0.224              0.217              0.204              0.218              0.223              0.236              0.258              0.273              0.287              0.326              0.332              0.334              0.335              0.326              0.313              0.302              0.304              0.303              0.297              0.308              0.314              0.314              0.314              0.314          -6238.185           -789.747           -534.192           -413.835           -351.370           -412.981           -747.121          -1182.103          -1745.871          -3800.477          -3973.059          -4334.065         54.118        123.099        269.345              0.658              1.939              4.175              8.765             16.834             21.747             20.395             21.769             33.389             47.236             51.598             54.626             57.315             65.242             66.363             66.802             66.909             65.125             62.690             60.406             45.536             90.880            148.606            154.055            156.824            156.925            157.017             78.530
