Summary_file = singlecrop_sample.sum
Title = Tracker Sample Single Crop Simulation
       day      year accumulated_rain            lai        max_lai          yield    wheat_yield             ep accumulated_wheat_ep    swdef_photo wheat_weekly_stress
     (day)    (year)              (?)      (m^2/m^2)            (?)        (kg/ha)            (?)           (mm)                  (?)             ()                 (?)
        29      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        30      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        31      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        32      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        33      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        34      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        35      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        36      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        37      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        38      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        39      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        40      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        41      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        42      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        43      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        44      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        45      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        46      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        47      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        48      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        49      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        50      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        51      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        52      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        53      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        54      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        55      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        56      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        57      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        58      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        59      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        60      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        61      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        62      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        63      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        64      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        65      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        66      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        67      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        68      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        69      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        70      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        71      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        72      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        73      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        74      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        75      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        76      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        77      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        78      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        79      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        80      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        81      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        82      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        83      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        84      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        85      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        86      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        87      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        88      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        89      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        90      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        91      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        92      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        93      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        94      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        95      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        96      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        97      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        98      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
        99      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       100      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       101      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       102      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       103      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       104      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       105      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       106      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       107      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       108      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       109      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       110      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       111      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       112      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       113      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       114      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       115      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       116      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       117      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       118      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       119      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       120      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       121      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       122      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       123      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       124      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       125      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       126      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       127      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       128      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       129      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       130      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       131      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       132      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       133      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       134      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       135      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       136      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       137      1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
       138      1989                ?          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
       139      1989            0.000          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
       140      1989            0.000          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
       141      1989            0.000          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
       142      1989            0.000          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
       143      1989            6.400          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
       144      1989            6.400          0.020          0.020          0.000              ?          0.000                0.000          1.000               1.000
       145      1989            6.400          0.023          0.023          0.000              ?          0.037                0.037          1.000               1.000
       146      1989            6.400          0.025          0.025          0.000              ?          0.022                0.059          1.000               1.000
       147      1989            7.000          0.027          0.027          0.000              ?          0.017                0.076          1.000               1.000
       148      1989            7.000          0.030          0.030          0.000              ?          0.037                0.113          1.000               1.000
       149      1989            7.000          0.034          0.034          0.000              ?          0.042                0.155          1.000               1.000
       150      1989            7.000          0.036          0.036          0.000              ?          0.019                0.174          1.000               1.000
       151      1989            9.600          0.039          0.039          0.000              ?          0.013                0.187          1.000               1.000
       152      1989            9.600          0.044          0.044          0.000              ?          0.047                0.234          1.000               1.000
       153      1989            9.600          0.050          0.050          0.000              ?          0.065                0.299          1.000               1.000
       154      1989           12.400          0.056          0.056          0.000              ?          0.073                0.372          1.000               1.000
       155      1989           13.400          0.063          0.063          0.000              ?          0.081                0.453          1.000               1.000
       156      1989           27.200          0.071          0.071          0.000              ?          0.091                0.544          1.000               1.000
       157      1989           47.000          0.081          0.081          0.000              ?          0.101                0.645          1.000               1.000
       158      1989           47.000          0.091          0.091          0.000              ?          0.114                0.759          1.000               1.000
       159      1989           47.000          0.102          0.102          0.000              ?          0.127                0.886          1.000               1.000
       160      1989           47.000          0.115          0.115          0.000              ?          0.141                1.027          1.000               1.000
       161      1989           48.200          0.130          0.130          0.000              ?          0.157                1.185          1.000               1.000
       162      1989           48.200          0.146          0.146          0.000              ?          0.175                1.360          1.000               1.000
       163      1989           48.200          0.164          0.164          0.000              ?          0.194                1.554          1.000               1.000
       164      1989           49.400          0.184          0.184          0.000              ?          0.216                1.770          1.000               1.000
       165      1989           49.400          0.206          0.206          0.000              ?          0.239                2.009          1.000               1.000
       166      1989           49.400          0.231          0.231          0.000              ?          0.263                2.271          1.000               1.000
       167      1989           49.400          0.259          0.259          0.000              ?          0.294                2.565          1.000               1.000
       168      1989           49.400          0.289          0.289          0.000              ?          0.325                2.890          1.000               1.000
       169      1989           49.400          0.323          0.323          0.000              ?          0.358                3.248          1.000               1.000
       170      1989           49.400          0.361          0.361          0.000              ?          0.394                3.642          1.000               1.000
       171      1989           49.400          0.402          0.402          0.000              ?          0.438                4.081          1.000               1.000
       172      1989           49.400          0.448          0.448          0.000              ?          0.478                4.558          1.000               1.000
       173      1989           49.400          0.498          0.498          0.000              ?          0.530                5.089          1.000               1.000
       174      1989           49.400          0.552          0.552          0.000              ?          0.578                5.667          1.000               1.000
       175      1989           49.400          0.612          0.612          0.000              ?          0.625                6.291          1.000               1.000
       176      1989           49.400          0.676          0.676          0.000              ?          0.688                6.980          1.000               1.000
       177      1989           49.800          0.746          0.746          0.000              ?          0.744                7.723          1.000               1.000
       178      1989           49.800          0.823          0.823          0.000              ?          0.810                8.533          1.000               1.000
       179      1989           49.800          0.905          0.905          0.000              ?          0.883                9.416          1.000               1.000
       180      1989           49.900          0.994          0.994          0.000              ?          0.942               10.358          1.000               1.000
       181      1989           49.900          1.077          1.077          0.000              ?          0.893               11.250          1.000               1.000
       182      1989           49.900          1.171          1.171          0.000              ?          1.196               12.447          1.000               1.000
       183      1989           49.900          1.237          1.237          0.000              ?          0.689               13.135          1.000               1.000
       184      1989           49.900          1.324          1.324          0.000              ?          0.896               14.031          1.000               1.000
       185      1989           50.400          1.397          1.397          0.000              ?          0.414               14.445          1.000               1.000
       186      1989           50.400          1.491          1.491          0.000              ?          0.553               14.997          1.000               1.000
       187      1989           50.400          1.589          1.589          0.000              ?          0.667               15.664          1.000               1.000
       188      1989           50.400          1.701          1.701          0.000              ?          0.871               16.535          1.000               1.000
       189      1989           50.400          1.832          1.832          0.000              ?          1.460               17.995          1.000               1.000
       190      1989           50.400          1.963          1.963          0.000              ?          1.687               19.682          1.000               1.000
       191      1989           54.900          2.015          2.015          0.000              ?          0.088               19.770          1.000               1.000
       192      1989           54.900          2.117          2.117          0.000              ?          0.630               20.400          1.000               1.000
       193      1989           54.900          2.241          2.241          0.000              ?          0.833               21.234          1.000               1.000
       194      1989           54.900          2.347          2.347          0.000              ?          0.660               21.893          1.000               1.000
       195      1989           54.900          2.451          2.451          0.000              ?          0.615               22.508          1.000               1.000
       196      1989           54.900          2.518          2.518          0.000              ?          0.487               22.995          1.000               1.000
       197      1989           61.100          2.587          2.587          0.000              ?          0.388               23.383          1.000               1.000
       198      1989           61.100          2.733          2.733          0.000              ?          1.290               24.673          1.000               1.000
       199      1989           61.700          2.792          2.792          0.000              ?          0.211               24.884          1.000               1.000
       200      1989           61.700          2.916          2.916          0.000              ?          0.798               25.681          1.000               1.000
       201      1989           61.700          3.025          3.025          0.000              ?          0.776               26.457          1.000               1.000
       202      1989           61.700          3.157          3.157          0.000              ?          1.177               27.634          1.000               1.000
       203      1989           61.700          3.274          3.274          0.000              ?          0.962               28.596          1.000               1.000
       204      1989           61.700          3.428          3.428          0.000              ?          1.184               29.780          1.000               1.000
       205      1989           67.300          3.485          3.485          0.000              ?          0.240               30.020          1.000               1.000
       206      1989           67.300          3.595          3.595          0.000              ?          0.848               30.867          1.000               1.000
       207      1989           67.300          3.790          3.790          0.000              ?          1.866               32.733          1.000               1.000
       208      1989           67.300          3.987          3.987          0.000              ?          2.859               35.592          1.000               1.000
       209      1989           67.300          4.171          4.171          0.000              ?          2.620               38.212          1.000               1.000
       210      1989           67.300          4.334          4.334          0.000              ?          1.931               40.143          1.000               1.000
       211      1989           67.300          4.510          4.510          0.000              ?          2.706               42.850          1.000               1.000
       212      1989           79.900          4.583          4.583          0.000              ?          0.172               43.022          1.000               1.000
       213      1989           82.700          4.702          4.702          0.000              ?          0.824               43.846          1.000               1.000
       214      1989           82.700          4.899          4.899          0.000              ?          2.213               46.059          1.000               1.000
       215      1989           82.700          5.115          5.115          0.000              ?          2.727               48.786          1.000               1.000
       216      1989           82.700          5.319          5.319          0.000              ?          2.846               51.632          1.000               1.000
       217      1989           83.100          5.443          5.443          0.000              ?          0.896               52.528          1.000               1.000
       218      1989           83.100          5.633          5.633          0.000              ?          1.586               54.114          1.000               1.000
       219      1989           83.100          5.783          5.783          0.000              ?          1.511               55.625          1.000               1.000
       220      1989           83.500          5.862          5.862          0.000              ?          0.502               56.127          1.000               1.000
       221      1989           83.500          6.049          6.049          0.000              ?          1.697               57.824          1.000               1.000
       222      1989           83.500          6.236          6.236          0.000              ?          2.849               60.673          1.000               1.000
       223      1989           83.500          6.420          6.420          0.000              ?          2.932               63.605          1.000               1.000
       224      1989           83.500          6.587          6.587          0.000              ?          2.531               66.136          1.000               1.000
       225      1989           83.500          6.762          6.762          0.000              ?          3.212               69.348          1.000               1.000
       226      1989           83.500          6.933          6.933          0.000              ?          3.613               72.962          1.000               1.000
       227      1989           83.500          7.103          7.103          0.000              ?          3.888               76.850          1.000               1.000
       228      1989           83.500          7.256          7.256          0.000              ?          3.844               80.694          1.000               1.000
       229      1989           83.500          7.343          7.343          0.000              ?          2.059               82.753          1.000               1.000
       230      1989           84.900          7.428          7.428          0.000              ?          2.442               85.195          1.000               1.000
       231      1989           84.900          7.534          7.534          0.000              ?          3.662               88.858          1.000               1.000
       232      1989           84.900          7.617          7.617          0.000              ?          4.059               92.917          1.000               1.000
       233      1989           84.900          7.691          7.691          0.000              ?          4.388               97.305          1.000               1.000
       234      1989           84.900          7.751          7.751          0.000              ?          3.662              100.967          1.000               1.000
       235      1989           84.900          7.800          7.800          0.000              ?          2.513              103.480          1.000               1.000
       236      1989           84.900          7.833          7.833          0.000              ?          2.460              105.940          1.000               1.000
       237      1989           84.900          7.868          7.868          0.000              ?          3.814              109.753          1.000               1.000
       238      1989           84.900          7.895          7.895          0.000              ?          4.609              114.363          1.000               1.000
       239      1989           84.900          7.906          7.906          0.000              ?          2.676              117.038          1.000               1.000
       240      1989           84.900          7.912          7.912          0.000              ?          4.372              121.410          1.000               1.000
       241      1989           84.900          7.908          7.912          0.000              ?          4.889              126.299          1.000               1.000
       242      1989           84.900          7.886          7.912          0.000              ?          4.122              130.421          1.000               1.000
       243      1989           84.900          7.848          7.912          0.000              ?          5.031              135.452          1.000               1.000
       244      1989           84.900          7.790          7.912          0.000              ?          1.711              137.162          1.000               1.000
       245      1989           84.900          7.748          7.912          0.000              ?          3.482              140.645          1.000               1.000
       246      1989           84.900          7.702          7.912          0.000              ?          4.422              145.067          1.000               1.000
       247      1989           84.900          7.654          7.912          0.000              ?          4.303              149.370          1.000               1.000
       248      1989           84.900          7.610          7.912          0.000              ?          4.920              154.290          1.000               1.000
       249      1989           84.900          7.561          7.912          0.000              ?          5.344              159.634          1.000               1.000
       250      1989           84.900          7.491          7.912          0.000              ?          5.710              165.343          1.000               1.000
       251      1989           84.900          7.417          7.912          0.000              ?          6.063              171.406          1.000               1.000
       252      1989           84.900          7.335          7.912          0.000              ?          5.904              177.311          1.000               1.000
       253      1989           84.900          7.242          7.912          0.000              ?          6.084              183.394          1.000               1.000
       254      1989           84.900          7.140          7.912          0.000              ?          6.353              189.747          1.000               1.000
       255      1989           91.900          7.079          7.912          0.000              ?          2.726              192.472          1.000               1.000
       256      1989           91.900          7.018          7.912          0.000              ?          3.831              196.303          1.000               1.000
       257      1989           91.900          6.959          7.912          0.000              ?          4.204              200.508          1.000               1.000
       258      1989           91.900          6.907          7.912          0.000              ?          4.242              204.749          1.000               1.000
       259      1989           91.900          6.846          7.912          0.000              ?          5.270              210.019          1.000               1.000
       260      1989           91.900          6.774          7.912          0.000              ?          5.763              215.782          1.000               1.000
       261      1989           91.900          6.656          7.912          0.000              ?          5.495              221.277          0.884               0.983
       262      1989           91.900          6.510          7.912          0.000              ?          5.156              226.433          0.828               0.959
       263      1989           91.900          6.385          7.912          0.000              ?          4.839              231.272          0.992               0.958
       264      1989           91.900          6.231          7.912          0.000              ?          4.542              235.814          0.759               0.923
       265      1989           91.900          6.025          7.912          0.000              ?          4.263              240.077          0.670               0.876
       266      1989           91.900          5.936          7.912          0.000              ?          4.001              244.078          0.851               0.855
       267      1989           91.900          5.694          7.912          0.000              ?          3.756              247.834          0.592               0.797
       268      1989           91.900          5.430          7.912          0.000              ?          3.525              251.359          0.537               0.747
       269      1989           91.900          5.430          7.912          0.000              ?          1.153              252.511          1.000               0.772
       270      1989           91.900          5.309          7.912          0.000              ?          3.227              255.738          0.776               0.741
       271      1989           91.900          5.056          7.912          0.000              ?          3.029              258.768          0.524               0.707
       272      1989           91.900          4.775          7.912          0.000              ?          2.844              261.611          0.444               0.675
       273      1989           91.900          4.493          7.912        345.845              ?          2.669              264.281          0.411               0.612
       274      1989           91.900          4.216          7.912        720.657              ?          2.508              266.789          0.382               0.582
       275      1989           91.900          4.010          7.912       1063.868              ?          2.369              269.158          0.511               0.578
       276      1989           91.900          3.770          7.912       1328.080              ?          2.238              271.396          0.401               0.493
       277      1989           91.900          3.534          7.912       1673.925              ?          2.115              273.512          0.375               0.435
       278      1989           91.900          3.296          7.912       2127.736              ?          1.999              275.510          0.328               0.407
       279      1989           91.900          3.064          7.912       2485.870              ?          1.889              277.400          0.294               0.386
       280      1989           91.900          2.847          7.912       2842.249              ?          1.786              279.186          0.291               0.369
       281      1989           91.900          2.823          7.912       3237.249              ?          1.688              280.874          0.917               0.445
       282      1989           93.100          2.652          7.912       3549.739              ?          1.596              282.470          0.394               0.429
       283      1989           93.100          2.491          7.912       3837.650              ?          1.509              283.980          0.393               0.427
       284      1989           93.100          2.315          7.912       4133.912              ?          1.428              285.407          0.295               0.416
       285      1989           93.100          2.145          7.912       4189.646              ?          1.350              286.757          0.263               0.407
       286      1989           93.100          1.980          7.912       4238.402              ?          1.277              288.034          0.235               0.398
       287      1989           93.100          1.825          7.912       4278.356              ?          1.208              289.242          0.213               0.387
       288      1989           93.100          1.683          7.912       4319.247              ?          1.143              290.385          0.226               0.288
       289      1989           93.100          1.551          7.912       4343.565              ?          1.081              291.466          0.216               0.263
       290      1989           93.100          1.428          7.912       4371.866              ?          1.023              292.489          0.205               0.236
       291      1989           98.900          1.318          7.912       4401.598              ?          1.100              293.589          0.226               0.226
       292      1989          102.100          1.228          7.912       4430.424              ?          1.176              294.765          0.320               0.234
       293      1989          102.500          1.228          7.912       4538.630              ?          0.795              295.560          1.000               0.344
       294      1989          102.700          1.143          7.912       4581.689              ?          0.971              296.530          0.312               0.358
       295      1989          102.700          1.057          7.912       4614.093              ?          0.837              297.368          0.245               0.361
       296      1989          103.700          0.983          7.912       4666.111              ?          0.819              298.187          0.748               0.437
       297      1989          112.900          0.891          7.912       4727.512              ?          1.362              299.549          0.746               0.514
       298      1989          113.500          0.795          7.912       4789.562              ?          1.260              300.809          0.756               0.590
       299      1989          113.500          0.695          7.912       4789.562              ?          1.121              301.930          0.809               0.660
       300      1989          129.900          0.612          7.912       4789.562              ?          0.188              302.117          1.000               0.660
       301      1989          129.900          0.547          7.912       4789.562              ?          0.162              302.279          1.000               0.758
       302      1989          129.900          0.001          7.912       4789.562              ?          0.000              302.279          1.000               0.866
       303      1989          129.900          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       304      1989          129.900          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       305      1989          130.900          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       306      1989          130.900          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       307      1989          130.900          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       308      1989          133.500          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       309      1989          144.300          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       310      1989          153.300          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       311      1989          165.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       312      1989          165.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       313      1989          165.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       314      1989          165.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       315      1989          165.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       316      1989          169.300          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       317      1989          169.300          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       318      1989          169.300          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       319      1989          169.300          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       320      1989          192.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       321      1989          198.700          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       322      1989          209.900          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       323      1989          209.900          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       324      1989          209.900          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       325      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       326      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       327      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       328      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       329      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       330      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       331      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       332      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       333      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       334      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       335      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       336      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       337      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
       338      1989          211.100          0.000          7.912          0.000       4789.562          0.000              302.279          1.000               0.866
