Summary_file = sysbal.sum
Title = sysbal Sample Simulation
       day      year        biomass          no3()          nh4()       biom_n()        fom_n()         runoff             ep          drain             es           pond       sw_dep() n_error_system n_cum_error_system sw_error_system sw_cum_error_system dm_error_system dm_cum_error_system c_error_system c_cum_error_system
     (day)    (year)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)            (?)           (mm)           (mm)           (mm)           (mm)        (kg/ha)            (kg/ha)            (mm)                (mm)         (kg/ha)             (kg/ha)        (kg/ha)            (kg/ha)
       181      1988         17.888         90.900          2.138        118.890         14.528          0.000              ?          0.000          0.148          0.000        717.885         -0.001              0.562           0.000               0.000          -0.015              17.503          0.003              7.007
       182      1988         21.675         90.963          2.053        119.011         14.254          0.000              ?          0.000          0.147          0.000        717.676         -0.001              0.562           0.000               0.000          -0.006              17.496         -0.006              7.002
       183      1988         25.767         90.992          1.980        119.122         13.990          0.000              ?          0.000          0.146          0.000        717.456          0.000              0.562          -0.000               0.000           0.022              17.518          0.009              7.010
       184      1988         29.122         91.044          1.924        119.219         13.754          0.000              ?          0.000          0.145          0.000        717.266          0.001              0.562          -0.000               0.000           0.017              17.535          0.007              7.017
       185      1988         31.282         91.164          1.878        119.305         13.537          0.000              ?          0.000          0.144          0.000        717.108         -0.001              0.562          -0.000               0.000          -0.032              17.503         -0.016              7.001
       186      1988         33.749         91.261          1.838        119.387         13.325          0.000              ?          0.000          1.213          0.000        716.966          0.000              0.562          -0.000              -0.000           0.050              17.553          0.010              7.012
       187      1988         36.775         91.314          1.798        119.465         13.114          2.948              ?          0.000          1.482          0.000        739.912          0.000              0.562           0.000               0.000          -0.056              17.496         -0.013              6.999
       188      1988         42.278         91.127          1.739        119.538         12.925         17.825              ?          0.000          2.435          0.000        758.789         -0.000              0.562           0.000               0.000           0.058              17.554          0.008              7.006
       189      1988         48.252         90.987          1.709        119.610         12.717          0.000              ?          0.000          1.952          0.000        756.751         -0.000              0.562          -0.000               0.000          -0.054              17.500         -0.006              7.000
       190      1988         55.210         90.799          1.688        119.678         12.505          0.000              ?          0.000          2.143          0.000        754.503          0.001              0.563           0.000               0.000          -0.003              17.497         -0.004              6.996
       191      1988         63.566         90.537          1.668        119.742         12.289          0.000              ?          0.000          1.027          0.000        753.336         -0.002              0.561          -0.000               0.000           0.037              17.534          0.009              7.004
       192      1988         70.751         90.364          1.650        119.802         12.079          0.000              ?          0.000          0.791          0.000        752.417          0.002              0.563           0.000               0.000           0.007              17.542          0.015              7.020
       193      1988         75.700         90.255          1.607        119.857         11.908          1.618              ?          0.000          1.162          0.000        765.196         -0.001              0.562           0.000               0.000          -0.048              17.493         -0.019              7.000
       194      1988         82.103         90.077          1.582        119.907         11.734          0.000              ?          0.000          1.441          0.000        764.489          0.001              0.563          -0.000              -0.000           0.050              17.544          0.020              7.021
       195      1988         92.263         89.711          1.576        119.951         11.550          0.000              ?          0.000          2.134          0.000        762.228         -0.001              0.562           0.000              -0.000          -0.001              17.543         -0.004              7.017
       196      1988        104.216         89.244          1.573        119.990         11.373          0.000              ?          0.000          1.355          0.000        760.688         -0.001              0.561           0.000               0.000          -0.054              17.489         -0.022              6.996
       197      1988        118.095         88.666          1.570        120.024         11.203          0.000              ?          0.000          1.522          0.000        758.934          0.002              0.563          -0.000               0.000           0.076              17.565          0.040              7.035
       198      1988        132.925         88.066          1.567        120.056         11.031          0.000              ?          0.000          0.950          0.000        757.738          0.000              0.563          -0.000               0.000           0.005              17.570         -0.014              7.022
       199      1988        150.413         87.335          1.563        120.084         10.857          0.000              ?          0.000          0.755          0.000        756.705          0.000              0.563           0.000               0.000          -0.017              17.553          0.012              7.034
       200      1988        171.163         86.433          1.560        120.109         10.688          0.000              ?          0.000          0.645          0.000        755.723          0.000              0.563          -0.000               0.000          -0.041              17.512         -0.022              7.011
       201      1988        195.909         85.309          1.556        120.130         10.521          0.000              ?          0.000          0.573          0.000        754.739         -0.001              0.562          -0.000               0.000          -0.024              17.488         -0.006              7.005
       202      1988        221.067         84.202          1.551        120.148         10.353          0.000              ?          0.000          0.521          0.000        753.722          0.000              0.562          -0.000               0.000           0.017              17.505         -0.003              7.002
       203      1988        242.715         83.376          1.544        120.162         10.179          0.000              ?          0.000          0.481          0.000        752.813          0.001              0.563           0.000               0.000           0.052              17.557          0.024              7.026
       204      1988        262.135         82.723          1.539        120.173         10.014          0.000              ?          0.000          1.306          0.000        759.879         -0.001              0.562          -0.000               0.000          -0.075              17.481         -0.021              7.005
       205      1988        294.757         81.317          1.536        120.179          9.859          0.000              ?          0.000          1.850          0.000        757.650          0.000              0.562          -0.000               0.000           0.048              17.530          0.007              7.012
       206      1988        330.415         79.712          1.536        120.184          9.721          0.000              ?          0.000          1.797          0.000        755.324         -0.001              0.561           0.000               0.000           0.002              17.531          0.007              7.019
       207      1988        373.836         77.698          1.537        120.186          9.591          0.000              ?          0.000          0.863          0.000        753.788          0.001              0.562          -0.000               0.000          -0.022              17.509          0.000              7.019
       208      1988        424.391         75.379          1.537        120.185          9.465          0.000              ?          0.000          0.709          0.000        752.240          0.001              0.563          -0.000               0.000          -0.025              17.484         -0.019              7.000
       209      1988        475.244         73.148          1.538        120.183          9.346          0.000              ?          0.000          0.616          0.000        750.913          0.000              0.563           0.000               0.000           0.028              17.512         -0.005              6.995
       210      1988        535.980         70.390          1.537        120.179          9.225          0.000              ?          0.000          0.553          0.000        749.433         -0.001              0.562           0.000               0.000           0.052              17.564          0.024              7.019
       211      1988        592.610         67.929          1.535        120.172          9.101          0.000              ?          0.000          0.505          0.000        747.973          0.000              0.562          -0.000               0.000          -0.038              17.526         -0.015              7.004
       212      1988        656.899         65.478          1.532        120.163          8.980          0.000              ?          0.000          0.468          0.000        746.586          0.000              0.562           0.000               0.000           0.025              17.550          0.019              7.023
       213      1988        734.896         63.341          1.531        120.154          8.868          0.000              ?          0.000          0.439          0.000        744.890         -0.001              0.561          -0.000               0.000          -0.044              17.506         -0.014              7.009
       214      1988        816.498         61.488          1.527        120.141          8.752          0.000              ?          0.000          0.414          0.000        742.998          0.001              0.562          -0.000               0.000           0.033              17.539          0.019              7.028
       215      1988        896.742         59.865          1.523        120.126          8.636          0.000              ?          0.000          0.393          0.000        741.277         -0.001              0.561          -0.000               0.000          -0.038              17.501         -0.025              7.003
       216      1988        993.467         58.451          1.514        120.108          8.512          0.000              ?          0.000          0.375          0.000        739.369          0.001              0.562           0.000               0.000           0.041              17.542          0.004              7.007
       217      1988       1093.217         57.210          1.503        120.085          8.383          0.000              ?          0.000          0.359          0.000        737.079          0.000              0.562          -0.000               0.000          -0.047              17.495         -0.003              7.004
       218      1988       1190.518         56.119          1.490        120.059          8.250          0.000              ?          0.000          0.345          0.000        734.770          0.000              0.562          -0.000               0.000           0.011              17.506          0.008              7.012
       219      1988       1272.479         55.137          1.479        120.031          8.123          0.000              ?          0.000          0.333          0.000        733.874         -0.001              0.561          -0.000               0.000           0.039              17.545          0.009              7.021
       220      1988       1363.799         54.214          1.474        120.004          8.011          0.000              ?          0.000          0.321          0.000        732.420          0.001              0.562           0.000               0.000          -0.021              17.524         -0.005              7.016
       221      1988       1451.299         53.329          1.475        119.981          7.920          0.000              ?          0.000          0.311          0.000        731.126          0.000              0.562           0.000               0.000           0.042              17.566          0.014              7.029
       222      1988       1541.282         52.483          1.479        119.963          7.849          0.000              ?          0.000          0.302          0.000        729.538          0.000              0.562          -0.000               0.000          -0.061              17.505         -0.027              7.002
       223      1988       1628.414         51.684          1.484        119.947          7.789          0.000              ?          0.000          0.294          0.000        727.546         -0.001              0.561           0.000               0.000           0.019              17.524          0.017              7.019
       224      1988       1709.558         50.956          1.487        119.931          7.730          0.000              ?          0.000          0.286          0.000        725.500          0.001              0.562          -0.000               0.000          -0.016              17.508          0.003              7.022
       225      1988       1782.727         50.302          1.489        119.913          7.666          0.000              ?          0.000          0.279          0.000        723.953          0.000              0.562          -0.000               0.000           0.022              17.530         -0.007              7.015
       226      1988       1854.515         49.719          1.486        119.891          7.593          0.000              ?          0.000          0.272          0.000        722.337          0.000              0.562           0.000               0.000           0.005              17.534         -0.004              7.011
       227      1988       1923.204         48.874          1.481        119.866          7.513          0.000              ?          0.000          0.266          0.000        720.765          0.002              0.564          -0.000               0.000           0.008              17.542          0.003              7.014
       228      1988       1989.853         48.107          1.473        119.839          7.429          0.000              ?          0.000          0.260          0.000        719.260         -0.003              0.561          -0.000               0.000          -0.033              17.510         -0.007              7.007
       229      1988       2061.185         47.407          1.464        119.810          7.343          0.000              ?          0.000          0.254          0.000        717.442          0.001              0.562          -0.000               0.000           0.028              17.538         -0.001              7.006
       230      1988       2132.931         46.781          1.451        119.778          7.250          0.000              ?          0.000          0.249          0.000        715.246         -0.001              0.561           0.000               0.000           0.008              17.546          0.016              7.022
       231      1988       2200.854         46.231          1.434        119.740          7.149          0.000              ?          0.000          0.245          0.000        713.527          0.000              0.561           0.000               0.000          -0.008              17.538         -0.016              7.006
       232      1988       2274.191         45.736          1.417        119.698          7.043          0.000              ?          0.000          0.240          0.000        712.102          0.002              0.563          -0.000               0.000          -0.017              17.521          0.003              7.008
       233      1988       2365.380         45.302          1.402        119.650          6.927          0.000              ?          0.000          0.236          0.000        709.092          0.000              0.563          -0.000               0.000          -0.014              17.507          0.001              7.009
       234      1988       2452.766         44.927          1.390        119.594          6.804          0.000              ?          0.000          0.232          0.000        706.257         -0.001              0.562           0.000               0.000           0.042              17.549          0.014              7.023
       235      1988       2510.218         44.582          1.381        119.536          6.684          0.000              ?          0.000          0.228          0.000        705.209          0.000              0.562           0.000               0.000          -0.027              17.522         -0.008              7.015
       236      1988       2584.399         43.975          1.395        119.504          6.590          0.136              ?          0.000          0.633          0.000        738.457         -0.001              0.562          -0.000               0.000           0.026              17.547         -0.002              7.013
       237      1988       2669.958         43.466          1.361        119.462          6.501          0.000              ?          0.000          0.597          0.000        737.982          0.000              0.562           0.000               0.000          -0.013              17.535          0.004              7.017
       238      1988       2782.662         42.963          1.356        119.416          6.422          0.000              ?          0.000          0.763          0.000        735.271          0.000              0.562          -0.000               0.000          -0.009              17.526         -0.010              7.007
       239      1988       2893.654         42.469          1.356        119.376          6.356          0.000              ?          0.000          0.767          0.000        732.427          0.001              0.563           0.000               0.000           0.025              17.551          0.019              7.027
       240      1988       2974.600         41.998          1.358        119.340          6.299          0.000              ?          0.000          0.545          0.000        730.793         -0.001              0.562           0.000               0.000          -0.038              17.513         -0.028              6.999
       241      1988       3074.131         41.521          1.359        119.306          6.247          0.000              ?          0.000          0.616          0.000        735.611         -0.001              0.561          -0.000               0.000          -0.009              17.505         -0.000              6.999
       242      1988       3225.016         41.085          1.359        119.271          6.195          0.000              ?          0.000          0.823          0.000        732.648          0.001              0.562           0.000               0.000          -0.003              17.502         -0.001              6.998
       243      1988       3382.117         40.263          1.357        119.234          6.141          0.000              ?          0.000          0.853          0.000        728.942          0.000              0.562          -0.000               0.000           0.026              17.528          0.010              7.008
       244      1988       3473.007         39.502          1.356        119.200          6.092          0.000              ?          0.000          0.478          0.000        727.404          0.000              0.562           0.000               0.000          -0.027              17.501         -0.011              6.997
       245      1988       3562.115         38.790          1.354        119.166          6.046          0.000              ?          0.000          0.457          0.000        727.021         -0.001              0.561           0.000               0.000          -0.013              17.488          0.007              7.004
       246      1988       3702.575         38.142          1.350        119.132          5.998          0.000              ?          0.000          0.753          0.000        724.705          0.000              0.561           0.000               0.000           0.032              17.519          0.013              7.017
       247      1988       3872.646         37.574          1.340        119.092          5.941          0.000              ?          0.000          0.962          0.000        721.183          0.001              0.562          -0.000               0.000           0.008              17.528         -0.016              7.002
       248      1988       4015.261         37.071          1.326        119.048          5.877          0.000              ?          0.000          0.820          0.000        718.315          0.000              0.562          -0.000               0.000          -0.038              17.489         -0.009              6.993
       249      1988       4109.465         36.622          1.311        119.001          5.811          0.000              ?          0.000          0.515          0.000        717.293          0.000              0.562          -0.000               0.000           0.039              17.528          0.019              7.011
       250      1988       4231.213         36.213          1.297        118.952          5.742          0.000              ?          0.000          0.613          0.000        715.171          0.000              0.562           0.000               0.000          -0.001              17.528          0.003              7.014
       251      1988       4337.976         35.798          1.284        118.904          5.677          0.000              ?          0.000          0.586          0.000        721.519          0.000              0.562           0.000               0.000          -0.007              17.520         -0.003              7.011
       252      1988       4514.145         35.400          1.274        118.857          5.617          0.000              ?          0.000          0.981          0.000        718.610          0.000              0.562           0.000               0.000          -0.036              17.484         -0.008              7.003
       253      1988       4673.261         35.011          1.268        118.814          5.565          0.000              ?          0.000          0.877          0.000        714.805          0.001              0.563          -0.000               0.000           0.009              17.494          0.010              7.013
       254      1988       4827.070         34.661          1.260        118.769          5.511          0.000              ?          0.000          0.892          0.000        711.084         -0.001              0.562          -0.000               0.000           0.048              17.541          0.007              7.020
       255      1988       4977.593         34.356          1.250        118.721          5.452          0.000              ?          0.000          0.824          0.000        707.415          0.000              0.562           0.000               0.000           0.013              17.554          0.002              7.022
       256      1988       5087.503         34.033          1.241        118.671          5.393          0.000              ?          0.000          0.660          0.000        719.800          0.002              0.564           0.000               0.000          -0.023              17.531         -0.009              7.012
       257      1988       5256.608         33.696          1.220        118.627          5.337          0.000              ?          0.000          1.023          0.000        729.732         -0.001              0.563          -0.000               0.000           0.038              17.569          0.006              7.018
       258      1988       5319.555         33.329          1.217        118.582          5.288          0.000              ?          0.000          0.325          0.000        729.018          0.000              0.563          -0.000               0.000           0.005              17.574          0.005              7.023
       259      1988       5467.222         32.643          1.204        118.555          5.253          0.000              ?          0.000          0.896          0.000        740.537          0.001              0.564           0.000               0.000          -0.050              17.524          0.002              7.025
       260      1988       5620.423         32.012          1.181        118.527          5.220          0.000              ?          0.000          0.945          0.000        738.111         -0.002              0.562           0.000               0.000           0.031              17.555          0.003              7.028
       261      1988       5816.292         31.457          1.178        118.483          5.172          0.000              ?          0.000          1.298          0.000        734.023          0.002              0.564          -0.000               0.000           0.002              17.557         -0.015              7.013
       262      1988       6011.906         30.955          1.176        118.438          5.121          0.000              ?          0.000          1.287          0.000        728.964          0.000              0.564          -0.000              -0.000           0.036              17.593          0.024              7.037
       263      1988       6192.713         30.524          1.174        118.385          5.060          0.000              ?          0.000          0.856          0.000        724.425          0.001              0.565           0.000               0.000          -0.026              17.567         -0.017              7.020
       264      1988       6363.919         30.119          1.172        118.333          5.004          0.000              ?          0.000          1.022          0.000        720.398         -0.001              0.564          -0.000               0.000           0.014              17.581          0.009              7.029
       265      1988       6546.882         29.739          1.169        118.283          4.951          0.000              ?          0.000          1.155          0.000        716.394          0.000              0.564           0.000               0.000          -0.054              17.527         -0.009              7.020
       266      1988       6727.427         29.373          1.166        118.235          4.903          0.000              ?          0.000          1.200          0.000        712.013          0.000              0.564          -0.000               0.000           0.048              17.575          0.010              7.030
       267      1988       6899.164         29.027          1.162        118.188          4.859          0.000              ?          0.000          1.217          0.000        707.541          0.001              0.565          -0.000               0.000          -0.001              17.574          0.003              7.033
       268      1988       7064.938         28.722          1.159        118.138          4.810          0.000              ?          0.000          0.623          0.000        703.675         -0.002              0.563          -0.000               0.000          -0.013              17.561          0.001              7.034
       269      1988       7233.663         28.468          1.159        118.080          4.752          0.000              ?          0.000          0.532          0.000        699.942          0.001              0.564           0.000               0.000          -0.004              17.557         -0.011              7.023
       270      1988       7392.497         28.253          1.165        118.017          4.686          0.000              ?          0.000          0.490          0.000        696.166          0.001              0.565           0.000               0.000          -0.005              17.552          0.008              7.030
       271      1988       7509.942         28.066          1.174        117.948          4.618          0.000              ?          0.000          0.456          0.000        693.033          0.000              0.565          -0.000               0.000           0.011              17.563         -0.011              7.019
       272      1988       7650.257         27.886          1.184        117.875          4.549          0.000              ?          0.000          1.247          0.000        695.863         -0.001              0.564          -0.000               0.000           0.019              17.582          0.014              7.033
       273      1988       7814.673         27.739          1.198        117.796          4.475          0.000              ?          0.000          1.490          0.000        691.534          0.000              0.564          -0.000               0.000          -0.023              17.560         -0.012              7.021
       274      1988       7968.888         27.641          1.217        117.706          4.394          0.000              ?          0.000          1.732          0.000        686.535          0.000              0.564           0.000               0.000          -0.012              17.548          0.008              7.028
       275      1988       8097.897         27.557          1.236        117.611          4.314          0.000              ?          0.000          0.575          0.000        683.776         -0.001              0.563          -0.000               0.000          -0.038              17.510         -0.012              7.016
       276      1988       8244.640         27.487          1.254        117.513          4.236          0.000              ?          0.000          0.522          0.000        680.643          0.000              0.563           0.000               0.000           0.111              17.621          0.035              7.051
       277      1988       8389.717         27.432          1.270        117.409          4.159          0.000              ?          0.000          0.482          0.000        677.347          0.001              0.564          -0.000               0.000          -0.080              17.541         -0.029              7.023
       278      1988       8522.505         27.399          1.288        117.299          4.081          0.000              ?          0.000          0.449          0.000        674.059          0.000              0.564          -0.000               0.000           0.025              17.567          0.001              7.023
       279      1988       8609.132         27.376          1.306        117.185          4.004          0.000              ?          0.000          0.423          0.000        670.855          0.000              0.564           0.000               0.000          -0.019              17.548         -0.001              7.022
       280      1988       8639.000         27.373          1.347        117.058          3.923          0.000              ?          0.000          0.401          0.000        669.308          0.000              0.564          -0.000               0.000          -0.018              17.529         -0.004              7.018
       281      1988       8642.313         27.388          1.397        116.919          3.838          0.000              ?          0.000          0.381          0.000        668.811          0.001              0.565           0.000               0.000           0.014              17.543         -0.001              7.017
       282      1988       8646.771         27.413          1.435        116.777          3.757          0.000              ?          0.000          0.365          0.000        668.312         -0.001              0.564          -0.000               0.000          -0.020              17.523         -0.002              7.015
       283      1988       8650.832         27.440          1.454        116.636          3.683          0.000              ?          0.000          0.350          0.000        667.849          0.000              0.564          -0.000               0.000           0.041              17.564          0.013              7.029
       284      1988       8655.220         27.455          1.437        116.505          3.621          0.000              ?          0.000          0.337          0.000        667.410          0.000              0.564           0.000               0.000          -0.007              17.558         -0.003              7.026
       285      1988       8658.913         27.433          1.416        116.384          3.569          0.000              ?          0.000          0.326          0.000        666.972          0.000              0.564          -0.000              -0.000          -0.006              17.551         -0.003              7.024
       286      1988       8662.170         27.404          1.398        116.265          3.520          0.000              ?          0.000          0.315          0.000        666.535          0.001              0.565           0.000               0.000          -0.015              17.537          0.007              7.030
       287      1988       8665.975         27.858          1.388        116.137          3.467          0.000              ?          0.000          0.306          0.000        666.064         -0.001              0.564           0.000               0.000           0.009              17.545         -0.015              7.015
       288      1988       8677.347         28.324          1.387        116.001          3.411          0.000              ?          0.000          0.297          0.000        665.288          0.000              0.564          -0.000               0.000           0.025              17.571          0.016              7.031
       289      1988       8696.935         28.802          1.417        115.850          3.349          0.000              ?          0.000          0.289          0.000        664.200          0.001              0.565          -0.000              -0.000           0.002              17.572          0.004              7.035
       290      1988       8722.906         29.301          1.471        115.684          3.282          0.000              ?          0.000          0.281          0.000        662.670         -0.001              0.564           0.000               0.000          -0.012              17.561         -0.005              7.030
       291      1988       8754.243         29.816          1.517        115.511          3.216          0.000              ?          0.000          0.274          0.000        661.404          0.000              0.564           0.000               0.000          -0.017              17.544         -0.004              7.027
       292      1988       8790.846         30.334          1.532        115.345          3.157          0.000              ?          0.000          0.268          0.000        659.948          0.000              0.564          -0.000               0.000           0.003              17.547         -0.014              7.012
       293      1988       8830.935         30.848          1.527        115.186          3.105          0.000              ?          0.000          0.262          0.000        658.620          0.000              0.564          -0.000              -0.000          -0.059              17.488         -0.014              6.998
       294      1988       8877.295         30.750          1.527        115.024          3.054          0.000              ?          0.000          0.257          0.000        657.332          0.000              0.564           0.000               0.000           0.047              17.536          0.016              7.014
       295      1988       8877.295         31.266          1.539        114.856          3.002          0.000              ?          0.000          0.251          0.000        656.674          0.000              0.564           0.000               0.000           0.014              17.550          0.006              7.020
       296      1988       8877.295         31.793          1.571        114.677          2.947          0.000              ?          0.000          0.246          0.000        656.428         -0.001              0.563          -0.000               0.000          -0.007              17.543          0.010              7.030
       297      1988          0.000         32.169          1.178        116.110         18.220          0.000              ?          0.000          0.242          0.000        656.186        -76.494            -75.931           0.000               0.000       -8877.238           -8859.695      -3550.911          -3543.881
       298      1988          0.000         32.459          0.948        117.275         17.189          0.000              ?          0.000          2.437          0.000        655.949          0.000            -75.931          -0.000               0.000          -0.033           -8859.729         -0.013          -3543.895
       299      1988          0.000         32.704          0.815        118.190         16.349          0.000              ?          0.000          0.633          0.000        655.716          0.001            -75.930           0.000               0.000          -0.025           -8859.753         -0.004          -3543.898
       300      1988          0.000         32.922          0.737        118.905         15.666          0.000              ?          0.000          0.229          0.000        655.486          0.000            -75.930          -0.000               0.000           0.026           -8859.727          0.004          -3543.894
       301      1988          0.000         33.120          0.694        119.480         15.096          0.000              ?          0.000          0.225          0.000        655.261          0.000            -75.930           0.000               0.000           0.008           -8859.719          0.006          -3543.888
       302      1988          0.000         33.320          0.677        120.018         14.545          0.000              ?          0.000          0.222          0.000        655.039         -0.001            -75.931          -0.000               0.000          -0.041           -8859.760         -0.013          -3543.901
       303      1988          0.000         33.539          0.694        120.576         13.947          0.000              ?          0.000          0.218          0.000        654.821          0.000            -75.931           0.000               0.000          -0.004           -8859.764         -0.005          -3543.906
       304      1988          0.000         33.781          0.744        121.122         13.332          0.000              ?          0.000          0.215          0.000        654.605          0.000            -75.931          -0.000               0.000           0.008           -8859.756          0.006          -3543.899
       305      1988          0.000         34.051          0.818        121.631         12.725          0.000              ?          0.000          0.212          0.000        654.393          0.000            -75.931          -0.000               0.000           0.029           -8859.727          0.015          -3543.885
       306      1988          0.000         34.350          0.895        122.073         12.160          0.000              ?          0.000          0.209          0.000        654.184          0.001            -75.930          -0.000              -0.000          -0.014           -8859.741         -0.009          -3543.893
       307      1988          0.000         34.674          0.971        122.448         11.639          0.000              ?          0.000          0.206          0.000        653.978         -0.001            -75.931          -0.000              -0.000           0.005           -8859.736          0.005          -3543.888
       308      1988          0.000         35.022          1.041        122.763         11.161          0.000              ?          0.000          0.203          0.000        653.775          0.001            -75.930           0.000               0.000           0.019           -8859.718          0.001          -3543.887
       309      1988          0.000         35.391          1.103        123.025         10.720          0.000              ?          0.000          0.201          0.000        653.574         -0.001            -75.931           0.000               0.000           0.002           -8859.716          0.001          -3543.886
       310      1988          0.000         35.779          1.159        123.241         10.312          0.000              ?          0.000          0.198          0.000        653.375          0.001            -75.930          -0.000              -0.000           0.023           -8859.693          0.006          -3543.880
       311      1988          0.000         36.167          1.172        123.400          9.974          0.000              ?          0.000          0.796          0.000        653.180         -0.002            -75.932          -0.000              -0.000          -0.094           -8859.787         -0.028          -3543.909
       312      1988          0.000         36.544          1.163        123.518          9.688          0.000              ?          0.000          4.193          0.000        652.986          0.001            -75.931           0.000               0.000           0.048           -8859.738          0.016          -3543.893
       313      1988          0.000         36.889          1.152        123.608          9.444          0.000              ?          0.000          0.191          0.000        652.795          0.000            -75.931          -0.000              -0.000           0.008           -8859.730         -0.003          -3543.896
       314      1988          0.000         37.220          1.141        123.680          9.224          0.000              ?          0.000          0.189          0.000        652.606          0.000            -75.931           0.000               0.000          -0.002           -8859.732         -0.001          -3543.896
       315      1988          0.000         37.539          1.130        123.738          9.021          0.000              ?          0.000          0.187          0.000        652.419          0.001            -75.930           0.000               0.000          -0.022           -8859.754         -0.003          -3543.899
       316      1988          0.000         37.886          1.135        123.791          8.800          0.000              ?          0.000          0.185          0.000        652.234         -0.001            -75.931          -0.000               0.000           0.017           -8859.737          0.007          -3543.892
       317      1988          0.000         38.257          1.149        123.835          8.569          0.000              ?          0.000          0.183          0.000        652.051          0.000            -75.931          -0.000              -0.000           0.009           -8859.729         -0.003          -3543.895
       318      1988          0.000         38.644          1.169        123.867          8.339          0.000              ?          0.000          0.181          0.000        651.871          0.000            -75.931           0.000               0.000           0.008           -8859.721          0.003          -3543.892
       319      1988          0.000         39.038          1.192        123.886          8.114          0.000              ?          0.000          0.179          0.000        651.692          0.000            -75.931           0.000               0.000          -0.031           -8859.752         -0.006          -3543.898
       320      1988          0.000         39.439          1.217        123.892          7.896          0.000              ?          0.000          0.177          0.000        651.514          0.000            -75.931          -0.000               0.000          -0.003           -8859.756         -0.008          -3543.906
       321      1988          0.000         39.829          1.249        123.882          7.691          0.003              ?          0.000          4.211          0.000        664.300          0.000            -75.931          -0.000               0.000           0.004           -8859.752          0.011          -3543.895
       322      1988          0.000         40.208          1.267        123.862          7.508          0.000              ?          0.000          0.597          0.000        663.703          0.001            -75.930          -0.000               0.000           0.041           -8859.711          0.010          -3543.885
