Summary_file = orobanche1.sum
Title = orobanchen Sample Simulation
       day      year     faba_stage       faba_lai   faba_biomass     faba_yield       daa     orob_stage   orob_biomass     population population_dead population_alive    attach_area
     (day)    (year)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)        ()             ()        (kg/ha) (parasites/m2)  (parasites/m2)   (parasites/m2)             ()
       221      1988          6.386          5.638       6140.915          0.000        79          5.019          0.000         21.845           0.000           21.845          0.694
       222      1988          6.394          5.652       6242.518          0.000        80          5.020          0.000         22.273           0.000           22.273          0.707
       223      1988          6.404          5.686       6369.793          0.000        81          5.020          0.000         22.713           0.000           22.713          0.721
       224      1988          6.417          5.747       6536.442          0.000        82          5.021          0.000         23.277           0.000           23.277          0.739
       225      1988          6.431          5.799       6694.269          0.000        83          5.026          0.000         24.029           0.000           24.029          0.763
       226      1988          6.444          5.850       6855.420          0.000        84          5.031          0.000         24.732           0.000           24.732          0.785
       227      1988          6.457          5.898       7014.702          0.000        85          5.035          0.000         25.433           0.000           25.433          0.808
       228      1988          6.472          5.939       7168.357          0.000        86          5.040          0.000         26.108           0.000           26.108          0.829
       229      1988          6.488          5.987       7333.004          0.000        87          5.046          0.000         26.743           0.000           26.743          0.849
       230      1988          6.503          6.032       7497.295          0.000        88          5.053          0.000         27.410           0.000           27.410          0.870
       231      1988          6.523          6.061       7642.825          0.000        89          5.061          0.000         28.059           0.000           28.059          0.891
       232      1988          6.545          6.090       7789.716          0.000        90          5.072          0.000         28.615           0.000           28.615          0.909
       233      1988          6.562          6.139       7965.631          0.000        91          5.082          0.000         29.165           0.000           29.165          0.926
       234      1988          6.580          6.168       8118.743          0.000        92          5.092          0.000         29.816           0.000           29.816          0.947
       235      1988          6.603          6.146       8203.419          0.000        93          5.104          0.000         30.362           0.000           30.362          0.964
       236      1988          6.626          6.141       8309.771          0.000        94          5.116          0.000         30.636           0.000           30.636          0.973
       237      1988          6.641          6.143       8422.684          0.000        95          5.126          0.000         30.991           0.000           30.991          0.984
       238      1988          6.657          6.174       8574.582          0.000        96          5.130          0.000         31.361           0.000           31.361          0.996
       239      1988          6.677          6.198       8719.202          0.000        97          5.134          0.000         31.870           0.000           31.870          1.012
       240      1988          6.698          6.180       8809.353          0.000        98          5.141          0.000         32.346           0.000           32.346          1.027
       241      1988          6.718          6.178       8917.925          0.000        99          5.149          0.000         32.620           0.000           32.620          1.036
       242      1988          6.735          6.215       9079.242          0.000       100          5.156          0.000         32.959           0.000           32.959          1.047
       243      1988          6.753          6.255       9247.302          0.000       101          5.160          0.000         33.480           0.000           33.480          1.063
       244      1988          6.773          6.225       9324.056          0.000       102          5.164          0.000         34.015           0.000           34.015          1.080
       245      1988          6.795          6.191       9392.404          0.000       103          5.171          0.000         34.227           0.000           34.227          1.087
       246      1988          6.820          6.205       9520.354          0.000       104          5.179          0.000         34.410           0.000           34.410          1.093
       247      1988          6.843          6.243       9683.253          0.000       105          5.188          0.000         37.487           0.000           37.487          1.105
       248      1988          6.866          6.256       9814.611          0.000       106          5.199          0.000         46.518           0.000           46.518          1.121
       249      1988          6.891          6.226       9889.317          0.000       107          5.211          0.000         53.466           0.000           53.466          1.133
       250      1988          6.917          6.222       9996.708          0.000       108          5.221          0.000         56.898           0.000           56.898          1.139
       251      1988          6.942          6.206      10086.647          0.000       109          5.230          0.000         62.255           0.000           62.255          1.148
       252      1988          6.966          6.254      10259.802          0.000       110          5.240          0.000         66.497           0.000           66.497          1.156
       253      1988          6.991          6.284      10413.788          0.000       111          5.248          0.000         75.586           0.000           75.586          1.171
       254      1988          7.000          6.169      10562.583        106.003       112          5.256          0.000         83.365           0.000           83.365          1.185
       255      1988          7.020          6.062      10701.535        215.176       113          5.266          0.000         88.013           0.000           88.013          1.193
       256      1988          7.034          5.962      10798.976        326.273       114          5.279          0.000         92.169           0.000           92.169          1.200
       257      1988          7.046          5.868      10971.473        442.722       115          5.289          0.000         94.487           0.000           94.487          1.204
       258      1988          7.054          5.780      11005.434        556.031       116          5.299          0.000         99.930           0.000           99.930          1.214
       259      1988          7.066          5.698      11154.727        677.349       117          5.302          0.000         99.442           0.000           99.442          1.213
       260      1988          7.078          5.621      11313.374        802.667       118          5.310          0.000        103.756           0.000          103.756          1.221
       261      1988          7.089          5.548      11529.291        936.132       119          5.319          0.000        108.347           0.000          108.347          1.229
       262      1988          7.100          5.479      11748.489       1074.544       120          5.330          0.000        115.174           0.000          115.174          1.241
       263      1988          7.112          5.414      11951.917       1216.052       121          5.340          0.000        121.944           0.000          121.944          1.252
       264      1988          7.122          5.353      12145.684       1360.835       122          5.346          0.000        127.887           0.000          127.887          1.263
       265      1988          7.133          5.295      12357.825       1511.999       123          5.351          0.000        133.274           0.000          133.274          1.272
       266      1988          7.145          5.240      12569.945       1667.652       124          5.357          0.000        139.230           0.000          139.230          1.282
       267      1988          7.158          5.188      12773.721       1826.584       125          5.365          0.000        145.113           0.000          145.113          1.293
       268      1988          7.172          5.139      12973.499       1989.186       126          5.375          0.000        150.594           0.000          150.594          1.302
       269      1988          7.185          5.092      13180.095       2157.082       127          5.387          0.000        155.847           0.000          155.847          1.311
       270      1988          7.198          5.048      13367.431       2325.936       128          5.399          0.000        161.299           0.000          161.299          1.321
       271      1988          7.212          5.005      13493.923       2487.486       129          5.412          0.000        165.922           0.000          165.922          1.329
       272      1988          7.226          4.965      13636.367       2654.777       130          5.425          0.000        168.084           0.000          168.084          1.333
       273      1988          7.237          4.921      13809.001       2831.195       131          5.440          0.000        170.824           0.000          170.824          1.338
       274      1988          7.247          4.884      13923.384       2998.683       132          5.452          0.000        174.701           0.000          174.701          1.344
