Summary_file = soiltemp.sum
Title = sample simulation
           Date   soil_temp(1)   soil_temp(2)   soil_temp(3)   soil_temp(4)   soil_temp(5)   soil_temp(6)   soil_temp(7)   maxt_soil(1)   mint_soil(1)
     10/06/1989          9.745         11.410         13.259         14.632         15.740         16.481         17.090         15.001          6.001
     17/06/1989         13.619         12.938         12.575         13.475         14.892         16.040         17.002         16.468         10.929
     24/06/1989          8.044          9.326         11.011         12.873         14.604         15.843         16.887         13.775          4.501
      1/07/1989         15.037         14.158         13.117         12.865         13.934         15.365         16.745         18.645         11.412
      8/07/1989          7.776          8.439         10.291         12.784         14.570         15.648         16.612         13.925          1.573
     15/07/1989          3.167          4.826          7.919         11.232         13.684         15.232         16.485          8.879         -2.597
     22/07/1989          4.551          5.407          7.276          9.896         12.537         14.566         16.308         10.315         -1.253
     30/07/1989         11.430         11.075         10.818         11.269         12.659         14.330         16.063         16.056          6.719
      6/08/1989          7.570          8.949         10.410         11.597         13.105         14.516         15.888         13.452          2.465
     13/08/1989          5.605          6.427          8.055         10.087         12.356         14.169         15.726         12.172         -1.180
     20/08/1989         12.206         12.196         11.499         11.021         12.180         13.848         15.534         17.706          7.274
     27/08/1989          8.324          8.889          9.926         11.548         12.995         14.179         15.372         14.559          3.181
      3/09/1989          7.846          8.634         10.114         11.458         12.751         14.013         15.238         14.231          1.353
     10/09/1989         12.209         11.314         10.722         11.251         12.547         13.857         15.102         17.601          6.888
     17/09/1989          9.076          8.912          9.628         11.263         12.819         13.950         14.978         16.587          1.566
     24/09/1989         12.048         12.667         12.959         12.786         13.176         13.959         14.868         18.763          5.744
      1/10/1989         11.852         11.829         11.938         12.443         13.360         14.121         14.794         18.256          5.266
      8/10/1989         15.026         14.240         13.466         13.408         13.657         14.144         14.730         20.025         10.713
     15/10/1989         14.773         14.750         14.389         13.851         13.958         14.307         14.691         21.873          7.597
     22/10/1989         13.765         15.509         16.913         16.299         15.172         14.746         14.682         20.799          7.903
     29/10/1989         11.382         13.964         16.598         16.991         16.003         15.246         14.736         18.983          5.475
      5/11/1989         16.281         17.047         17.281         16.497         15.671         15.199         14.813         22.008         12.186
     12/11/1989         17.414         18.109         17.874         16.696         15.902         15.372         14.887         23.582         12.478
     19/11/1989         23.174         21.986         19.487         17.361         16.272         15.578         14.972         27.084         20.414
     26/11/1989         13.871         14.502         15.359         16.010         16.121         15.692         15.074         18.422          9.542
      3/12/1989         16.609         15.516         14.543         14.652         15.108         15.226         15.134         20.982         12.330
     10/12/1989         15.132         15.892         16.561         16.603         15.982         15.470         15.163         21.157          9.873
     17/12/1989         14.594         16.107         17.538         17.283         16.280         15.651         15.223         19.554         10.598
     24/12/1989         20.129         20.167         18.990         17.066         16.022         15.615         15.291         26.284         16.141
     31/12/1989         14.722         15.131         15.944         16.633         16.508         15.960         15.368         20.518          8.826
      7/01/1990         18.169         17.624         16.930         16.333         15.969         15.712         15.435         22.812         13.418
     14/01/1990         20.662         20.087         18.442         16.922         16.190         15.798         15.486         26.973         15.091
     21/01/1990         18.493         18.092         17.726         17.506         16.856         16.159         15.557         22.938         13.938
     28/01/1990         17.363         16.783         16.338         16.414         16.405         16.089         15.641         23.673         10.948
      4/02/1990         20.987         20.658         19.733         17.910         16.662         16.091         15.701         26.294         15.578
     11/02/1990         17.202         19.379         20.152         18.817         17.379         16.474         15.784         26.671         11.875
     18/02/1990         18.733         19.001         19.386         18.932         17.728         16.731         15.894         23.514         13.887
     25/02/1990         19.099         18.987         18.455         17.941         17.412         16.746         16.010         22.171         17.285
      4/03/1990         19.943         19.175         18.093         17.397         17.012         16.591         16.100         22.327         17.530
     11/03/1990         16.381         16.015         15.914         16.459         16.727         16.522         16.167         23.027          9.555
     18/03/1990         15.406         15.569         15.886         16.194         16.359         16.322         16.205         21.092          9.615
     25/03/1990         19.613         18.327         16.884         16.203         16.125         16.181         16.221         21.394         17.980
      1/04/1990         17.737         18.160         18.409         17.963         17.066         16.529         16.242         22.064         14.347
      8/04/1990         22.574         22.203         20.906         19.067         17.650         16.863         16.307         26.714         19.325
     15/04/1990         18.976         18.733         18.610         18.570         18.010         17.214         16.410         21.719         16.187
     22/04/1990         18.092         19.023         19.659         19.072         18.062         17.238         16.512         22.516         14.038
     29/04/1990         10.312         11.300         13.413         15.724         16.892         16.945         16.601         16.472          3.958
