Summary_file = output\xifeng_w.sum
Title = Continuous winter wheat at Xifeng
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)      residue_n     residue_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()            (?)             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       151      1963     31/05/1963          0.000          0.000        113.200         23.155              0.242              0.250              0.263              0.268              0.270              0.272              0.272              0.283              0.284         37.127          9.254         23.575        815.680          1.686        272.729             17.322             41.253             58.011             48.654             36.158             24.209             21.631             14.189             11.301          0.799      13864.938        234.994         27.710          0.011          0.845          0.675          0.000       2971.318         70.148       1555.640          4.243         0          1.000          1.000        126.969
       181      1963     30/06/1963          0.000          0.000         24.300         44.378              0.180              0.204              0.222              0.234              0.248              0.257              0.265              0.278              0.280         31.901          0.000          5.206        758.495          0.933        241.635             22.916             32.653             48.000             40.375             30.491             21.500             20.624             13.869             11.208          0.020      13840.446        229.160         19.792          0.006          0.418          0.480       1916.014       5632.119         63.073       2244.020          8.142         0          1.000          1.000        182.111
       196      1963     15/07/1963          2.000          2.000         47.800          8.351              0.252              0.252              0.236              0.234              0.244              0.254              0.264              0.275              0.280         22.249          0.000          0.000        775.695          1.020        235.622             14.735             35.381             50.742             39.561             29.248             20.794             20.289             13.658             11.212          0.009      13828.935        225.984         17.663          0.003          0.201          0.002       2767.830       6154.835         58.799       2492.060          9.123       194          0.857          1.000         77.157
       212      1963     31/07/1963          0.000          0.000         33.000          0.000              0.242              0.247              0.252              0.244              0.246              0.254              0.263              0.274              0.280         25.977          1.483          0.000        781.235          1.188        242.415             17.041             33.065             55.019             41.894             29.527             20.755             20.265             13.630             11.221          0.048      13812.737        232.080         30.613          1.399        131.188          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        109.406
       243      1963     31/08/1963          0.000          1.000         54.900          0.000              0.296              0.265              0.248              0.250              0.253              0.256              0.264              0.274              0.280         42.575          0.282          0.000        793.278          1.208        255.025             19.614             37.635             56.480             44.050             30.933             21.118             20.328             13.625             11.241          0.026      13783.472        231.874         16.042          0.781         73.249          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        173.689
       264      1963     21/09/1963          0.000          3.000        139.700          0.000              0.287              0.294              0.288              0.289              0.288              0.287              0.279              0.288              0.288         35.827         18.663         17.434        861.054          1.283        256.631              2.455             18.418             50.101             54.320             44.479             31.055             27.215             16.467             12.121          0.750      13775.289        234.673         13.803          0.336         31.475          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         42.243
       273      1963     30/09/1963          0.000          0.000         11.400          0.000              0.243              0.250              0.263              0.270              0.270              0.270              0.271              0.281              0.281         14.674          0.001         45.288        812.492         13.663        271.593             22.141             15.224             42.850             49.632             43.643             33.126             32.028             19.503             13.446          0.229      13771.896        233.962         14.131          0.262         24.563          0.080          0.000         18.400          3.980        121.660          0.108         0          0.100          0.800         28.530
       304      1963     31/10/1963          0.000          0.000         10.200          9.330              0.209              0.223              0.244              0.260              0.268              0.270              0.270              0.280              0.280         18.625          0.000          1.591        793.145          2.514        228.502              9.865              9.089             19.955             47.982             43.499             33.141             32.033             19.504             13.435          0.001      13763.431        231.281         18.009          0.245         22.981          1.414          0.000        864.436         76.218        472.060          4.506         0          1.000          1.000         74.432
       334      1963     30/11/1963          0.000          0.000         47.800          4.319              0.313              0.278              0.271              0.270              0.270              0.270              0.270              0.280              0.280         10.397          0.000          0.006        826.222          1.957        204.257              1.842              4.459              7.948             47.897             43.889             33.186             32.063             19.523             13.450          0.012      13761.341        231.181         33.331          0.220         20.590          0.746          0.000       1464.055        108.283        600.760          6.485         0          1.000          1.000         29.979
       365      1963     31/12/1963          0.000          0.000          7.800          0.000              0.262              0.265              0.270              0.270              0.270              0.270              0.270              0.280              0.280          3.364          0.000         12.323        818.336          1.834        203.213              1.479              4.038              7.720             42.326             43.960             34.684             34.203             20.781             14.023          0.051      13760.998        231.803         49.937          0.178         16.713          0.002          0.000       1464.055         92.699        600.760          6.485         0          1.000          1.000          8.149
        31      1964     31/01/1964          0.000          0.000          7.300          0.000              0.268              0.270              0.270              0.270              0.270              0.270              0.270              0.280              0.280          2.037          0.000          3.517        820.081          1.619        203.123              1.430              4.048              7.656             40.749             43.863             35.120             34.867             21.180             14.210          0.013      13760.365        232.723         62.901          0.134         12.575          0.002          0.000       1464.055         79.358        600.760          6.485         0          1.000          1.000          4.795
