Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
        31      1972     31/01/1972          0.000          0.000          2.900          0.000              0.122              0.165              0.177              0.174              0.162              0.166              0.177              0.186          6.570          0.000          0.000        340.313          1.718        134.945             24.721             26.280             25.537             23.878             12.184              8.216              7.192              6.937          0.000       9458.578        305.824         50.587          0.542         58.782          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         16.110
        60      1972     29/02/1972          0.000          1.000         10.100          0.000              0.148              0.168              0.174              0.172              0.165              0.168              0.177              0.185          7.132          0.000          0.000        343.281          1.718        134.965             23.870             27.331             25.001             23.728             12.640              8.292              7.185              6.918          0.000       9458.578        305.823         50.587          0.542         58.782          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000          7.662
        91      1972     31/03/1972          0.000          0.000         14.700          0.000              0.162              0.169              0.172              0.171              0.167              0.169              0.177              0.184         13.091          0.000          0.000        344.890         19.044        148.474             36.162             28.260             24.879             23.694             12.985              8.389              7.194              6.912          0.000       9457.514        304.997         50.602          0.477         51.705          0.000          0.000          0.000          0.000        115.740          0.000         0          1.000          0.968         80.126
       121      1972     30/04/1972          0.000          0.000         25.600         14.549              0.142              0.146              0.165              0.170              0.168              0.170              0.177              0.184         18.751          0.000          0.000        337.190        108.015        129.985             29.919             20.985             19.483             23.759             13.234              8.483              7.210              6.911          0.000       9455.131        303.474         50.613          0.427         46.285          1.215          0.000        862.973         60.675        394.810          3.958         0          1.000          0.944        112.463
       152      1972     31/05/1972          0.000          0.000         67.300         46.412              0.181              0.154              0.134              0.141              0.165              0.171              0.177              0.184         31.086          0.000          0.000        326.992          7.906        185.917             56.689             52.373             19.751             21.157             13.216              8.574              7.237              6.921          0.000       9451.868        304.352         60.121          0.188         20.428          1.777          0.000       3854.238        142.984        924.610          6.970         0          1.000          0.711        139.282
       182      1972     30/06/1972          0.000          0.000         59.900         44.981              0.148              0.147              0.131              0.120              0.132              0.159              0.176              0.183         40.247          0.000          0.000        301.664          0.621        169.168             27.352             64.834             20.563             21.021             12.940              8.331              7.192              6.935          0.000       9447.030        303.964         64.913          0.051          5.562          0.835        561.806       6126.926        148.198       1497.232          9.127         0          1.000          0.754        167.510
       213      1972     31/07/1972          2.000          0.000         51.400         29.699              0.095              0.155              0.133              0.115              0.125              0.148              0.169              0.182         34.495          0.000          0.000        288.870          0.543        121.750              9.449             35.942             21.841             20.468             12.470              7.898              6.774              6.907          0.000       9440.002        300.481         62.553          0.010          1.109          0.002       3143.917       7773.990        127.507       1661.766         14.164       211          1.000          0.963        137.721
       213      1972     31/07/1972          2.000          0.000          0.000          0.000              0.089              0.155              0.133              0.116              0.125              0.148              0.169              0.182          0.686          0.000          0.000        288.184          0.570        121.826              9.530             35.905             21.860             20.477             12.473              7.901              6.775              6.905          0.000       9440.002        300.481        188.691          3.112        231.559          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000          7.752
       244      1972     31/08/1972          0.000          0.000         77.300          0.000              0.219              0.229              0.178              0.119              0.126              0.149              0.168              0.180         39.745          0.000          0.000        325.739          1.270        131.288             11.650             34.834             29.258             21.290             12.578              7.987              6.810              6.880          0.000       9431.667        328.481         86.421          1.717        127.810          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        163.233
       274      1972     30/09/1972          0.000          0.000          2.400          0.000              0.145              0.182              0.182              0.126              0.127              0.150              0.168              0.179         16.197          0.000          0.000        311.942          1.312        138.089             18.939             30.877             30.561             23.228             12.713              8.061              6.838              6.873          0.000       9425.529        323.835         65.002          1.708        127.132          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        104.657
