APSIM output file, version = 5.4
Title = soybean P Sample Simulation
            day           year            lai        biomass  green_biomass       dm_green        p_green     p_senesced       p_demand    pfact_photo    pfact_pheno pfact_expansion    pfact_grain      biomass_p green_biomass_p        grain_p         leaf_p         stem_p         root_p          pod_p         head_p    dlt_p_green dlt_p_retrans() dlt_p_detached    dlt_p_sen()  p_conc_stover LeafGreenpconc StemGreenpconc grainGreenpconc p_uptake_stover grain_p_demand    surfaceom_p
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)         (g/m2)         (g/m2)         (g/m2)        (g/m^2)             ()             ()              ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)            (?)            (%)            (%)            (%)             (%)             (%)        (g/m^2)        (kg/ha)
            366           1988          1.024          505.1          505.1        102.597          0.203          0.000           0.08          0.468          1.000           0.936          1.000           0.14            0.14           0.00           0.07           0.07           0.06           0.00           0.00           0.01            0.00           0.00              ?          0.282          0.304          0.262           0.000           0.143           0.00            0.0
              1           1989          1.088          543.0          543.0        109.907          0.213          0.000           0.09          0.437          1.000           0.873          1.000           0.15            0.15           0.00           0.08           0.07           0.06           0.00           0.00           0.01            0.00           0.00              ?          0.277          0.298          0.257           0.000           0.150           0.00            0.0
              2           1989          1.131          568.7          568.7        114.754          0.224          0.000           0.09          0.404          1.000           0.808          1.000           0.16            0.16           0.00           0.08           0.08           0.07           0.00           0.00           0.01            0.00           0.00              ?          0.278          0.299          0.258           0.000           0.158           0.00            0.0
              3           1989          1.186          602.2          602.2        121.148          0.236          0.000           0.09          0.412          1.000           0.825          1.000           0.17            0.17           0.00           0.09           0.08           0.07           0.00           0.00           0.01            0.00           0.00              ?          0.278          0.299          0.258           0.000           0.167           0.00            0.0
              4           1989          1.254          643.5          643.5        129.073          0.247          0.000           0.10          0.411          1.000           0.822          1.000           0.18            0.18           0.00           0.09           0.08           0.07           0.00           0.00           0.01            0.00           0.00              ?          0.272          0.293          0.253           0.000           0.175           0.00            0.0
              5           1989          1.323          685.4          685.4        137.112          0.257          0.000           0.11          0.380          1.000           0.760          1.000           0.18            0.18           0.00           0.10           0.09           0.07           0.00           0.00           0.01            0.00           0.00              ?          0.267          0.287          0.248           0.000           0.183           0.00            0.0
              6           1989          1.364          710.4          710.4        141.760          0.269          0.000           0.12          0.346          1.000           0.691          1.000           0.19            0.19           0.00           0.10           0.09           0.08           0.00           0.00           0.01            0.00           0.00              ?          0.270          0.290          0.251           0.000           0.192           0.00            0.0
              7           1989          1.416          742.6          742.6        147.824          0.281          0.000           0.12          0.366          1.000           0.732          1.000           0.20            0.20           0.00           0.10           0.10           0.08           0.00           0.00           0.01            0.00           0.00              ?          0.270          0.290          0.251           0.000           0.200           0.00            0.0
              8           1989          1.481          782.4          782.4        155.399          0.292          0.000           0.13          0.367          1.000           0.735          1.000           0.21            0.21           0.00           0.11           0.10           0.08           0.00           0.00           0.01            0.00           0.00              ?          0.267          0.287          0.248           0.000           0.209           0.00            0.0
              9           1989          1.544          821.5          821.5        162.820          0.303          0.000           0.14          0.351          1.000           0.702          1.000           0.22            0.22           0.00           0.11           0.10           0.09           0.00           0.00           0.01            0.00           0.00              ?          0.264          0.284          0.246           0.000           0.217           0.00            0.0
