Summary_file = calib.sum
Title = soilwat2 reference dataset (calibrators)
           date             eo            eos         runoff          sw_dep(1)          sw_dep(2)          sw_dep(3)          sw_dep(4)          sw_dep(5)
     07/03/1977          6.600          6.600          0.000             36.782             37.283             37.685             37.986             38.186
     08/03/1977          4.900          4.900          0.000             36.698             37.192             37.589             37.888             38.088
     09/03/1977          6.600          6.600          0.000             36.617             37.103             37.495             37.792             37.992
     10/03/1977          1.100          1.100          0.000             48.350             48.675             48.837             48.468             48.668
     11/03/1977          1.100          1.100          0.000             48.350             48.675             48.837             48.919             49.119
     12/03/1977          2.500          2.500          0.000             46.687             47.748             48.328             48.664             48.864
     13/03/1977          6.600          6.600          0.000             44.637             46.445             47.534             48.187             48.387
     14/03/1977          6.300          6.300          0.000             44.224             45.813             46.961             47.660             47.860
     15/03/1977          4.900          4.900          0.000             43.953             45.389             46.483             47.157             47.357
     16/03/1977          3.200          3.200          0.000             43.730             45.047             46.063             46.696             46.896
     17/03/1977          4.200          4.200          0.000             43.538             44.741             45.681             46.275             46.475
     18/03/1977          4.600          4.600          0.000             43.353             44.462             45.333             45.891             46.091
     19/03/1977          5.300          5.300          0.000             43.171             44.201             45.013             45.538             45.738
     20/03/1977          4.900          4.900          0.000             42.992             43.955             44.716             45.214             45.414
     21/03/1977          3.900          3.900          0.000             42.815             43.721             44.438             44.913             45.113
     22/03/1977          4.600          4.600          0.000             42.641             43.498             44.177             44.632             44.832
     23/03/1977          5.600          5.600          0.000             42.470             43.284             43.932             44.369             44.569
     24/03/1977          6.000          6.000          0.000             42.304             43.080             43.699             44.122             44.322
     25/03/1977          6.000          6.000          0.000             42.142             42.885             43.478             43.888             44.088
     26/03/1977          5.300          5.300          0.000             41.985             42.697             43.268             43.666             43.866
     27/03/1977          2.500          2.500          0.000             44.311             43.788             43.707             43.774             43.974
     28/03/1977          4.200          4.200          0.000             42.661             43.189             43.479             43.716             43.916
     29/03/1977          4.200          4.200          0.000             42.341             42.891             43.290             43.592             43.792
     30/03/1977          4.200          4.200          0.000             42.063             42.653             43.105             43.437             43.637
     31/03/1977          3.200          3.200          0.000             44.697             43.935             43.673             43.643             43.843
     01/04/1977          5.300          5.300          0.000             43.183             43.442             43.546             43.685             43.885
     02/04/1977          5.600          5.600          0.000             42.643             43.086             43.378             43.621             43.821
     03/04/1977          3.500          3.500          0.000             42.240             42.791             43.192             43.495             43.695
     04/04/1977          2.500          2.500          0.000             42.005             42.583             43.022             43.347             43.547
     05/04/1977          3.200          3.200          0.000             41.725             42.354             42.832             43.178             43.378
     06/04/1977          3.900          3.900          0.000             41.506             42.141             42.640             42.997             43.197
     07/04/1977          4.900          4.900          0.000             43.384             43.022             42.992             43.083             43.283
     08/04/1977          4.900          4.900          0.000             42.538             42.767             42.920             43.091             43.291
     09/04/1977          3.900          3.900          0.000             42.033             42.467             42.769             43.019             43.219
     10/04/1977          4.600          4.600          0.000             46.720             47.860             48.430             47.594             47.794
     11/04/1977          4.200          4.200          0.000             44.935             46.645             47.157             47.469             47.669
     12/04/1977          3.900          3.900          0.000             44.507             45.796             46.613             47.129             47.329
     13/04/1977          3.500          3.500          0.000             45.464             46.012             46.542             46.923             47.123
     14/04/1977          4.200          4.200          0.000             44.320             45.399             46.139             46.619             46.819
     15/04/1977          2.500          2.500          0.000             43.870             44.964             45.763             46.278             46.478
     16/04/1977          2.200          2.200          0.000             46.825             46.359             46.299             46.377             46.577
     17/04/1977          2.500          2.500          0.000             44.890             45.596             45.983             46.269             46.469
     18/04/1977          3.500          3.500          0.000             44.015             44.974             45.605             46.025             46.225
     19/04/1977          4.200          4.200          0.000             43.492             44.510             45.243             45.722             45.922
     20/04/1977          4.600          4.600          0.000             43.124             44.140             44.903             45.399             45.599
     21/04/1977          3.900          3.900          0.000             42.838             43.826             44.583             45.078             45.278
     22/04/1977          1.100          1.100          0.000             48.350             48.675             48.837             48.919             49.119
     23/04/1977          2.500          2.500          0.000             46.687             47.748             48.328             48.664             48.864
     24/04/1977          3.500          3.500          0.000             45.567             46.910             47.766             48.303             48.503
     25/04/1977          4.200          4.200          0.000             44.489             46.076             47.157             47.817             48.017
     26/04/1977          1.800          1.800          0.000             44.084             45.557             46.647             47.318             47.518
     27/04/1977          3.900          3.900          0.000             43.813             45.166             46.202             46.846             47.046
     28/04/1977          3.500          3.500          0.000             43.592             44.837             45.803             46.411             46.611
     29/04/1977          4.900          4.900          0.000             43.394             44.542             45.441             46.012             46.212
     30/04/1977          4.900          4.900          0.000             43.205             44.270             45.107             45.646             45.846
     01/05/1977          4.200          4.200          0.000             43.022             44.016             44.799             45.310             45.510
     02/05/1977          3.900          3.900          0.000             42.843             43.776             44.513             44.998             45.198
     03/05/1977          3.900          3.900          0.000             42.667             43.547             44.244             44.708             44.908
     04/05/1977          4.600          4.600          0.000             42.496             43.329             43.991             44.437             44.637
     05/05/1977          4.600          4.600          0.000             42.328             43.121             43.753             44.182             44.382
     06/05/1977          2.200          2.200          0.000             42.165             42.922             43.527             43.942             44.142
     07/05/1977          4.200          4.200          0.000             42.006             42.731             43.313             43.715             43.915
     08/05/1977          3.900          3.900          0.000             41.852             42.549             43.108             43.499             43.699
     09/05/1977          3.500          3.500          0.000             41.703             42.373             42.913             43.294             43.494
     10/05/1977          2.900          2.900          0.000             47.450             48.225             48.613             48.806             49.006
     11/05/1977          1.800          1.800          0.000             47.627             48.104             48.444             48.714             48.914
     12/05/1977          2.500          2.500          0.000             46.212             47.305             47.993             48.442             48.642
     13/05/1977          2.500          2.500          0.000             45.012             46.460             47.424             48.020             48.220
     14/05/1977          2.200          2.200          0.000             47.800             48.400             48.700             48.850             49.050
     15/05/1977          1.100          1.100          4.000             48.350             48.675             48.837             48.919             49.119
     16/05/1977          1.800          1.800          0.000             48.000             48.500             48.750             48.875             49.075
     17/05/1977          1.800          1.800          0.000             47.528             48.126             48.493             48.747             48.947
     18/05/1977          3.200          3.200          0.000             46.673             47.567             48.143             48.533             48.733
     19/05/1977          2.200          2.200          0.000             45.808             46.939             47.713             48.211             48.411
     20/05/1977          2.500          2.500          0.000             44.648             46.133             47.142             47.763             47.963
     21/05/1977          3.500          3.500          0.000             43.796             45.409             46.549             47.243             47.443
     22/05/1977          3.900          3.900          0.000             43.584             45.000             46.080             46.747             46.947
     23/05/1977          3.200          3.200          0.000             43.392             44.673             45.670             46.295             46.495
     24/05/1977          3.500          3.500          0.000             43.212             44.383             45.302             45.885             46.085
     25/05/1977          3.900          3.900          0.000             43.038             44.117             44.966             45.512             45.712
     26/05/1977          3.900          3.900          0.000             42.865             43.866             44.657             45.171             45.371
     27/05/1977          2.900          2.900          0.000             42.694             43.629             44.370             44.858             45.058
     28/05/1977          1.800          1.800          0.000             47.246             45.964             45.402             45.219             45.419
     29/05/1977          2.500          2.500          0.000             44.920             45.192             45.218             45.310             45.509
     30/05/1977          2.500          2.500          0.000             43.930             44.569             44.934             45.211             45.411
     31/05/1977          3.500          3.500          0.000             43.307             44.097             44.638             45.013             45.213
     01/06/1977          3.200          3.200          0.000             42.870             43.721             44.345             44.767             44.967
     02/06/1977          3.200          3.200          0.000             42.540             43.406             44.062             44.502             44.702
     03/06/1977          2.500          2.500          0.000             42.276             43.131             43.790             44.233             44.433
     04/06/1977          2.500          2.500          0.000             42.053             42.883             43.532             43.970             44.170
     05/06/1977          2.900          2.900          0.000             41.854             42.658             43.289             43.717             43.917
     06/06/1977          2.200          2.200          0.000             41.670             42.450             43.059             43.476             43.676
     07/06/1977          1.500          1.500          0.000             41.574             42.286             42.857             43.254             43.454
     08/06/1977          2.500          2.500          0.000             41.401             42.096             42.652             43.040             43.240
     09/06/1977          3.500          3.500          0.000             41.243             41.916             42.455             42.836             43.036
     10/06/1977          3.200          3.200          0.000             41.096             41.745             42.268             42.640             42.840
     11/06/1977          2.500          2.500          0.000             40.957             41.583             42.090             42.452             42.652
     12/06/1977          2.900          2.900          0.000             40.824             41.428             41.919             42.274             42.474
     13/06/1977          3.200          3.200          0.000             40.698             41.280             41.757             42.103             42.303
     14/06/1977          2.900          2.900          0.000             40.576             41.139             41.601             41.940             42.140
     15/06/1977          3.200          3.200          0.000             40.460             41.004             41.453             41.784             41.984
     16/06/1977          2.500          2.500          0.000             40.348             40.875             41.311             41.636             41.836
     17/06/1977          4.200          4.200          0.000             40.240             40.751             41.174             41.493             41.693
     18/06/1977          4.600          4.600          0.000             40.129             40.635             41.046             41.358             41.558
     19/06/1977          2.200          2.200          0.000             40.034             40.517             40.920             41.227             41.427
     20/06/1977          2.900          2.900          0.000             39.940             40.407             40.799             41.101             41.301
     21/06/1977          2.200          2.200          0.000             39.847             40.302             40.684             40.981             41.181
     22/06/1977          2.500          2.500          0.000             39.758             40.200             40.574             40.866             41.066
     23/06/1977          1.800          1.800          0.000             39.960             40.255             40.545             40.794             40.994
     24/06/1977          1.500          1.500          0.000             42.710             41.643             41.208             41.090             41.290
     25/06/1977          2.900          2.900          0.000             40.531             40.895             41.001             41.136             41.336
     26/06/1977          2.500          2.500          0.000             40.337             40.661             40.891             41.103             41.303
     27/06/1977          2.200          2.200          0.000             40.141             40.503             40.791             41.036             41.236
     28/06/1977          3.500          3.500          0.000             39.979             40.368             40.688             40.951             41.151
     29/06/1977          3.200          3.200          0.000             39.842             40.247             40.584             40.856             41.056
     30/06/1977          2.900          2.900          0.000             39.724             40.136             40.481             40.757             40.957
     01/07/1977          2.900          2.900          0.000             39.620             40.032             40.379             40.656             40.856
     02/07/1977          3.200          3.200          0.000             39.525             39.934             40.280             40.556             40.756
     03/07/1977          3.500          3.500          0.000             39.434             39.843             40.184             40.459             40.659
     04/07/1977          2.900          2.900          0.000             39.346             39.756             40.093             40.364             40.564
     05/07/1977          4.200          4.200          0.000             39.263             39.673             40.005             40.273             40.473
     06/07/1977          4.200          4.200          0.000             39.182             39.593             39.920             40.185             40.385
     07/07/1977          4.900          4.900          0.000             39.106             39.513             39.840             40.101             40.301
     08/07/1977          4.900          4.900          0.000             39.030             39.435             39.763             40.022             40.222
     09/07/1977          4.600          4.600          0.000             38.956             39.359             39.690             39.946             40.146
     10/07/1977          3.900          3.900          0.000             38.884             39.287             39.616             39.874             40.074
     11/07/1977          3.200          3.200          0.000             38.814             39.215             39.544             39.805             40.005
     12/07/1977          3.500          3.500          0.000             38.746             39.145             39.475             39.740             39.940
     13/07/1977          4.200          4.200          0.000             38.679             39.077             39.408             39.674             39.874
     14/07/1977          5.300          5.300          0.000             38.614             39.011             39.343             39.608             39.808
     15/07/1977          4.600          4.600          0.000             38.550             38.947             39.277             39.543             39.743
     16/07/1977          3.200          3.200          0.000             38.489             38.883             39.213             39.478             39.678
     17/07/1977          3.900          3.900          0.000             38.428             38.820             39.149             39.414             39.614
     18/07/1977          3.900          3.900          0.000             38.368             38.759             39.086             39.350             39.550
     19/07/1977          3.900          3.900          0.000             38.309             38.698             39.024             39.287             39.487
     20/07/1977          4.200          4.200          0.000             38.251             38.638             38.962             39.225             39.425
     21/07/1977          5.300          5.300          0.000             38.194             38.578             38.901             39.163             39.363
     22/07/1977          4.600          4.600          0.000             38.137             38.519             38.841             39.102             39.302
     23/07/1977          5.600          5.600          0.000             38.081             38.461             38.781             39.042             39.242
     24/07/1977          4.600          4.600          0.000             38.025             38.403             38.722             38.982             39.182
     25/07/1977          4.900          4.900          0.000             37.970             38.346             38.664             38.923             39.123
     26/07/1977          4.600          4.600          0.000             37.915             38.290             38.606             38.865             39.065
     27/07/1977          3.200          3.200          0.000             37.861             38.234             38.549             38.807             39.007
     28/07/1977          4.900          4.900          0.000             37.808             38.179             38.493             38.750             38.950
     29/07/1977          3.900          3.900          0.000             37.755             38.124             38.437             38.693             38.893
     30/07/1977          4.900          4.900          0.000             37.702             38.069             38.381             38.637             38.837
     31/07/1977          3.900          3.900          0.000             37.650             38.016             38.326             38.582             38.782
     01/08/1977          4.900          4.900          0.000             37.598             37.962             38.272             38.527             38.727
     02/08/1977          4.900          4.900          0.000             37.547             37.909             38.218             38.473             38.673
     03/08/1977          5.300          5.300          0.000             37.496             37.857             38.165             38.419             38.619
     04/08/1977          5.600          5.600          0.000             37.445             37.805             38.112             38.365             38.565
     05/08/1977          5.600          5.600          0.000             37.395             37.753             38.059             38.312             38.512
     06/08/1977          4.200          4.200          0.000             37.345             37.702             38.007             38.260             38.460
     07/08/1977          4.900          4.900          0.000             37.296             37.651             37.956             38.208             38.408
     08/08/1977          4.900          4.900          0.000             37.247             37.601             37.904             38.156             38.356
     09/08/1977          3.900          3.900          0.000             37.198             37.551             37.854             38.105             38.305
     10/08/1977          3.500          3.500          0.000             37.150             37.502             37.803             38.054             38.254
     11/08/1977          5.600          5.600          0.000             37.102             37.452             37.753             38.004             38.204
     12/08/1977          4.200          4.200          0.000             41.077             39.415             38.709             38.457             38.657
     13/08/1977          5.300          5.300          0.000             39.985             39.347             38.902             38.779             38.979
     14/08/1977          3.500          3.500          0.000             39.406             39.154             38.967             38.973             39.173
     15/08/1977          3.900          3.900          0.000             39.023             38.995             38.984             39.078             39.278
     16/08/1977          4.900          4.900          0.000             38.753             38.868             38.973             39.126             39.326
     17/08/1977          4.200          4.200          0.000             38.557             38.765             38.945             39.136             39.336
     18/08/1977          4.200          4.200          0.000             38.409             38.677             38.906             39.121             39.321
     19/08/1977          4.200          4.200          0.000             38.293             38.600             38.860             39.091             39.291
     20/08/1977          3.900          3.900          0.000             38.198             38.529             38.810             39.050             39.250
     21/08/1977          6.300          6.300          0.000             38.117             38.463             38.757             39.004             39.204
     22/08/1977          7.000          7.000          0.000             38.045             38.401             38.702             38.953             39.153
     23/08/1977          6.300          6.300          0.000             37.979             38.340             38.647             38.900             39.100
     24/08/1977          4.900          4.900          0.000             37.917             38.282             38.591             38.845             39.045
     25/08/1977          4.200          4.200          0.000             37.859             38.225             38.535             38.790             38.990
     26/08/1977          4.600          4.600          0.000             37.802             38.169             38.479             38.735             38.935
     27/08/1977          4.900          4.900          0.000             37.747             38.113             38.424             38.679             38.879
     28/08/1977          5.600          5.600          0.000             37.693             38.059             38.369             38.624             38.824
     29/08/1977          4.900          4.900          0.000             37.640             38.005             38.314             38.569             38.769
     30/08/1977          4.600          4.600          0.000             37.588             37.951             38.260             38.515             38.715
     31/08/1977          6.000          6.000          0.000             37.536             37.898             38.206             38.461             38.661
     01/09/1977          5.300          5.300          0.000             37.485             37.846             38.153             38.407             38.607
     02/09/1977          6.600          6.600          0.000             37.435             37.794             38.100             38.354             38.554
     03/09/1977          6.300          6.300          0.000             37.384             37.742             38.048             38.301             38.501
     04/09/1977          6.600          6.600          0.000             37.335             37.691             37.996             38.248             38.448
     05/09/1977          6.300          6.300          0.000             37.285             37.641             37.945             38.196             38.396
     06/09/1977          2.500          2.500          0.000             37.236             37.590             37.893             38.145             38.345
     07/09/1977          1.800          1.800          0.000             38.413             38.153             38.149             38.247             38.447
     08/09/1977          4.200          4.200          0.000             36.958             37.553             37.900             38.174             38.374
     09/09/1977          5.600          5.600          0.000             37.031             37.466             37.820             38.097             38.297
     10/09/1977          7.300          7.300          0.000             37.024             37.422             37.759             38.028             38.228
     11/09/1977          6.600          6.600          0.000             37.000             37.380             37.704             37.966             38.166
     12/09/1977         10.100         10.100          0.000             36.968             37.336             37.651             37.909             38.109
     13/09/1977          7.300          7.300          0.000             36.931             37.291             37.600             37.854             38.054
     14/09/1977          6.000          6.000          0.000             36.891             37.245             37.550             37.802             38.002
     15/09/1977          5.300          5.300          0.000             36.849             37.199             37.501             37.751             37.951
     16/09/1977          4.600          4.600          0.000             36.806             37.153             37.452             37.702             37.902
     17/09/1977          5.300          5.300          0.000             36.762             37.107             37.404             37.653             37.853
     18/09/1977          4.900          4.900          0.000             36.718             37.061             37.357             37.605             37.805
     19/09/1977          6.600          6.600          0.000             36.673             37.015             37.310             37.558             37.758
     20/09/1977          6.000          6.000          0.000             36.629             36.970             37.264             37.511             37.711
     21/09/1977          5.300          5.300          0.000             36.585             36.924             37.217             37.464             37.664
     22/09/1977          4.200          4.200          0.000             36.541             36.879             37.172             37.418             37.618
     23/09/1977          6.600          6.600          0.000             36.497             36.834             37.126             37.372             37.572
     24/09/1977          7.700          7.700          0.000             36.453             36.790             37.081             37.326             37.526
     25/09/1977          3.900          3.900          0.000             36.410             36.745             37.036             37.281             37.481
     26/09/1977          3.500          3.500          0.000             36.367             36.701             36.991             37.236             37.436
     27/09/1977          5.600          5.600          0.000             36.324             36.658             36.947             37.192             37.392
     28/09/1977          7.700          7.700          0.000             36.281             36.614             36.903             37.147             37.347
     29/09/1977          8.000          8.000          0.000             36.239             36.571             36.859             37.103             37.303
     30/09/1977         10.400         10.400          0.000             36.196             36.528             36.815             37.059             37.259
     01/10/1977         10.800         10.800          0.000             36.154             36.485             36.772             37.016             37.216
     02/10/1977          8.000          8.000          0.000             36.113             36.442             36.729             36.972             37.172
     03/10/1977          7.700          7.700          0.000             36.071             36.400             36.686             36.929             37.129
     04/10/1977          7.700          7.700          0.000             36.030             36.358             36.644             36.886             37.086
     05/10/1977          7.000          7.000          0.000             35.989             36.316             36.601             36.844             37.044
     06/10/1977          4.900          4.900          0.000             35.948             36.275             36.559             36.802             37.002
     07/10/1977          5.600          5.600          0.000             35.907             36.233             36.517             36.759             36.959
     08/10/1977          6.300          6.300          0.000             35.867             36.192             36.476             36.718             36.918
     09/10/1977          6.600          6.600          0.000             35.826             36.151             36.434             36.676             36.876
     10/10/1977          7.700          7.700          0.000             35.786             36.110             36.393             36.634             36.834
     11/10/1977          8.400          8.400          0.000             35.746             36.070             36.352             36.593             36.793
     12/10/1977          8.400          8.400          0.000             35.707             36.029             36.311             36.552             36.752
     13/10/1977          8.400          8.400          0.000             35.667             35.989             36.271             36.512             36.712
     14/10/1977          7.000          7.000          0.000             35.628             35.949             36.230             36.471             36.671
     15/10/1977          8.400          8.400          0.000             35.589             35.910             36.190             36.431             36.631
     16/10/1977          7.700          7.700          0.000             35.550             35.870             36.150             36.390             36.590
     17/10/1977          7.000          7.000          0.000             35.511             35.831             36.111             36.351             36.551
     18/10/1977          8.000          8.000          0.000             35.472             35.792             36.071             36.311             36.511
     19/10/1977          6.000          6.000          0.000             35.434             35.753             36.032             36.271             36.471
     20/10/1977          8.000          8.000          0.000             35.396             35.714             35.993             36.232             36.432
     21/10/1977          8.400          8.400          0.000             35.358             35.675             35.954             36.193             36.393
     22/10/1977          7.000          7.000          0.000             35.320             35.637             35.915             36.154             36.354
     23/10/1977          6.300          6.300          0.000             36.526             36.220             36.187             36.270             36.470
     24/10/1977          6.300          6.300          0.000             36.172             36.179             36.225             36.348             36.548
     25/10/1977          5.600          5.600          0.000             35.974             36.100             36.224             36.386             36.586
     26/10/1977          5.300          5.300          0.000             35.836             36.030             36.208             36.397             36.597
     27/10/1977          8.700          8.700          0.000             35.733             35.970             36.184             36.390             36.590
     28/10/1977          9.100          9.100          0.000             35.652             35.918             36.154             36.372             36.572
     29/10/1977          7.700          7.700          0.000             35.586             35.870             36.121             36.347             36.547
     30/10/1977         10.400         10.400          0.000             35.529             35.825             36.086             36.316             36.516
     31/10/1977          8.700          8.700          0.000             35.479             35.782             36.049             36.283             36.483
     01/11/1977         10.400         10.400          0.000             35.433             35.741             36.012             36.247             36.447
     02/11/1977         14.600         14.600          0.000             35.390             35.701             35.974             36.211             36.411
     03/11/1977          9.100          9.100          0.000             45.175             40.904             38.557             37.484             37.684
     04/11/1977          8.000          8.000          0.000             42.675             40.692             39.088             38.386             38.586
     05/11/1977          7.700          7.700          0.000             41.351             40.268             39.327             38.956             39.156
     06/11/1977          4.200          4.200          0.000             40.498             39.942             39.449             39.303             39.503
     07/11/1977          3.500          3.500          0.000             47.150             47.350             43.739             41.628             41.828
     08/11/1977          5.600          5.600          0.000             44.967             44.529             43.202             42.517             42.717
     09/11/1977         10.400         10.400          0.000             43.409             43.371             42.985             42.845             43.045
     10/11/1977         12.800         12.800          0.000             42.407             42.714             42.788             42.908             43.108
     11/11/1977         13.200         13.200          0.000             41.741             42.258             42.576             42.831             43.031
     12/11/1977         11.100         11.100          0.000             41.282             41.910             42.356             42.682             42.882
     13/11/1977          7.700          7.700          0.000             41.590             41.972             42.310             42.585             42.785
     14/11/1977          5.600          5.600          0.000             43.653             43.071             42.823             42.793             42.993
     15/11/1977          6.300          6.300          0.000             42.219             42.535             42.667             42.820             43.020
     16/11/1977          8.000          8.000          0.000             41.485             42.067             42.435             42.717             42.917
     17/11/1977          5.600          5.600          0.000             42.230             42.342             42.516             42.705             42.905
     18/11/1977          4.200          4.200          0.000             41.390             41.947             42.316             42.600             42.800
     19/11/1977          7.700          7.700          0.000             40.912             41.592             42.079             42.428             42.628
     20/11/1977          4.900          4.900          0.000             46.630             47.815             48.188             45.704             45.904
     21/11/1977          7.000          7.000          0.000             46.000             47.500             48.250             48.284             48.484
     22/11/1977          7.700          7.700          0.000             44.952             46.553             47.412             47.937             48.137
     23/11/1977          6.300          6.300          0.000             44.525             45.915             46.894             47.503             47.703
     24/11/1977          9.100          9.100          0.000             44.191             45.484             46.457             47.066             47.266
     25/11/1977          9.400          9.400          0.000             43.921             45.132             46.063             46.651             46.851
     26/11/1977          8.000          8.000          0.000             43.689             44.821             45.701             46.263             46.463
     27/11/1977          9.100          9.100          0.000             43.476             44.537             45.367             45.901             46.101
     28/11/1977          8.000          8.000          0.000             43.276             44.273             45.056             45.565             45.765
     29/11/1977          7.700          7.700          0.000             43.084             44.024             44.765             45.252             45.452
     30/11/1977          8.000          8.000          0.000             42.898             43.788             44.491             44.959             45.159
     01/12/1977          9.100          9.100          0.000             42.701             43.571             44.239             44.686             44.886
     02/12/1977          2.500          2.500          0.000             47.650             46.530             45.644             45.259             45.459
     03/12/1977         10.400         10.400          0.000             44.928             45.332             45.319             45.381             45.581
     04/12/1977         13.200         13.200          0.000             44.056             44.684             45.029             45.295             45.495
     05/12/1977          8.400          8.400          0.000             43.452             44.218             44.741             45.106             45.306
     06/12/1977          7.300          7.300          0.000             43.016             43.847             44.455             44.869             45.069
     07/12/1977          9.400          9.400          0.000             42.684             43.533             44.177             44.610             44.810
     08/12/1977          8.700          8.700          0.000             42.416             43.258             43.909             44.347             44.547
     09/12/1977         10.100         10.100          0.000             42.188             43.011             43.653             44.088             44.288
     10/12/1977          8.700          8.700          0.000             41.988             42.783             43.410             43.836             44.036
