APSIM output file, version = 5.4
Title = 
  dm_green_leaf  dm_green_stem   dm_dead_leaf   dm_dead_stem           year            day   paddockstate         litter            alw  stocking_rate      acc_eaten
          0.737          0.443          0.000          0.000           1988            179          empty       1722.144          0.000          0.000          0.000
          0.911          0.559          0.000          0.000           1988            180          empty       1722.144          0.000          0.000          0.000
          0.911          0.559          0.000          0.000           1988            180          empty       1722.144          0.000          0.000          0.000
          1.102          0.687          0.000          0.000           1988            181          empty       1722.144          0.000          0.000          0.000
          1.102          0.687          0.000          0.000           1988            181          empty       1722.144          0.000          0.000          0.000
          1.329          0.838          0.000          0.000           1988            182          empty       1722.144          0.000          0.000          0.000
          1.329          0.838          0.000          0.000           1988            182          empty       1722.144          0.000          0.000          0.000
          1.575          1.002          0.000          0.000           1988            183          empty       1722.144          0.000          0.000          0.000
          1.575          1.002          0.000          0.000           1988            183          empty       1722.144          0.000          0.000          0.000
          1.776          1.136          0.000          0.000           1988            184          empty       1722.144          0.000          0.000          0.000
          1.776          1.136          0.000          0.000           1988            184          empty       1722.144          0.000          0.000          0.000
          1.906          1.222          0.000          0.000           1988            185          empty       1722.144          0.000          0.000          0.000
          1.906          1.222          0.000          0.000           1988            185          empty       1722.144          0.000          0.000          0.000
          2.054          1.321          0.000          0.000           1988            186          empty       1722.144          0.000          0.000          0.000
          2.054          1.321          0.000          0.000           1988            186          empty       1722.144          0.000          0.000          0.000
          2.235          1.442          0.000          0.000           1988            187          empty       1602.339          0.000          0.000          0.000
          2.235          1.442          0.000          0.000           1988            187          empty       1602.339          0.000          0.000          0.000
          2.565          1.662          0.000          0.000           1988            188          empty       1514.776          0.000          0.000          0.000
          2.565          1.662          0.000          0.000           1988            188          empty       1514.776          0.000          0.000          0.000
          2.924          1.901          0.000          0.000           1988            189          empty       1465.011          0.000          0.000          0.000
          2.924          1.901          0.000          0.000           1988            189          empty       1465.011          0.000          0.000          0.000
          3.341          2.180          0.000          0.000           1988            190          empty       1419.155          0.000          0.000          0.000
          3.341          2.180          0.000          0.000           1988            190          empty       1419.155          0.000          0.000          0.000
          3.843          2.514          0.000          0.000           1988            191          empty       1376.341          0.000          0.000          0.000
          3.843          2.514          0.000          0.000           1988            191          empty       1376.341          0.000          0.000          0.000
          4.274          2.801          0.000          0.000           1988            192          empty       1332.186          0.000          0.000          0.000
          4.274          2.801          0.000          0.000           1988            192          empty       1332.186          0.000          0.000          0.000
          4.571          2.999          0.000          0.000           1988            193          empty       1275.184          0.000          0.000          0.000
          4.571          2.999          0.000          0.000           1988            193          empty       1275.184          0.000          0.000          0.000
          4.955          3.255          0.000          0.000           1988            194          empty       1215.011          0.000          0.000          0.000
          4.955          3.255          0.000          0.000           1988            194          empty       1215.011          0.000          0.000          0.000
          5.565          3.662          0.000          0.000           1988            195          empty       1161.856          0.000          0.000          0.000
          5.565          3.662          0.000          0.000           1988            195          empty       1161.856          0.000          0.000          0.000
          6.282          4.140          0.000          0.000           1988            196          empty       1120.458          0.000          0.000          0.000
          6.282          4.140          0.000          0.000           1988            196          empty       1120.458          0.000          0.000          0.000
          7.114          4.695          0.000          0.000           1988            197          empty       1086.317          0.000          0.000          0.000
          7.114          4.695          0.000          0.000           1988            197          empty       1086.317          0.000          0.000          0.000
          7.985          5.288          0.000          0.000           1988            198          empty       1059.559          0.000          0.000          0.000
          7.985          5.288          0.000          0.000           1988            198          empty       1059.559          0.000          0.000          0.000
          9.011          5.988          0.000          0.000           1988            199          empty       1033.260          0.000          0.000          0.000
          9.011          5.988          0.000          0.000           1988            199          empty       1033.260          0.000          0.000          0.000
         10.235          6.818          0.000          0.000           1988            200          empty       1019.696          0.000          0.000          0.000
         10.235          6.818          0.000          0.000           1988            200          empty       1019.696          0.000          0.000          0.000
         11.697          7.808          0.000          0.000           1988            201          empty       1010.430          0.000          0.000          0.000
         11.697          7.808          0.000          0.000           1988            201          empty       1010.430          0.000          0.000          0.000
         13.177          8.814          0.000          0.000           1988            202          empty       1002.145          0.000          0.000          0.000
         13.177          8.814          0.000          0.000           1988            202          empty       1002.145          0.000          0.000          0.000
         14.437          9.680          0.000          0.000           1988            203          empty        995.820          0.000          0.000          0.000
         14.437          9.680          0.000          0.000           1988            203          empty        995.820          0.000          0.000          0.000
         15.566         10.457          0.000          0.000           1988            204          empty        942.824          0.000          0.000          0.000
         15.566         10.457          0.000          0.000           1988            204          empty        942.824          0.000          0.000          0.000
         17.496         11.761          0.000          0.000           1988            205          empty        919.683          0.000          0.000          0.000
         17.496         11.761          0.000          0.000           1988            205          empty        919.683          0.000          0.000          0.000
         19.609         13.188          0.000          0.000           1988            206          empty        903.003          0.000          0.000          0.000
         19.609         13.188          0.000          0.000           1988            206          empty        903.003          0.000          0.000          0.000
         22.181         14.925          0.000          0.000           1988            207          empty        881.308          0.000          0.000          0.000
         22.181         14.925          0.000          0.000           1988            207          empty        881.308          0.000          0.000          0.000
         25.167         16.947          0.000          0.000           1988            208          empty        849.471          0.000          0.000          0.000
         25.167         16.947          0.000          0.000           1988            208          empty        849.471          0.000          0.000          0.000
         28.183         18.981          0.000          0.000           1988            209          empty        836.745          0.000          0.000          0.000
         28.183         18.981          0.000          0.000           1988            209          empty        836.745          0.000          0.000          0.000
         31.788         21.410          0.000          0.000           1988            210          empty        825.237          0.000          0.000          0.000
         31.788         21.410          0.000          0.000           1988            210          empty        825.237          0.000          0.000          0.000
         35.142         23.676          0.000          0.000           1988            211          empty        813.692          0.000          0.000          0.000
         35.142         23.676          0.000          0.000           1988            211          empty        813.692          0.000          0.000          0.000
         38.941         26.247          0.000          0.000           1988            212          empty        798.673          0.000          0.000          0.000
         38.941         26.247          0.000          0.000           1988            212          empty        798.673          0.000          0.000          0.000
         43.568         29.367          0.000          0.000           1988            213          empty        789.904          0.000          0.000          0.000
         43.568         29.367          0.000          0.000           1988            213          empty        789.904          0.000          0.000          0.000
         48.407         32.631          0.000          0.000           1988            214          empty        783.131          0.000          0.000          0.000
         48.407         32.631          0.000          0.000           1988            214          empty        783.131          0.000          0.000          0.000
         53.154         35.841          0.000          0.000           1988            215          empty        776.598          0.000          0.000          0.000
         53.154         35.841          0.000          0.000           1988            215          empty        776.598          0.000          0.000          0.000
         58.877         39.710          0.000          0.000           1988            216          empty        771.689          0.000          0.000          0.000
         58.877         39.710          0.000          0.000           1988            216          empty        771.689          0.000          0.000          0.000
         64.331         43.402          0.000          0.000           1988            217          empty        769.616          0.000          0.000          0.000
         64.331         43.402          0.000          0.000           1988            217          empty        769.616          0.000          0.000          0.000
         69.011         46.669          0.000          0.000           1988            218          empty        769.616          0.000          0.000          0.000
         69.011         46.669          0.000          0.000           1988            218          empty        769.616          0.000          0.000          0.000
         72.842         49.436          0.000          0.000           1988            219          empty        769.616          0.000          0.000          0.000
         72.842         49.436          0.000          0.000           1988            219          empty        769.616          0.000          0.000          0.000
         77.294         52.536          0.000          0.000           1988            220          empty        769.616          0.000          0.000          0.000
         77.294         52.536          0.000          0.000           1988            220          empty        769.616          0.000          0.000          0.000
         81.581         55.519          0.000          0.000           1988            221          empty        769.616          0.000          0.000          0.000
         81.581         55.519          0.000          0.000           1988            221          empty        769.616          0.000          0.000          0.000
         86.021         58.599          0.000          0.000           1988            222          empty        769.616          0.000          0.000          0.000
         86.021         58.599          0.000          0.000           1988            222          empty        769.616          0.000          0.000          0.000
         90.296         61.594          0.000          0.000           1988            223          empty        769.616          0.000          0.000          0.000
         90.296         61.594          0.000          0.000           1988            223          empty        769.616          0.000          0.000          0.000
         94.193         64.393          0.000          0.000           1988            224          empty        769.616          0.000          0.000          0.000
         94.193         64.393          0.000          0.000           1988            224          empty        769.616          0.000          0.000          0.000
         97.452         67.138          0.000          0.000           1988            225          empty        769.616          0.000          0.000          0.000
         97.452         67.138          0.000          0.000           1988            225          empty        769.616          0.000          0.000          0.000
        100.432         70.054          0.000          0.000           1988            226          empty        769.616          0.000          0.000          0.000
        100.432         70.054          0.000          0.000           1988            226          empty        769.616          0.000          0.000          0.000
        103.043         73.066          0.000          0.000           1988            227          empty        769.616          0.000          0.000          0.000
        103.043         73.066          0.000          0.000           1988            227          empty        769.616          0.000          0.000          0.000
        105.340         76.235          0.000          0.000           1988            228          empty        769.616          0.000          0.000          0.000
        105.340         76.235          0.000          0.000           1988            228          empty        769.616          0.000          0.000          0.000
        107.525         79.906          0.000          0.000           1988            229          empty        769.616          0.000          0.000          0.000
        107.525         79.906          0.000          0.000           1988            229          empty        769.616          0.000          0.000          0.000
        109.441         83.730          0.000          0.000           1988            230          empty        769.616          0.000          0.000          0.000
        109.441         83.730          0.000          0.000           1988            230          empty        769.616          0.000          0.000          0.000
        110.850         87.482          0.000          0.000           1988            231          empty        769.616          0.000          0.000          0.000
        110.850         87.482          0.000          0.000           1988            231          empty        769.616          0.000          0.000          0.000
        100.907         82.492          0.000          0.000           1988            232        stocked        769.616        400.110          0.800        209.996
        100.907         82.492          0.000          0.000           1988            232        stocked        769.616        400.110          0.800        209.996
         92.371         77.926          0.000          0.000           1988            233        stocked        769.616        400.219          0.800        405.320
         92.371         77.926          0.000          0.000           1988            233        stocked        769.616        400.219          0.800        405.320
         84.320         72.913          0.000          0.000           1988            234        stocked        769.616        400.329          0.800        586.095
         84.320         72.913          0.000          0.000           1988            234        stocked        769.616        400.329          0.800        586.095
         76.429         67.078          0.000          0.000           1988            235        stocked        769.616        400.438          0.800        751.583
         76.429         67.078          0.000          0.000           1988            235        stocked        769.616        400.438          0.800        751.583
         69.814         61.679          0.000          0.000           1988            236        stocked        710.964        400.548          0.800        903.502
         69.814         61.679          0.000          0.000           1988            236        stocked        710.964        400.548          0.800        903.502
         64.177         56.558          0.000          0.000           1988            237        stocked        687.747        400.658          0.800       1043.137
         64.177         56.558          0.000          0.000           1988            237        stocked        687.747        400.658          0.800       1043.137
         59.303         52.084          0.000          0.000           1988            238        stocked        666.156        400.767          0.800       1172.091
         59.303         52.084          0.000          0.000           1988            238        stocked        666.156        400.767          0.800       1172.091
         54.565         47.857          0.000          0.000           1988            239        stocked        636.572        400.877          0.800       1290.875
         54.565         47.857          0.000          0.000           1988            239        stocked        636.572        400.877          0.800       1290.875
         49.717         43.684          0.000          0.000           1988            240        stocked        603.465        400.986          0.800       1399.482
         49.717         43.684          0.000          0.000           1988            240        stocked        603.465        400.986          0.800       1399.482
         45.462         39.990          0.000          0.000           1988            241        stocked        569.833        401.096          0.800       1499.103
         45.462         39.990          0.000          0.000           1988            241        stocked        569.833        401.096          0.800       1499.103
         42.017         36.900          0.000          0.000           1988            242        stocked        553.189        401.205          0.800       1591.286
         42.017         36.900          0.000          0.000           1988            242        stocked        553.189        401.205          0.800       1591.286
         38.804         34.015          0.000          0.000           1988            243        stocked        534.929        401.315          0.800       1676.488
         38.804         34.015          0.000          0.000           1988            243        stocked        534.929        401.315          0.800       1676.488
         35.395         31.067          0.000          0.000           1988            244        stocked        513.846        401.425          0.800       1754.429
         35.395         31.067          0.000          0.000           1988            244        stocked        513.846        401.425          0.800       1754.429
         32.284         28.373          0.000          0.000           1988            245        stocked        489.554        401.808          0.800       1825.722
         32.284         28.373          0.000          0.000           1988            245        stocked        489.554        401.808          0.800       1825.722
         29.841         26.176          0.000          0.000           1988            246        stocked        464.354        402.192          0.800       1891.664
         29.841         26.176          0.000          0.000           1988            246        stocked        464.354        402.192          0.800       1891.664
         27.835         24.358          0.000          0.000           1988            247        stocked        439.517        402.575          0.800       1953.233
         27.835         24.358          0.000          0.000           1988            247        stocked        439.517        402.575          0.800       1953.233
         25.695         22.585          0.000          0.000           1988            248        stocked        416.211        402.959          0.800       2010.486
         25.695         22.585          0.000          0.000           1988            248        stocked        416.211        402.959          0.800       2010.486
         23.480         20.770          0.000          0.000           1988            249        stocked        399.846        403.343          0.800       2063.245
         23.480         20.770          0.000          0.000           1988            249        stocked        399.846        403.343          0.800       2063.245
         21.677         19.265          0.000          0.000           1988            250        stocked        386.177        403.726          0.800       2112.320
         21.677         19.265          0.000          0.000           1988            250        stocked        386.177        403.726          0.800       2112.320
         19.963         17.844          0.000          0.000           1988            251        stocked        359.155        404.110          0.800       2157.890
         19.963         17.844          0.000          0.000           1988            251        stocked        359.155        404.110          0.800       2157.890
         18.940         16.906          0.000          0.000           1988            252        stocked        338.413        404.493          0.800       2201.256
         18.940         16.906          0.000          0.000           1988            252        stocked        338.413        404.493          0.800       2201.256
         17.838         15.931          0.000          0.000           1988            253        stocked        323.090        404.877          0.800       2242.272
         17.838         15.931          0.000          0.000           1988            253        stocked        323.090        404.877          0.800       2242.272
         16.732         14.999          0.000          0.000           1988            254        stocked        307.740        405.260          0.800       2281.023
         16.732         14.999          0.000          0.000           1988            254        stocked        307.740        405.260          0.800       2281.023
         15.639         14.126          0.000          0.000           1988            255        stocked        293.150        405.644          0.800       2317.640
         15.639         14.126          0.000          0.000           1988            255        stocked        293.150        405.644          0.800       2317.640
         14.416         13.162          0.000          0.000           1988            256        stocked        268.513        406.028          0.800       2351.840
         14.416         13.162          0.000          0.000           1988            256        stocked        268.513        406.028          0.800       2351.840
         13.670         12.553          0.000          0.000           1988            257        stocked        249.505        406.411          0.800       2384.587
         13.670         12.553          0.000          0.000           1988            257        stocked        249.505        406.411          0.800       2384.587
         12.265         11.550          0.000          0.000           1988            258        stocked        242.886        406.795          0.800       2414.759
         12.265         11.550          0.000          0.000           1988            258        stocked        242.886        406.795          0.800       2414.759
         11.378         10.960          0.000          0.000           1988            259        stocked        226.768        407.178          0.800       2443.484
         11.378         10.960          0.000          0.000           1988            259        stocked        226.768        407.178          0.800       2443.484
         10.682         10.493          0.000          0.000           1988            260        stocked        213.045        407.562          0.800       2471.081
         10.682         10.493          0.000          0.000           1988            260        stocked        213.045        407.562          0.800       2471.081
         10.378         10.305          0.000          0.000           1988            261        stocked        199.881        407.945          0.800       2498.312
         10.378         10.305          0.000          0.000           1988            261        stocked        199.881        407.945          0.800       2498.312
         10.126         10.130          0.000          0.000           1988            262        stocked        191.987        408.329          0.800       2525.197
         10.126         10.130          0.000          0.000           1988            262        stocked        191.987        408.329          0.800       2525.197
          9.842          9.893          0.000          0.000           1988            263        stocked        188.670        408.713          0.800       2551.548
          9.842          9.893          0.000          0.000           1988            263        stocked        188.670        408.713          0.800       2551.548
          9.548          9.627          0.000          0.000           1988            264        stocked        187.281        409.096          0.800       2577.274
          9.548          9.627          0.000          0.000           1988            264        stocked        187.281        409.096          0.800       2577.274
          9.336          9.426          0.000          0.000           1988            265        stocked        187.077        409.480          0.800       2602.542
          9.336          9.426          0.000          0.000           1988            265        stocked        187.077        409.480          0.800       2602.542
          9.094          9.213          0.000          0.000           1988            266        stocked        187.077        409.863          0.800       2627.312
          9.094          9.213          0.000          0.000           1988            266        stocked        187.077        409.863          0.800       2627.312
          8.789          8.971          0.000          0.000           1988            267        stocked        187.077        410.247          0.800       2651.492
          8.789          8.971          0.000          0.000           1988            267        stocked        187.077        410.247          0.800       2651.492
          8.478          8.726          0.000          0.000           1988            268        stocked        187.077        410.630          0.800       2675.065
          8.478          8.726          0.000          0.000           1988            268        stocked        187.077        410.630          0.800       2675.065
          8.242          8.522          0.000          0.000           1988            269        stocked        187.077        411.014          0.800       2698.138
          8.242          8.522          0.000          0.000           1988            269        stocked        187.077        411.014          0.800       2698.138
          7.989          8.298          0.000          0.000           1988            270        stocked        187.077        411.398          0.800       2720.650
          7.989          8.298          0.000          0.000           1988            270        stocked        187.077        411.398          0.800       2720.650
          7.544          7.939          0.000          0.000           1988            271        stocked        187.077        411.781          0.800       2742.217
          7.544          7.939          0.000          0.000           1988            271        stocked        187.077        411.781          0.800       2742.217
          7.355          7.745          0.000          0.000           1988            272        stocked        169.378        412.165          0.800       2763.294
          7.355          7.745          0.000          0.000           1988            272        stocked        169.378        412.165          0.800       2763.294
          7.407          7.691          0.000          0.000           1988            273        stocked        156.964        412.548          0.800       2784.264
          7.407          7.691          0.000          0.000           1988            273        stocked        156.964        412.548          0.800       2784.264
          7.410          7.618          0.000          0.000           1988            274        stocked        149.318        412.932          0.800       2805.071
          7.410          7.618          0.000          0.000           1988            274        stocked        149.318        412.932          0.800       2805.071
          7.250          7.414          0.000          0.000           1988            275        stocked        144.801        413.315          0.800       2825.347
          7.250          7.414          0.000          0.000           1988            275        stocked        144.801        413.315          0.800       2825.347
          7.326          7.343          0.000          0.000           1988            276        stocked        143.504        413.699          0.800       2845.457
          7.326          7.343          0.000          0.000           1988            276        stocked        143.504        413.699          0.800       2845.457
          7.406          7.272          0.000          0.000           1988            277        stocked        143.504        414.083          0.800       2865.399
          7.406          7.272          0.000          0.000           1988            277        stocked        143.504        414.083          0.800       2865.399
          7.403          7.161          0.000          0.000           1988            278        stocked        143.504        414.466          0.800       2885.057
          7.403          7.161          0.000          0.000           1988            278        stocked        143.504        414.466          0.800       2885.057
          7.461          7.065          0.000          0.000           1988            279        stocked        143.504        414.850          0.800       2904.473
          7.461          7.065          0.000          0.000           1988            279        stocked        143.504        414.850          0.800       2904.473
          7.529          6.987          0.000          0.000           1988            280        stocked        143.504        415.233          0.800       2923.694
          7.529          6.987          0.000          0.000           1988            280        stocked        143.504        415.233          0.800       2923.694
          7.598          6.912          0.000          0.000           1988            281        stocked        143.504        415.617          0.800       2942.726
          7.598          6.912          0.000          0.000           1988            281        stocked        143.504        415.617          0.800       2942.726
          7.599          6.788          0.000          0.000           1988            282        stocked        143.504        416.001          0.800       2961.429
          7.599          6.788          0.000          0.000           1988            282        stocked        143.504        416.001          0.800       2961.429
          7.743          6.713          0.000          0.000           1988            283        stocked        143.504        416.384          0.800       2979.938
          7.743          6.713          0.000          0.000           1988            283        stocked        143.504        416.384          0.800       2979.938
          7.916          6.673          0.000          0.000           1988            284        stocked        143.504        416.768          0.800       2998.350
          7.916          6.673          0.000          0.000           1988            284        stocked        143.504        416.768          0.800       2998.350
          8.098          6.655          0.000          0.000           1988            285        stocked        143.504        417.151          0.800       3016.724
          8.098          6.655          0.000          0.000           1988            285        stocked        143.504        417.151          0.800       3016.724
          8.280          6.650          0.000          0.000           1988            286        stocked        143.504        417.535          0.800       3035.096
          8.280          6.650          0.000          0.000           1988            286        stocked        143.504        417.535          0.800       3035.096
          8.462          6.659          0.000          0.000           1988            287        stocked        143.504        417.918          0.800       3053.503
          8.462          6.659          0.000          0.000           1988            287        stocked        143.504        417.918          0.800       3053.503
          8.595          6.646          0.000          0.000           1988            288        stocked        143.504        418.302          0.800       3071.882
          8.595          6.646          0.000          0.000           1988            288        stocked        143.504        418.302          0.800       3071.882
          8.771          6.671          0.000          0.000           1988            289        stocked        143.504        418.686          0.800       3090.340
          8.771          6.671          0.000          0.000           1988            289        stocked        143.504        418.686          0.800       3090.340
          8.927          6.693          0.000          0.000           1988            290        stocked        143.504        419.069          0.800       3108.866
          8.927          6.693          0.000          0.000           1988            290        stocked        143.504        419.069          0.800       3108.866
          9.044          6.697          0.000          0.000           1988            291        stocked        143.504        419.453          0.800       3127.409
          9.044          6.697          0.000          0.000           1988            291        stocked        143.504        419.453          0.800       3127.409
          9.184          6.724          0.000          0.000           1988            292        stocked        143.504        419.836          0.800       3146.032
          9.184          6.724          0.000          0.000           1988            292        stocked        143.504        419.836          0.800       3146.032
          9.306          6.745          0.000          0.000           1988            293        stocked        143.504        420.220          0.800       3164.720
          9.306          6.745          0.000          0.000           1988            293        stocked        143.504        420.220          0.800       3164.720
          9.483          6.809          0.000          0.000           1988            294        stocked        143.504        420.603          0.800       3183.590
          9.483          6.809          0.000          0.000           1988            294        stocked        143.504        420.603          0.800       3183.590
          9.604          6.841          0.000          0.000           1988            295        stocked        143.504        420.987          0.800       3202.553
          9.604          6.841          0.000          0.000           1988            295        stocked        143.504        420.987          0.800       3202.553
          9.670          6.841          0.000          0.000           1988            296        stocked        143.504        421.371          0.800       3221.520
          9.670          6.841          0.000          0.000           1988            296        stocked        143.504        421.371          0.800       3221.520
          9.519          6.701          0.000          0.000           1988            297        stocked        143.504        421.754          0.800       3240.101
          9.519          6.701          0.000          0.000           1988            297        stocked        143.504        421.754          0.800       3240.101
          9.251          6.486          0.000          0.000           1988            298        stocked        143.504        422.138          0.800       3258.091
          9.251          6.486          0.000          0.000           1988            298        stocked        143.504        422.138          0.800       3258.091
          9.321          6.501          0.000          0.000           1988            299        stocked        143.504        422.521          0.800       3276.124
          9.321          6.501          0.000          0.000           1988            299        stocked        143.504        422.521          0.800       3276.124
          9.506          6.596          0.000          0.000           1988            300        stocked        143.504        422.905          0.800       3294.422
          9.506          6.596          0.000          0.000           1988            300        stocked        143.504        422.905          0.800       3294.422
          9.721          6.714          0.000          0.000           1988            301        stocked        143.504        423.288          0.800       3313.051
          9.721          6.714          0.000          0.000           1988            301        stocked        143.504        423.288          0.800       3313.051
          9.929          6.829          0.000          0.000           1988            302        stocked        143.504        423.672          0.800       3332.002
          9.929          6.829          0.000          0.000           1988            302        stocked        143.504        423.672          0.800       3332.002
         10.069          6.901          0.000          0.000           1988            303        stocked        143.504        424.056          0.800       3351.156
         10.069          6.901          0.000          0.000           1988            303        stocked        143.504        424.056          0.800       3351.156
         10.144          6.932          0.000          0.000           1988            304        stocked        143.504        424.439          0.800       3370.397
         10.144          6.932          0.000          0.000           1988            304        stocked        143.504        424.439          0.800       3370.397
         10.185          6.943          0.000          0.000           1988            305        stocked        143.504        424.823          0.800       3389.669
         10.185          6.943          0.000          0.000           1988            305        stocked        143.504        424.823          0.800       3389.669
         10.102          6.872          0.000          0.000           1988            306        stocked        143.504        425.206          0.800       3408.746
         10.102          6.872          0.000          0.000           1988            306        stocked        143.504        425.206          0.800       3408.746
         10.156          6.894          0.000          0.000           1988            307        stocked        143.504        425.590          0.800       3427.885
         10.156          6.894          0.000          0.000           1988            307        stocked        143.504        425.590          0.800       3427.885
         10.244          6.941          0.000          0.000           1988            308        stocked        143.504        425.973          0.800       3447.155
         10.244          6.941          0.000          0.000           1988            308        stocked        143.504        425.973          0.800       3447.155
         10.287          6.958          0.000          0.000           1988            309        stocked        143.504        426.357          0.800       3466.473
         10.287          6.958          0.000          0.000           1988            309        stocked        143.504        426.357          0.800       3466.473
         10.358          6.996          0.000          0.000           1988            310        stocked        143.504        426.741          0.800       3485.898
         10.358          6.996          0.000          0.000           1988            310        stocked        143.504        426.741          0.800       3485.898
          9.737          6.572          0.000          0.000           1988            311        stocked        143.504        427.124          0.800       3504.147
          9.737          6.572          0.000          0.000           1988            311        stocked        143.504        427.124          0.800       3504.147
          9.633          6.495          0.000          0.000           1988            312        stocked        143.504        427.508          0.800       3522.184
          9.633          6.495          0.000          0.000           1988            312        stocked        143.504        427.508          0.800       3522.184
          9.777          6.584          0.000          0.000           1988            313        stocked        143.504        427.891          0.800       3540.466
          9.777          6.584          0.000          0.000           1988            313        stocked        143.504        427.891          0.800       3540.466
          9.966          6.703          0.000          0.000           1988            314        stocked        143.504        428.275          0.800       3559.080
          9.966          6.703          0.000          0.000           1988            314        stocked        143.504        428.275          0.800       3559.080
         10.051          6.754          0.000          0.000           1988            315        stocked        143.504        428.659          0.800       3577.836
         10.051          6.754          0.000          0.000           1988            315        stocked        143.504        428.659          0.800       3577.836
         10.069          6.760          0.000          0.000           1988            316        stocked        143.504        429.042          0.800       3596.611
         10.069          6.760          0.000          0.000           1988            316        stocked        143.504        429.042          0.800       3596.611
         10.098          6.775          0.000          0.000           1988            317        stocked        143.504        429.426          0.800       3615.427
         10.098          6.775          0.000          0.000           1988            317        stocked        143.504        429.426          0.800       3615.427
         10.127          6.790          0.000          0.000           1988            318        stocked        143.504        429.809          0.800       3634.285
         10.127          6.790          0.000          0.000           1988            318        stocked        143.504        429.809          0.800       3634.285
         10.176          6.819          0.000          0.000           1988            319        stocked        143.504        430.193          0.800       3653.224
         10.176          6.819          0.000          0.000           1988            319        stocked        143.504        430.193          0.800       3653.224
         10.243          6.860          0.000          0.000           1988            320        stocked        143.504        430.576          0.800       3672.278
         10.243          6.860          0.000          0.000           1988            320        stocked        143.504        430.576          0.800       3672.278
          9.958          6.667          0.000          0.000           1988            321        stocked        134.486        430.960          0.800       3690.795
          9.958          6.667          0.000          0.000           1988            321        stocked        134.486        430.960          0.800       3690.795
         10.073          6.741          0.000          0.000           1988            322        stocked        127.816        431.344          0.800       3709.516
         10.073          6.741          0.000          0.000           1988            322        stocked        127.816        431.344          0.800       3709.516
