APSIM output file, version = 5.3
Title = Sugar Sample Simulation
           Date      soil_evap  pot_soil_evap       pot_evap       drainage      infiltrat            esw          esw()         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)   surfaceom_wt  irrig_applied            lai        biomass  green_biomass av_swdef_photo av_nfact_photo
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     28/02/1982         18.728         18.728        117.457          0.000        278.602        333.119        342.255          0.095          0.067          0.088          0.047          0.005          0.001          0.001       1518.907          0.000          5.650       4014.345       3468.211          1.000          1.000
     31/03/1982         15.622         15.686        130.956         96.639        276.860        382.818        384.030          0.029          0.051          0.073          0.051          0.008          0.001          0.000       2760.211          0.000          5.589       4584.449       4027.497          1.000          1.000
     30/04/1982          8.529          8.529        106.723        267.047        350.655        339.736        340.596          0.084          0.061          0.076          0.037          0.010          0.001          0.000       4051.103          0.000          5.362       5075.277       4521.567          1.000          1.000
     31/05/1982          5.332          5.332         95.811         17.655         79.492        292.232        294.836          0.032          0.056          0.090          0.052          0.011          0.001          0.001       5282.505          0.000          5.364       5506.444       4999.189          1.000          1.000
     30/06/1982          3.418          3.418         90.595          0.000         31.932        213.052        216.577          0.062          0.087          0.117          0.058          0.011          0.001          0.001       6333.638          0.000          5.658       5991.001       5562.751          1.000          1.000
     31/07/1982          2.811          2.811        101.459          0.000        141.116        225.878        228.890          0.028          0.054          0.110          0.077          0.016          0.002          0.001       7189.655        130.116          5.905       6581.809       6195.440          1.000          1.000
     31/08/1982          2.691          2.691        126.103          0.000         14.000        119.055        122.836          0.080          0.130          0.197          0.097          0.014          0.002          0.001       7926.304          0.000          6.133       7308.779       6945.092          1.000          0.990
     30/09/1982         24.641        127.137        146.197          0.000         96.573        174.570        174.726        108.353          7.316          1.113          0.104          0.043          0.004          0.004          0.000         86.573          0.047          8.638          8.638          0.967          0.660
     31/10/1982         15.487        167.435        201.059          0.000         64.770        188.965        192.241         64.134         29.452         13.701          1.335          0.050          0.005          0.004          0.000         64.770          1.204        177.584        177.584          1.000          1.000
     30/11/1982         28.538         66.802        172.836          0.000        145.289        176.430        182.006          9.651         12.371         15.398          2.813          0.038          0.003          0.003          0.606        132.089          3.938        861.852        859.184          1.000          1.000
     31/12/1982         39.391         44.580        191.980          0.000        230.978        142.165        153.169          0.292          0.154          0.274          0.250          0.014          0.001          0.001         17.417        142.091          6.628       1966.724       1939.824          1.000          1.000
     31/01/1983         38.615         40.349        199.497          0.000        254.674        123.328        126.365          0.188          0.143          0.253          0.267          0.004          0.001          0.001        299.354        198.938          6.420       3043.505       2780.814          1.000          0.970
     28/02/1983         27.492         28.077        155.368          0.000        204.332        150.576        154.341          0.032          0.132          0.292          0.234          0.008          0.000          0.001        887.250        131.279          5.978       3851.700       3397.909          1.000          1.000
     31/03/1983         18.167         18.293        129.722         75.272        459.441        304.772        307.366          0.057          0.075          0.131          0.088          0.022          0.002          0.001       2123.496         72.378          5.440       4448.096       3870.404          1.000          1.000
     30/04/1983         11.938         12.139        123.192          0.663        204.210        367.257        369.592          0.014          0.027          0.067          0.043          0.008          0.002          0.001       3487.022          0.000          5.538       5010.946       4427.667          1.000          1.000
     31/05/1983          5.789          5.789         92.479        113.163        181.813        359.795        360.830          0.048          0.050          0.075          0.045          0.011          0.001          0.001       4943.440          0.000          5.476       5414.674       4867.173          1.000          1.000
     30/06/1983          4.080          4.080        100.627         28.515         22.000        251.966        256.962          0.066          0.078          0.112          0.066          0.015          0.001          0.001       6214.576          0.000          5.651       5918.405       5419.743          1.000          1.000
     31/07/1983          2.851          2.851        102.842          0.000         75.238        216.029        220.272          0.057          0.066          0.104          0.073          0.019          0.002          0.001       7317.088         66.238          5.950       6463.626       6030.761          1.000          1.000
     31/08/1983          2.638          2.638        131.939          0.000         69.374        161.915        166.578          0.066          0.105          0.150          0.095          0.021          0.002          0.001       8272.786         65.374          5.915       7172.761       6762.043          1.000          0.948
     30/09/1983          2.104          2.104        137.939          0.000         89.174        124.422        128.421          0.083          0.126          0.233          0.141          0.020          0.002          0.002       9101.428         67.174          5.745       7756.918       7348.592          1.000          0.802
     31/10/1983         27.386        161.285        197.034          0.000         94.618        164.880        165.063        106.645          6.268          1.019          0.131          0.050          0.004          0.005          0.000         82.618          0.079         13.098         13.098          0.968          0.698
     30/11/1983         45.215        145.099        177.274          0.000        140.067        233.772        235.967         37.512         37.820         24.079          3.354          0.066          0.005          0.004          0.000          0.000          1.148        163.690        163.690          1.000          1.000
     31/12/1983         42.383         70.280        183.595          0.000        121.929        185.670        191.570          6.133          8.260         12.489          3.771          0.076          0.006          0.004          3.961          0.000          4.124        878.186        874.011          1.000          1.000
     31/01/1984         26.484         36.305        157.223          0.000        221.254        244.756        247.772          0.326          0.148          0.203          0.139          0.030          0.002          0.002         45.167          0.000          6.411       1758.219       1707.106          1.000          1.000
     29/02/1984         23.631         23.631        115.706        138.424        358.271        339.461        345.247          0.116          0.080          0.122          0.085          0.017          0.001          0.001        249.467          0.000          6.200       2468.421       2252.854          1.000          1.000
     31/03/1984         26.161         28.322        152.440         33.432        120.402        260.913        262.947          0.072          0.120          0.216          0.156          0.030          0.002          0.001        879.611          0.000          5.849       3284.423       2870.083          1.000          1.000
     30/04/1984         16.915         17.262        118.749          0.000        125.973        249.790        251.994          0.067          0.104          0.172          0.136          0.030          0.002          0.001       1971.325          0.000          5.552       3896.353       3379.954          1.000          1.000
     31/05/1984         11.640         11.640        114.503          0.000         61.000        199.977        202.515          0.064          0.120          0.202          0.159          0.031          0.003          0.001       3178.253          0.000          5.897       4461.599       3987.422          1.000          1.000
     30/06/1984          6.065          6.065         86.273          0.000         49.000        165.251        168.436          0.050          0.121          0.191          0.146          0.028          0.003          0.002       4244.477          0.000          6.057       4906.914       4477.188          1.000          1.000
     31/07/1984          4.487          4.487         88.593          0.000        128.362        205.059        208.408          0.030          0.053          0.107          0.094          0.023          0.003          0.002       5252.431         64.516          5.994       5389.360       4988.822          1.000          1.000
     31/08/1984          4.703          4.703        125.428          0.000         77.730        147.826        151.379          0.064          0.109          0.164          0.126          0.028          0.003          0.002       6159.496         64.730          6.135       6126.791       5745.452          1.000          1.000
     30/09/1984          4.097          4.097        142.829          0.000        139.338        153.262        157.754          0.077          0.089          0.142          0.121          0.029          0.002          0.002       6973.279        131.338          6.059       6850.906       6461.326          1.000          0.901
     31/10/1984          3.790          3.790        168.178          0.000         85.865        102.021        108.337          0.108          0.119          0.188          0.174          0.020          0.002          0.002       7823.058          0.000          5.721       7581.420       7160.518          1.000          0.791
     30/11/1984         54.691        142.078        184.494          0.000        166.720        192.410        192.617         68.132         33.521         10.556          0.987          0.076          0.002          0.003          0.000         79.016          0.068         11.504         11.504          0.967          0.725
     31/12/1984         32.062        176.437        223.394          0.000         69.594        182.572        189.488         40.283         35.007         21.527          2.976          0.122          0.006          0.004          0.000          0.000          1.511        225.555        225.555          1.000          1.000
     31/01/1985         36.632         67.790        195.871          0.000        143.092        154.722        158.362          3.904          6.215         11.113          2.954          0.072          0.004          0.003          5.377         65.092          4.760       1017.462       1011.518          1.000          1.000
     28/02/1985         25.319         26.077        118.653          7.617        321.039        329.694        335.597          0.197          0.064          0.147          0.110          0.032          0.002          0.001         50.081          0.000          6.623       1738.054       1679.292          1.000          1.000
     31/03/1985         24.608         25.057        124.316         84.380        255.518        368.400        369.480          0.056          0.085          0.125          0.094          0.014          0.001          0.001        358.373          0.000          5.984       2434.996       2157.572          1.000          1.000
     30/04/1985         20.774         20.881        116.714         42.130        109.079        314.243        319.041          0.057          0.064          0.105          0.086          0.029          0.002          0.001       1150.981          0.000          5.495       3056.073       2615.659          1.000          1.000
     31/05/1985         13.298         13.425         96.987          0.000         81.949        312.894        314.695          0.029          0.041          0.090          0.079          0.021          0.002          0.001       2386.723          0.000          5.038       3509.001       2999.298          1.000          1.000
     30/06/1985          9.863          9.866        105.821          0.000         32.845        245.308        248.793          0.036          0.080          0.125          0.090          0.020          0.002          0.001       3611.163          0.000          5.242       4059.380       3605.574          1.000          1.000
     31/07/1985          6.541          6.541        102.088          0.000         76.133        218.977        223.958          0.036          0.068          0.111          0.094          0.027          0.002          0.001       4672.741         65.133          5.627       4628.850       4244.655          1.000          1.000
     31/08/1985          5.814          5.814        126.960          0.000         74.624        162.956        167.184          0.071          0.115          0.171          0.132          0.041          0.004          0.002       5515.686         65.624          6.180       5368.826       5021.712          1.000          1.000
     30/09/1985          4.671          4.671        133.762          0.000        142.388        149.784        155.063          0.074          0.094          0.147          0.128          0.036          0.003          0.002       6250.017        131.388          6.455       6183.713       5840.459          1.000          1.000
     31/10/1985          4.210          4.210        152.511          0.000        154.915        169.963        175.446          0.069          0.071          0.120          0.110          0.036          0.003          0.002       7005.079         65.559          6.602       7048.488       6689.004          1.000          0.982
     30/11/1985          3.227          3.227        148.791          0.000        182.496        217.970        224.305          0.070          0.054          0.095          0.097          0.048          0.004          0.002       7817.457          0.000          6.289       7783.859       7347.229          1.000          0.911
     31/12/1985         35.145        156.361        205.682          0.000         37.769        188.833          0.000          0.991          0.129          0.208          0.162          0.133          0.011          0.005          0.000          0.000          0.000          0.000          0.000          0.226          0.201
     31/01/1986         77.540        161.773        161.773          0.000        225.293        342.479          0.000          1.860          0.658          0.112          0.096          0.090          0.011          0.008          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     28/02/1986         59.760        158.477        158.477         58.821        116.465        332.383          0.000          6.087          1.007          0.260          0.180          0.143          0.014          0.009          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     31/03/1986         85.326        146.487        146.487         39.105        132.633        352.979          0.000          7.512          4.791          1.835          0.167          0.136          0.013          0.010          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     30/04/1986         67.724        112.006        112.006         36.010        117.992        352.090          0.000          8.705          7.301          4.925          0.401          0.121          0.012          0.010          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     31/05/1986         63.589        109.422        109.422         85.476        135.059        338.381        338.392         90.066         57.248         24.386          4.161          0.129          0.012          0.008          0.000          0.000          0.011          3.647          3.647          0.903          0.000
     30/06/1986         44.087        101.175        103.220         28.478         43.412        312.005        312.145         83.882         55.817         32.955          5.981          0.120          0.012          0.009          0.000          0.000          0.084         13.721         13.721          1.000          1.000
     31/07/1986         29.059         85.766         97.968          4.006         27.000        298.835        299.694         83.822         56.333         36.659          7.544          0.124          0.012          0.009          0.000          0.000          0.540         76.744         76.744          1.000          1.000
     31/08/1986         25.501         65.808        120.553          0.037         34.999        262.721        266.186         60.295         46.863         36.406          9.367          0.129          0.013          0.010          0.537          0.000          2.401        442.643        440.437          1.000          1.000
     30/09/1986         28.353         40.363        135.601          0.000        137.497        260.717        265.624         12.384         21.765         35.969         12.881          0.149          0.013          0.010          7.483         64.630          4.655       1199.863       1193.916          1.000          1.000
     31/10/1986         32.525         39.960        179.206          0.000        159.202        204.957        212.377          0.140          0.137          0.379          0.644          0.082          0.006          0.003         46.244        134.202          6.682       2393.417       2346.799          1.000          1.000
     30/11/1986         30.781         32.973        165.855          0.000        204.252        173.962        181.764          0.048          0.123          0.300          0.417          0.062          0.005          0.004        316.036        137.789          6.807       3515.691       3276.023          1.000          1.000
     31/12/1986         27.561         31.871        187.722          0.000        150.695        168.600        177.593          0.025          0.133          0.331          0.425          0.095          0.004          0.004       1103.187         68.023          6.774       4690.442       4242.916          1.000          1.000
     31/01/1987         25.684         26.083        208.306          0.000        293.264        160.050        163.787          0.015          0.104          0.270          0.471          0.115          0.002          0.003       2378.296        272.264          6.874       5877.700       5320.571          1.000          1.000
     28/02/1987          9.230          9.230        112.172          0.000        219.409        243.574        247.700          0.021          0.078          0.131          0.117          0.061          0.007          0.003       3754.633          0.000          6.574       6480.232       5884.338          1.000          1.000
     31/03/1987          7.220          7.220        136.362          0.000        153.053        226.556        232.728          0.049          0.066          0.123          0.155          0.141          0.008          0.003       5357.164          0.000          6.408       7227.024       6613.062          1.000          1.000
     30/04/1987          3.218          3.218         97.617          0.000        202.590        341.612        343.524          0.008          0.026          0.061          0.066          0.060          0.004          0.004       7026.483          0.000          5.975       7689.568       7054.317          1.000          1.000
     31/05/1987          2.144          2.144        110.107         72.953        129.375        285.742        290.435          0.035          0.066          0.103          0.080          0.071          0.003          0.002       8763.648          0.000          5.912       8284.085       7671.477          1.000          1.000
     30/06/1987          1.108          1.108         92.666          0.807         40.000        254.959        257.106          0.030          0.067          0.111          0.091          0.086          0.003          0.002      10275.153          0.000          6.042       8775.825       8223.209          1.000          1.000
     31/07/1987          0.663          0.663         89.534          0.000         36.000        195.092        198.531          0.035          0.077          0.145          0.119          0.122          0.004          0.002      11670.446          0.000          6.168       9309.970       8817.726          1.000          1.000
     31/08/1987         36.806        107.892        122.387          0.000         57.805        207.888        207.964         75.641         18.998          4.067          0.792          0.767          0.015          0.011          0.000          0.000          0.036          7.092          7.092          0.968          0.613
     30/09/1987         23.561        128.839        139.750          0.000         37.912        214.966        215.667         60.649         27.174          9.103          1.497          1.517          0.016          0.012          0.000          0.000          0.392         56.274         56.274          1.000          1.000
     31/10/1987         25.447        100.357        186.514          0.000         75.529        188.803        190.748         20.772         16.811         12.829          2.315          1.617          0.017          0.011          0.202         65.529          2.907        538.323        536.690          1.000          1.000
     30/11/1987         36.818         37.019        141.926          0.000        156.514        200.596        202.622          0.218          0.115          0.238          0.187          0.308          0.008          0.004         10.116         67.717          5.682       1300.521       1289.297          1.000          1.000
     31/12/1987         36.945         38.861        185.326          0.000        184.489        144.145        150.152          0.210          0.148          0.258          0.258          0.314          0.006          0.004        128.395        138.495          6.532       2422.230       2276.742          1.000          0.977
     31/01/1988         32.192         34.518        179.048          0.000        243.045        161.609        166.359          0.040          0.082          0.179          0.216          0.290          0.004          0.004        666.171        136.728          5.972       3397.472       3018.177          1.000          0.997
     29/02/1988         21.123         21.259        136.654          0.000        212.087        225.127        227.459          0.035          0.096          0.158          0.109          0.113          0.010          0.004       1736.288          0.000          5.428       4069.833       3532.431          1.000          1.000
     31/03/1988         15.871         15.940        146.420          0.000         87.891        162.921        164.170          0.067          0.131          0.222          0.165          0.182          0.009          0.004       3149.517          0.000          5.601       4747.608       4187.528          1.000          1.000
     30/04/1988          7.814          7.814        110.157          0.000        270.784        333.451        335.959          0.014          0.038          0.082          0.054          0.051          0.004          0.005       4554.833         67.174          5.575       5258.602       4704.046          1.000          1.000
     31/05/1988          3.921          3.921         87.418         27.904         99.038        300.968        302.326          0.039          0.057          0.083          0.051          0.052          0.004          0.002       5982.748          0.000          5.599       5638.999       5137.463          1.000          1.000
     30/06/1988          2.605          2.605         87.644          1.816          7.000        216.054        218.816          0.039          0.087          0.136          0.084          0.072          0.004          0.002       7175.536          0.000          5.700       6083.703       5622.932          1.000          1.000
     31/07/1988          1.938          1.938         93.962          0.000         58.930        198.693        201.125          0.049          0.089          0.128          0.080          0.077          0.005          0.003       8317.153          0.000          5.678       6573.531       6141.467          1.000          0.994
     31/08/1988          1.792          1.792        121.498          0.000         50.000        159.500        161.973          0.053          0.089          0.141          0.112          0.114          0.006          0.003       9369.890          0.000          5.463       7160.818       6737.575          1.000          0.903
     30/09/1988         28.064        125.565        142.715          0.000         76.241        198.729        198.848         69.296         26.439         12.176          1.548          0.151          0.019          0.014          0.000         68.241          0.054          9.562          9.562          0.967          0.682
     31/10/1988         18.129        166.277        199.342          0.000         29.955        188.171        189.410         52.225         31.620         15.342          1.670          0.531          0.021          0.016          0.000          0.000          1.143        159.938        159.938          1.000          1.000
     30/11/1988         46.331         61.279        157.172          0.000        147.779        177.746        182.631          8.297         11.661         17.012          4.300          0.943          0.021          0.014          2.380          0.000          3.846        765.015        761.735          1.000          1.000
     31/12/1988         31.678         34.302        145.867          0.000        182.070        211.522        214.504          0.088          0.109          0.244          0.277          0.187          0.008          0.005         30.768          0.000          6.437       1571.568       1533.796          1.000          1.000
     31/01/1989         30.669         33.715        166.905          0.000        173.714        158.488        166.035          0.087          0.103          0.207          0.225          0.184          0.007          0.005        268.486          0.000          6.573       2589.216       2368.866          1.000          1.000
     28/02/1989         23.958         24.229        132.751          0.000        283.409        277.683        280.285          0.013          0.034          0.088          0.094          0.090          0.008          0.005        884.371          0.000          6.002       3286.578       2878.945          1.000          1.000
     31/03/1989         15.910         15.910        112.231        253.025        463.028        387.566        390.474          0.013          0.032          0.062          0.055          0.046          0.004          0.002       2138.104          0.000          5.274       3809.942       3261.473          1.000          1.000
     30/04/1989          9.876          9.876        101.231        228.952        309.812        355.645        358.402          0.055          0.057          0.082          0.060          0.038          0.003          0.002       3563.196          0.000          5.097       4241.716       3696.441          1.000          1.000
     31/05/1989          5.596          5.596         87.461        127.477        218.222        370.856        373.577          0.029          0.049          0.064          0.047          0.031          0.002          0.001       4997.563          0.000          4.940       4608.940       4099.141          1.000          1.000
     30/06/1989          3.516          3.516         82.997         55.075         68.121        319.241        320.464          0.012          0.032          0.058          0.042          0.026          0.003          0.002       6264.297          0.000          5.048       4995.466       4541.450          1.000          1.000
     31/07/1989          2.631          2.631         93.862         39.831         84.527        294.149        297.233          0.026          0.042          0.059          0.037          0.023          0.003          0.002       7385.578          0.000          5.503       5495.929       5111.390          1.000          1.000
     31/08/1989          2.388          2.388        118.706          2.374         78.714        251.002        254.924          0.034          0.044          0.082          0.072          0.050          0.005          0.003       8300.122         64.714          5.762       6192.324       5829.834          1.000          1.000
     30/09/1989          2.149          2.149        142.922          0.000          3.000         87.932         92.822          0.044          0.168          0.250          0.161          0.095          0.008          0.004       9092.864          0.000          6.178       7011.557       6664.968          1.000          0.992
     31/10/1989         35.927        164.513        200.196          0.000        172.645        191.762        192.015         78.089         29.406          7.132          0.400          0.069          0.014          0.016          0.000        116.585          0.075         12.508         12.508          0.968          0.728
     30/11/1989         41.091        131.151        152.790          0.000        175.403        338.088        338.676         13.006         25.053         42.330         18.368          4.501          0.022          0.015          0.000          0.000          0.750        105.750        105.750          1.000          1.000
     31/12/1989         33.933         80.589        186.645          0.000         90.925        231.751        239.594          6.114          6.570         12.968          6.398          1.573          0.031          0.015          4.358          0.000          3.520        761.549        757.563          1.000          1.000
     31/01/1990         34.914         45.547        185.827          0.000        207.115        187.257        195.670          0.238          0.140          0.288          0.360          0.237          0.016          0.006         32.851        134.853          6.045       1767.582       1735.013          1.000          1.000
     28/02/1990         30.527         32.884        158.161          0.000        242.561        181.718        184.579          0.055          0.086          0.209          0.342          0.253          0.012          0.007        168.913        139.680          6.232       2600.906       2434.175          1.000          0.946
     31/03/1990         25.138         25.247        129.717          0.000        359.485        386.613        389.956          0.015          0.031          0.064          0.050          0.022          0.006          0.005        771.360          0.000          5.449       3296.351       2902.186          1.000          1.000
