Summary_file = referenc.sum
Title = 
      year       day             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass     root_length(1)     root_length(2)     root_length(3)     root_depth avg_swdef_photo avg_nfact_photo   plant_status      dm_dead()          yield         height   surfaceom_wt    surfaceom_n        fom_c()        fom_n()        leaf_no
    (year)     (day)            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (oC)      (m^2/m^2)        (kg/ha)          (mm/mm^2)          (mm/mm^2)          (mm/mm^2)           (mm)              ()              ()             ()        (g/m^2)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()
      1993       230              7.045             19.220              8.938             36.032             76.594             74.027        709.309          2.004       3200.771              3.986              5.487              0.188       1000.000           1.000           1.000          alive          0.000          0.000        994.067          0.000          0.000        176.618          4.629         14.411
      1993       237              3.106             10.958              5.376             42.422             80.170             74.090        778.001          1.992       4139.950              4.192              5.934              0.212       1000.000           1.000           1.000          alive          0.000          0.000       1405.521          0.000          0.000        164.162          4.294         14.411
      1993       244              2.526              8.350              4.249             39.169             79.708             75.699        852.131          1.973       4672.357              4.208              6.000              0.219       1000.000           1.000           1.000          alive          0.000        231.232       1558.198          0.000          0.000        155.853          4.068         14.411
      1993       251              1.690              5.106              2.548             40.485             79.138             75.425        919.424          1.953       5489.007              4.150              5.917              0.216       1000.000           1.000           1.000          alive          0.000        672.777       1713.865          0.000          0.000        147.522          3.844         14.411
      1993       258              0.617              1.386              0.618             38.993             79.923             75.671        988.364          1.932       6351.055              4.092              5.834              0.213       1000.000           1.000           1.000          alive          0.000       1121.103       1926.233          0.000          0.000        139.730          3.634         14.411
      1993       265              0.458              0.578              0.108             43.009             80.235             74.348       1076.072          1.912       7289.854              4.035              5.753              0.210       1000.000           0.980           1.000          alive          0.000       1614.250       2000.000          0.000          0.000        130.065          3.376         14.411
      1993       272              0.367              0.393              0.026             40.634             78.886             74.322       1148.473          1.896       8271.726              3.979              5.673              0.207       1000.000           1.000           1.000          alive          0.000       2063.114       2000.000          0.000          0.000        123.384          3.197         14.411
      1993       279              0.421              0.372              0.013             33.895             76.942             74.303       1229.052          1.864       9276.165              3.923              5.594              0.204       1000.000           1.000           1.000          alive          0.000       2560.970       2000.000          0.000          0.000        116.583          3.016         14.411
      1993       286              0.489              0.452              0.013             36.813             78.437             73.363       1314.586          1.803      10286.110              3.869              5.516              0.202       1000.000           0.926           0.975          alive          0.000       3028.573       2000.000          0.000          0.000        108.779          2.809         14.411
      1993       291              0.614              0.585              0.017             41.026             80.344             74.425       1387.991          0.002       7488.197              3.830              5.461              0.200       1000.000           1.000           0.784           dead          0.000          0.000       2000.000          0.000          0.000        104.713          2.701         14.411
      1993       292              0.831              0.758              0.024             37.452             80.228             74.987       1403.791          0.002       7488.197              3.830              5.461              0.200       1000.000           1.000           0.000            out          0.000          0.000       2000.000       7488.196         61.444        483.150         12.785         14.411
      1993       299              0.109              1.236              0.046             35.393             79.772             77.214          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       7321.298         60.075        396.612         10.487          0.000
      1993       300             10.000              1.000              1.000             50.000            100.000             80.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000               ?               ?          alive          0.000          0.000          0.000          0.000          0.000        396.612         10.487          0.000
      1993       307             10.563              2.595              1.933             37.133             79.972             80.335        110.212          0.003          2.134              0.016              0.000              0.000        120.000           1.000           1.000          alive          0.000          0.000          0.253          0.000          0.000        315.399          8.332          1.269
      1993       314             11.584              3.288              2.050             35.574             79.343             80.003        215.655          0.011          7.717              0.067              0.005              0.000        225.000           1.000           1.000          alive          0.000          0.000          0.425          0.000          0.000        260.015          6.863          2.891
      1993       321             12.198              3.907              2.072             34.540             78.550             80.000        316.584          0.034         22.572              0.167              0.052              0.000        366.000           1.000           1.000          alive          0.000          0.000          1.374          0.000          0.000        224.740          5.928          4.444
      1993       328             12.755              4.654              2.084             33.457             77.365             80.000        426.276          0.099         60.849              0.303              0.071              0.000        597.000           1.000           1.000          alive          0.000          0.000          6.386          0.000          0.000        188.941          4.979          6.132
      1993       335             10.896              4.191              1.969             31.322             73.938             79.684        540.241          0.252        226.134              0.777              0.125              0.010        729.000           1.000           1.000          alive          0.000          0.000         33.052          0.000          0.000        162.385          4.276          7.885
      1993       342              8.030              3.118              1.470             29.213             70.854             78.759        655.928          0.570        460.202              1.396              0.243              0.028        844.500           1.000           1.000          alive          0.000          0.000         89.596          0.000          0.000        139.066          3.658         10.409
      1993       349              3.528              1.122              0.414             25.937             64.711             75.800        760.247          1.170       1041.896              2.052              1.441              0.059        960.000           0.913           0.978          alive          0.000          0.000        244.317          0.000          0.000        127.053          3.337         13.306
      1993       356              2.327              0.893              0.074             22.926             57.925             71.157        874.435          1.508       1664.030              2.302              3.138              0.102       1000.000           0.790           0.719          alive          0.000          0.000        450.414          0.000          0.000        117.192          3.056         16.478
      1993       363              1.926              0.977              0.021             21.063             52.665             66.778        993.709          1.284       2043.111              2.290              4.261              0.157       1000.000           0.456           0.600          alive          0.000          0.000        606.985          0.000          0.000        112.003          2.883         19.648
      1994         5              1.844              1.034              0.013             20.025             48.960             63.054       1110.379          1.003       2251.015              2.258              4.816              0.222       1000.000           0.307           0.602          alive          0.000          0.000        696.900          0.000          0.000        110.441          2.796         19.648
      1994        12              1.088              0.901              0.029             30.244             73.447             63.854       1235.815          0.998       2694.833              2.405              5.105              0.249       1000.000           0.988           0.641          alive          0.000          0.000        862.460          0.000          0.000         96.195          2.407         19.648
      1994        19              1.172              0.719              0.017             26.274             68.063             62.955       1364.986          0.998       3076.654              2.417              5.134              0.257       1000.000           1.000           0.638          alive          0.000          0.000       1030.869          0.000          0.000         89.468          2.209         19.648
      1994        26              1.182              0.771              0.014             23.444             63.084             61.628       1487.454          0.998       3450.241              2.383              5.063              0.253       1000.000           1.000           0.630          alive          0.000          0.000       1236.440          0.000          0.000         85.589          2.088         19.648
      1994        33              1.070              0.781              0.012             21.661             60.070             60.671       1599.504          0.998       3732.599              2.350              4.992              0.250       1000.000           1.000           0.629          alive          0.000          0.000       1382.873          0.000          0.000         84.049          2.027         19.648
      1994        40              1.015              0.795              0.011             20.324             56.399             59.215       1711.804          0.804       4062.643              2.317              4.923              0.246       1000.000           1.000           0.664          alive          0.000          0.000       1534.814          0.000          0.000         83.787          2.000         19.648
      1994        47              0.499              1.021              0.054             47.015             82.547             61.304       1831.519          0.603       4359.297              2.285              4.854              0.243       1000.000           1.000           0.700          alive          0.000          0.000       1685.011          0.000          0.000         83.266          1.972         19.648
      1994        54              0.578              0.555              0.037             32.873             77.784             67.082       1938.605          0.454       4592.511              2.253              4.787              0.239       1000.000           1.000           0.831          alive          0.000          0.000       1800.172          0.000          0.000         77.868          1.843         19.648
      1994        61              0.849              0.582              0.017             29.579             74.300             67.254       2046.466          0.323       4799.774              2.222              4.720              0.236       1000.000           1.000           0.978          alive          0.000          0.000       1920.843          0.000          0.000         73.459          1.740         19.648
      1994        67              1.078              0.767              0.016             28.129             72.601             67.482       2143.917          0.002       4896.241              2.195              4.664              0.233       1000.000           1.000           0.833           dead          0.000          0.000       1976.359          0.000          0.000         70.774          1.679         19.648
      1994        68              1.224              0.932              0.019             27.965             72.447             67.547       2158.167          0.002       4896.241              2.195              4.664              0.233       1000.000           1.000           0.000            out          0.000          0.000       1976.359       4896.241         45.723        354.117          7.638         19.648
      1994        75              1.915              1.474              0.012             26.984             71.442             67.946          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4896.241         45.723        289.111          6.268          0.000
      1994        80             51.000              1.000              1.000             50.000            100.000             80.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000          alive          0.000          0.000          0.000          0.000          0.000        257.985          5.611          0.000
      1994        87             43.007              9.342              3.342             39.432             80.157             80.562        108.157          0.004          1.886              0.014              0.000              0.000        115.000           1.000           1.000          alive          0.000          0.000          0.252          0.000          0.000        207.708          4.549          1.119
      1994        94             43.834             10.151              3.401             38.268             79.954             80.007        205.723          0.018          7.417              0.060              0.009              0.000        220.000           1.000           1.000          alive          0.000          0.000          0.383          0.000          0.000        174.789          3.851          2.620
      1994       101             44.189             11.035              3.409             37.239             79.580             80.000        301.708          0.052         28.857              0.157              0.062              0.000        361.000           1.000           1.000          alive          0.000          0.000          1.688          0.000          0.000        149.440          3.312          4.097
      1994       108             43.944             11.681              3.416             36.377             78.817             80.000        379.330          0.109         71.940              0.274              0.083              0.000        592.000           1.000           1.000          alive          0.000          0.000          6.216          0.000          0.000        131.851          2.938          5.291
      1994       115             42.647             12.001              3.404             35.298             77.331             79.973        464.856          0.280        171.228              0.557              0.116              0.006        724.000           1.000           1.000          alive          0.000          0.000         19.811          0.000          0.000        116.576          2.612          7.053
      1994       122             39.451             11.702              3.268             34.017             75.519             79.691        550.166          0.669        354.762              1.058              0.194              0.018        839.500           1.000           1.000          alive          0.000          0.000         58.395          0.000          0.000        104.541          2.355          9.423
      1994       129             31.917              9.876              2.719             31.677             72.056             78.397        629.663          1.242        775.468              1.804              0.789              0.042        955.000           1.000           1.000          alive          0.000          0.000        157.460          0.000          0.000         95.322          2.159         11.631
      1994       136             19.539              5.871              1.406             28.322             66.669             75.473        699.657          1.894       1463.275              2.501              2.282              0.073       1000.000           1.000           1.000          alive          0.000          0.000        357.223          0.000          0.000         88.843          2.023         13.576
      1994       143              8.328              1.961              0.261             24.562             59.498             70.983        772.320          2.293       2291.608              3.053              4.319              0.132       1000.000           0.932           1.000          alive          0.000          0.000        634.420          0.000          0.000         84.943          1.947         15.594
      1994       150              5.140              1.151              0.055             22.229             54.231             67.023        845.383          2.131       2833.103              3.160              5.801              0.214       1000.000           0.720           1.000          alive          0.000          0.000        849.417          0.000          0.000         83.913          1.927         17.037
      1994       157              0.642              0.810              0.052             37.003             78.127             69.711        918.113          2.131       3446.324              3.641              7.019              0.400       1000.000           1.000           0.998          alive          0.000          0.000       1090.896          0.000          0.000         82.669          1.892         17.037
      1994       164              0.415              0.427              0.017             30.246             73.260             69.199        982.396          2.131       4063.029              3.991              7.724              0.707       1000.000           1.000           0.947          alive          0.000          0.000       1334.156          0.000          0.000         82.367          1.867         17.037
      1994       171              0.508              0.414              0.010             24.149             67.336             67.567       1038.869          2.131       4636.534              4.015              7.895              0.837       1000.000           1.000           0.832          alive          0.000          0.000       1579.432          0.000          0.000         83.501          1.867         17.037
      1994       178              0.582              0.454              0.008             21.527             62.421             65.699       1093.317          1.279       5144.550              3.972              8.069              0.967       1000.000           1.000           0.748          alive          0.000          0.000       1806.992          0.000          0.000         85.626          1.888         17.037
      1994       185              0.586              0.478              0.007             19.966             59.430             64.352       1147.783          1.279       5452.741              3.917              8.085              1.018       1000.000           1.000           0.747          alive          0.000         65.945       1919.332          0.000          0.000         88.532          1.925         17.037
      1994       192              0.177              0.371              0.030             38.926             80.023             71.913       1207.638          1.279       5719.511              3.863              7.972              1.003       1000.000           1.000           0.726          alive          0.000        283.935       1953.681          0.000          0.000         89.567          1.926         17.037
      1994       199              0.256              0.311              0.009             31.959             76.698             72.149       1262.157          0.638       5984.257              3.809              7.861              0.989       1000.000           1.000           0.726          alive          0.000        477.360       1985.089          0.000          0.000         89.492          1.910         17.037
      1994       206              0.375              0.316              0.005             27.275             73.756             72.030       1313.789          0.590       6172.019              3.756              7.752              0.976       1000.000           1.000           0.739          alive          0.000        650.191       1995.815          0.000          0.000         89.701          1.901         17.037
      1994       213              0.419              0.320              0.004             25.556             72.105             72.032       1362.977          0.027       6244.321              3.704              7.644              0.962       1000.000           1.000           0.776          alive          0.000        819.867       1996.103          0.000          0.000         90.737          1.912         17.037
      1994       220              0.436              0.331              0.004             24.479             71.191             72.164       1417.851          0.027       6255.220              3.652              7.538              0.949       1000.000           1.000           0.892          alive          0.000       1002.991       1996.103          0.000          0.000         91.894          1.927         17.037
      1994       227              0.442              0.337              0.003             23.631             70.400             72.235       1472.071          0.022       6264.627              3.601              7.433              0.935       1000.000           1.000           0.994          alive          0.000       1183.444       1996.103          0.000          0.000         93.017          1.944         17.037
      1994       234              0.449              0.346              0.003             22.915             69.692             72.250       1529.612          0.022       6275.287              3.551              7.329              0.922       1000.000           1.000           1.000          alive          0.000       1384.429       1996.103          0.000          0.000         94.068          1.961         17.037
      1994       241              0.465              0.373              0.003             22.284             69.014             72.204       1596.745          0.022       6287.831              3.502              7.227              0.910       1000.000           1.000           1.000          alive          0.000       1614.439       1996.103          0.000          0.000         94.876          1.976         17.037
      1994       248              0.469              0.396              0.003             21.718             68.384             72.116       1667.579          0.022       6301.866              3.453              7.127              0.897       1000.000           1.000           1.000          alive          0.000       1701.031       1996.103          0.000          0.000         95.547          1.993         17.037
      1994       255              0.464              0.415              0.003             21.203             67.817             72.005       1745.237          0.022       6316.560              3.405              7.028              0.884       1000.000           1.000           1.000          alive          0.000       1715.726       1996.103          0.000          0.000         96.096          2.014         17.037
      1994       262              0.462              0.469              0.003             20.721             67.192             71.822       1827.924          0.022       6333.385              3.358              6.930              0.872       1000.000           1.000           1.000          alive          0.000       1732.550       1996.103          0.000          0.000         96.355          2.036         17.037
      1994       269              0.463              0.468              0.003             20.272             66.571             71.600       1899.508          0.022       6351.283              3.311              6.833              0.860       1000.000           1.000           1.000          alive          0.000       1750.449       1996.103          0.000          0.000         97.020          2.075         17.037
      1994       275              0.468              0.985              0.006             19.909             66.119             71.420       1971.384          0.002       4605.628              3.271              6.752              0.850       1000.000           1.000           0.833           dead          0.000          0.000       1996.103          0.000          0.000         97.505          2.106         17.037
      1994       276              0.468              1.123              0.007             19.851             66.078             71.405       1986.669          0.002       4605.628              3.271              6.752              0.850       1000.000           1.000           0.000            out          0.000          0.000       1996.103       4605.629         62.525        532.455         13.631         17.037
      1994       283              0.476              1.389              0.002             19.466             65.793             71.295          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        475.123         12.132          0.000
      1994       290              0.485              1.514              0.002             19.115             65.511             71.179          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        437.114         11.141          0.000
      1994       297              0.495              1.869              0.003             18.794             65.234             71.058          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        400.259         10.182          0.000
      1994       304              0.507              2.301              0.003             18.498             64.961             70.932          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        374.116          9.504          0.000
      1994       311              0.523              2.942              0.003             18.225             64.693             70.801          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        350.073          8.881          0.000
      1994       318              0.543              3.849              0.003             17.972             64.429             70.667          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        327.552          8.298          0.000
      1994       325              0.570              4.744              0.003             17.736             64.169             70.529          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        311.099          7.873          0.000
      1994       332              0.602              5.723              0.003             17.516             63.914             70.389          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        297.296          7.517          0.000
      1994       339              0.639              6.648              0.003             17.311             63.663             70.247          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        286.564          7.240          0.000
      1994       346              0.683              7.567              0.003             17.118             63.416             70.103          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        277.722          7.012          0.000
      1994       353              0.732              8.685              0.003             16.936             63.173             69.957          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        268.960          6.787          0.000
      1994       360              0.789             10.029              0.004             16.764             62.934             69.810          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       4605.629         62.525        260.258          6.563          0.000
