APSIM output file, version = 5.3
Title = p60N100
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1972             91     31/03/1972        913.200              94.716            297.283         42.386          2.947          2.153          2.218          1.343          1.314          1.270          1.191          1.119          1.078          0.000          0.186          5.098          1.439          4.303        227.315        178.564       1387.634         378.213          0.293          0.302          0.306          0.306          0.306          0.306          0.306          0.302          0.298          0.299        514.679        126.679          1.201          1.201                 0.369                 0.326                 0.995             31       6340.441      13911.907          2.035         12.091       1700.000        173.823          1.438          0.880          0.652          0.687          0.340          0.163          0.136          0.106          0.129          0.567        195.743         32.230              ?              ?              ?
           1973            105     15/04/1973        636.100              15.038            179.953         48.010          3.017          2.200          2.250          1.338          1.297          1.256          1.209          1.141          1.091          0.000          0.210          5.670          0.847          4.442        259.577        172.744       1392.627         337.646          0.158          0.204          0.207          0.208          0.204          0.203          0.238          0.266          0.286          0.296        397.026         13.178          5.355          5.355                 0.321                 0.371                 0.965             50       4340.582      11164.476          1.251         12.003       1700.000        140.121          2.759          0.382          0.221          0.313          0.521          0.248          0.211          0.183          0.218          0.615        202.765         20.595              ?              ?              ?
           1974            100     10/04/1974       1186.900             101.504            528.406         39.292          2.871          2.069          2.059          1.175          1.144          1.132          1.151          1.115          1.085          0.000          0.163          3.800          1.701          4.010        210.422        163.321       1397.032         414.540          0.231          0.277          0.285          0.290          0.293          0.296          0.299          0.300          0.300          0.300        494.687        106.687          0.019          0.019                 0.392                 0.364                 0.996             39       5383.367      12388.239          2.320         11.773       1700.000        154.661          2.691          0.274          0.118          0.103          0.079          0.062          0.068          0.042          0.064          0.300        208.451         44.464              ?              ?              ?
           1975             87     28/03/1975       1165.200             179.590            447.947         43.688          2.928          2.114          2.181          1.310          1.300          1.240          1.146          1.103          1.075          0.000          0.322          3.940          1.103          3.679        208.585        154.485       1400.948         410.356          0.174          0.248          0.260          0.268          0.275          0.282          0.292          0.298          0.300          0.300        471.158         85.791          0.415          0.415                 0.381                 0.334                 0.999             29       5995.702      13483.931          2.101         12.124       1700.000        173.415          2.723          0.297          0.138          0.126          0.091          0.067          0.068          0.049          0.063          0.319        213.326         41.538              ?              ?              ?
           1976            103     12/04/1976        801.900              35.623            217.400         38.456          2.930          2.141          2.194          1.313          1.303          1.254          1.172          1.117          1.082          0.000          0.191          3.853          1.249          2.967        180.218        140.309       1403.990         371.168          0.284          0.297          0.298          0.286          0.283          0.287          0.294          0.298          0.300          0.300        497.536        109.536          0.462          0.462                 0.357                 0.313                 1.000             43       5710.939      13907.568          2.414         12.559       1700.000        192.511          2.032          0.569          0.167          0.094          0.059          0.046          0.058          0.060          0.112          0.656        219.232         25.151              ?              ?              ?
           1977            112     22/04/1977       1122.500             152.640            455.618         40.418          2.974          2.171          2.220          1.330          1.302          1.264          1.200          1.142          1.094          0.000          0.366          3.767          1.168          4.041        238.058        143.807       1407.385         411.074          0.173          0.248          0.258          0.263          0.269          0.276          0.288          0.296          0.299          0.300        465.879         80.618          0.182          0.182                 0.360                 0.321                 0.991             51       5894.662      12976.889          2.195         11.924       1700.000        145.674          2.635          0.255          0.116          0.104          0.080          0.061          0.071          0.077          0.091          0.276        224.916         31.522              ?              ?              ?
           1978             97     07/04/1978       1159.600             106.021            512.963         37.977          3.014          2.174          2.209          1.300          1.278          1.232          1.170          1.108          1.077          0.000          0.237          3.620          1.258          2.777        174.795        128.973       1409.250         384.799          0.240          0.283          0.289          0.290          0.278          0.280          0.291          0.297          0.299          0.300        488.581        100.581          0.207          0.207                 0.371                 0.333                 1.000             40       6214.711      13466.728          2.583         12.557       1700.000        169.603          2.423          0.475          0.183          0.125          0.079          0.056          0.059          0.051          0.050          0.119        230.411         40.040              ?              ?              ?
           1979            108     18/04/1979        678.800              17.030            179.414         43.898          2.925          2.122          2.177          1.286          1.238          1.211          1.168          1.109          1.075          0.000          0.603          4.109          0.854          5.243        325.392        147.157       1411.895         381.390          0.196          0.228          0.231          0.228          0.217          0.211          0.243          0.270          0.288          0.297        416.414         28.835          1.173          1.173                 0.349                 0.301                 0.985             49       4120.884      12129.910          1.685         10.398       1700.000        158.767          2.457          0.328          0.140          0.124          0.100          0.086          0.107          0.106          0.129          0.532        235.459         14.194              ?              ?              ?
           1980             82     22/03/1980        661.100              21.547            249.614         41.630          2.818          2.066          2.059          1.089          1.055          1.060          1.117          1.095          1.062          0.000          0.570          4.660          0.944          6.632        428.173        159.397       1415.369         306.231          0.182          0.245          0.253          0.254          0.234          0.211          0.244          0.271          0.289          0.297        428.013         41.771          1.310          1.310                 0.375                 0.312                 0.993             27       4699.469      11787.725          1.912          9.738       1700.000        167.483          2.544          0.333          0.169          0.153          0.142          0.108          0.136          0.124          0.190          0.761        239.946         24.777              ?              ?              ?
           1981             87     28/03/1981       1027.800             121.142            399.704         41.086          2.974          2.152          2.196          1.302          1.260          1.202          1.159          1.112          1.068          0.000          0.519          3.833          1.230          5.532        365.559        162.673       1419.457         386.199          0.190          0.261          0.271          0.277          0.282          0.287          0.295          0.299          0.300          0.300        480.016         93.054          0.572          0.572                 0.358                 0.325                 0.998             29       5162.420      12401.045          2.120         11.511       1700.000        158.688          2.721          0.311          0.150          0.136          0.105          0.090          0.097          0.080          0.062          0.081        244.690         11.026              ?              ?              ?
