Summary_file = g2_00_w0.sum
Title = Ghab2_W0_9900
      year       day       DAS tt_since_emerg          stage            lai     biomass_wt       grain_wt        leaf_wt        stem_wt      biomass_n        grain_n         leaf_n         stem_n            cep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)    n_conc_leaf    n_conc_stem   n_conc_grain
    (year)     (day)    (days)             ()             ()      (m^2/m^2)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)            (%)            (%)            (%)
      2000        15        25          0.000          2.451          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.197              0.117              0.144              0.195              0.237              0.261              0.275              0.289              0.298              0.302              5.641              4.155              2.891              5.090              5.352              5.546              3.260              4.260              3.270              0.852              0.073              0.053          0.000          0.000          0.000
      2000        16        26          0.000          2.478          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.185              0.118              0.144              0.195              0.237              0.261              0.275              0.289              0.298              0.302              5.736              4.173              2.897              5.130              5.359              5.548              3.150              4.260              3.270              0.812              0.067              0.048          0.000          0.000          0.000
      2000        17        27          0.000          2.502          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.175              0.118              0.144              0.195              0.237              0.261              0.275              0.289              0.297              0.302              5.822              4.186              2.903              5.169              5.365              5.550              3.053              4.260              3.270              0.773              0.061              0.043          0.000          0.000          0.000
      2000        18        28          0.000          2.532          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.312              0.176              0.145              0.195              0.237              0.261              0.275              0.289              0.297              0.302              4.985              5.146              2.919              5.207              5.368              5.551              2.984              4.128              3.270              0.736              0.058              0.040          0.000          0.000          0.000
      2000        19        29          0.000          2.583          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.288              0.265              0.150              0.195              0.237              0.261              0.275              0.289              0.297              0.302              3.837              6.230              3.088              5.243              5.372              5.551              2.912              4.013              3.270              0.701              0.055              0.037          0.000          0.000          0.000
      2000        20        30          0.000          2.646          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.275              0.270              0.156              0.195              0.237              0.261              0.275              0.289              0.297              0.302              3.792              6.375              3.220              5.279              5.375              5.552              2.831              3.887              3.270              0.666              0.051              0.034          0.000          0.000          0.000
      2000        21        31          0.000          2.672          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.267              0.265              0.161              0.195              0.237              0.261              0.275              0.289              0.297              0.302              3.887              6.413              3.342              5.314              5.378              5.552              2.751              3.765              3.256              0.633              0.048              0.032          0.000          0.000          0.000
      2000        22        32          0.000          2.697          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.309              0.292              0.171              0.196              0.237              0.261              0.275              0.289              0.297              0.302              3.547              6.666              3.739              5.348              5.381              5.552              2.678              3.656              3.118              0.601              0.045              0.030          0.000          0.000          0.000
      2000        23        33          0.000          2.731          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.326              0.303              0.190              0.196              0.237              0.261              0.275              0.289              0.297              0.302              3.337              6.626              4.294              5.384              5.383              5.551              2.607              3.550              2.988              0.571              0.043              0.028          0.000          0.000          0.000
      2000        24        34          0.000          2.789          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.312              0.294              0.207              0.196              0.237              0.261              0.275              0.289              0.297              0.302              3.320              6.444              4.795              5.421              5.386              5.551              2.538              3.448              2.867              0.542              0.041              0.026          0.000          0.000          0.000
