ApsimVersion = 6.1
Title = Sugar Sample Simulation
           Date      soil_evap  pot_soil_evap       pot_evap       drainage      infiltrat            esw          esw()         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)   surfaceom_wt  irrig_applied            lai        biomass  green_biomass av_swdef_photo av_nfact_photo
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     28/02/1981         13.533         13.550        116.367        250.413        446.678        388.108        398.103            0.1            0.0            0.1            0.0            0.0            0.0            0.0         2557.9          0.000          5.738        5764.50        5186.98          1.000          1.000
     31/03/1981         14.186         14.305        159.487         28.021        216.124        340.325        343.265            0.0            0.0            0.1            0.0            0.0            0.0            0.0         3460.8         65.731          5.968        6576.35        6002.88          1.000          1.000
     30/04/1981          8.144          8.144        123.897          0.000         86.809        248.753        257.510            0.1            0.1            0.1            0.1            0.0            0.0            0.0         4385.2          0.000          5.974        7254.52        6687.81          1.000          1.000
     31/05/1981          5.387          5.387        109.479          0.000        148.656        294.456        298.010            0.1            0.0            0.1            0.0            0.0            0.0            0.0         5363.6          0.000          6.031        7832.31        7314.53          1.000          0.982
     30/06/1981          3.749          3.749        102.343          0.000         14.998        174.938        180.217            0.2            0.1            0.1            0.1            0.0            0.0            0.0         6191.7          0.000          5.929        8351.40        7877.02          1.000          0.876
     31/07/1981          3.076          3.076        104.869          0.000        143.276        220.669        223.826            0.1            0.1            0.1            0.0            0.0            0.0            0.0         6997.7         67.022          5.561        8800.33        8326.39          1.000          0.793
     31/08/1981         25.197        133.524        145.519          0.000         43.569        229.063        229.191           77.0           21.3            5.4            0.5            0.0            0.0            0.0            0.0          0.000          0.052           9.33           9.33          0.968          0.663
     30/09/1981         47.319        126.518        142.760          0.000         72.108        241.353        242.371           58.4           31.3           14.0            1.5            0.0            0.0            0.0            0.0          0.000          0.602          85.33          85.33          1.000          1.000
     31/10/1981         42.715         80.733        162.933          0.000        121.727        231.118        233.298           18.9           21.7           20.4            2.9            0.0            0.0            0.0            0.4         66.748          2.896         564.03         561.92          1.000          1.000
     30/11/1981         33.746         40.270        150.955          0.000        230.619        301.503        305.780            0.3            0.1            0.1            0.1            0.0            0.0            0.0           10.9         67.622          5.735        1351.00        1338.92          1.000          1.000
     31/12/1981         33.945         36.646        174.910          0.000        144.354        178.299        188.677            0.5            0.1            0.2            0.2            0.0            0.0            0.0          148.8         65.753          6.601        2399.30        2246.68          1.000          1.000
     31/01/1982         32.465         36.315        191.383          0.000        298.270        213.465        216.494            0.1            0.1            0.1            0.1            0.0            0.0            0.0          636.9        135.989          6.299        3430.74        3034.85          1.000          1.000
     28/02/1982         18.728         18.728        117.457          0.000        278.602        333.119        342.255            0.1            0.1            0.1            0.0            0.0            0.0            0.0         1518.9          0.000          5.650        4014.34        3468.21          1.000          1.000
     31/03/1982         15.622         15.686        130.956         96.639        276.860        382.818        384.030            0.0            0.1            0.1            0.1            0.0            0.0            0.0         2760.2          0.000          5.589        4584.45        4027.50          1.000          1.000
     30/04/1982          8.529          8.529        106.723        267.047        350.655        339.736        340.596            0.1            0.1            0.1            0.0            0.0            0.0            0.0         4051.1          0.000          5.362        5075.28        4521.57          1.000          1.000
     31/05/1982          5.332          5.332         95.811         17.655         79.492        292.232        294.836            0.0            0.1            0.1            0.1            0.0            0.0            0.0         5282.5          0.000          5.364        5506.44        4999.19          1.000          1.000
     30/06/1982          3.418          3.418         90.595          0.000         31.932        213.052        216.577            0.1            0.1            0.1            0.1            0.0            0.0            0.0         6333.6          0.000          5.658        5991.00        5562.75          1.000          1.000
     31/07/1982          2.811          2.811        101.459          0.000        141.116        225.878        228.890            0.0            0.1            0.1            0.1            0.0            0.0            0.0         7189.7        130.116          5.905        6581.81        6195.44          1.000          1.000
     31/08/1982          2.691          2.691        126.103          0.000         14.000        119.055        122.836            0.1            0.1            0.2            0.1            0.0            0.0            0.0         7926.3          0.000          6.133        7308.78        6945.09          1.000          0.990
     30/09/1982         24.641        127.137        146.197          0.000         96.573        174.570        174.726          108.4            7.3            1.1            0.1            0.0            0.0            0.0            0.0         86.573          0.047           8.64           8.64          0.967          0.660
     31/10/1982         15.487        167.435        201.059          0.000         64.770        188.965        192.241           64.1           29.5           13.7            1.3            0.1            0.0            0.0            0.0         64.770          1.204         177.58         177.58          1.000          1.000
     30/11/1982         28.538         66.802        172.836          0.000        145.289        176.430        182.006            9.7           12.4           15.4            2.8            0.0            0.0            0.0            0.6        132.089          3.938         861.85         859.18          1.000          1.000
     31/12/1982         39.391         44.580        191.980          0.000        230.978        142.165        153.169            0.3            0.2            0.3            0.2            0.0            0.0            0.0           17.4        142.091          6.628        1966.72        1939.82          1.000          1.000
     31/01/1983         38.615         40.349        199.497          0.000        254.674        123.328        126.365            0.2            0.1            0.3            0.3            0.0            0.0            0.0          299.4        198.938          6.420        3043.51        2780.81          1.000          0.970
     28/02/1983         27.492         28.077        155.368          0.000        204.332        150.576        154.341            0.0            0.1            0.3            0.2            0.0            0.0            0.0          887.2        131.279          5.978        3851.70        3397.91          1.000          1.000
     31/03/1983         18.167         18.293        129.722         75.272        459.441        304.772        307.366            0.1            0.1            0.1            0.1            0.0            0.0            0.0         2123.5         72.378          5.440        4448.10        3870.40          1.000          1.000
     30/04/1983         11.938         12.139        123.192          0.663        204.210        367.257        369.592            0.0            0.0            0.1            0.0            0.0            0.0            0.0         3487.0          0.000          5.538        5010.95        4427.67          1.000          1.000
     31/05/1983          5.789          5.789         92.479        113.163        181.813        359.795        360.830            0.0            0.0            0.1            0.0            0.0            0.0            0.0         4943.4          0.000          5.476        5414.67        4867.17          1.000          1.000
     30/06/1983          4.080          4.080        100.627         28.515         22.000        251.966        256.962            0.1            0.1            0.1            0.1            0.0            0.0            0.0         6214.6          0.000          5.651        5918.40        5419.74          1.000          1.000
     31/07/1983          2.851          2.851        102.842          0.000         75.238        216.029        220.272            0.1            0.1            0.1            0.1            0.0            0.0            0.0         7317.1         66.238          5.950        6463.63        6030.76          1.000          1.000
     31/08/1983          2.638          2.638        131.939          0.000         69.374        161.915        166.578            0.1            0.1            0.2            0.1            0.0            0.0            0.0         8272.8         65.374          5.915        7172.76        6762.04          1.000          0.948
     30/09/1983          2.104          2.104        137.939          0.000         89.174        124.422        128.421            0.1            0.1            0.2            0.1            0.0            0.0            0.0         9101.4         67.174          5.745        7756.92        7348.59          1.000          0.802
     31/10/1983         27.386        161.285        197.034          0.000         94.618        164.880        165.063          106.6            6.3            1.0            0.1            0.0            0.0            0.0            0.0         82.618          0.079          13.10          13.10          0.968          0.698
     30/11/1983         45.215        145.099        177.274          0.000        140.067        233.772        235.967           37.5           37.8           24.1            3.4            0.1            0.0            0.0            0.0          0.000          1.148         163.69         163.69          1.000          1.000
     31/12/1983         42.383         70.280        183.595          0.000        121.929        185.670        191.570            6.1            8.3           12.5            3.8            0.1            0.0            0.0            4.0          0.000          4.124         878.19         874.01          1.000          1.000
     31/01/1984         26.484         36.305        157.223          0.000        221.254        244.756        247.772            0.3            0.1            0.2            0.1            0.0            0.0            0.0           45.2          0.000          6.411        1758.22        1707.11          1.000          1.000
     29/02/1984         23.631         23.631        115.706        138.424        358.271        339.461        345.247            0.1            0.1            0.1            0.1            0.0            0.0            0.0          249.5          0.000          6.200        2468.42        2252.85          1.000          1.000
     31/03/1984         26.161         28.322        152.440         33.432        120.402        260.913        262.947            0.1            0.1            0.2            0.2            0.0            0.0            0.0          879.6          0.000          5.849        3284.42        2870.08          1.000          1.000
     30/04/1984         16.915         17.262        118.749          0.000        125.973        249.790        251.994            0.1            0.1            0.2            0.1            0.0            0.0            0.0         1971.3          0.000          5.552        3896.35        3379.95          1.000          1.000
     31/05/1984         11.640         11.640        114.503          0.000         61.000        199.977        202.515            0.1            0.1            0.2            0.2            0.0            0.0            0.0         3178.3          0.000          5.897        4461.60        3987.42          1.000          1.000
     30/06/1984          6.065          6.065         86.273          0.000         49.000        165.251        168.436            0.0            0.1            0.2            0.1            0.0            0.0            0.0         4244.5          0.000          6.057        4906.91        4477.19          1.000          1.000
     31/07/1984          4.487          4.487         88.593          0.000        128.362        205.059        208.408            0.0            0.1            0.1            0.1            0.0            0.0            0.0         5252.4         64.516          5.994        5389.36        4988.82          1.000          1.000
     31/08/1984          4.703          4.703        125.428          0.000         77.730        147.826        151.379            0.1            0.1            0.2            0.1            0.0            0.0            0.0         6159.5         64.730          6.135        6126.79        5745.45          1.000          1.000
     30/09/1984          4.097          4.097        142.829          0.000        139.338        153.262        157.754            0.1            0.1            0.1            0.1            0.0            0.0            0.0         6973.3        131.338          6.059        6850.91        6461.33          1.000          0.901
     31/10/1984          3.790          3.790        168.178          0.000         85.865        102.021        108.337            0.1            0.1            0.2            0.2            0.0            0.0            0.0         7823.1          0.000          5.721        7581.42        7160.52          1.000          0.791
     30/11/1984         54.691        142.078        184.494          0.000        166.720        192.410        192.617           68.1           33.5           10.6            1.0            0.1            0.0            0.0            0.0         79.016          0.068          11.50          11.50          0.967          0.725
     31/12/1984         32.062        176.437        223.394          0.000         69.594        182.572        189.488           40.3           35.0           21.5            3.0            0.1            0.0            0.0            0.0          0.000          1.511         225.55         225.55          1.000          1.000
     31/01/1985         36.632         67.790        195.871          0.000        143.092        154.722        158.362            3.9            6.2           11.1            3.0            0.1            0.0            0.0            5.4         65.092          4.760        1017.46        1011.52          1.000          1.000
     28/02/1985         25.319         26.077        118.653          7.617        321.039        329.694        335.597            0.2            0.1            0.1            0.1            0.0            0.0            0.0           50.1          0.000          6.623        1738.05        1679.29          1.000          1.000
     31/03/1985         24.608         25.057        124.316         84.380        255.518        368.400        369.480            0.1            0.1            0.1            0.1            0.0            0.0            0.0          358.4          0.000          5.984        2435.00        2157.57          1.000          1.000
     30/04/1985         20.774         20.881        116.714         42.130        109.079        314.243        319.041            0.1            0.1            0.1            0.1            0.0            0.0            0.0         1151.0          0.000          5.495        3056.07        2615.66          1.000          1.000
     31/05/1985         13.298         13.425         96.987          0.000         81.949        312.894        314.695            0.0            0.0            0.1            0.1            0.0            0.0            0.0         2386.7          0.000          5.038        3509.00        2999.30          1.000          1.000
     30/06/1985          9.863          9.866        105.821          0.000         32.845        245.308        248.793            0.0            0.1            0.1            0.1            0.0            0.0            0.0         3611.2          0.000          5.242        4059.38        3605.57          1.000          1.000
     31/07/1985          6.541          6.541        102.088          0.000         76.133        218.977        223.958            0.0            0.1            0.1            0.1            0.0            0.0            0.0         4672.7         65.133          5.627        4628.85        4244.66          1.000          1.000
     31/08/1985          5.814          5.814        126.960          0.000         74.624        162.956        167.184            0.1            0.1            0.2            0.1            0.0            0.0            0.0         5515.7         65.624          6.180        5368.83        5021.71          1.000          1.000
     30/09/1985          4.671          4.671        133.762          0.000        142.388        149.784        155.063            0.1            0.1            0.1            0.1            0.0            0.0            0.0         6250.0        131.388          6.455        6183.71        5840.46          1.000          1.000
     31/10/1985          4.210          4.210        152.511          0.000        154.915        169.963        175.446            0.1            0.1            0.1            0.1            0.0            0.0            0.0         7005.1         65.559          6.602        7048.49        6689.00          1.000          0.982
     30/11/1985          3.227          3.227        148.791          0.000        182.496        217.970        224.305            0.1            0.1            0.1            0.1            0.0            0.0            0.0         7817.5          0.000          6.289        7783.86        7347.23          1.000          0.911
     31/12/1985         35.145        156.361        205.682          0.000         37.769        188.833          0.000            1.0            0.1            0.2            0.2            0.1            0.0            0.0            0.0          0.000          0.000           0.00           0.00          0.226          0.201
     31/01/1986         77.540        161.773        161.773          0.000        225.293        342.479          0.000            1.9            0.7            0.1            0.1            0.1            0.0            0.0            0.0          0.000          0.000           0.00           0.00          0.000          0.000
     28/02/1986         59.760        158.477        158.477         58.821        116.465        332.383          0.000            6.1            1.0            0.3            0.2            0.1            0.0            0.0            0.0          0.000          0.000           0.00           0.00          0.000          0.000
     31/03/1986         85.326        146.487        146.487         39.105        132.633        352.979          0.000            7.5            4.8            1.8            0.2            0.1            0.0            0.0            0.0          0.000          0.000           0.00           0.00          0.000          0.000
     30/04/1986         67.724        112.006        112.006         36.010        117.992        352.090          0.000            8.7            7.3            4.9            0.4            0.1            0.0            0.0            0.0          0.000          0.000           0.00           0.00          0.000          0.000
     31/05/1986         63.589        109.422        109.422         85.476        135.059        338.381        338.392           90.1           57.2           24.4            4.2            0.1            0.0            0.0            0.0          0.000          0.011           3.65           3.65          0.903          0.000
     30/06/1986         44.087        101.175        103.220         28.478         43.412        312.005        312.145           83.9           55.8           33.0            6.0            0.1            0.0            0.0            0.0          0.000          0.084          13.72          13.72          1.000          1.000
     31/07/1986         29.059         85.766         97.968          4.006         27.000        298.835        299.694           83.8           56.3           36.7            7.5            0.1            0.0            0.0            0.0          0.000          0.540          76.74          76.74          1.000          1.000
     31/08/1986         25.501         65.808        120.553          0.037         34.999        262.721        266.186           60.3           46.9           36.4            9.4            0.1            0.0            0.0            0.5          0.000          2.401         442.64         440.44          1.000          1.000
     30/09/1986         28.353         40.363        135.601          0.000        137.497        260.717        265.624           12.4           21.8           36.0           12.9            0.1            0.0            0.0            7.5         64.630          4.655        1199.86        1193.92          1.000          1.000
     31/10/1986         32.525         39.960        179.206          0.000        159.202        204.957        212.377            0.1            0.1            0.4            0.6            0.1            0.0            0.0           46.2        134.202          6.682        2393.42        2346.80          1.000          1.000
     30/11/1986         30.781         32.973        165.855          0.000        204.252        173.962        181.764            0.0            0.1            0.3            0.4            0.1            0.0            0.0          316.0        137.789          6.807        3515.69        3276.02          1.000          1.000
     31/12/1986         27.561         31.871        187.722          0.000        150.695        168.600        177.593            0.0            0.1            0.3            0.4            0.1            0.0            0.0         1103.2         68.023          6.774        4690.44        4242.92          1.000          1.000
     31/01/1987         25.684         26.083        208.306          0.000        293.264        160.050        163.787            0.0            0.1            0.3            0.5            0.1            0.0            0.0         2378.3        272.264          6.874        5877.70        5320.57          1.000          1.000
     28/02/1987          9.230          9.230        112.172          0.000        219.409        243.574        247.700            0.0            0.1            0.1            0.1            0.1            0.0            0.0         3754.6          0.000          6.574        6480.23        5884.34          1.000          1.000
     31/03/1987          7.220          7.220        136.362          0.000        153.053        226.556        232.728            0.0            0.1            0.1            0.2            0.1            0.0            0.0         5357.2          0.000          6.408        7227.02        6613.06          1.000          1.000
     30/04/1987          3.218          3.218         97.617          0.000        202.590        341.612        343.524            0.0            0.0            0.1            0.1            0.1            0.0            0.0         7026.5          0.000          5.975        7689.57        7054.32          1.000          1.000
     31/05/1987          2.144          2.144        110.107         72.953        129.375        285.742        290.435            0.0            0.1            0.1            0.1            0.1            0.0            0.0         8763.6          0.000          5.912        8284.08        7671.48          1.000          1.000
     30/06/1987          1.108          1.108         92.666          0.807         40.000        254.959        257.106            0.0            0.1            0.1            0.1            0.1            0.0            0.0        10275.2          0.000          6.042        8775.83        8223.21          1.000          1.000
     31/07/1987          0.663          0.663         89.534          0.000         36.000        195.092        198.531            0.0            0.1            0.1            0.1            0.1            0.0            0.0        11670.4          0.000          6.168        9309.97        8817.73          1.000          1.000
     31/08/1987         36.806        107.892        122.387          0.000         57.805        207.888        207.964           75.6           19.0            4.1            0.8            0.8            0.0            0.0            0.0          0.000          0.036           7.09           7.09          0.968          0.613
     30/09/1987         23.561        128.839        139.750          0.000         37.912        214.966        215.667           60.6           27.2            9.1            1.5            1.5            0.0            0.0            0.0          0.000          0.392          56.27          56.27          1.000          1.000
     31/10/1987         25.447        100.357        186.514          0.000         75.529        188.803        190.748           20.8           16.8           12.8            2.3            1.6            0.0            0.0            0.2         65.529          2.907         538.32         536.69          1.000          1.000
     30/11/1987         36.818         37.019        141.926          0.000        156.514        200.596        202.622            0.2            0.1            0.2            0.2            0.3            0.0            0.0           10.1         67.717          5.682        1300.52        1289.30          1.000          1.000
     31/12/1987         36.945         38.861        185.326          0.000        184.489        144.145        150.152            0.2            0.1            0.3            0.3            0.3            0.0            0.0          128.4        138.495          6.532        2422.23        2276.74          1.000          0.977
     31/01/1988         32.192         34.518        179.048          0.000        243.045        161.609        166.359            0.0            0.1            0.2            0.2            0.3            0.0            0.0          666.2        136.728          5.972        3397.47        3018.18          1.000          0.997
     29/02/1988         21.123         21.259        136.654          0.000        212.087        225.127        227.459            0.0            0.1            0.2            0.1            0.1            0.0            0.0         1736.3          0.000          5.428        4069.83        3532.43          1.000          1.000
     31/03/1988         15.871         15.940        146.420          0.000         87.891        162.921        164.170            0.1            0.1            0.2            0.2            0.2            0.0            0.0         3149.5          0.000          5.601        4747.61        4187.53          1.000          1.000
     30/04/1988          7.814          7.814        110.157          0.000        270.784        333.451        335.959            0.0            0.0            0.1            0.1            0.1            0.0            0.0         4554.8         67.174          5.575        5258.60        4704.05          1.000          1.000
     31/05/1988          3.921          3.921         87.418         27.904         99.038        300.968        302.326            0.0            0.1            0.1            0.1            0.1            0.0            0.0         5982.7          0.000          5.599        5639.00        5137.46          1.000          1.000
     30/06/1988          2.605          2.605         87.644          1.816          7.000        216.054        218.816            0.0            0.1            0.1            0.1            0.1            0.0            0.0         7175.5          0.000          5.700        6083.70        5622.93          1.000          1.000
     31/07/1988          1.938          1.938         93.962          0.000         58.930        198.693        201.125            0.0            0.1            0.1            0.1            0.1            0.0            0.0         8317.2          0.000          5.678        6573.53        6141.47          1.000          0.994
     31/08/1988          1.792          1.792        121.498          0.000         50.000        159.500        161.973            0.1            0.1            0.1            0.1            0.1            0.0            0.0         9369.9          0.000          5.463        7160.82        6737.57          1.000          0.903
     30/09/1988         28.064        125.565        142.715          0.000         76.241        198.729        198.848           69.3           26.4           12.2            1.5            0.2            0.0            0.0            0.0         68.241          0.054           9.56           9.56          0.967          0.682
     31/10/1988         18.129        166.277        199.342          0.000         29.955        188.171        189.410           52.2           31.6           15.3            1.7            0.5            0.0            0.0            0.0          0.000          1.143         159.94         159.94          1.000          1.000
     30/11/1988         46.331         61.279        157.172          0.000        147.779        177.746        182.631            8.3           11.7           17.0            4.3            0.9            0.0            0.0            2.4          0.000          3.846         765.02         761.74          1.000          1.000
     31/12/1988         31.678         34.302        145.867          0.000        182.070        211.522        214.504            0.1            0.1            0.2            0.3            0.2            0.0            0.0           30.8          0.000          6.437        1571.57        1533.80          1.000          1.000
     31/01/1989         30.669         33.715        166.905          0.000        173.714        158.488        166.035            0.1            0.1            0.2            0.2            0.2            0.0            0.0          268.5          0.000          6.573        2589.22        2368.87          1.000          1.000
     28/02/1989         23.958         24.229        132.751          0.000        283.409        277.683        280.285            0.0            0.0            0.1            0.1            0.1            0.0            0.0          884.4          0.000          6.002        3286.58        2878.95          1.000          1.000
     31/03/1989         15.910         15.910        112.231        253.025        463.028        387.566        390.474            0.0            0.0            0.1            0.1            0.0            0.0            0.0         2138.1          0.000          5.274        3809.94        3261.47          1.000          1.000
     30/04/1989          9.876          9.876        101.231        228.952        309.812        355.645        358.402            0.1            0.1            0.1            0.1            0.0            0.0            0.0         3563.2          0.000          5.097        4241.72        3696.44          1.000          1.000
     31/05/1989          5.596          5.596         87.461        127.477        218.222        370.856        373.577            0.0            0.0            0.1            0.0            0.0            0.0            0.0         4997.6          0.000          4.940        4608.94        4099.14          1.000          1.000
     30/06/1989          3.516          3.516         82.997         55.075         68.121        319.241        320.464            0.0            0.0            0.1            0.0            0.0            0.0            0.0         6264.3          0.000          5.048        4995.47        4541.45          1.000          1.000
     31/07/1989          2.631          2.631         93.862         39.831         84.527        294.149        297.233            0.0            0.0            0.1            0.0            0.0            0.0            0.0         7385.6          0.000          5.503        5495.93        5111.39          1.000          1.000
     31/08/1989          2.388          2.388        118.706          2.374         78.714        251.002        254.924            0.0            0.0            0.1            0.1            0.1            0.0            0.0         8300.1         64.714          5.762        6192.32        5829.83          1.000          1.000
     30/09/1989          2.149          2.149        142.922          0.000          3.000         87.932         92.822            0.0            0.2            0.2            0.2            0.1            0.0            0.0         9092.9          0.000          6.178        7011.56        6664.97          1.000          0.992
     31/10/1989         35.927        164.513        200.196          0.000        172.645        191.762        192.015           78.1           29.4            7.1            0.4            0.1            0.0            0.0            0.0        116.585          0.075          12.51          12.51          0.968          0.728
     30/11/1989         41.091        131.151        152.790          0.000        175.403        338.088        338.676           13.0           25.1           42.3           18.4            4.5            0.0            0.0            0.0          0.000          0.750         105.75         105.75          1.000          1.000
     31/12/1989         33.933         80.589        186.645          0.000         90.925        231.751        239.594            6.1            6.6           13.0            6.4            1.6            0.0            0.0            4.4          0.000          3.520         761.55         757.56          1.000          1.000
     31/01/1990         34.914         45.547        185.827          0.000        207.115        187.257        195.670            0.2            0.1            0.3            0.4            0.2            0.0            0.0           32.9        134.853          6.045        1767.58        1735.01          1.000          1.000
     28/02/1990         30.527         32.884        158.161          0.000        242.561        181.718        184.579            0.1            0.1            0.2            0.3            0.3            0.0            0.0          168.9        139.680          6.232        2600.91        2434.18          1.000          0.946
     31/03/1990         25.138         25.247        129.717          0.000        359.485        386.613        389.956            0.0            0.0            0.1            0.1            0.0            0.0            0.0          771.4          0.000          5.449        3296.35        2902.19          1.000          1.000
