ApsimVersion = 6.1
Title = Canopy Sample Simulation
           Date       sw_dep()     lai_cowpea      lai_maize  cover_tot_sum    biom_cowpea     biom_maize
     05/05/1988       1358.651          0.000          0.207          0.318            0.0         1682.6
     06/05/1988       1357.970          0.000          0.201          0.318            0.0         1696.7
     07/05/1988       1357.280          0.000          0.195          0.317            0.0         1710.8
     08/05/1988       1356.671          0.000          0.189          0.317            0.0         1724.2
     09/05/1988       1356.070          0.000          0.184          0.317            0.0         1737.4
     10/05/1988       1355.498          0.000          0.180          0.316            0.0         1750.3
     11/05/1988       1354.919          0.000          0.175          0.316            0.0         1763.3
     12/05/1988       1354.349          0.000          0.170          0.316            0.0         1775.9
     13/05/1988       1353.821          0.000          0.166          0.315            0.0         1787.7
     14/05/1988       1353.282          0.000          0.162          0.315            0.0         1799.0
     15/05/1988       1352.790          0.000          0.158          0.315            0.0         1809.6
     16/05/1988       1352.276          0.000          0.154          0.314            0.0         1820.1
     17/05/1988       1351.893          0.000          0.150          0.314            0.0         1825.6
     18/05/1988       1374.485          0.000          0.146          0.314            0.0         1833.1
     19/05/1988       1372.611          0.000          0.143          0.314            0.0         1843.2
     20/05/1988       1371.259          0.000          0.141          0.313            0.0         1849.3
     21/05/1988       1370.440          0.000          0.138          0.313            0.0         1855.0
     22/05/1988       1368.793          0.000          0.135          0.313            0.0         1862.4
     23/05/1988       1367.010          0.000          0.132          0.313            0.0         1871.7
     24/05/1988       1365.455          0.000          0.128          0.313            0.0         1880.1
     25/05/1988       1363.848          0.000          0.126          0.312            0.0         1885.9
     26/05/1988       1362.264          0.000          0.123          0.312            0.0         1895.0
     27/05/1988       1361.331          0.000          0.119          0.312            0.0         1903.9
     28/05/1988       1360.522          0.000          0.116          0.312            0.0         1910.5
     29/05/1988       1359.778          0.000          0.114          0.312            0.0         1916.8
     30/05/1988       1359.076          0.000          0.112          0.311            0.0         1921.7
     31/05/1988       1358.394          0.000          0.110          0.311            0.0         1928.1
     01/06/1988       1357.788          0.000          0.108          0.311            0.0         1933.6
     02/06/1988       1357.197          0.000          0.106          0.311            0.0         1939.8
     03/06/1988       1356.613          0.000          0.104          0.311            0.0         1945.7
     04/06/1988       1356.108          0.000          0.101          0.311            0.0         1948.6
     05/06/1988       1377.030          0.000          0.099          0.311            0.0         1952.6
     06/06/1988       1378.766          0.000          0.096          0.310            0.0         1957.6
     07/06/1988       1377.148          0.000          0.095          0.310            0.0         1962.8
     08/06/1988       1375.524          0.000          0.093          0.310            0.0         1966.1
     09/06/1988       1373.906          0.000          0.092          0.310            0.0         1970.5
     10/06/1988       1372.832          0.000          0.090          0.310            0.0         1976.9
     11/06/1988       1371.237          0.000          0.088          0.310            0.0         1980.9
     12/06/1988       1369.752          0.000          0.087          0.310            0.0         1982.8
     13/06/1988       1368.089          0.000          0.074          0.310            0.0         1985.1
     14/06/1988       1366.574          0.000          0.066          0.309            0.0         1987.6
     15/06/1988       1365.706          0.000          0.063          0.308            0.0         1990.6
     16/06/1988       1364.937          0.000          0.063          0.308            0.0         1993.5
     17/06/1988       1364.217          0.000          0.063          0.308            0.0         1996.4
     18/06/1988       1363.541          0.000          0.063          0.308            0.0         2000.3
     19/06/1988       1362.943          0.000          0.004          0.308            0.0         2000.3
     20/06/1988       1362.377          0.000          0.000          0.304            0.0            0.0
     21/06/1988       1361.839          0.000          0.000          0.000            0.0            0.0
     22/06/1988       1361.324          0.000          0.000          0.000            0.0            0.0
     23/06/1988       1360.831          0.000          0.000          0.000            0.0            0.0
     24/06/1988       1360.355          0.000          0.000          0.000            0.0            0.0
     25/06/1988       1359.897          0.000          0.000          0.000            0.0            0.0
     26/06/1988       1359.453          0.000          0.000          0.000            0.0            0.0
     27/06/1988       1359.023          0.000          0.000          0.000            0.0            0.0
     28/06/1988       1358.606          0.000          0.000          0.000            0.0            0.0
     29/06/1988       1358.200          0.000          0.000          0.000            0.0            0.0
     30/06/1988       1357.804          0.000          0.000          0.000            0.0            0.0
     01/07/1988       1357.418          0.000          0.000          0.000            0.0            0.0
     02/07/1988       1357.041          0.000          0.000          0.000            0.0            0.0
     03/07/1988       1356.673          0.000          0.000          0.000            0.0            0.0
     04/07/1988       1356.474          0.000          0.000          0.000            0.0            0.0
     05/07/1988       1380.615          0.000          0.000          0.000            0.0            0.0
     06/07/1988       1402.812          0.000          0.000          0.000            0.0            0.0
     07/07/1988       1400.410          0.000          0.000          0.000            0.0            0.0
     08/07/1988       1398.497          0.000          0.000          0.000            0.0            0.0
     09/07/1988       1395.814          0.000          0.000          0.000            0.0            0.0
     10/07/1988       1394.401          0.000          0.000          0.000            0.0            0.0
     11/07/1988       1408.120          0.000          0.000          0.000            0.0            0.0
     12/07/1988       1407.280          0.000          0.000          0.000            0.0            0.0
     13/07/1988       1404.829          0.000          0.000          0.000            0.0            0.0
     14/07/1988       1402.722          0.000          0.000          0.000            0.0            0.0
     15/07/1988       1400.028          0.000          0.000          0.000            0.0            0.0
     16/07/1988       1398.433          0.000          0.000          0.000            0.0            0.0
     17/07/1988       1397.330          0.000          0.000          0.000            0.0            0.0
     18/07/1988       1396.397          0.000          0.000          0.000            0.0            0.0
     19/07/1988       1395.575          0.000          0.000          0.000            0.0            0.0
     20/07/1988       1394.831          0.000          0.000          0.000            0.0            0.0
     21/07/1988       1394.146          0.000          0.000          0.000            0.0            0.0
     22/07/1988       1400.812          0.000          0.000          0.000            0.0            0.0
     23/07/1988       1398.156          0.000          0.000          0.000            0.0            0.0
     24/07/1988       1395.797          0.000          0.000          0.000            0.0            0.0
     25/07/1988       1395.033          0.000          0.000          0.000            0.0            0.0
     26/07/1988       1394.333          0.000          0.000          0.000            0.0            0.0
     27/07/1988       1393.683          0.000          0.000          0.000            0.0            0.0
     28/07/1988       1393.074          0.000          0.000          0.000            0.0            0.0
     29/07/1988       1392.499          0.000          0.000          0.000            0.0            0.0
     30/07/1988       1391.952          0.000          0.000          0.000            0.0            0.0
     31/07/1988       1391.431          0.000          0.000          0.000            0.0            0.0
     01/08/1988       1390.931          0.000          0.000          0.000            0.0            0.0
     02/08/1988       1390.450          0.000          0.000          0.000            0.0            0.0
     03/08/1988       1389.986          0.000          0.000          0.000            0.0            0.0
     04/08/1988       1389.538          0.000          0.000          0.000            0.0            0.0
     05/08/1988       1389.104          0.000          0.000          0.000            0.0            0.0
     06/08/1988       1388.683          0.000          0.000          0.000            0.0            0.0
     07/08/1988       1388.274          0.000          0.000          0.000            0.0            0.0
     08/08/1988       1387.875          0.000          0.000          0.000            0.0            0.0
     09/08/1988       1387.486          0.000          0.000          0.000            0.0            0.0
     10/08/1988       1387.106          0.000          0.000          0.000            0.0            0.0
     11/08/1988       1386.735          0.000          0.000          0.000            0.0            0.0
     12/08/1988       1386.373          0.000          0.000          0.000            0.0            0.0
     13/08/1988       1386.017          0.000          0.000          0.000            0.0            0.0
     14/08/1988       1385.669          0.000          0.000          0.000            0.0            0.0
     15/08/1988       1385.328          0.000          0.000          0.000            0.0            0.0
     16/08/1988       1384.992          0.000          0.000          0.000            0.0            0.0
     17/08/1988       1384.663          0.000          0.000          0.000            0.0            0.0
     18/08/1988       1384.340          0.000          0.000          0.000            0.0            0.0
     19/08/1988       1384.022          0.000          0.000          0.000            0.0            0.0
     20/08/1988       1383.708          0.000          0.000          0.000            0.0            0.0
     21/08/1988       1383.401          0.000          0.000          0.000            0.0            0.0
     22/08/1988       1383.097          0.000          0.000          0.000            0.0            0.0
     23/08/1988       1410.868          0.000          0.000          0.000            0.0            0.0
     24/08/1988       1409.476          0.000          0.000          0.000            0.0            0.0
     25/08/1988       1406.737          0.000          0.000          0.000            0.0            0.0
     26/08/1988       1404.000          0.000          0.000          0.000            0.0            0.0
     27/08/1988       1402.581          0.000          0.000          0.000            0.0            0.0
     28/08/1988       1406.284          0.000          0.000          0.000            0.0            0.0
     29/08/1988       1402.683          0.000          0.000          0.000            0.0            0.0
     30/08/1988       1401.565          0.000          0.000          0.000            0.0            0.0
     31/08/1988       1400.625          0.000          0.000          0.000            0.0            0.0
     01/09/1988       1399.797          0.000          0.000          0.000            0.0            0.0
     02/09/1988       1399.048          0.000          0.000          0.000            0.0            0.0
     03/09/1988       1398.360          0.000          0.000          0.000            0.0            0.0
     04/09/1988       1397.720          0.000          0.000          0.000            0.0            0.0
     05/09/1988       1397.119          0.000          0.000          0.000            0.0            0.0
     06/09/1988       1396.550          0.000          0.000          0.000            0.0            0.0
     07/09/1988       1402.032          0.000          0.000          0.000            0.0            0.0
     08/09/1988       1397.897          0.000          0.000          0.000            0.0            0.0
     09/09/1988       1397.286          0.000          0.000          0.000            0.0            0.0
     10/09/1988       1396.708          0.000          0.000          0.000            0.0            0.0
     11/09/1988       1396.160          0.000          0.000          0.000            0.0            0.0
     12/09/1988       1407.328          0.000          0.000          0.000            0.0            0.0
     13/09/1988       1415.359          0.000          0.000          0.000            0.0            0.0
     14/09/1988       1414.002          0.000          0.000          0.000            0.0            0.0
     15/09/1988       1422.896          0.000          0.000          0.000            0.0            0.0
     16/09/1988       1420.357          0.000          0.000          0.000            0.0            0.0
     17/09/1988       1417.118          0.000          0.000          0.000            0.0            0.0
     18/09/1988       1415.671          0.000          0.000          0.000            0.0            0.0
     19/09/1988       1414.560          0.000          0.000          0.000            0.0            0.0
     20/09/1988       1413.623          0.000          0.000          0.000            0.0            0.0
     21/09/1988       1412.797          0.000          0.000          0.000            0.0            0.0
     22/09/1988       1412.051          0.000          0.000          0.000            0.0            0.0
     23/09/1988       1411.364          0.000          0.000          0.000            0.0            0.0
     24/09/1988       1410.725          0.000          0.000          0.000            0.0            0.0
     25/09/1988       1410.125          0.000          0.000          0.000            0.0            0.0
     26/09/1988       1409.557          0.000          0.000          0.000            0.0            0.0
     27/09/1988       1409.017          0.000          0.000          0.000            0.0            0.0
     28/09/1988       1410.583          0.000          0.000          0.000            0.0            0.0
     29/09/1988       1408.883          0.000          0.000          0.000            0.0            0.0
     30/09/1988       1408.373          0.000          0.000          0.000            0.0            0.0
     01/10/1988       1407.883          0.000          0.000          0.000            0.0            0.0
     02/10/1988       1407.411          0.000          0.000          0.000            0.0            0.0
     03/10/1988       1406.955          0.000          0.000          0.000            0.0            0.0
     04/10/1988       1406.514          0.000          0.000          0.000            0.0            0.0
     05/10/1988       1406.087          0.000          0.000          0.000            0.0            0.0
     06/10/1988       1405.672          0.000          0.000          0.000            0.0            0.0
     07/10/1988       1405.268          0.000          0.000          0.000            0.0            0.0
     08/10/1988       1404.874          0.000          0.000          0.000            0.0            0.0
     09/10/1988       1404.490          0.000          0.000          0.000            0.0            0.0
     10/10/1988       1404.115          0.000          0.000          0.000            0.0            0.0
     11/10/1988       1403.748          0.000          0.000          0.000            0.0            0.0
     12/10/1988       1403.389          0.000          0.000          0.000            0.0            0.0
     13/10/1988       1403.037          0.000          0.000          0.000            0.0            0.0
     14/10/1988       1402.692          0.000          0.000          0.000            0.0            0.0
     15/10/1988       1402.354          0.000          0.000          0.000            0.0            0.0
     16/10/1988       1402.022          0.000          0.000          0.000            0.0            0.0
     17/10/1988       1401.695          0.000          0.000          0.000            0.0            0.0
     18/10/1988       1401.375          0.000          0.000          0.000            0.0            0.0
     19/10/1988       1401.059          0.000          0.000          0.000            0.0            0.0
     20/10/1988       1400.749          0.000          0.000          0.000            0.0            0.0
     21/10/1988       1400.443          0.000          0.000          0.000            0.0            0.0
     22/10/1988       1400.141          0.000          0.000          0.000            0.0            0.0
     23/10/1988       1399.845          0.000          0.000          0.000            0.0            0.0
     24/10/1988       1399.552          0.000          0.000          0.000            0.0            0.0
     25/10/1988       1399.263          0.000          0.000          0.000            0.0            0.0
     26/10/1988       1398.979          0.000          0.000          0.000            0.0            0.0
     27/10/1988       1398.698          0.000          0.000          0.000            0.0            0.0
     28/10/1988       1398.420          0.000          0.000          0.000            0.0            0.0
     29/10/1988       1398.146          0.000          0.000          0.000            0.0            0.0
     30/10/1988       1397.875          0.000          0.000          0.000            0.0            0.0
     31/10/1988       1397.608          0.000          0.000          0.000            0.0            0.0
     01/11/1988       1397.343          0.000          0.000          0.000            0.0            0.0
     02/11/1988       1397.081          0.000          0.000          0.000            0.0            0.0
     03/11/1988       1396.823          0.000          0.000          0.000            0.0            0.0
     04/11/1988       1396.567          0.000          0.000          0.000            0.0            0.0
     05/11/1988       1396.313          0.000          0.000          0.000            0.0            0.0
     06/11/1988       1396.063          0.000          0.000          0.000            0.0            0.0
     07/11/1988       1395.815          0.000          0.000          0.000            0.0            0.0
     08/11/1988       1395.569          0.000          0.000          0.000            0.0            0.0
     09/11/1988       1395.326          0.000          0.000          0.000            0.0            0.0
     10/11/1988       1395.085          0.000          0.000          0.000            0.0            0.0
     11/11/1988       1394.846          0.000          0.000          0.000            0.0            0.0
     12/11/1988       1394.610          0.000          0.000          0.000            0.0            0.0
     13/11/1988       1394.375          0.000          0.000          0.000            0.0            0.0
     14/11/1988       1394.143          0.000          0.000          0.000            0.0            0.0
     15/11/1988       1393.913          0.000          0.000          0.000            0.0            0.0
     16/11/1988       1406.632          0.000          0.000          0.000            0.0            0.0
     17/11/1988       1404.502          0.000          0.000          0.000            0.0            0.0
     18/11/1988       1404.126          0.000          0.000          0.000            0.0            0.0
     19/11/1988       1403.759          0.000          0.000          0.000            0.0            0.0
     20/11/1988       1403.400          0.000          0.000          0.000            0.0            0.0
     21/11/1988       1403.048          0.000          0.000          0.000            0.0            0.0
     22/11/1988       1402.703          0.000          0.000          0.000            0.0            0.0
     23/11/1988       1402.364          0.000          0.000          0.000            0.0            0.0
     24/11/1988       1402.032          0.000          0.000          0.000            0.0            0.0
     25/11/1988       1401.706          0.000          0.000          0.000            0.0            0.0
     26/11/1988       1401.385          0.000          0.000          0.000            0.0            0.0
     27/11/1988       1401.069          0.000          0.000          0.000            0.0            0.0
     28/11/1988       1400.758          0.000          0.000          0.000            0.0            0.0
     29/11/1988       1400.452          0.000          0.000          0.000            0.0            0.0
     30/11/1988       1400.151          0.000          0.000          0.000            0.0            0.0
     01/12/1988       1399.854          0.000          0.000          0.000            0.0            0.0
     02/12/1988       1399.561          0.000          0.000          0.000            0.0            0.0
     03/12/1988       1399.272          0.000          0.000          0.000            0.0            0.0
     04/12/1988       1398.988          0.000          0.000          0.000            0.0            0.0
     05/12/1988       1398.706          0.000          0.000          0.000            0.0            0.0
     06/12/1988       1398.429          0.000          0.000          0.000            0.0            0.0
     07/12/1988       1398.154          0.000          0.000          0.000            0.0            0.0
     08/12/1988       1398.938          0.000          0.000          0.000            0.0            0.0
     09/12/1988       1397.883          0.000          0.000          0.000            0.0            0.0
     10/12/1988       1424.184          0.000          0.000          0.000            0.0            0.0
     11/12/1988       1420.747          0.000          0.000          0.000            0.0            0.0
     12/12/1988       1432.404          0.000          0.000          0.000            0.0            0.0
     13/12/1988       1428.558          0.000          0.000          0.000            0.0            0.0
     14/12/1988       1427.049          0.000          0.000          0.000            0.0            0.0
     15/12/1988       1425.911          0.000          0.000          0.000            0.0            0.0
     16/12/1988       1424.959          0.000          0.000          0.000            0.0            0.0
     17/12/1988       1427.219          0.000          0.000          0.000            0.0            0.0
     18/12/1988       1440.291          0.000          0.000          0.000            0.0            0.0
     19/12/1988       1439.209          0.000          0.000          0.000            0.0            0.0
     20/12/1988       1435.790          0.000          0.000          0.000            0.0            0.0
     21/12/1988       1434.341          0.000          0.000          0.000            0.0            0.0
     22/12/1988       1433.228          0.000          0.000          0.000            0.0            0.0
     23/12/1988       1432.291          0.000          0.000          0.000            0.0            0.0
     24/12/1988       1431.464          0.000          0.000          0.000            0.0            0.0
     25/12/1988       1430.718          0.000          0.000          0.000            0.0            0.0
     26/12/1988       1430.031          0.000          0.000          0.000            0.0            0.0
     27/12/1988       1436.809          0.000          0.000          0.000            0.0            0.0
     28/12/1988       1434.499          0.000          0.000          0.000            0.0            0.0
     29/12/1988       1433.357          0.000          0.000          0.000            0.0            0.0
     30/12/1988       1432.401          0.000          0.000          0.000            0.0            0.0
     31/12/1988       1431.563          0.000          0.000          0.000            0.0            0.0
