ApsimVersion = 6.0
Title = canola Sample Simulation
            day           year            lai        biomass  green_biomass            pai     oilGreenWt
            282           1988          0.000            0.0            0.0          0.000           0.00
            283           1988          0.000            0.0            0.0          0.000           0.00
            284           1988          0.000            0.0            0.0          0.000           0.00
            285           1988          0.000            0.0            0.0          0.000           0.00
            286           1988          0.000            0.0            0.0          0.000           0.00
            287           1988          0.000            0.0            0.0          0.000           0.00
            288           1988          0.000            0.0            0.0          0.000           0.00
            289           1988          0.000            0.0            0.0          0.000           0.00
            290           1988          0.000            0.0            0.0          0.000           0.00
            291           1988          0.000            0.0            0.0          0.000           0.00
            292           1988          0.000            0.0            0.0          0.000           0.00
            293           1988          0.000            0.0            0.0          0.000           0.00
            294           1988          0.000            0.0            0.0          0.000           0.00
            295           1988          0.000            0.0            0.0          0.000           0.00
            296           1988          0.000            0.0            0.0          0.000           0.00
            297           1988          0.000            0.0            0.0          0.000           0.00
            298           1988          0.000            0.0            0.0          0.000           0.00
            299           1988          0.000            0.0            0.0          0.000           0.00
            300           1988          0.000            0.0            0.0          0.000           0.00
