Summary_file = fieldpea.sum
Title = fieldpea sample
       day      year           date       sw_dep()         runoff          drain             es            eos             eo           rain     residue_wt  residue_cover      residue_n       das          stage            lai        biomass  green_biomass          yield             ep    swdef_photo    nfact_photo     root_depth        node_no        leaf_wt        stem_wt flowering_date maturity_date        leaf_no            esw
     (day)    (year)             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)      (m^2/m^2)        (kg/ha)    (days)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)             ()             ()           (mm)     (nodes/m2)        (g/m^2)        (g/m^2)          (doy)         (doy)    (leaves/m2)           (mm)
       188      2002    07/Jul/2002        426.030          0.000          0.000          1.704          1.704          2.069          0.600          0.000          0.000          0.000        52          3.979          0.232        251.737        251.737          0.000          0.127          1.000          1.000        480.182          8.201         16.069          9.104              0             0         14.558        134.030
       189      2002    08/Jul/2002        423.873          0.000          0.000          1.942          1.942          2.380          0.000          0.000          0.000          0.000        53          4.000          0.248        265.130        265.130          0.000          0.216          1.000          1.000        490.977          8.443         16.605          9.908              0             0         14.922        131.873
       190      2002    09/Jul/2002        422.872          0.000          0.000          1.706          1.706          2.119          0.800          0.000          0.000          0.000        54          4.029          0.263        277.531        277.531          0.000          0.095          1.000          1.000        501.220          8.670         17.101         10.652              0             0         15.262        130.872
       191      2002    10/Jul/2002        421.660          0.000          0.000          1.051          1.714          2.155          0.000          0.000          0.000          0.000        55          4.042          0.275        287.488        287.488          0.000          0.160          1.000          1.000        508.360          8.808         17.500         11.249              0             0         15.470        129.660
       192      2002    11/Jul/2002        420.497          0.000          0.000          0.859          1.436          1.823          0.000          0.000          0.000          0.000        56          4.065          0.290        299.670        299.670          0.000          0.303          1.000          1.000        519.537          9.062         17.987         11.980              0             0         15.850        128.497
       193      2002    12/Jul/2002        419.323          0.000          0.000          1.145          2.055          2.639          0.400          0.000          0.000          0.000        57          4.090          0.312        318.550        318.550          0.000          0.429          1.000          1.000        530.970          9.323         18.742         13.113              0             0         16.242        127.323
       194      2002    13/Jul/2002        419.258          0.000          0.000          0.842          0.842          1.101          0.800          0.000          0.000          0.000        58          4.107          0.321        325.840        325.840          0.000          0.022          1.000          1.000        539.895          9.511         19.034         13.550              0             0         16.524        127.258
       195      2002    14/Jul/2002        426.381          0.000          0.000          1.516          1.516          1.997          8.800          0.000          0.000          0.000        59          4.122          0.335        337.851        337.851          0.000          0.161          1.000          1.000        547.715          9.666         19.514         14.271              0             0         16.756        134.381
       196      2002    15/Jul/2002        424.774          0.000          0.000          1.425          1.425          1.898          0.000          0.000          0.000          0.000        60          4.141          0.352        351.626        351.626          0.000          0.182          1.000          1.000        557.192          9.870         20.065         15.098              0             0         17.062        132.774
       197      2002    16/Jul/2002        423.167          0.000          0.000          1.417          1.417          1.911          0.000          0.000          0.000          0.000        61          4.161          0.370        366.468        366.468          0.000          0.190          1.000          1.000        566.967         10.082         20.659         15.988              0             0         17.380        131.167
