Summary_file = cowpea.sum
Title = cowpea Sample Simulation
       day      year            lai        biomass  green_biomass     dm_green()        dm_green(1)        dm_green(2)        dm_green(3)        dm_green(4)        dm_green(5)        dm_green(6)      p_green()         p_green(1)         p_green(2)         p_green(3)         p_green(4)         p_green(5)         p_green(6)        p_sen()           p_sen(1)           p_sen(2)           p_sen(3)           p_sen(4)           p_sen(5)           p_sen(6)       p_demand    pfact_photo    pfact_pheno pfact_expansion    pfact_grain      biomass_p green_biomass_p        grain_p         leaf_p         stem_p         root_p     deadleaf_p          pod_p         head_p   p_senesced()       p_dead()  dlt_p_green() dlt_p_retrans() dlt_p_detached()   dlt_p_dead()    dlt_p_sen()  p_conc_stover    p_conc_leaf    p_conc_stem   p_conc_grain p_uptake_stover grain_p_demand      residue_p
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)             ()             ()              ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)          (g/m^2)        (g/m^2)        (g/m^2)            (%)            (%)            (%)            (%)             (%)        (g/m^2)        (kg/ha)
       341      1988          0.042         19.369         19.369          7.959              6.022              1.367              0.570              0.000              0.000              0.000          0.016              0.009              0.006              0.002              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.001          0.671          1.000           1.000          1.000          0.008           0.008          0.000          0.006          0.002          0.009          0.000          0.000          0.000          0.000          0.000          0.001           0.000            0.000          0.000          0.000          0.399          0.440          0.299          0.000           0.008          0.000          0.000
       342      1988          0.046         21.673         21.673          8.388              6.221              1.487              0.680              0.000              0.000              0.000          0.018              0.009              0.007              0.002              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.002          0.634          1.000           1.000          1.000          0.009           0.009          0.000          0.007          0.002          0.009          0.000          0.000          0.000          0.000          0.000          0.002           0.000            0.000          0.000          0.000          0.417          0.455          0.333          0.000           0.009          0.000          0.000
       343      1988          0.051         24.267         24.267          8.875              6.448              1.622              0.805              0.000              0.000              0.000          0.019              0.009              0.007              0.003              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.001          0.746          1.000           1.000          1.000          0.010           0.010          0.000          0.007          0.003          0.009          0.000          0.000          0.000          0.000          0.000          0.001           0.000            0.000          0.000          0.000          0.414          0.453          0.336          0.000           0.010          0.000          0.000
       344      1988          0.058         28.215         28.215          9.630              6.809              1.827              0.994              0.000              0.000              0.000          0.021              0.010              0.008              0.003              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.002          0.743          1.000           1.000          1.000          0.011           0.011          0.000          0.008          0.003          0.010          0.000          0.000          0.000          0.000          0.000          0.002           0.000            0.000          0.000          0.000          0.396          0.437          0.321          0.000           0.011          0.000          0.000
       345      1988          0.066         32.534         32.534         10.458              7.204              2.052              1.202              0.000              0.000              0.000          0.023              0.010              0.009              0.004              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.002          0.662          1.000           1.000          1.000          0.013           0.013          0.000          0.009          0.004          0.010          0.000          0.000          0.000          0.000          0.000          0.002           0.000            0.000          0.000          0.000          0.397          0.438          0.328          0.000           0.013          0.000          0.000
       346      1988          0.076         38.227         38.227         11.558              7.735              2.348              1.475              0.000              0.000              0.000          0.026              0.011              0.010              0.005              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.003          0.678          1.000           1.000          1.000          0.015           0.015          0.000          0.010          0.005          0.011          0.000          0.000          0.000          0.000          0.000          0.003           0.000            0.000          0.000          0.000          0.388          0.429          0.322          0.000           0.015          0.000          0.000
       347      1988          0.085         43.268         43.268         12.524              8.198              2.610              1.717              0.000              0.000              0.000          0.029              0.012              0.011              0.006              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.003          0.637          1.000           1.000          1.000          0.017           0.017          0.000          0.011          0.006          0.012          0.000          0.000          0.000          0.000          0.000          0.003           0.000            0.000          0.000          0.000          0.400          0.440          0.340          0.000           0.017          0.000          0.000
       348      1988          0.098         50.568         50.568         13.940              8.883              2.990              2.067              0.000              0.000              0.000          0.032              0.012              0.013              0.007              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.003          0.716          1.000           1.000          1.000          0.020           0.020          0.000          0.013          0.007          0.012          0.000          0.000          0.000          0.000          0.000          0.003           0.000            0.000          0.000          0.000          0.386          0.427          0.328          0.000           0.020          0.000          0.000
       349      1988          0.113         58.447         58.447         15.467              9.623              3.399              2.445              0.000              0.000              0.000          0.036              0.013              0.015              0.008              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.004          0.645          1.000           1.000          1.000          0.023           0.023          0.000          0.015          0.008          0.013          0.000          0.000          0.000          0.000          0.000          0.004           0.000            0.000          0.000          0.000          0.389          0.429          0.333          0.000           0.023          0.000          0.000
       350      1988          0.129         67.184         67.184         17.162             10.444              3.854              2.865              0.000              0.000              0.000          0.041              0.014              0.017              0.010              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.005          0.668          1.000           1.000          1.000          0.026           0.026          0.000          0.017          0.010          0.014          0.000          0.000          0.000          0.000          0.000          0.005           0.000            0.000          0.000          0.000          0.390          0.430          0.336          0.000           0.026          0.000          0.000
       351      1988          0.141         74.239         74.239         18.517             11.094              4.220              3.203              0.000              0.000              0.000          0.046              0.016              0.019              0.011              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.005          0.680          1.000           1.000          1.000          0.030           0.030          0.000          0.019          0.011          0.016          0.000          0.000          0.000          0.000          0.000          0.005           0.000            0.000          0.000          0.000          0.404          0.444          0.352          0.000           0.030          0.000          0.000
       352      1988          0.152         79.812         79.812         19.574             11.593              4.510              3.471              0.000              0.000              0.000          0.050              0.017              0.020              0.013              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.004          0.768          1.000           1.000          1.000          0.033           0.033          0.000          0.020          0.013          0.017          0.000          0.000          0.000          0.000          0.000          0.004           0.000            0.000          0.000          0.000          0.415          0.454          0.363          0.000           0.033          0.000          0.000
       353      1988          0.164         86.831         86.831         20.916             12.233              4.875              3.808              0.000              0.000              0.000          0.053              0.017              0.022              0.014              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.003          0.829          1.000           1.000          1.000          0.035           0.035          0.000          0.022          0.014          0.017          0.000          0.000          0.000          0.000          0.000          0.003           0.000            0.000          0.000          0.000          0.409          0.448          0.358          0.000           0.035          0.000          0.000
       354      1988          0.191        101.317        101.317         23.745             13.613              5.628              4.503              0.000              0.000              0.000          0.057              0.018              0.024              0.015              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.004          0.802          1.000           1.000          1.000          0.039           0.039          0.000          0.024          0.015          0.018          0.000          0.000          0.000          0.000          0.000          0.004           0.000            0.000          0.000          0.000          0.380          0.419          0.332          0.000           0.039          0.000          0.000
       355      1988          0.217        115.496        115.496         26.505             14.956              6.366              5.184              0.000              0.000              0.000          0.065              0.020              0.027              0.018              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.008          0.649          1.000           1.000          1.000          0.045           0.045          0.000          0.027          0.018          0.020          0.000          0.000          0.000          0.000          0.000          0.008           0.000            0.000          0.000          0.000          0.388          0.427          0.341          0.000           0.045          0.000          0.000
       356      1988          0.250        133.754        133.754         30.073             16.698              7.315              6.060              0.000              0.000              0.000          0.073              0.022              0.031              0.020              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.008          0.700          1.000           1.000          1.000          0.051           0.051          0.000          0.031          0.020          0.022          0.000          0.000          0.000          0.000          0.000          0.008           0.000            0.000          0.000          0.000          0.381          0.419          0.335          0.000           0.051          0.000          0.000
       357      1988          0.283        152.125        152.125         33.655             18.442              8.270              6.942              0.000              0.000              0.000          0.084              0.025              0.035              0.024              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.011          0.666          1.000           1.000          1.000          0.059           0.059          0.000          0.035          0.024          0.025          0.000          0.000          0.000          0.000          0.000          0.011           0.000            0.000          0.000          0.000          0.387          0.425          0.341          0.000           0.059          0.000          0.000
       358      1988          0.324        174.565        174.565         38.039             20.583              9.437              8.019              0.000              0.000              0.000          0.094              0.028              0.040              0.027              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.011          0.705          1.000           1.000          1.000          0.067           0.067          0.000          0.040          0.027          0.028          0.000          0.000          0.000          0.000          0.000          0.011           0.000            0.000          0.000          0.000          0.382          0.420          0.338          0.000           0.067          0.000          0.000
       359      1988          0.368        198.879        198.879         42.787             22.899             10.702              9.186              0.000              0.000              0.000          0.107              0.031              0.045              0.031              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.013          0.686          1.000           1.000          1.000          0.076           0.076          0.000          0.045          0.031          0.031          0.000          0.000          0.000          0.000          0.000          0.013           0.000            0.000          0.000          0.000          0.384          0.422          0.341          0.000           0.076          0.000          0.000
       360      1988          0.422        228.329        228.329         48.548             25.715             12.233             10.600              0.000              0.000              0.000          0.121              0.034              0.051              0.036              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.014          0.702          1.000           1.000          1.000          0.087           0.087          0.000          0.051          0.036          0.034          0.000          0.000          0.000          0.000          0.000          0.014           0.000            0.000          0.000          0.000          0.380          0.417          0.338          0.000           0.087          0.000          0.000
       361      1988          0.482        261.356        261.356         55.008             28.873             13.951             12.185              0.000              0.000              0.000          0.138              0.038              0.058              0.041              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.017          0.685          1.000           1.000          1.000          0.099           0.099          0.000          0.058          0.041          0.038          0.000          0.000          0.000          0.000          0.000          0.017           0.000            0.000          0.000          0.000          0.380          0.417          0.338          0.000           0.099          0.000          0.000
       362      1988          0.536        290.927        290.927         60.763             31.670             15.488             13.604              0.000              0.000              0.000          0.157              0.043              0.066              0.047              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.019          0.692          1.000           1.000          1.000          0.114           0.114          0.000          0.066          0.047          0.043          0.000          0.000          0.000          0.000          0.000          0.019           0.000            0.000          0.000          0.000          0.390          0.428          0.348          0.000           0.114          0.000          0.000
       363      1988          0.620        338.237        338.237         70.043             36.219             17.948             15.875              0.000              0.000              0.000          0.173              0.047              0.073              0.053              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.017          0.753          1.000           1.000          1.000          0.126           0.126          0.000          0.073          0.053          0.047          0.000          0.000          0.000          0.000          0.000          0.017           0.000            0.000          0.000          0.000          0.373          0.409          0.333          0.000           0.126          0.000          0.000
       364      1988          0.696        382.423        382.423         78.677             40.435             20.246             17.996              0.000              0.000              0.000          0.195              0.053              0.083              0.060              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.027          0.659          1.000           1.000          1.000          0.142           0.142          0.000          0.083          0.060          0.053          0.000          0.000          0.000          0.000          0.000          0.022           0.000            0.000          0.000          0.000          0.372          0.408          0.332          0.000           0.142          0.000          0.000
       365      1988          0.771        427.922        427.922         87.552             44.760             22.612             20.180              0.000              0.000              0.000          0.216              0.058              0.091              0.066              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.031          0.659          1.000           1.000          1.000          0.158           0.158          0.000          0.091          0.066          0.058          0.000          0.000          0.000          0.000          0.000          0.021           0.000            0.000          0.000          0.000          0.369          0.404          0.329          0.000           0.158          0.000          0.000
       366      1988          0.847        475.647        475.647         96.850             49.285             25.094             22.471              0.000              0.000              0.000          0.235              0.063              0.100              0.073              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.036          0.644          1.000           1.000          1.000          0.173           0.173          0.000          0.100          0.073          0.063          0.000          0.000          0.000          0.000          0.000          0.020           0.000            0.000          0.000          0.000          0.363          0.397          0.325          0.000           0.173          0.000          0.000
         1      1989          0.926        527.228        527.228        106.893             54.171             27.776             24.947              0.000              0.000              0.000          0.255              0.067              0.108              0.079              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.043          0.616          1.000           1.000          1.000          0.187           0.187          0.000          0.108          0.079          0.067          0.000          0.000          0.000          0.000          0.000          0.020           0.000            0.000          0.000          0.000          0.355          0.389          0.318          0.000           0.187          0.000          0.000
         2      1989          0.980        563.367        563.367        113.832             57.496             29.655             26.682              0.000              0.000              0.000          0.274              0.072              0.116              0.085              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.053          0.574          1.000           1.000          1.000          0.202           0.202          0.000          0.116          0.085          0.072          0.000          0.000          0.000          0.000          0.000          0.020           0.000            0.000          0.000          0.000          0.358          0.392          0.320          0.000           0.202          0.000          0.000
         3      1989          1.053        612.974        612.974        123.441             62.144             32.235             29.063              0.000              0.000              0.000          0.295              0.077              0.125              0.092              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.054          0.594          1.000           1.000          1.000          0.217           0.217          0.000          0.125          0.092          0.077          0.000          0.000          0.000          0.000          0.000          0.021           0.000            0.000          0.000          0.000          0.355          0.388          0.318          0.000           0.217          0.000          0.000
         4      1989          1.140        672.839        672.839        135.074             67.790             35.348             31.936              0.000              0.000              0.000          0.315              0.082              0.134              0.099              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.061          0.579          1.000           1.000          1.000          0.232           0.232          0.000          0.134          0.099          0.082          0.000          0.000          0.000          0.000          0.000          0.020           0.000            0.000          0.000          0.000          0.345          0.378          0.310          0.000           0.232          0.000          0.000
         5      1989          1.228        734.536        734.536        147.043             73.590             38.556             34.898              0.000              0.000              0.000          0.333              0.087              0.142              0.105              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.074          0.532          1.000           1.000          1.000          0.247           0.247          0.000          0.142          0.105          0.087          0.000          0.000          0.000          0.000          0.000          0.019           0.000            0.000          0.000          0.000          0.336          0.367          0.301          0.000           0.247          0.000          0.000
         6      1989          1.281        771.904        771.904        154.130             76.940             40.499             36.691              0.000              0.000              0.000          0.353              0.092              0.150              0.112              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.090          0.482          1.000           0.964          1.000          0.262           0.262          0.000          0.150          0.112          0.092          0.000          0.000          0.000          0.000          0.000          0.020           0.000            0.000          0.000          0.000          0.339          0.370          0.304          0.000           0.262          0.000          0.000
         7      1989          1.353        822.617        822.617        163.863             81.601             43.136             39.126              0.000              0.000              0.000          0.372              0.096              0.158              0.118              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.091          0.503          1.000           1.000          1.000          0.276           0.276          0.000          0.158          0.118          0.096          0.000          0.000          0.000          0.000          0.000          0.020           0.000            0.000          0.000          0.000          0.336          0.367          0.301          0.000           0.276          0.000          0.000
