Summary_file = sunflower.sum
Title = sunflower SAMPLE SIMULATION
      year       day       das          stage     zadok            lai     biomass_wt          grain      biomass_n        grain_n        tillers     root_depth            cep       ws_pheno       ws_photo       ws_expan      ws_tiller       Ns_pheno       Ns_photo       Ns_expan      Ns_tiller            esw           sw()             es         runoff          drain          no3()          nh4()
      1988        64        15          3.853        15          0.046          3.928          0.000          0.163          0.000          0.000        386.300          0.773          1.000          1.000          1.000          1.000          1.000          0.934          0.658          1.000        350.175          3.170          2.316          0.000          1.652        106.849          1.506
      1988        65        16          3.952        16          0.053          4.646          0.000          0.193          0.000          0.000        403.400          0.997          1.000          1.000          1.000          1.000          1.000          0.904          0.650          1.000        347.325          3.153          1.433          0.000          1.592        106.554          1.512
      1988        66        17          4.000        16          0.062          5.552          0.000          0.228          0.000          0.000        420.500          1.302          1.000          1.000          1.000          1.000          1.000          0.938          0.694          1.000        360.598          3.218          3.969         11.207          1.545        105.879          1.517
      1988        67        18          4.068        17          0.072          6.801          0.000          0.275          0.000          0.000        437.600          1.727          1.000          1.000          1.000          1.000          0.926          0.926          0.696          0.549        355.868          3.187          2.790          0.000          1.515        105.295          1.518
      1988        68        19          4.109        18          0.082          8.132          0.000          0.330          0.000          0.000        454.700          2.187          1.000          1.000          1.000          1.000          0.883          0.883          0.671          0.499        352.942          3.171          0.964          0.000          1.502        104.719          1.536
      1988        69        20          4.152        18          0.094          9.729          0.000          0.395          0.000          0.000        471.800          2.832          1.000          1.000          1.000          1.000          0.889          0.889          0.683          0.506        350.032          3.156          0.761          0.000          1.504        104.086          1.570
      1988        70        21          4.195        19          0.108         11.647          0.000          0.474          0.000          0.000        488.900          3.737          1.000          1.000          1.000          1.000          0.898          0.898          0.694          0.516        346.961          3.142          0.650          0.000          1.517        103.364          1.615
      1988        71        22          4.236        19          0.124         13.980          0.000          0.570          0.000          0.000        506.000          5.159          1.000          1.000          1.000          1.000          0.908          0.908          0.704          0.527        343.426          3.127          0.576          0.000          1.537        102.513          1.661
      1988        72        23          4.278        20          0.143         16.213          0.000          0.661          0.000          0.000        523.100          5.607          1.000          1.000          1.000          1.000          0.922          0.922          0.719          0.545        340.895          3.117          0.523          0.000          1.559        101.771          1.699
      1988        73        24          4.314        20          0.161         18.821          0.000          0.770          0.000          0.000        540.200          6.701          1.000          1.000          1.000          1.000          0.928          0.928          0.724          0.551        337.740          3.104          0.483          0.000          1.579        100.839          1.728
      1988        74        25          4.352        21          0.184         21.796          0.000          0.892          0.000          0.000        557.300          7.966          1.000          1.000          1.000          1.000          0.945          0.945          0.740          0.572        334.433          3.090          0.450          0.000          1.592         99.769          1.751
      1988        75        26          4.395        21          0.214         25.190          0.000          1.029          0.000          0.000        574.400          9.397          1.000          1.000          1.000          1.000          0.956          0.956          0.750          0.585        330.984          3.075          0.424          0.000          1.594         98.526          1.767
      1988        76        27          4.442        22          0.251         29.143          0.000          1.183          0.000          0.000        591.500         10.687          1.000          1.000          1.000          1.000          0.963          0.963          0.756          0.594        327.708          3.061          0.401          0.000          1.585         97.061          1.771
      1988        77        28          4.486        22          0.291         33.542          0.000          1.357          0.000          0.000        608.600         12.206          1.000          1.000          1.000          1.000          0.960          0.960          0.753          0.589        324.245          3.047          0.382          0.000          1.562         95.372          1.775
      1988        78        29          4.528        23          0.335         38.479          0.000          1.552          0.000          0.000        616.960         13.978          1.000          1.000          1.000          1.000          0.964          0.964          0.758          0.595        320.582          3.031          0.365          0.000          1.526         93.444          1.777
      1988        79        30          4.571        23          0.385         43.880          0.000          1.765          0.000          0.000        625.320         15.821          1.000          1.000          1.000          1.000          0.971          0.971          0.763          0.603        316.910          3.016          0.351          0.000          1.478         91.304          1.778
      1988        80        31          4.613        24          0.442         49.917          0.000          2.002          0.000          0.000        633.680         17.986          1.000          1.000          1.000          1.000          0.978          0.978          0.770          0.613        312.988          2.999          0.338          0.000          1.419         88.885          1.776
      1988        81        32          4.658        24          0.509         56.751          0.000          2.264          0.000          0.000        642.040         20.250          1.000          1.000          1.000          1.000          0.985          0.985          0.776          0.621        309.048          2.982          0.326          0.000          1.351         86.162          1.773
      1988        82        33          4.702        25          0.584         64.412          0.000          2.559          0.000          0.000        650.400         23.192          1.000          1.000          1.000          1.000          0.988          0.988          0.778          0.625        304.517          2.962          0.315          0.000          1.274         83.058          1.771
      1988        83        34          4.749        25          0.672         73.112          0.000          2.886          0.000          0.000        658.760         26.199          1.000          1.000          1.000          1.000          0.993          0.993          0.783          0.632        300.012          2.942          0.306          0.000          1.192         79.580          1.768
      1988        84        35          4.795        26          0.766         82.389          0.000          3.240          0.000          0.000        667.120         29.653          1.000          1.000          1.000          1.000          0.994          0.994          0.783          0.632        295.156          2.920          0.297          0.000          1.105         75.774          1.767
      1988        85        36          4.840        27          0.871         90.668          0.000          3.577          0.000          0.000        675.480         31.987          1.000          1.000          1.000          1.000          1.000          1.000          0.790          0.643        293.133          2.915          1.473          0.000          1.016         72.182          1.765
      1988        86        37          4.882        27          0.977        101.190          0.000          3.962          0.000          0.000        683.840         35.780          1.000          1.000          0.827          1.000          1.000          1.000          0.810          0.674        286.798          2.884          1.616          0.000          0.927         67.995          1.762
      1988        87        38          4.925        28          1.089        112.399          0.000          4.376          0.000          0.000        692.200         39.600          1.000          1.000          0.789          1.000          1.000          1.000          0.810          0.673        281.855          2.862          0.282          0.000          0.840         63.463          1.757
      1988        88        39          4.969        28          1.154        125.020          0.000          4.833          0.000          0.000        700.560         44.482          1.000          1.000          0.424          1.000          1.000          1.000          0.813          0.677        275.943          2.836          0.275          0.000          0.757         58.399          1.752
      1988        89        40          5.000        29          1.171        138.374          0.000          5.286          0.000          0.000        708.920         50.127          1.000          1.000          0.231          1.000          1.000          1.000          0.814          0.678        269.352          2.807          0.268          0.000          0.677         53.623          1.749
      1988        90        41          5.060        29          1.214        151.911          0.000          5.700          0.000          0.000        717.280         55.486          1.000          1.000          0.252          1.000          1.000          1.000          0.897          0.765        263.127          2.779          0.262          0.000          0.603         49.369          1.748
      1988        91        42          5.097        30          1.315        157.241          0.000          5.955          0.000          0.000        725.640         56.368          1.000          1.000          1.000          1.000          1.000          1.000          0.911          0.794        261.643          2.774          0.568          0.000          0.534         46.917          1.742
      1988        92        43          5.145        30          1.477        166.049          0.000          6.218          0.000          0.000        734.000         58.757          1.000          1.000          1.000          1.000          1.000          1.000          0.943          0.876        294.653          2.982          0.770          0.563          0.468         44.219          1.731
      1988        93        44          5.194        31          1.659        176.544          0.000          6.495          0.000          0.000        742.360         60.871          1.000          1.000          1.000          1.000          1.000          1.000          0.949          0.897        309.055          3.042          0.786          0.290          0.407         41.355          1.709
      1988        94        45          5.240        32          1.799        184.792          0.000          6.728          0.000          0.000        750.720         62.040          1.000          1.000          1.000          1.000          1.000          1.000          0.949          0.902        328.219          3.120          0.569          0.947          0.352         38.892          1.710
      1988        95        46          5.288        32          1.963        195.722          0.000          6.986          0.000          0.000        759.080         64.128          1.000          1.000          1.000          1.000          1.000          1.000          0.963          0.928        361.782          3.230          0.694         11.703          0.352         36.038          1.731
      1988        96        47          5.329        33          2.060        201.899          0.000          7.165          0.000          0.000        767.440         64.788          1.000          1.000          1.000          1.000          1.000          1.000          0.961          0.924        366.729          3.250          0.387          0.000          0.407         34.040          1.766
      1988        97        48          5.378        33          2.215        215.216          0.000          7.380          0.000          0.000        775.800         68.402          1.000          1.000          1.000          1.000          1.000          1.000          0.980          0.960        391.148          3.326          0.744          5.158          1.264         31.520          1.797
      1988        98        49          5.430        34          2.357        228.213          0.000          7.503          0.000          0.000        784.160         71.907          1.000          1.000          1.000          1.000          1.000          1.000          0.956          0.912        385.099          3.295          0.699          0.000          1.846         30.236          1.705
      1988        99        50          5.481        35          2.480        238.039          0.000          7.574          0.000          0.000        792.520         73.985          1.000          1.000          1.000          1.000          1.000          1.000          0.925          0.848        385.404          3.305          0.517          0.000          2.300         29.403          1.698
      1988       100        51          5.528        31          2.577        247.937          0.000          7.625          0.000          0.000        800.880         75.706          1.000          1.000          1.000          1.000          1.000          1.000          0.910          0.817        380.917          3.284          0.521          0.000          2.644         28.883          1.632
      1988       101        52          5.567        31          2.646        258.245          0.000          7.668          0.000          0.000        809.240         77.648          1.000          1.000          1.000          1.000          1.000          1.000          0.893          0.782        375.489          3.258          0.590          0.000          2.896         28.489          1.563
      1988       102        53          5.600        32          2.692        262.078          0.000          7.696          0.000          0.000        817.600         77.938          1.000          1.000          1.000          1.000          1.000          1.000          0.872          0.741        402.628          3.370          0.234          5.761          3.176         27.976          1.639
      1988       103        54          5.641        33          2.750        271.350          0.000          7.717          0.000          0.000        825.960         80.331          1.000          1.000          1.000          1.000          1.000          1.000          0.878          0.751        404.344          3.373          0.514          2.303         20.075         26.460          1.679
      1988       104        55          5.686        34          2.803        282.468          0.000          7.738          0.000          0.000        834.320         82.332          1.000          1.000          1.000          1.000          1.000          1.000          0.864          0.723        399.167          3.352          0.580          0.000          4.195         26.067          1.642
      1988       105        56          5.732        35          2.848        297.202          0.000          7.763          0.000          0.000        842.680         86.914          1.000          1.000          1.000          1.000          1.000          1.000          0.848          0.692        389.843          3.309          0.762          0.000          4.181         25.712          1.573
      1988       106        57          5.777        36          2.881        311.692          0.000          7.791          0.000          0.000        851.039         91.458          1.000          1.000          1.000          1.000          1.000          1.000          0.825          0.647        380.388          3.267          0.760          0.000          4.152         25.366          1.525
      1988       107        58          5.818        36          2.904        324.952          0.000          7.822          0.000          0.000        859.399         95.266          1.000          1.000          1.000          1.000          0.979          0.979          0.808          0.613        371.765          3.229          0.712          0.000          4.102         25.023          1.520
      1988       108        59          5.855        37          2.920        336.011          0.000          7.853          0.000          0.000        867.759         97.688          1.000          1.000          1.000          1.000          0.961          0.961          0.797          0.591        364.705          3.200          0.610          0.000          4.028         24.684          1.527
      1988       109        60          5.892        38          2.932        347.649          0.000          7.885          0.000          0.000        876.119        100.326          1.000          1.000          1.000          1.000          0.953          0.953          0.792          0.582        357.501          3.171          0.640          0.000          3.926         24.358          1.534
      1988       110        61          5.926        39          2.939        354.860          0.000          7.917          0.000          0.000        884.479        101.828          1.000          1.000          1.000          1.000          0.948          0.948          0.791          0.575        354.387          3.167          0.415          0.000          3.797         24.030          1.532
      1988       111        62          5.965        39          2.945        362.617          0.000          7.947          0.000          0.000        892.839        103.057          1.000          1.000          1.000          1.000          0.955          0.955          0.797          0.583        349.302          3.147          0.413          0.000          3.643         23.719          1.528
      1988       112        63          6.000        60          2.926        375.793          0.000          7.976          0.000          0.000        901.199        106.882          1.000          1.000          1.000          1.000          0.965          0.965          0.805          0.596        341.317          3.114          0.696          0.000          3.465         23.435          1.525
      1988       113        64          7.000        62          2.907        387.927          0.000          8.241          0.000          0.000        904.999        110.962          1.000          1.000          1.000          1.000          0.976          0.976          0.830          0.609        334.129          3.085          0.641          0.000          3.267         20.148          1.526
      1988       114        65          7.419        64          2.887        401.785          0.000          8.388          0.000          0.000        908.799        116.093          1.000          1.000          1.000          1.000          1.000          1.000          0.877          0.662        325.206          3.047          0.740          0.000          3.053         18.428          1.532
      1988       115        66          7.626        65          2.865        413.481          0.000          8.476          0.000          0.000        912.599        119.823          1.000          1.000          1.000          1.000          1.000          1.000          0.912          0.688        318.838          3.022          0.608          0.000          2.828         17.498          1.543
      1988       116        67          7.826        67          2.842        426.868          0.000          8.536          0.000          0.000        916.399        124.094          1.000          1.000          1.000          1.000          1.000          1.000          0.944          0.710        311.255          2.990          0.714          0.000          2.599         16.969          1.558
      1988       117        68          8.000        71          2.819        439.126          3.299          8.583          0.073          0.000        916.399        128.242          1.000          1.000          1.000          1.000          1.000          1.000          0.974          0.721        304.185          2.960          0.551          0.000          2.370         16.642          1.571
      1988       118        69          8.036        71          2.795        451.138          6.491          8.623          0.144          0.000        916.399        132.820          1.000          1.000          1.000          1.000          1.000          1.000          0.991          0.718        296.756          2.929          0.707          0.000          2.145         16.424          1.581
      1988       119        70          8.067        72          2.770        457.127         10.450          8.658          0.232          0.000        916.399        134.060          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.714        293.198          2.915          0.390          0.000          1.928         16.260          1.584
      1988       120        71          8.098        72          2.745        462.133         14.636          8.694          0.325          0.000        916.399        134.892          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.724        295.504          2.936          0.341          0.000          1.721         16.087          1.577
      1988       121        72          8.134        73          2.713        472.496         18.912          8.728          0.420          0.000        916.399        139.076          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.737        289.593          2.909          0.599          0.000          1.528         15.951          1.571
      1988       122        73          8.171        73          2.677        482.621         23.751          8.761          0.528          0.000        916.399        142.262          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.741        284.469          2.886          0.589          0.000          1.348         15.857          1.566
      1988       123        74          8.207        74          2.639        491.281         28.709          8.792          0.638          0.000        916.399        144.088          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.744        280.953          2.870          0.509          0.000          1.181         15.785          1.561
      1988       124        75          8.244        74          2.598        502.554         34.024          8.825          0.757          0.000        916.399        147.603          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.753        275.755          2.847          0.656          0.000          1.028         15.738          1.563
      1988       125        76          8.278        75          2.557        513.752         38.923          8.858          0.866          0.000        916.399        151.680          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.754        270.108          2.821          0.681          0.000          0.888         15.720          1.570
      1988       126        77          8.313        75          2.514        525.658         43.881          8.893          0.974          0.000        916.399        156.579          1.000          1.000          0.733          1.000          1.000          1.000          1.000          0.753        263.722          2.793          0.723          0.000          0.763         15.711          1.577
      1988       127        78          8.345        75          2.472        536.025         48.427          8.927          1.075          0.000        916.399        160.402          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.752        258.578          2.770          0.669          0.000          0.653         15.712          1.582
      1988       128        79          8.378        76          2.424        547.055         53.398          8.962          1.184          0.000        916.399        164.865          1.000          1.000          0.774          1.000          1.000          1.000          1.000          0.753        252.862          2.745          0.697          0.000          0.556         15.723          1.586
      1988       129        80          8.409        76          2.379        556.789         58.337          8.996          1.294          0.000        916.399        167.960          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.755        248.642          2.727          0.653          0.000          0.472         15.736          1.587
      1988       130        81          8.436        77          2.338        565.435         62.164          9.030          1.380          0.000        916.399        170.749          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.757        244.824          2.710          0.630          0.000          0.399         15.742          1.583
      1988       131        82          8.462        77          2.297        573.746         66.049          9.064          1.466          0.000        916.399        173.237          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.760        241.378          2.694          0.621          0.000          0.337         15.737          1.573
      1988       132        83          8.488        77          2.257        581.772         69.329          9.097          1.540          0.000        916.399        175.843          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.763        237.867          2.679          0.621          0.000          0.283         15.725          1.563
      1988       133        84          8.514        77          2.213        589.995         73.003          9.128          1.622          0.000        916.399        178.606          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.766        234.241          2.663          0.625          0.000          0.237         15.707          1.553
      1988       134        85          8.540        78          2.167        597.542         76.899          9.159          1.709          0.000        916.399        180.884          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.770        231.180          2.649          0.590          0.000          0.194         15.691          1.543
      1988       135        86          8.568        78          2.115        605.347         81.103          9.189          1.803          0.000        916.399        183.646          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.776        227.672          2.633          0.590          0.000          0.156         15.681          1.529
      1988       136        87          8.600        78          2.048        613.398         87.158          9.219          1.939          0.000        916.399        186.088          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.783        224.522          2.619          0.584          0.000          0.124         15.686          1.511
      1988       137        88          8.631        79          1.979        621.224         92.651          9.248          2.062          0.000        916.399        189.015          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.791        220.918          2.603          0.577          0.000          0.100         15.702          1.489
      1988       138        89          8.663        79          1.903        625.240         99.191          9.277          2.152          0.000        916.399        189.765          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.802        219.781          2.598          0.308          0.000          0.080         15.720          1.465
      1988       139        90          8.695        80          1.824        630.514        106.072          9.322          2.271          0.000        916.399        190.641          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.836        241.860          2.739          0.416          0.565          0.064         15.562          1.471
      1988       140        91          8.720        80          1.764        636.748        110.172          9.360          2.364          0.000        916.399        192.422          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.867        239.468          2.721          0.561          0.000          0.051         15.472          1.475
      1988       141        92          8.743        80          1.709        640.860        113.795          9.394          2.447          0.000        916.399        193.453          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.882        237.982          2.709          0.413          0.000          0.041         15.408          1.475
      1988       142        93          8.766        80          1.651        644.515        118.024          9.425          2.530          0.000        916.399        194.163          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.902        237.263          2.703          0.377          0.000          0.033         15.343          1.477
      1988       143        94          8.789        81          1.591        649.506        121.816          9.453          2.617          0.000        916.399        195.468          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.924        235.432          2.692          0.503          0.000          0.022         15.288          1.480
      1988       144        95          8.816        81          1.510        655.222        126.655          9.480          2.727          0.000        916.399        197.397          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.940        232.962          2.679          0.531          0.000          0.011         15.253          1.483
      1988       145        96          8.845        81          1.420        660.344        133.327          9.505          2.845          0.000        916.399        198.218          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.960        231.657          2.672          0.483          0.000          0.000         15.234          1.485
      1988       146        97          8.867        82          1.357        664.694        136.650          9.529          2.922          0.000        916.399        199.376          1.000          1.000          1.000          1.000          1.000          1.000          1.000          0.986        230.002          2.663          0.497          0.000          0.000         15.222          1.488
      1988       147        98          8.894        82          1.267        669.952        141.480          9.554          3.033          0.000        916.399        201.127          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        227.703          2.651          0.548          0.000          0.000         15.231          1.487
      1988       148        99          8.922        82          1.164        675.302        147.225          9.579          3.157          0.000        916.399        202.789          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        225.674          2.642          0.367          0.000          0.000         15.253          1.483
      1988       149       100          8.946        83          1.081        679.223        151.649          9.604          3.247          0.000        916.399        203.760          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        224.211          2.634          0.491          0.000          0.000         15.264          1.482
      1988       150       101          8.969        83          0.998        683.063        155.925          9.629          3.336          0.000        916.399        204.669          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        222.785          2.627          0.518          0.000          0.000         15.266          1.482
      1988       151       102          8.990        83          0.925        686.798        158.421          9.654          3.393          0.000        916.399        205.823          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        221.089          2.619          0.542          0.000          0.000         15.271          1.482
      1988       152       103          9.000        87          0.831        690.231        161.062          9.678          3.472          0.000        916.399        206.950          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        219.457          2.611          0.506          0.000          0.000         15.271          1.482
      1988       153       104          9.662        88          0.716        692.917        163.128          9.702          3.534          0.000        916.399        207.415          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        218.604          2.607          0.387          0.000          0.000         15.263          1.483
      1988       154       105         10.000        93          0.594        696.280        163.128          9.726          3.534          0.000        916.399        207.989          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        217.591          2.602          0.440          0.000          0.000         15.258          1.481
      1988       155       106         11.000       100          0.000        696.280        163.128          9.726          3.534          0.000        916.399        207.989          1.000          1.000          1.000          1.000          0.000          0.000          0.000          0.000        217.149          2.599          0.442          0.000          0.000         15.522          1.475
