ApsimVersion = 6.1
Title = Canopy Sample Simulation
            day           year stage_sunflower  lai_sunflower biom_sunflower   stage_cowpea     lai_cowpea    biom_cowpea       sw_dep()
          (day)         (year)              ()      (m^2/m^2)        (kg/ha)             ()      (m^2/m^2)        (kg/ha)           (mm)
             73           1988           5.640          1.887         3175.7          7.349          1.576         1285.0        760.828
             74           1988           5.658          1.896         3266.8          7.378          1.339         1299.9        755.192
             75           1988           5.678          1.907         3369.0          7.410          1.339         1314.0        749.092
             76           1988           5.701          1.920         3470.5          7.448          1.339         1328.5        743.124
             77           1988           5.727          1.934         3569.5          7.492          1.339         1342.0        738.720
             78           1988           5.751          1.945         3673.3          7.530          1.339         1355.5        734.090
             79           1988           5.775          1.956         3779.2          7.567          1.339         1369.0        729.291
             80           1988           5.799          1.965         3884.1          7.603          1.339         1382.0        724.791
             81           1988           5.823          1.973         3988.9          7.640          1.339         1394.6        720.136
             82           1988           5.848          1.981         4093.6          7.678          1.321         1407.0        715.849
             83           1988           5.874          1.987         4200.8          7.715          1.283         1419.2        710.888
             84           1988           5.901          1.993         4307.1          7.756          1.242         1430.7        706.453
             85           1988           5.927          1.997         4414.2          7.795          1.202         1441.8        701.718
             86           1988           5.954          2.001         4502.9          7.834          1.156         1450.4        701.051
             87           1988           5.979          2.003         4616.7          7.868          1.108         1460.4        695.728
             88           1988           6.000          1.995         4729.6          7.903          1.058         1469.9        690.704
             89           1988           7.000          1.986         4848.2          7.940          1.006         1479.7        685.078
             90           1988           7.430          1.973         4966.7          7.979          0.950         1489.0        679.381
             91           1988           7.646          1.957         5082.5          8.000          0.891         1492.6        674.169
             92           1988           7.829          1.943         5136.2          8.698          0.849         1493.9        673.375
             93           1988           8.000          1.925         5197.3          9.000          0.779         1495.8        707.625
             94           1988           8.048          1.904         5265.1          0.000          0.000            0.0        722.644
             95           1988           8.085          1.884         5317.4          0.000          0.000            0.0        738.685
             96           1988           8.123          1.861         5386.6          0.000          0.000            0.0        761.693
             97           1988           8.157          1.839         5427.2          0.000          0.000            0.0        767.212
             98           1988           8.197          1.812         5507.0          0.000          0.000            0.0        785.519
             99           1988           8.237          1.781         5582.7          0.000          0.000            0.0        782.455
            100           1988           8.278          1.747         5637.0          0.000          0.000            0.0        785.735
            101           1988           8.316          1.714         5694.7          0.000          0.000            0.0        784.381
            102           1988           8.348          1.685         5767.3          0.000          0.000            0.0        782.162
            103           1988           8.377          1.659         5795.4          0.000          0.000            0.0        802.580
            104           1988           8.411          1.624         5856.3          0.000          0.000            0.0        818.221
            105           1988           8.447          1.584         5924.2          0.000          0.000            0.0        817.658
            106           1988           8.484          1.539         6015.0          0.000          0.000            0.0        813.572
            107           1988           8.521          1.493         6105.9          0.000          0.000            0.0        809.109
            108           1988           8.555          1.447         6191.8          0.000          0.000            0.0        804.976
            109           1988           8.588          1.401         6264.9          0.000          0.000            0.0        801.767
            110           1988           8.620          1.351         6341.0          0.000          0.000            0.0        798.264
            111           1988           8.650          1.304         6388.6          0.000          0.000            0.0        798.302
            112           1988           8.684          1.246         6435.8          0.000          0.000            0.0        796.127
            113           1988           8.719          1.182         6514.5          0.000          0.000            0.0        791.496
            114           1988           8.754          1.114         6584.1          0.000          0.000            0.0        787.566
            115           1988           8.789          1.041         6664.7          0.000          0.000            0.0        781.989
            116           1988           8.824          0.960         6726.9          0.000          0.000            0.0        778.501
            117           1988           8.859          0.877         6798.7          0.000          0.000            0.0        773.743
            118           1988           8.892          0.793         6866.7          0.000          0.000            0.0        769.181
            119           1988           8.925          0.704         6929.3          0.000          0.000            0.0        764.587
            120           1988           8.957          0.616         6960.7          0.000          0.000            0.0        762.492
            121           1988           8.987          0.525         6985.4          0.000          0.000            0.0        765.998
            122           1988           9.000          0.407         7027.3          0.000          0.000            0.0        763.019
            123           1988           9.966          0.279         7061.3          0.000          0.000            0.0        760.441
            124           1988          10.000          0.140         7088.0          0.000          0.000            0.0        758.720
