Summary_file = soiltemp.sum
Title = sample simulation
           Date   ave_soil_temp(1)   ave_soil_temp(2)   ave_soil_temp(3)   ave_soil_temp(4)   ave_soil_temp(5)   ave_soil_temp(6)   ave_soil_temp(7) ave_soil_temp_surface maxt_soil_surface mint_soil_surface           maxt           mint
             ()               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)                  (oC)              (oC)              (oC)           (oC)           (oC)
     15/10/1988             33.299             30.593             27.711             25.219             23.407             21.873             20.483                34.948            39.225            30.607         34.700         19.500
     22/10/1988             37.101             32.920             29.232             26.370             24.261             22.425             20.744                39.896            44.910            35.158         38.600         21.700
     29/10/1988             33.697             30.674             28.161             26.223             24.533             22.790             21.043                35.863            41.747            30.221         36.900         16.800
     05/11/1988             34.806             32.943             30.564             27.837             25.417             23.272             21.340                35.844            40.580            30.969         35.100         18.300
     12/11/1988             30.885             29.621             27.915             26.297             24.869             23.309             21.657                31.455            35.713            27.460         29.800         16.300
     19/11/1988             30.031             27.713             26.384             25.685             24.658             23.321             21.907                31.907            37.812            26.367         33.800         13.700
     26/11/1988             31.989             30.738             28.805             26.572             24.836             23.399             22.115                32.607            37.686            27.518         32.400         14.900
     03/12/1988             30.717             30.898             29.275             27.127             25.359             23.792             22.341                29.502            37.866            24.845         32.600         18.200
     10/12/1988             28.179             28.465             28.181             27.146             25.682             24.111             22.585                27.591            32.539            24.125         31.500         20.000
     17/12/1988             25.254             27.085             27.217             26.345             25.259             24.053             22.809                23.108            29.298            21.198         23.200         18.400
     24/12/1988             33.910             31.708             29.050             26.599             25.055             23.939             22.974                35.122            38.175            32.017         33.200         22.400
     31/12/1988             31.523             30.842             29.502             27.700             26.051             24.545             23.162                31.723            35.251            28.655         29.600         19.200
     07/01/1989             28.193             28.545             28.540             27.325             25.986             24.672             23.379                28.504            32.258            25.099         31.400         18.600
     14/01/1989             31.103             30.750             29.407             27.711             26.203             24.834             23.572                30.700            36.483            27.211         28.600         17.400
     21/01/1989             33.420             31.389             29.951             28.139             26.521             25.089             23.773                35.517            40.402            31.499         35.500         20.100
     28/01/1989             27.938             27.791             28.007             27.534             26.522             25.278             23.983                28.503            32.313            24.927         27.600         14.600
     04/02/1989             26.448             28.809             29.288             28.055             26.593             25.302             24.157                24.004            29.831            22.526         22.200         19.000
     11/02/1989             30.498             30.173             27.998             26.388             25.660             25.023             24.307                29.264            38.572            25.115         32.000         19.800
     18/02/1989             30.771             30.264             29.152             27.590             26.310             25.286             24.412                30.948            35.451            26.517         30.600         15.400
     25/02/1989             28.585             28.366             28.256             27.623             26.657             25.598             24.557                28.986            32.268            25.771         28.400         16.800
     04/03/1989             28.316             27.743             27.340             26.835             26.229             25.492             24.692                28.949            31.772            26.325         28.600         19.000
     11/03/1989             31.349             30.203             28.733             27.318             26.311             25.505             24.788                31.929            36.617            27.270         32.400         16.400
     18/03/1989             24.912             26.888             28.373             28.050             26.973             25.884             24.905                23.799            25.615            22.022         25.200         19.000
     25/03/1989             30.355             31.149             29.703             27.869             26.709             25.828             25.029                28.391            37.102            25.439         30.000         22.200
     01/04/1989             25.414             25.656             26.053             26.341             26.221             25.761             25.138                25.359            26.996            23.659         25.400         19.400
     08/04/1989             26.568             25.980             25.561             25.425             25.416             25.337             25.174                27.063            29.879            24.253         27.400         17.400
     15/04/1989             25.208             25.299             25.315             25.368             25.363             25.284             25.168                25.112            30.177            20.076         27.700         10.400
     22/04/1989             26.242             25.752             25.504             25.374             25.293             25.224             25.153                26.735            30.786            22.657         30.200         15.800
     29/04/1989             22.086             22.463             23.162             24.071             24.682             24.992             25.129                22.011            25.701            18.157         25.600         12.000
     06/05/1989             23.593             23.762             23.734             23.957             24.325             24.703             25.052                23.193            28.151            19.565         25.600         13.600
     13/05/1989             22.768             22.267             22.411             23.177             23.919             24.499             24.960                23.302            26.528            20.108         26.400         15.000
     20/05/1989             21.763             21.671             22.064             22.945             23.709             24.323             24.848                21.918            24.281            19.454         23.400         14.800
     27/05/1989             18.065             19.193             20.722             22.220             23.284             24.075             24.723                17.575            18.793            16.344         19.400         15.000
     03/06/1989             17.779             18.008             19.580             21.438             22.714             23.705             24.565                18.282            21.976            15.012         21.900          9.800
     10/06/1989             12.561             15.220             17.817             20.272             21.994             23.289             24.373                10.674            15.345             7.525         14.000          3.800
     17/06/1989             17.951             17.665             18.117             19.413             21.006             22.614             24.121                18.230            20.945            15.975         20.000         12.300
     24/06/1989             14.953             16.540             18.078             19.737             21.201             22.563             23.858                13.641            19.112            10.588         14.600          5.000
     01/07/1989             16.248             16.368             17.451             19.084             20.685             22.201             23.607                16.581            19.636            13.683         21.400         11.000
     08/07/1989             14.767             15.801             17.616             19.493             20.891             22.145             23.357                14.540            19.580             9.467         20.000          2.100
     15/07/1989             10.379             12.842             15.700             18.325             20.238             21.779             23.123                 9.040            13.874             4.246         13.400         -3.000
     22/07/1989             11.716             13.149             15.137             17.410             19.400             21.197             22.845                10.963            15.883             6.120         15.500         -1.000
     30/07/1989             17.708             17.080             16.932             17.769             19.200             20.845             22.496                18.221            21.980            14.368         21.900          8.400
     06/08/1989             12.905             14.985             16.614             18.100             19.510             20.896             22.231                11.431            16.238             7.179         15.600          1.400
     13/08/1989             14.387             15.068             16.103             17.578             19.110             20.594             21.987                14.172            19.500             8.603         19.400          0.000
     20/08/1989             15.297             15.464             16.292             17.748             19.142             20.470             21.744                15.413            19.222            11.516         20.600          6.800
     27/08/1989             16.713             16.424             16.778             17.979             19.222             20.401             21.526                16.858            21.911            12.612         19.600          5.200
     03/09/1989             17.656             17.936             18.553             19.027             19.628             20.439             21.336                17.860            23.063            12.636         22.100          3.600
     10/09/1989             22.057             20.646             19.872             19.750             20.065             20.596             21.200                23.224            27.685            18.889         26.200         10.800
     17/09/1989             20.044             19.433             19.546             20.053             20.472             20.811             21.120                20.813            26.970            14.695         26.300          4.600
     24/09/1989             25.275             24.480             22.940             21.715             21.180             21.036             21.072                25.366            31.086            20.102         27.400          9.700
     01/10/1989             25.270             24.206             23.091             22.368             21.893             21.477             21.102                25.908            31.179            20.468         28.600          9.800
     08/10/1989             28.915             27.277             25.584             23.846             22.639             21.810             21.175                29.827            34.246            26.210         29.000         16.800
     15/10/1989             30.731             29.014             26.618             24.645             23.338             22.270             21.310                31.514            37.478            25.535         33.700         13.300
     22/10/1989             25.493             25.376             26.003             25.428             24.136             22.771             21.495                26.494            31.532            22.200         28.400         12.200
     29/10/1989             21.590             21.800             23.107             23.654             23.323             22.578             21.680                22.503            27.552            18.273         25.000          8.800
     05/11/1989             25.755             24.318             23.681             23.378             22.909             22.348             21.782                27.003            30.320            23.935         27.600         16.400
     12/11/1989             24.435             23.323             23.140             23.006             22.684             22.282             21.857                25.864            30.097            22.297         29.000         15.400
     19/11/1989             25.215             26.004             25.694             24.283             23.175             22.448             21.916                24.416            27.901            22.101         27.400         19.800
     26/11/1989             27.158             26.430             25.192             24.092             23.327             22.655             22.013                27.337            31.378            23.732         26.600         14.400
     03/12/1989             30.751             28.442             26.410             24.857             23.772             22.893             22.119                32.284            35.859            28.789         31.600         19.200
     10/12/1989             29.105             27.765             26.601             25.307             24.196             23.194             22.257                30.252            34.498            26.189         30.400         15.700
     17/12/1989             25.780             25.861             26.224             25.877             24.812             23.586             22.420                26.020            29.136            22.985         25.600         14.600
     24/12/1989             28.857             27.745             27.281             26.108             24.798             23.633             22.588                30.254            33.649            27.432         31.200         20.400
     31/12/1989             31.750             30.476             28.805             26.848             25.245             23.919             22.758                32.516            37.128            27.722         32.300         15.500
     07/01/1990             35.505             33.593             31.340             28.608             26.345             24.521             22.968                36.779            40.634            32.956         35.000         21.400
     14/01/1990             32.933             31.061             30.065             28.697             26.941             25.072             23.249                34.840            39.718            30.674         36.600         21.000
     21/01/1990             33.544             31.687             29.762             28.093             26.617             25.082             23.523                34.612            38.265            30.878         33.600         20.600
     28/01/1990             38.643             34.403             30.948             28.588             26.853             25.267             23.761                41.604            47.134            36.544         40.200         21.800
     04/02/1990             26.699             27.270             28.367             28.338             27.192             25.632             24.013                27.148            31.883            23.061         32.400         16.800
     11/02/1990             30.238             29.883             29.298             28.159             26.847             25.515             24.228                30.560            34.384            26.578         30.400         16.400
     18/02/1990             31.529             29.545             28.054             27.290             26.495             25.494             24.411                32.804            36.683            28.904         33.200         19.400
     25/02/1990             29.828             30.086             29.419             28.070             26.779             25.619             24.560                29.196            32.846            27.546         26.200         21.300
     04/03/1990             27.769             28.627             28.739             27.902             26.833             25.756             24.717                26.987            30.137            24.851         26.700         19.800
     11/03/1990             32.316             30.523             28.994             27.789             26.764             25.789             24.857                33.493            38.906            27.885         35.300         15.800
     18/03/1990             30.202             29.782             29.134             28.164             27.101             26.029             24.998                30.467            35.121            25.691         31.300         14.800
     25/03/1990             24.410             26.528             27.500             27.502             26.904             26.053             25.140                22.318            27.720            20.480         22.600         17.800
     01/04/1990             25.404             25.312             25.354             25.527             25.622             25.501             25.218                25.482            28.344            22.760         26.200         16.800
     08/04/1990             24.660             24.202             24.204             24.641             25.000             25.167             25.210                25.112            27.626            22.588         28.600         19.600
     15/04/1990             26.107             25.808             25.444             25.093             25.002             25.059             25.162                26.312            28.548            24.017         26.800         18.800
     22/04/1990             21.455             22.521             23.595             24.434             24.861             25.048             25.126                20.878            24.002            17.677         24.700         13.400
     29/04/1990             19.780             20.653             22.039             23.332             24.130             24.660             25.057                19.542            24.529            14.387         23.800          5.600
