APSIM output file, version = 5.3
Title = oats SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)
     28/09/1988          6.400            104          5.944          2.945       6698.566          0.000       1800.000          4.131
     29/09/1988          0.000            105          5.981          2.857       6926.543          0.000       1800.000          4.832
     30/09/1988          0.000            106          6.000          2.748       7144.079         93.126       1800.000          5.498
     01/10/1988          0.000            107          6.321          2.648       7330.309        178.218       1800.000          3.153
     02/10/1988          0.000            108          6.482          2.566       7547.141        248.884       1800.000          4.450
     03/10/1988          0.000            109          6.648          2.480       7766.118        321.924       1800.000          4.602
     04/10/1988          0.000            110          6.853          2.342       7971.425        411.581       1800.000          4.681
     05/10/1988          0.000            111          7.000          2.234       8108.812        506.533       1800.000          5.058
     06/10/1988          0.000            112          7.043          2.108       8265.713        601.486       1800.000          4.759
     07/10/1988          0.000            113          7.087          1.974       8458.330        687.673       1800.000          4.324
     08/10/1988          0.000            114          7.127          1.848       8626.065        768.747       1800.000          3.670
     09/10/1988          0.000            115          7.172          1.710       8793.344        857.856       1800.000          3.806
     10/10/1988          0.000            116          7.211          1.589       8957.804        935.462       1800.000          3.536
     11/10/1988          0.000            117          7.246          1.506       9119.119       1004.850       1800.000          3.362
     12/10/1988          0.000            118          7.288          1.442       9279.045       1089.028       1800.000          3.611
     13/10/1988          0.000            119          7.335          1.372       9431.291       1181.972       1800.000          3.769
     14/10/1988          0.000            120          7.382          1.301       9565.527       1276.924       1800.000          3.584
     15/10/1988          0.000            121          7.424          1.240       9685.573       1367.975       1800.000          3.698
     16/10/1988          0.000            122          7.469          1.172       9833.939       1441.547       1800.000          3.487
     17/10/1988          0.000            123          7.515          1.103       9971.556       1504.429       1800.000          3.284
     18/10/1988          0.000            124          7.552          1.052      10108.903       1546.714       1800.000          2.978
     19/10/1988          0.000            125          7.591          1.004      10241.911       1584.999       1800.000          2.956
     20/10/1988          0.000            126          7.638          0.947      10372.121       1624.105       1800.000          3.586
     21/10/1988          0.000            127          7.684          0.890      10483.577       1657.382       1800.000          3.580
     22/10/1988          0.000            128          7.707          0.862      10542.016       1686.149       1800.000          3.102
     23/10/1988          0.000            129          7.751          0.809      10610.308       1710.773       1800.000          2.094
     24/10/1988          2.200            130          7.787          0.765      10660.074       1730.383       1800.000          0.768
     25/10/1988          0.400            131          7.825          0.719      10726.239       1752.212       1800.000          1.927
     26/10/1988          0.000            132          7.864          0.669      10795.299       1774.039       1800.000          2.018
     27/10/1988          0.000            133          7.906          0.615      10862.838       1796.147       1800.000          2.138
     28/10/1988          0.000            134          7.950          0.557      10926.433       1818.475       1800.000          2.165
     29/10/1988          0.000            135          7.993          0.502      10982.386       1841.016       1800.000          2.255
     30/10/1988          0.000            136          8.000          0.456      11030.751       1841.016       1800.000          2.041
