ApsimVersion = 6.1
Title = WHEAT SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)
     15/10/1988          0.000            121          7.804          0.431         8795.1         3104.0       1800.000          1.382
     16/10/1988          0.000            122          7.849          0.371         8821.1         3217.5       1800.000          1.250
     17/10/1988          0.000            123          7.895          0.346         8840.3         3332.8       1800.000          0.606
     18/10/1988          0.000            124          7.932          0.326         8856.2         3370.8       1800.000          0.556
     19/10/1988          0.000            125          7.971          0.306         8870.7         3370.8       1800.000          0.564
     20/10/1988          0.000            126          8.000          0.281         8887.7         3370.8       1800.000          0.975
     21/10/1988          0.000            127          9.000          0.256         8887.7         3370.8       1800.000          1.594
     22/10/1988          0.000            128         10.000          0.000         8887.7         3370.8       1800.000          0.000
     23/10/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     24/10/1988          2.200              0          0.000          0.000            0.0            0.0          0.000          0.000
     25/10/1988          0.400              0          0.000          0.000            0.0            0.0          0.000          0.000
     26/10/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     27/10/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     28/10/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     29/10/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     30/10/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     31/10/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     01/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     02/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     03/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     04/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     05/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     06/11/1988          0.600              0          0.000          0.000            0.0            0.0          0.000          0.000
     07/11/1988          4.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     08/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     09/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     10/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     11/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     12/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     13/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     14/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     15/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     16/11/1988         17.000              0          0.000          0.000            0.0            0.0          0.000          0.000
     17/11/1988          0.000              0          0.000          0.000            0.0            0.0          0.000          0.000
