Summary_file = winterfallow.sum
Title = Winter dicot fallow Simulation
       day      year       weed_lai   weed_biomass weed_grn_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)          (kg/ha)
       188      1988          4.599       3591.367         3563.615
       189      1988          4.670       3710.048         3669.428
       190      1988          4.739       3839.136         3783.716
       191      1988          4.808       3986.330         3914.076
       192      1988          4.881       4098.141         4007.117
       193      1988          4.938       4167.548         4055.811
       194      1988          4.998       4252.607         4118.552
       195      1988          5.056       4378.209         4219.893
       196      1988          5.105       4509.499         4324.915
       197      1988          5.149       4643.952         4431.267
       198      1988          5.186       4770.167         4527.685
       199      1988          5.229       4902.369         4628.571
       200      1988          5.252       5041.004         4734.053
       201      1988          5.271       5185.593         4844.302
       202      1988          5.302       5313.254         4936.634
       203      1988          5.347       5410.848         4997.818
       204      1988          5.375       5491.809         5040.758
       205      1988          5.376       5612.081         5121.640
       206      1988          5.371       5723.773         5193.551
       207      1988          5.376       5860.636         5290.426
       208      1988          5.399       6002.296         5391.438
       209      1988          5.393       6126.517         5473.822
       210      1988          5.387       6263.750         5569.267
       211      1988          5.386       6378.654         5642.526
       212      1988          5.398       6498.867         5721.172
       213      1988          5.399       6633.666         5813.809
       214      1988          5.399       6762.603         5900.732
       215      1988          5.399       6879.980         5976.301
       216      1988          5.406       7012.891         6067.645
       217      1988          5.411       7141.055         6154.176
       218      1988          5.411       7261.678         6233.195
       219      1988          5.405       7368.832         6298.903
       220      1988          5.385       7477.273         6366.200
       221      1988          5.363       7579.836         6428.409
       222      1988          5.339       7684.671         6493.727
       223      1988          5.282       7812.816         6583.212
       224      1988          5.228       7951.986         6685.772
       225      1988          5.177       8082.349         6781.432
       226      1988          5.128       8213.208         6879.365
       227      1988          5.082       8340.705         6975.597
       228      1988          5.038       8462.419         7067.598
       229      1988          4.996       8590.018         7166.939
       230      1988          4.956       8715.604         7265.632
       231      1988          4.918       8827.226         7351.641
       232      1988          4.882       8938.871         7438.877
       233      1988          4.693       9068.045         7440.083
       234      1988          4.378       9184.088         7343.551
       235      1988          4.028       9254.664         7177.600
       236      1988          3.716       9338.587         7050.713
       237      1988          3.531       9428.354         7015.691
       238      1988          3.344       9540.179         7000.541
       239      1988          3.111       9644.768         6947.833
       240      1988          2.858       9716.247         6848.437
       241      1988          2.645       9798.108         6786.211
       242      1988          2.482       9913.331         6791.803
       243      1988          2.300      10024.858         6780.343
       244      1988          2.105      10084.207         6707.559
       245      1988          1.905      10138.178         6626.538
       246      1988          1.683      10221.352         6559.403
       247      1988          1.451      10317.905         6499.290
       248      1988          1.229      10394.227         6425.517
       249      1988          1.024      10441.406         6334.266
       250      1988          0.836      10498.095         6263.551
       251      1988          0.654      10543.460         6186.531
       252      1988          0.482      10610.354         6136.827
       253      1988          0.348      10662.349         6098.039
       254      1988          0.196      10705.623         6038.683
       255      1988          0.089      10739.217         6000.422
       256      1988          0.038      10758.855         5985.501
       257      1988          0.000      10785.474         5986.304
       258      1988          0.000      10793.972            0.000
       259      1988          0.000          0.000            0.000
       260      1988          0.000          0.000            0.000
       261      1988          0.000          0.000            0.000
       262      1988          0.000          0.000            0.000
       263      1988          0.000          0.000            0.000
       264      1988          0.000          0.000            0.000
       265      1988          0.000          0.000            0.000
       266      1988          0.000          0.000            0.000
       267      1988          0.000          0.000            0.000
       268      1988          0.000          0.000            0.000
       269      1988          0.000          0.000            0.000
       270      1988          0.000          0.000            0.000
       271      1988          0.000          0.000            0.000
       272      1988          0.000          0.000            0.000
       273      1988          0.000          0.000            0.000
