APSIM output file, version = 5.3
Title = stock lablab SAMPLE Simulation
           Date           rain        paddock         number            sex            age         weight     cond_score         intake      wt_change      trampling
            (?)            (?)            (?)            (?)            (?)            (d)           (kg)            (-)            (?)         (kg/d)        (kg/ha)
     05/01/1989          0.000          0.000             20          steer        407.000        225.234          1.396          0.600         -1.429          0.000
     06/01/1989         20.800          0.000             20          steer        408.000        223.817          1.361          0.608         -1.417          0.000
     07/01/1989          0.200          0.000             20          steer        409.000        222.394          1.326          0.575         -1.424          0.000
     08/01/1989          0.000          0.000             20          steer        410.000        220.979          1.291          0.576         -1.415          0.000
     09/01/1989          0.000          0.000             20          steer        411.000        219.580          1.256          0.592         -1.399          0.000
     10/01/1989          0.000          0.000             20          steer        412.000        218.193          1.221          0.602         -1.386          0.000
     11/01/1989         31.600          0.000             20          steer        413.000        216.822          1.187          0.618         -1.371          0.000
     12/01/1989          0.000          0.000             20          steer        414.000        215.457          1.154          0.613         -1.365          0.000
     13/01/1989          0.000          0.000             20          steer        415.000        214.104          1.120          0.623         -1.352          0.000
     14/01/1989          0.000          0.000             20          steer        416.000        212.761          1.087          0.625         -1.343          0.000
     15/01/1989          0.000          0.000             20          steer        417.000        211.421          1.054          0.616         -1.340          0.000
     16/01/1989          0.000          0.000             20          steer        418.000        210.090          1.021          0.617         -1.331          0.000
     17/01/1989          0.000          0.000             20          steer        419.000        208.767          0.989          0.619         -1.323          0.000
     18/01/1989          0.000          0.000             20          steer        420.000        207.454          0.956          0.623         -1.313          0.000
     19/01/1989          0.000          0.000             20          steer        421.000        206.153          0.924          0.631         -1.302          0.000
     20/01/1989          5.000          0.000             20          steer        422.000        204.860          0.892          0.632         -1.293          0.000
     21/01/1989          0.000          0.000             20          steer        423.000        203.568          0.861          0.619         -1.292          0.000
     22/01/1989          0.000          0.000             20          steer        424.000        202.285          0.829          0.621         -1.283          0.000
     23/01/1989          2.600          0.000             20          steer        425.000        200.994          0.798          0.589         -1.290          0.000
     24/01/1989          0.400          0.000             20          steer        426.000        199.699          0.767          0.561         -1.296          0.000
     25/01/1989          0.000          0.000             20          steer        427.000        198.403          0.736          0.545         -1.296          0.000
     26/01/1989          0.000          0.000             20          steer        428.000        197.131          0.704          0.579         -1.272          0.000
     27/01/1989          1.600          0.000             20          steer        429.000        195.878          0.673          0.604         -1.253          0.000
     28/01/1989          0.000          0.000             20          steer        430.000        194.630          0.643          0.596         -1.249          0.000
     29/01/1989          0.000          0.000             20          steer        431.000        193.394          0.613          0.608         -1.236          0.000
     30/01/1989          0.000          0.000             20          steer        432.000        192.170          0.583          0.618         -1.224          0.000
     31/01/1989          0.000          0.000             20          steer        433.000        190.961          0.554          0.633         -1.209          0.000
     01/02/1989          0.000          0.000             20          steer        434.000        189.762          0.524          0.640         -1.199          0.000
     02/02/1989          0.000          0.000             20          steer        435.000        188.565          0.495          0.628         -1.197          0.000
     03/02/1989          0.000          0.000             20          steer        436.000        187.360          0.467          0.595         -1.205          0.000
     04/02/1989          1.000          0.000             20          steer        437.000        186.148          0.438          0.563         -1.213          0.000
     05/02/1989          4.000          0.000             20          steer        438.000        184.911          0.409          0.496         -1.237          0.000
     06/02/1989         20.900          0.000             20          steer        439.000        183.657          0.379          0.444         -1.254          0.000
     07/02/1989          0.000          0.000             20          steer        440.000        182.421          0.349          0.467         -1.236          0.000
     08/02/1989          0.000          0.000             20          steer        441.000        181.210          0.320          0.503         -1.211          0.000
     09/02/1989          0.000          0.000             20          steer        442.000        180.028          0.291          0.549         -1.182          0.000
     10/02/1989          0.000          0.000             20          steer        443.000        178.871          0.262          0.586         -1.158          0.000
     11/02/1989          3.400          0.000             20          steer        444.000        177.729          0.235          0.605         -1.141          0.000
     12/02/1989          1.000          0.000             20          steer        445.000        176.587          0.208          0.588         -1.142          0.000
     13/02/1989          0.000          0.000             20          steer        446.000        175.447          0.180          0.579         -1.140          0.000
     14/02/1989          0.000          0.000             19          steer        447.000        175.200          0.172          0.607         -1.125          0.000
     15/02/1989          0.000          0.000             19          steer        448.000        174.093          0.145          0.631         -1.106          0.000
     16/02/1989          0.000          0.000             18          steer        449.000        173.912          0.139          0.647         -1.097          0.000
     17/02/1989          0.000          0.000             18          steer        450.000        172.828          0.113          0.661         -1.084          0.000
     18/02/1989          0.000          0.000             18          steer        451.000        171.751          0.087          0.662         -1.077          0.000
     19/02/1989          0.000          0.000             18          steer        452.000        170.679          0.061          0.660         -1.071          0.000
     20/02/1989          0.000          0.000             18          steer        453.000        169.616          0.036          0.662         -1.064          0.000
     21/02/1989         99.000          0.000             17          steer        454.000        169.497          0.031          0.666         -1.061          0.000
     22/02/1989          0.000          0.000             17          steer        455.000        168.433          0.006          0.645         -1.064          0.000
     23/02/1989          0.000          0.000             16          steer        456.000        168.362          0.002          0.650         -1.061          0.000
     24/02/1989          0.200          0.000             15          steer        457.000        168.355         -0.000          0.653         -1.059          0.000
     25/02/1989          0.000          0.000             15          steer        458.000        167.298         -0.025          0.643         -1.057          0.000
     26/02/1989          0.000          0.000             15          steer        459.000        166.257         -0.050          0.666         -1.040          0.000
     27/02/1989          0.000          0.000             15          steer        460.000        165.230         -0.075          0.680         -1.027          0.000
     28/02/1989          0.000          0.000             14          steer        461.000        165.308         -0.075          0.689         -1.023          0.000
     01/03/1989          0.000          0.000             14          steer        462.000        164.281         -0.099          0.666         -1.028          0.000
