Summary_file = winterfallow.sum
Title = Winter dicot fallow Simulation
    day   year       weed_lai   weed_biomass weed_grn_bioma
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
    251   1988          0.753      11110.463       6709.647
    252   1988          0.552      11196.144       6660.959
    253   1988          0.403      11262.845       6628.267
    254   1988          0.236      11318.743       6571.796
    255   1988          0.113      11362.615       6533.745
    256   1988          0.048      11388.228       6515.983
    257   1988          0.000      11422.226       6517.581
    258   1988          0.000      11431.263       6526.617
    259   1988          0.000      11457.570       6552.925
    260   1988          0.000      11485.403       6580.758
    261   1988          0.000      11521.717       6617.071
    262   1988          0.000      11558.918       6654.273
    263   1988          0.000      11594.240       6689.595
    264   1988          0.000      11625.144       6720.498
    265   1988          0.000      11625.143       6720.498
    266   1988          0.000          0.000          0.000
    267   1988          0.000          0.000          0.000
    268   1988          0.000          0.000          0.000
    269   1988          0.000          0.000          0.000
    270   1988          0.000          0.000          0.000
    271   1988          0.000          0.000          0.000
    272   1988          0.000          0.000          0.000
    273   1988          0.000          0.000          0.000
    274   1988          0.000          0.000          0.000
    275   1988          0.000          0.000          0.000
    276   1988          0.000          0.000          0.000
    277   1988          0.000          0.000          0.000
    278   1988          0.000          0.000          0.000
    279   1988          0.000          0.000          0.000
    280   1988          0.000          0.000          0.000
    281   1988          0.000          0.000          0.000
    282   1988          0.000          0.000          0.000
    283   1988          0.000          0.000          0.000
    284   1988          0.000          0.000          0.000
    285   1988          0.000          0.000          0.000
    286   1988          0.000          0.000          0.000
    287   1988          0.000          0.000          0.000
    288   1988          0.000          0.000          0.000
    289   1988          0.000          0.000          0.000
    290   1988          0.000          0.000          0.000
    291   1988          0.000          0.000          0.000
    292   1988          0.000          0.000          0.000
    293   1988          0.000          0.000          0.000
    294   1988          0.000          0.000          0.000
    295   1988          0.000          0.000          0.000
    296   1988          0.000          0.000          0.000
    297   1988          0.000          0.000          0.000
    298   1988          0.000          0.000          0.000
    299   1988          0.000          0.000          0.000
    300   1988          0.000          0.000          0.000
    301   1988          0.000          0.000          0.000
    302   1988          0.000          0.000          0.000
    303   1988          0.000          0.000          0.000
    304   1988          0.000          0.000          0.000
    305   1988          0.000          0.000          0.000
    306   1988          0.000          0.000          0.000
    307   1988          0.000          0.000          0.000
    308   1988          0.000          0.000          0.000
    309   1988          0.000          0.000          0.000
    310   1988          0.000          0.000          0.000
    311   1988          0.000          0.000          0.000
    312   1988          0.000          0.000          0.000
    313   1988          0.000          0.000          0.000
    314   1988          0.000          0.000          0.000
    315   1988          0.000          0.000          0.000
    316   1988          0.000          0.000          0.000
    317   1988          0.000          0.000          0.000
    318   1988          0.000          0.000          0.000
    319   1988          0.000          0.000          0.000
    320   1988          0.000          0.000          0.000
    321   1988          0.000          0.000          0.000
    322   1988          0.000          0.000          0.000
    323   1988          0.000          0.000          0.000
    324   1988          0.000          0.000          0.000
    325   1988          0.000          0.000          0.000
    326   1988          0.000          0.000          0.000
    327   1988          0.000          0.000          0.000
    328   1988          0.000          0.000          0.000
    329   1988          0.000          0.000          0.000
    330   1988          0.000          0.000          0.000
    331   1988          0.000          0.000          0.000
    332   1988          0.000          0.000          0.000
    333   1988          0.000          0.000          0.000
    334   1988          0.000          0.000          0.000
    335   1988          0.000          0.000          0.000
    336   1988          0.000          0.000          0.000
    337   1988          0.000          0.000          0.000
    338   1988          0.000          0.000          0.000
    339   1988          0.000          0.000          0.000
    340   1988          0.000          0.000          0.000
    341   1988          0.000          0.000          0.000
    342   1988          0.000          0.000          0.000
    343   1988          0.000          0.000          0.000
    344   1988          0.000          0.000          0.000
    345   1988          0.000          0.000          0.000
    346   1988          0.000          0.000          0.000
    347   1988          0.000          0.000          0.000
    348   1988          0.000          0.000          0.000
    349   1988          0.000          0.000          0.000
    350   1988          0.000          0.000          0.000
    351   1988          0.000          0.000          0.000
    352   1988          0.000          0.000          0.000
    353   1988          0.000          0.000          0.000
