Summary_file = CC-142.sum
Title = Continous Cropping plots
       day      year     month day_of_month          event           rain           W_ep           L_ep           C_ep           P_ep        weed_ep         sw_dep             es         runoff          drain         Transp             ET              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)             sw(21)             sw(22)             sw(23)             sw(24)             sw(25)             sw(26)             sw(27)      drain_120      drain_180       cum_rain         cum_es          cum_T         cum_ET   sw_dep_10120  sw_dep_120180   sw_dep_10180    sw_dep_0180  sw_dep_180300        nit_020    nit_020_100  cum_n_min_020      fom_n_020     biom_n_020      hum_n_020        nit_tot         biom_n          fom_n          hum_n          no3()          nh4()           urea      dlt_n_min      residue_n     residue_wt  residue_cover      W_topbiom     W_dleaf_wt       W_rootwt       W_leafwt       W_stemwt      W_grainwt   W_stage  W_antdat  W_matdat           W_rlv(1)           W_rlv(2)           W_rlv(3)           W_rlv(4)           W_rlv(5)           W_rlv(6)           W_rlv(7)           W_rlv(8)           W_rlv(9)          W_rlv(10)          W_rlv(11)          W_rlv(12)          W_rlv(13)          W_rlv(14)          W_lai      W_WatStrF      W_NitStrF       W_GrainN        W_TopsN        C_grain         C_biom        C_gbiom          C_lai           C_rlv(1)           C_rlv(2)           C_rlv(3)           C_rlv(4)           C_rlv(5)           C_rlv(6)           C_rlv(7)           C_rlv(8)           C_rlv(9)          C_rlv(10)          C_rlv(11)          C_rlv(12)          C_rlv(13)          C_rlv(14)    C_biomass_n      C_grain_n    C_rootdepth   C_swdefphoto   C_nfactphoto          L_lai      L_biomass     L_gbiomass           L_rlv(1)           L_rlv(2)           L_rlv(3)           L_rlv(4)           L_rlv(5)           L_rlv(6)           L_rlv(7)           L_rlv(8)           L_rlv(9)          L_rlv(10)          L_rlv(11)          L_rlv(12)          L_rlv(13)          L_rlv(14)          L_rlv(15)          L_rlv(16)          L_rlv(17)          L_rlv(18)          L_rlv(19)          L_rlv(20)          L_rlv(21)          L_rlv(22)          L_rlv(23)          L_rlv(24)          L_rlv(25)          L_rlv(26)          L_rlv(27)    L_biomass_n        L_stage    L_rootdepth   L_swdefphoto   L_nfactphoto      L_n_fixed     L_cover_gr    L_cover_tot        P_grain         P_biom        P_gbiom          P_lai           P_rlv(1)           P_rlv(2)           P_rlv(3)           P_rlv(4)           P_rlv(5)           P_rlv(6)           P_rlv(7)           P_rlv(8)           P_rlv(9)          P_rlv(10)          P_rlv(11)          P_rlv(12)          P_rlv(13)          P_rlv(14)    P_biomass_n      P_grain_n    P_rootdepth   P_swdefphoto   P_nfactphoto      P_n_fixed          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          no3ppm(7)          no3ppm(8)          no3ppm(9)         no3ppm(10)         no3ppm(11)         no3ppm(12)         no3ppm(13)         no3ppm(14)         no3ppm(15)         no3ppm(16)         no3ppm(17)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)          nh4ppm(7)          nh4ppm(8)          nh4ppm(9)         nh4ppm(10)         nh4ppm(11)         nh4ppm(12)         nh4ppm(13)         nh4ppm(14)         nh4ppm(15)         nh4ppm(16)         nh4ppm(17)        Weed_rlv(1)        Weed_rlv(2)        Weed_rlv(3)        Weed_rlv(4)        Weed_rlv(5)        Weed_rlv(6)   Weed_biomass  weed_gbiomass       weed_lai weed_biomass_n cumnetdrain180    netdrain180      period_sw   period_drain
     (day)    (year)   (month)        (day)             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (?)             ()            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()            (?)             ()             ()             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        ()     (doy)     (doy)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)         (g/m2)      (m^2/m^2)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)        (g/m^2)        (g/m^2)           (mm)             ()             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)        (g/m^2)             ()           (mm)             ()             ()        (g/m^2)             ()             ()        (g/m^2)         (g/m2)         (g/m2)      (m^2/m^2)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)        (g/m^2)        (g/m^2)           (mm)             ()             ()        (g/m^2)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)         (g/m2)         (g/m2)      (m^2/m^2)        (g/m^2)             ()             ()             ()             ()
       342      1993        12            8          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1319.317          0.045          0.000          0.442              ?          1.110              0.030              0.060              0.096              0.146              0.196              0.212              0.253              0.282              0.308              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.291              0.291              0.292              0.292              0.293         29.412         29.828        590.400        324.724       -267.516         57.208        218.909        179.588        398.497        401.512        340.001         11.309              ?        180.689          1.415        130.555       2475.989       9776.704        179.031          2.101       9506.904         84.864          3.803          0.000          1.287          0.006          0.351          0.000       1605.452        452.406        405.017          0.000        737.406        415.640        82       314         0              0.094              0.103              0.094              0.075              0.022              0.005              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          1.000          1.000          9.094         18.644          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              3.075              2.475              1.451              0.543              0.268              0.194              0.086              0.039              1.202              1.083              1.096              1.108              1.086              1.090              1.059              1.034              1.007              0.993              0.720              0.347              0.072              0.043              0.032              0.018              0.008              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000        131.680          0.001          0.000          0.000
        21      1994         1           21          0.000        106.000         15.201          0.000          0.000          0.000          0.000       1389.799         18.315          0.223          1.780              ?          3.159              0.156              0.168              0.200              0.238              0.281              0.273              0.257              0.282              0.305              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -0.295          0.000         12.800          9.761        -14.381         -4.620        279.244        178.941        458.185        473.774        340.000          2.851              ?         18.403         14.269        167.098       2470.321       9847.177        243.918         27.013       9496.448         76.622          3.177          0.000         30.658         78.488       9778.284          0.992         47.604          0.189         18.691         30.698         16.717          0.000        21         0         0              0.007              0.005              0.004              0.002              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.712          0.932          0.738          0.000          1.418          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.178              0.375              0.194              0.068              0.216              0.618              0.263              0.124              1.215              1.092              1.105              1.116              1.093              1.097              1.066              1.041              1.014              0.303              0.932              0.368              0.108              0.039              0.029              0.016              0.007              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000         28.763         29.912          0.000          0.000
        22      1994         1           22          0.000          0.000          1.341          0.000          0.000          0.000          0.000       1388.006          0.449          0.000          0.003              ?         -0.031              0.148              0.164              0.197              0.236              0.280              0.273              0.257              0.282              0.305              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -0.308          0.000         12.800         10.210        -15.722         -5.512        278.266        178.927        457.193        471.984        340.000          3.014              ?         19.264         13.925        167.355       2470.160       9846.717        244.288         26.395       9496.146         76.622          3.270          0.000          1.166         78.231       9746.278          0.992         51.425          0.230         20.126         33.140         18.055          0.000        21         0         0              0.008              0.005              0.004              0.002              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.758          1.000          0.328          0.000          1.482          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.220              0.388              0.204              0.071              0.166              0.627              0.268              0.127              1.215              1.092              1.105              1.116              1.094              1.097              1.066              1.041              1.014              0.359              0.929              0.368              0.113              0.040              0.029              0.016              0.007              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000         31.445          0.713          0.000          0.000
        27      1994         1           27          0.000          0.000          8.076          0.000          0.000          0.000          0.000       1377.084          2.836          0.000          0.010              ?         -5.276              0.102              0.140              0.181              0.223              0.275              0.273              0.258              0.282              0.304              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -0.373          0.000         12.800         13.046        -23.799        -10.753        271.978        178.861        450.839        461.071        340.000          4.516              ?         25.215         11.903        169.539       2469.137       9846.089        246.964         22.708       9494.154         77.869          4.394          0.000          8.090         76.097       9480.406          0.991         64.645          0.846         27.119         40.549         23.250          0.000        21         0         0              0.010              0.007              0.006              0.003              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.876          1.000          0.240          0.000          1.728          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.491              0.599              0.322              0.124              0.089              0.687              0.304              0.142              1.218              1.093              1.106              1.117              1.095              1.099              1.067              1.042              1.015              0.640              1.132              0.473              0.179              0.060              0.034              0.015              0.007              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000         47.599         15.952          0.000          0.000
        42      1994         2           11          0.000         41.000         19.164          0.000          0.000          0.000          0.000       1392.084          6.825          0.000          0.010              ?        -12.867              0.201              0.199              0.233              0.204              0.254              0.271              0.260              0.282              0.303              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -0.565          0.000         53.800         19.870        -42.964        -23.094        277.310        178.670        455.980        476.082        340.000          8.090              ?         47.128          7.059        169.959       2465.174       9837.853        246.503         13.648       9486.580         84.842          6.277          0.000         30.620         70.426       8773.826          0.988         85.220         13.629         72.290         31.049         40.543          0.000        21         0         0              0.027              0.018              0.013              0.008              0.004              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.655          0.961          0.373          0.000          2.729          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              1.074              1.546              1.392              0.543              0.161              0.926              0.431              0.197              1.228              1.099              1.111              1.122              1.099              1.103              1.071              1.046              1.019              0.975              1.532              0.683              0.326              0.089              0.039              0.015              0.007              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000         85.929         39.967          0.000          0.000
        57      1994         2           26          0.000         21.600         33.782          0.000          0.000          0.000          0.000       1373.736          6.166          0.000          0.002              ?        -25.559              0.102              0.129              0.185              0.231              0.267              0.262              0.262              0.282              0.302              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -0.745          0.000         75.400         26.036        -76.747        -50.711        269.078        178.490        447.568        457.735        340.000          5.116              ?         64.106          5.198        171.990       2462.492       9820.134        246.244         10.126       9481.218         77.512          5.035          0.000         23.611         64.359       8018.081          0.982        135.766         22.678        177.102         31.480         81.609          0.000        22         0         0              0.067              0.053              0.038              0.012              0.007              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.735          0.978          0.968          0.000          4.032          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.709              0.588              0.321              0.177              0.064              0.046              0.522              0.237              1.235              1.102              1.115              1.125              1.103              1.106              1.074              1.049              1.022              0.770              1.190              0.541              0.285              0.074              0.033              0.016              0.007              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000        153.493         63.075          0.000          0.000
        72      1994         3           13          0.000         56.800         25.123          0.000          0.000          0.000          0.000       1400.012          5.401          0.000          0.000              ?        -21.186              0.178              0.187              0.228              0.273              0.291              0.261              0.262              0.282              0.302              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -0.912          0.000        132.200         31.437       -101.869        -70.432        287.909        178.321        466.230        484.010        340.000          2.940              ?         77.753          4.193        171.607       2460.255       9806.324        243.577          8.214       9476.723         74.154          3.657          0.000         19.095         60.158       7494.620          0.976        177.957         25.286        267.953         33.617        119.055          0.000        23         0         0              0.092              0.079              0.065              0.022              0.009              0.002              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.814          1.000          0.894          0.000          4.867          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.213              0.246              0.149              0.089              0.031              0.024              0.030              0.272              1.241              1.106              1.118              1.129              1.106              1.109              1.077              1.052              1.025              0.583              0.824              0.358              0.194              0.059              0.035              0.018              0.008              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000        203.739         53.434          0.000          0.000
        84      1994         3           25          0.000          0.000         22.320          0.000          0.000          0.000          0.000       1373.068          4.624          0.000          0.000              ?        -16.737              0.097              0.141              0.190              0.232              0.271              0.254              0.258              0.281              0.301              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -1.044          0.000        132.200         36.060       -124.188        -88.128        269.141        178.192        447.333        457.068        340.000          4.309              ?         86.804          3.694        170.715       2458.734       9800.851        240.972          7.232       9473.595         75.228          3.825          0.000         12.855         57.583       7173.895          0.972        213.396         25.286        336.235         38.571        149.539          0.000        24         0         0              0.108              0.096              0.083              0.039              0.010              0.003              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.963          1.000          0.870          0.000          5.202          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.852              0.426              0.252              0.153              0.056              0.040              0.024              0.066              1.245              1.108              1.120              1.131              1.108              1.111              1.079              1.054              1.027              0.721              0.770              0.372              0.211              0.060              0.034              0.018              0.008              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000        248.377         42.577          0.000          0.000
        85      1994         3           26          0.000          0.000          2.171          0.000          0.000          0.000          0.000       1370.514          0.383          0.000          0.000              ?         -1.883              0.091              0.136              0.186              0.228              0.269              0.253              0.258              0.281              0.301              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -1.055          0.000        132.200         36.443       -126.359        -89.916        267.224        178.181        445.405        454.514        340.000          4.645              ?         87.745          3.648        170.470       2458.566       9800.461        240.550          7.142       9473.260         75.572          3.935          0.000          1.329         57.380       7148.614          0.972        216.079         25.287        342.603         38.570        152.222          0.000        24         0         0              0.109              0.097              0.084              0.040              0.010              0.003              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.963          1.000          0.808          0.000          5.226          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.973              0.465              0.277              0.169              0.062              0.043              0.026              0.060              1.245              1.108              1.121              1.131              1.108              1.112              1.080              1.054              1.027              0.765              0.784              0.380              0.216              0.060              0.034              0.018              0.008              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000        252.719          4.609          0.000          0.000
       100      1994         4           10          0.000          6.800         25.290          0.000          0.000          0.000          0.000       1346.893          5.131          0.000          0.000              ?        -20.846              0.074              0.090              0.144              0.195              0.245              0.239              0.252              0.277              0.300              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -1.232          0.000        139.000         41.574       -151.649       -110.075        245.453        178.005        423.458        430.892        340.000          7.166              ?         99.881          3.130        168.559       2456.425       9794.713        236.192          6.112       9468.854         79.803          3.753          0.000         17.362         54.208       6753.337          0.966        250.293         27.679        416.886         36.178        186.436          0.000        25         0         0              0.118              0.114              0.103              0.062              0.014              0.004              0.002              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.903          1.000          0.870          0.000          5.543          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              1.982              1.143              0.655              0.423              0.124              0.081              0.045              0.032              1.251              1.112              1.124              1.134              1.111              1.115              1.083              1.057              1.030              0.770              0.721              0.345              0.200              0.060              0.034              0.018              0.008              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000        303.300         52.196          0.000          0.000
       115      1994         4           25          0.000          1.800         23.127          0.000          0.000          0.000          0.000       1321.108          4.458          0.000          0.000              ?        -18.400              0.030              0.055              0.107              0.166              0.221              0.223              0.244              0.270              0.299              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -1.441          0.000        140.800         46.033       -174.777       -128.744        224.298        177.796        402.094        405.107        340.000          5.942              ?        105.192          2.932        169.674       2455.407       9790.824        235.460          5.610       9466.055         81.627          2.071          0.000          9.241         52.023       6481.176          0.961        294.268         29.314        472.910         39.425        225.530          0.000        26         0         0              0.117              0.119              0.116              0.076              0.025              0.005              0.003              0.002              0.000              0.000              0.000              0.000              0.000              0.000          1.008          0.907          0.961          0.000          5.712          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              1.880              1.443              0.923              0.645              0.191              0.121              0.065              0.037              1.254              1.114              1.127              1.137              1.114              1.117              1.085              1.060              1.032              0.017              0.456              0.298              0.170              0.061              0.035              0.018              0.008              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000        349.554         46.215          0.000          0.000
