Summary_file = orobanche.sum
Title = orobanchen Sample Simulation
       day      year   faba_biomass         faba_c    day_at     orob_stage         dlt_tt    host_tt_sum parasite_c_demand        biomass    biomass_pot  biomass_emerg
     (day)    (year)        (kg/ha)         (g/m2)        ()             ()          (oCd)          (oCd)            (g/m2)        (kg/ha)        (kg/ha)         (g/m2)
       245      1988       4596.476          8.987       104          5.000          7.800       1414.185            72.636       4538.330      12836.759        451.515
       246      1988       4541.225         13.935       105          5.000          9.400       1431.585            80.084       4677.675      13637.598        465.450
       247      1988       4481.620         16.470       106          5.000         11.250       1447.812            74.756       4842.375      14385.160        481.920
       248      1988       4418.419         13.430       107          5.000         11.750       1464.124            75.206       4976.675      15137.223        495.350
       249      1988       4351.495          8.556       108          5.000          9.500       1481.624            80.743       5062.231      15944.654        503.905
       250      1988       4280.095         10.521       109          5.000          9.750       1499.374            81.949       5167.438      16764.146        514.426
       251      1988       4204.418          8.645       110          5.000          9.200       1516.574            79.452       5253.887      17558.668        523.071
       252      1988       4127.434         13.420       111          5.000          8.750       1532.559            73.872       5388.084      18297.385        536.491
       253      1988       4049.665         11.300       112          5.000          7.950       1548.509            73.736       5501.087      19034.748        547.791
       254      1988       3970.519          9.937       113          5.000          9.850       1565.278            77.546       5600.460      19810.211        557.728
       255      1988       3888.963          8.132       114          5.000         12.450       1582.373            79.080       5681.781      20601.008        565.860
       256      1988       3804.917          5.034       115          5.000         10.850       1601.223            87.222       5732.120      21473.225        570.894
       257      1988       3718.886          5.735       116          5.000          9.300       1616.133            69.003       5789.467      22163.256        576.629
       258      1988       3599.650          4.651       117          5.000          2.850       1626.983            50.220       5835.972      22665.455        581.279
       259      1988       3501.941          4.522       118          5.000          8.750       1643.179            74.978       5881.189      23415.236        585.801
       260      1988       3402.475          4.390       119          5.000          8.700       1658.837            72.496       5925.084      24140.199        590.191
       261      1988       3304.136          4.259       120          5.000         11.050       1672.521            63.358       5967.675      24773.779        594.450
       262      1988       3204.482          4.126       121          5.000          9.850       1686.351            64.048       6008.932      25414.258        598.575
       263      1988       3102.425          3.990       122          5.000          6.350       1700.701            66.458       6048.829      26078.834        602.565
       264      1988       3007.793          3.862       123          5.000          4.500       1713.201            57.894       6087.449      26657.773        606.427
       265      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       266      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       267      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       268      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       269      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       270      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       271      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       272      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       273      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       274      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       275      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       276      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       277      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       278      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       279      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       280      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       281      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       282      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       283      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       284      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       285      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       286      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       287      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       288      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       289      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       290      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       291      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       292      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       293      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       294      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       295      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       296      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       297      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       298      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       299      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       300      1988          0.000          3.862         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
