Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
        31      1972     31/01/1972          0.000          0.000          2.900          0.000              0.124              0.166              0.179              0.177              0.165              0.168              0.178              0.186          6.564          0.000          0.000        343.783          1.737        154.140             27.447             29.007             29.311             29.439             15.240              9.103              7.595              6.998          0.000       9456.261        292.602         46.178          0.476         44.941          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         16.110
        60      1972     29/02/1972          0.000          1.000         10.100          0.000              0.149              0.169              0.175              0.175              0.168              0.170              0.178              0.186          7.150          0.000          0.000        346.734          1.737        154.160             26.429             30.272             28.717             29.194             15.759              9.216              7.592              6.981          0.000       9456.261        292.602         46.178          0.476         44.941          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000          7.662
        91      1972     31/03/1972          0.000          0.000         14.700          0.000              0.164              0.170              0.173              0.173              0.170              0.171              0.178              0.185         13.084          0.000          0.000        348.350         19.042        167.711             38.681             31.273             28.579             29.107             16.137              9.349              7.607              6.979          0.000       9455.141        291.750         45.829          0.418         39.478          0.000          0.000          0.000          0.000        115.740          0.000         0          1.000          1.000         80.126
       121      1972     30/04/1972          0.000          0.000         25.600         15.364              0.141              0.145              0.166              0.172              0.171              0.173              0.178              0.185         18.738          0.000          0.000        339.847        107.967        150.246             33.788             24.023             22.808             29.140             16.404              9.472              7.628              6.983          0.000       9452.736        290.218         46.436          0.372         35.104          1.166          0.000        876.107         61.522        394.810          3.854         0          1.000          0.912        112.489
       152      1972     31/05/1972          0.000          0.000         67.300         47.946              0.175              0.150              0.134              0.141              0.167              0.173              0.179              0.185         31.538          0.000          0.000        327.663          8.640        210.562             62.019             58.313             23.130             26.540             16.318              9.581              7.663              6.998          0.000       9449.467        290.609         56.556          0.158         14.886          1.456          0.000       3740.626        139.949        924.610          6.422         0          1.000          0.641        140.155
       182      1972     30/06/1972          0.000          0.000         59.900         45.168              0.142              0.141              0.131              0.119              0.132              0.160              0.177              0.185         41.841          0.000          0.000        300.554          0.619        196.847             34.191             72.644             23.801             26.337             15.952              9.290              7.617              7.016          0.000       9444.886        290.276         62.272          0.040          3.809          0.561        538.450       5798.268        143.906       1501.465          8.379         0          1.000          0.691        169.631
       213      1972     31/07/1972          2.000          0.000         51.400         28.918              0.091              0.151              0.132              0.115              0.124              0.148              0.169              0.183         35.052          0.000          0.000        287.984          0.523        155.142             13.185             52.006             25.388             25.840             15.506              8.945              7.288              6.984          0.000       9437.959        287.343         60.230          0.007          0.697          0.002       2675.772       7095.039        123.814       1665.687         12.820       211          1.000          0.938        139.156
       213      1972     31/07/1972          2.000          0.000          0.000          0.000              0.085              0.151              0.132              0.115              0.124              0.148              0.169              0.183          0.685          0.000          0.000        287.299          0.544        155.208             13.297             51.923             25.411             25.850             15.509              8.947              7.289              6.982          0.000       9437.959        287.343        180.132          2.944        220.998          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000          7.713
       244      1972     31/08/1972          0.000          0.000         77.300          0.000              0.217              0.227              0.174              0.118              0.126              0.149              0.169              0.181         39.760          0.000          0.000        324.839          1.224        164.195             15.311             48.107             35.128             26.722             15.622              9.033              7.320              6.951          0.000       9429.142        314.459         82.437          1.628        122.241          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        163.233
       274      1972     30/09/1972          0.000          0.000          2.400          0.000              0.142              0.181              0.179              0.125              0.127              0.150              0.168              0.179         16.194          0.000          0.000        311.045          1.247        170.700             24.287             41.304             37.120             28.839             15.763              9.105              7.342              6.940          0.000       9422.996        310.357         62.309          1.620        121.598          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        104.657
