Summary_file = output\xifeng_w_n0.sum
Title = Continuous winter wheat at Xifeng with low N
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()            (?)             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       151      1963     31/05/1963          0.000          0.000        113.200          3.734              0.248              0.254              0.266              0.270              0.271              0.273              0.273              0.284              0.285         41.211         12.751         31.862        820.281          1.136        101.694              2.437              6.213             12.230             15.021             14.733             12.488             15.195             12.435             10.941          0.169      13864.733        227.378         23.482          0.007          0.235          0.074         20.572        938.999         20.707       1555.640          2.517         0          1.000          1.000        130.992
       181      1963     30/06/1963          0.000          0.000         24.300          8.205              0.226              0.235              0.249              0.259              0.266              0.270              0.270              0.280              0.280         32.371          0.000          6.793        797.212          1.041         99.827              6.645              8.152             11.864             12.855             12.607             10.999             13.856             12.032             10.817          0.009      13839.646        220.998         15.517          0.004          0.142          0.074        528.618       1289.795         17.816       2244.020          3.512         0          1.000          1.000        187.911
       187      1963     06/07/1963          2.000          2.000         24.600          0.525              0.254              0.258              0.264              0.262              0.265              0.270              0.270              0.280              0.280         10.681          0.069          0.000        810.536          1.102        100.651              5.482              9.175             12.908             12.993             12.528             10.952             13.808             11.987             10.819          0.017      13835.541        219.832         14.732          0.003          0.103          0.002        532.595       1305.668         17.375       2285.480          3.569       185          1.000          1.000         21.542
       212      1963     31/07/1963          0.000          0.000         56.200          0.000              0.253              0.258              0.268              0.270              0.270              0.271              0.271              0.281              0.281         39.243          5.402          5.410        816.681          1.207        111.010              8.082             12.211             15.594             13.806             12.974             11.183             14.088             12.155             10.918          0.061      13811.051        218.101         16.774          0.638         21.673          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        166.395
       243      1963     31/08/1963          0.000          1.000         54.900          0.000              0.305              0.272              0.265              0.267              0.270              0.270              0.270              0.280              0.280         42.481          1.441          6.080        821.579          1.183        123.381             10.981             17.478             18.725             14.227             13.184             11.328             14.266             12.241             10.951          0.051      13780.258        210.613          9.847          0.327         11.123          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        173.689
       264      1963     21/09/1963          0.000          3.000        139.700          0.000              0.287              0.294              0.288              0.289              0.288              0.287              0.279              0.289              0.288         36.578         20.598         43.232        860.871          1.323        123.440              1.547              9.905             20.682             19.087             16.175             13.652             16.826             13.765             11.801          0.396      13771.301        208.842          8.701          0.124          4.210          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         42.243
       273      1963     30/09/1963          0.000          0.000         11.400          0.000              0.243              0.250              0.263              0.270              0.270              0.270              0.270              0.281              0.281         14.682          0.002         44.938        812.649          9.136        133.332             15.036              8.383             18.311             18.039             15.833             13.633             17.553             14.389             12.157          0.106      13767.756        207.847          8.458          0.095          3.219          0.080          0.000         18.400          3.980        121.660          0.108         0          1.000          1.000         28.530
       304      1963     31/10/1963          0.000          0.000         10.200         10.027              0.207              0.222              0.243              0.260              0.268              0.270              0.270              0.280              0.280         18.630          0.000          1.526        792.666          2.013        108.392              5.260              3.756              8.333             17.516             15.812             13.651             17.557             14.378             12.130          0.001      13759.043        205.486         12.902          0.088          2.983          1.389          0.000        850.400         64.499        472.060          2.844         0          0.974          1.000         74.432
       334      1963     30/11/1963          0.000          0.000         47.800          3.909              0.313              0.278              0.270              0.270              0.270              0.270              0.270              0.280              0.280         10.681          0.000          0.000        825.876          1.674        100.635              1.293              2.965              4.999             17.633             15.962             13.669             17.575             14.394             12.144          0.007      13756.856        205.195         25.501          0.078          2.645          0.705          0.000       1399.577         84.347        600.760          3.128         0          0.585          1.000         30.048
       365      1963     31/12/1963          0.000          0.000          7.800          0.000              0.262              0.265              0.270              0.270              0.270              0.270              0.270              0.280              0.280          3.464          0.000         11.924        818.288          1.668         99.632              0.961              2.689              4.904             15.916             16.049             13.991             18.043             14.733             12.348          0.024      13756.840        205.195         39.275          0.078          2.645          0.002          0.000       1399.576         72.208        600.760          2.853         0          1.000          1.000          8.154
        31      1964     31/01/1964          0.000          0.000          7.300          0.000              0.268              0.270              0.270              0.270              0.270              0.270              0.270              0.280              0.280          2.094          0.000          3.426        820.068          1.669         99.337              0.819              2.648              4.862             15.427             16.038             14.089             18.193             14.844             12.418          0.006      13756.840        205.195         51.082          0.078          2.645          0.002          0.000       1399.576         61.816        600.760          2.853         0          1.000          1.000          4.795
        60      1964     29/02/1964          0.000          0.000          2.500          0.000              0.265              0.268              0.270              0.270              0.270              0.270              0.270              0.280              0.280          1.971          0.000          1.377        819.220          1.669         99.215              0.804              2.601              4.847             15.261             16.023             14.116             18.241             14.880             12.440          0.002      13756.840        205.195         60.583          0.078          2.645          0.002          0.000       1399.576         53.453        600.760          2.853         0          1.000          1.000          4.514
        91      1964     31/03/1964          0.000          0.000         30.400          0.142              0.240              0.249              0.263              0.270              0.270              0.270              0.270              0.280              0.281         28.082          0.000          9.920        811.475          1.061         99.142              1.305              2.420              4.698             14.012             15.840             14.344             18.667             15.207             12.649          0.020      13754.610        206.783         62.760          0.066          2.246          0.019          0.000       1410.689         46.115        769.900          2.853         0          1.000          1.000         72.565
       121      1964     30/04/1964          0.000          0.000        101.800          1.064              0.264              0.267              0.274              0.274              0.275              0.275              0.273              0.283              0.283         34.208          3.054         46.030        828.920          0.654         95.771              0.663              1.880              4.183              9.552             13.659             14.662             20.551             16.874             13.746          0.113      13747.635        209.819         54.864          0.035          1.186          0.052          0.000       1521.927         42.713       1149.880          2.891         0          1.000          1.000         91.410
       152      1964     31/05/1964          0.000          0.000         98.800          2.299              0.256              0.260              0.269              0.272              0.273              0.275              0.274              0.284              0.285         40.075          1.642         57.911        825.792          0.789         86.769              0.631              1.580              3.425              6.259              9.570             11.700             19.897             18.515             15.194          0.122      13737.318        211.813         45.614          0.013          0.426          0.052         51.540       1709.988         38.737       1638.220          3.392         0          1.000          1.000        123.770
       182      1964     30/06/1964          0.000          0.000         34.700          5.274              0.262              0.263              0.260              0.263              0.268              0.270              0.270              0.280              0.280         34.327          0.000          9.117        811.774          0.941         81.418              2.704              3.973              4.082              5.590              7.848              9.211             15.729             17.189             15.092          0.008      13715.275        211.471         29.351          0.005          0.185          0.052        537.260       1969.348         33.329       2284.660          4.420         0          1.000          1.000        189.540
