ApsimVersion = 6.1
Title = stock lablab SAMPLE Simulation
           Date           rain DaysAfterSowing          stage            lai        biomass          yield     root_depth             ep         height         dlt_dm   dlt_dm_green    RootGreenWt    StemGreenWt    LeafGreenWt dlt_dm_senesced StemSenescedWt LeafSenescedWt dm_feed_on_offer() dm_feed_removed() herbage_trampling
     04/03/1989          0.000             150          3.078          0.035           33.3            0.0       1800.000          0.094          2.654           0.37           0.73          15.52           0.33           3.00            0.08           0.00           0.00             36.950             8.835 -3689348814741910
     05/03/1989          2.800             151          3.085          0.035           33.3            0.0       1800.000          0.098          2.670           0.34           0.68          15.42           0.33           3.00            0.08           0.00           0.00             36.740             8.264             0.000
     06/03/1989          0.000             152          3.092          0.038           33.6            0.0       1800.000          0.172          2.893           0.46           0.92          15.47           0.36           3.00            0.08           0.00           0.00             37.922             7.749            -2.000
     07/03/1989          0.000             153          3.095          0.040           33.9            0.0       1800.000          0.181          3.103           0.49           0.99          15.53           0.39           3.00            0.08           0.00           0.00             38.548             8.240             0.000
     08/03/1989          0.000             154          3.096          0.042           34.1            0.0       1800.000          0.183          3.264           0.50           1.01          15.58           0.41           3.00            0.08           0.00           0.00             38.910             8.689             0.000
     09/03/1989          0.000             155          3.100          0.044           34.4            0.0       1800.000          0.205          3.496           0.55           1.09          15.70           0.44           3.00            0.08           0.00           0.00             39.540             8.327            -0.000
     10/03/1989          0.000             156          3.100          0.048           34.7            0.0       1800.000          0.286          3.761           0.61           1.23          15.86           0.47           3.00            0.08           0.00           0.00             40.511             8.796            -2.000
     11/03/1989          0.000             157          3.100          0.050           35.0            0.0       1800.000          0.288          3.985           0.64           1.28          16.03           0.50           3.00            0.08           0.00           0.00             41.106             9.308 36893488147419103
     12/03/1989          0.000             158          3.102          0.053           35.3            0.0       1800.000          0.267          4.242           0.66           1.31          16.23           0.53           3.00            0.08           0.00           0.00             41.543             8.876            -0.000
     13/03/1989          0.000             159          3.102          0.056           35.6            0.0       1800.000          0.333          4.481           0.69           1.39          16.45           0.56           3.00            0.08           0.00           0.00             42.245             9.322             0.000
     14/03/1989          0.000             160          3.102          0.056           35.8            0.0       1800.000          0.286          4.604           0.67           1.33          16.62           0.58           3.00            0.09           0.00           0.00             42.262             9.709 -3689348814741910
     15/03/1989          0.000             161          3.106          0.060           36.1            0.0       1800.000          0.344          4.894           0.69           1.38          16.87           0.61           3.00            0.09           0.00           0.00             42.652             8.294 36893488147419103
     16/03/1989         13.000             162          3.109          0.054           35.7            0.0       1800.000          0.054          4.565           0.37           0.74          16.74           0.57           3.00            0.09           0.00           0.00             39.825             9.062            -0.000
     17/03/1989          2.400             163          3.108          0.048           35.3            0.0       1800.000          0.030          4.249           0.27           0.53          16.56           0.53           3.00            0.09           0.00           0.00             38.372             7.782            -0.000
     18/03/1989          0.000             164          3.112          0.047           35.3            0.0       1800.000          0.050          4.195           0.33           0.66          16.51           0.52           3.00            0.08           0.00           0.00             38.617             6.494             0.000
     19/03/1989          0.000             165          3.124          0.051           35.6            0.0       1800.000          0.100          4.434           0.45           0.90          16.64           0.55           3.00            0.08           0.00           0.00             39.748             5.371            -2.000
     20/03/1989          0.000             166          3.134          0.058           36.1            0.0       1800.000          0.175          4.834           0.58           1.16          16.89           0.60           3.00            0.09           0.00           0.00             41.356             5.640 36893488147419103
     21/03/1989          0.000             167          3.141          0.067           37.2            0.0       1800.000          0.297          5.377           0.72           1.44          17.26           0.67           3.05            0.09           0.00           0.00             43.255             6.080             0.000
     22/03/1989          0.000             168          3.152          0.078           39.8            0.0       1800.000          0.356          6.084           0.80           1.59          17.74           0.76           3.22            0.09           0.00           0.00             45.147             5.335 36893488147419103
     23/03/1989          0.000             169          3.161          0.091           43.4            0.0       1800.000          0.505          6.943           0.95           1.90          18.36           0.87           3.47            0.09           0.00           0.00             49.310             5.954             2.000
     24/03/1989          0.000             170          3.176          0.110           49.5            0.0       1800.000          0.530          8.133           1.07           2.15          19.16           1.02           3.93            0.10           0.00           0.00             54.082             4.602            -0.000
     25/03/1989          5.000             171          3.192          0.119           52.1            0.0       1800.000          0.195          8.810           0.83           1.66          19.68           1.10           4.11            0.10           0.00           0.00             57.771             5.633            -0.000
     26/03/1989         45.000             172          3.197          0.120           51.7            0.0       1800.000          0.078          9.001           0.57           1.14          19.92           1.13           4.04            0.10           0.00           0.00             57.856             6.157            -2.000
     27/03/1989         28.000             173          3.203          0.127           53.9            0.0       1800.000          0.109          9.606           0.85           1.70          20.43           1.20           4.19            0.10           0.00           0.00             60.201             6.272            -0.000
     28/03/1989          1.200             174          3.208          0.142           58.8            0.0       1800.000          0.255         10.639           1.15           2.30          21.24           1.33           4.55            0.11           0.00           0.00             65.438             6.644 36893488147419103
     29/03/1989          0.000             175          3.213          0.157           64.0            0.0       1800.000          0.299         11.746           1.24           2.49          22.12           1.47           4.93            0.11           0.00           0.00             71.230             7.257             0.000
     30/03/1989          0.000             176          3.225          0.173           69.4            0.0       1800.000          0.175         12.820           1.07           2.14          22.90           1.60           5.34            0.12           0.00           0.00             74.694             5.256             2.000
     31/03/1989          0.000             177          3.235          0.186           74.3            0.0       1800.000          0.144         13.810           1.05           2.09          23.64           1.73           5.70            0.12           0.00           0.00             79.911             5.659 36893488147419103
     01/04/1989          0.000             178          3.245          0.202           79.9            0.0       1800.000          0.174         14.954           1.17           2.34          24.49           1.87           6.12            0.12           0.00           0.00             85.930             6.024            -2.000
     02/04/1989          2.600             179          3.252          0.202           79.9            0.0       1800.000          0.055         15.201           0.64           1.27          24.80           1.90           6.09            0.13           0.00           0.00             86.278             6.415 36893488147419103
     03/04/1989          3.200             180          3.260          0.205           80.9            0.0       1800.000          0.084         15.615           0.75           1.51          25.22           1.95           6.14            0.13           0.00           0.00             87.404             6.497            -0.000
     04/04/1989          0.400             181          3.268          0.220           86.4            0.0       1800.000          0.157         16.751           1.22           2.43          26.09           2.09           6.55            0.13           0.00           0.00             93.075             6.650 -3689348814741910
     05/04/1989          0.400             182          3.279          0.251           97.6            0.0       1800.000          0.413         18.827           1.82           3.65          27.57           2.35           7.41            0.14           0.00           0.00            104.661             7.057            -2.000
     06/04/1989          0.200             183          3.288          0.286          110.7            0.0       1800.000          0.474         21.269           2.08           4.17          29.29           2.66           8.41            0.15           0.00           0.00            118.442             7.750             2.000
     07/04/1989          0.000             184          3.296          0.325          124.9            0.0       1800.000          0.487         23.966           2.27           4.55          31.18           3.00           9.50            0.16           0.00           0.00            133.437             8.515            -0.000
     08/04/1989          0.000             185          3.306          0.379          144.8            0.0       1800.000          0.729         27.658           2.92           5.84          33.70           3.46          11.03            0.17           0.00           0.00            154.145             9.313             2.000
     09/04/1989          0.000             186          3.313          0.446          169.5            0.0       1800.000          1.019         32.231           3.50           6.99          36.77           4.03          12.92            0.19           0.00           0.00            179.790            10.305             0.000
     10/04/1989          0.000             187          3.322          0.520          197.2            0.0       1800.000          1.215         37.436           3.91           7.81          40.22           4.68          15.04            0.20           0.00           0.00            208.552            11.381            -2.000
     11/04/1989          0.300             188          3.329          0.560          212.8            0.0       1800.000          0.440         40.856           2.80           5.60          42.53           5.11          16.17            0.22           0.00           0.00            225.162            12.399            -2.000
     12/04/1989          3.400             189          3.339          0.637          241.5            0.0       1800.000          1.427         46.481           4.17           8.35          46.19           5.81          18.34            0.23           0.00           0.00            254.499            13.001             2.000
     13/04/1989          0.000             190          3.348          0.730          276.6            0.0       1800.000          0.890         53.292           4.89           9.79          50.54           6.66          21.00            0.26           0.00           0.00            290.447            13.832            -2.000
     14/04/1989          0.000             191          3.354          0.844          327.1            0.0       1800.000          2.235         62.760           6.52          13.03          56.48           7.85          24.87            0.29           0.00           0.00            341.776            14.639 36893488147419103
     15/04/1989          0.000             192          3.361          0.946          380.8            0.0       1800.000          2.543         72.957           6.91          13.82          62.78           9.12          28.96            0.32           0.00           0.00            396.258            15.447             0.000
     16/04/1989          0.000             193          3.369          1.051          438.9            0.0       1800.000          2.721         84.046           7.41          14.81          69.53          10.51          33.38            0.35           0.00           0.00            454.885            16.039             0.000
     17/04/1989          0.000             194          3.380          1.180          506.4            0.0       1800.000          2.827         96.827           8.41          16.81          77.25          12.10          38.54            0.39           0.00           0.00            522.901            16.467 -3689348814741910
     18/04/1989          0.000             195          3.391          1.297          576.4            0.0       1800.000          2.782        110.118           8.67          17.34          85.19          13.76          43.87            0.43           0.00           0.00            593.153            16.781             0.000
     19/04/1989          0.000             196          3.404          1.423          646.6            0.0       1800.000          2.492        123.556           8.73          17.45          93.14          15.44          49.22            0.47           0.00           0.00            663.630            16.989             0.000
     20/04/1989          0.000             197          3.417          1.554          722.4            0.0       1800.000          2.562        137.928           9.28          18.57         101.62          17.24          54.99            0.51           0.00           0.00            739.472            17.129             0.000
     21/04/1989          0.000             198          3.431          1.681          802.1            0.0       1800.000          2.951        152.992           9.70          19.39         110.46          19.12          61.08            0.56           0.00           0.00            819.307            17.235            -0.000
     22/04/1989          0.400             199          3.450          1.849          876.7            0.0       1800.000          3.443        167.275           9.19          18.39         118.77          20.91          66.76            0.60           0.00           0.00            894.009            17.320             2.000
     23/04/1989          0.000             200          3.460          1.891          891.1            0.0       1800.000          0.264        171.956           3.18           6.37         121.04          21.49          67.62            0.61           0.00           0.00            908.521            17.389 -3689348814741910
     24/04/1989         26.000             201          3.469          1.923          901.9            0.0       1800.000          0.212        176.051           2.82           5.63         122.94          22.01          68.18            0.62           0.00           0.00            919.291            17.413             2.000
     25/04/1989          3.100             202          3.479          1.955          913.2            0.0       1800.000          0.114        180.241           2.87           5.75         124.89          22.53          68.79            0.63           0.00           0.00            930.626            17.433 -3689348814741910
     26/04/1989         60.600             203          3.493          2.082          977.2            0.0       1800.000          1.619        192.864           8.14          16.28         132.07          24.11          73.61            0.67           0.00           0.00            994.609            17.457            -0.000
     27/04/1989          2.400             204          3.509          2.222         1048.8            0.0       1800.000          1.510        206.748           8.92          17.83         139.98          25.84          79.04            0.70           0.00           0.00           1066.307            17.514            -0.000
     28/04/1989          0.400             205          3.523          2.341         1142.1            0.0       1800.000          2.630        224.128          11.08          22.17         150.02          28.02          86.19            0.76           0.00           0.00           1159.619            17.574             0.000
     29/04/1989          0.000             206          3.534          2.440         1228.1            0.0       1800.000          2.924        242.240          10.37          20.74         159.29          30.28          92.53            0.80           0.00           0.00           1245.751            17.643             0.000
     30/04/1989          0.000             207          3.546          2.543         1312.8            0.0       1800.000          2.595        258.627          10.24          20.48         168.40          32.33          98.95            0.85           0.00           0.00           1330.529            17.710            -0.000
     01/05/1989          0.000             208          3.559          2.649         1402.2            0.0       1800.000          2.931        277.376          10.72          21.43         177.93          34.67         105.55            0.90           0.00           0.00           1419.985            17.765             2.000
     02/05/1989          0.000             209          3.572          2.764         1499.1            0.0       1800.000          3.069        298.512          11.47          22.94         188.16          37.31         112.59            0.95           0.00           0.00           1516.911            17.821            -0.000
     03/05/1989          0.000             210          3.583          2.853         1566.1            0.0       1800.000          1.739        311.915           8.49          16.98         195.38          38.99         117.62            0.98           0.00           0.00           1583.998            17.876 36893488147419103
     04/05/1989          0.000             211          3.597          2.969         1663.2            0.0       1800.000          3.043        333.692          11.50          22.99         205.55          41.71         124.61            1.03           0.00           0.00           1681.089            17.908            -0.000
     05/05/1989          0.000             212          3.613          3.098         1775.2            0.0       1800.000          4.321        361.633          13.00          26.00         217.17          45.20         132.32            1.09           0.00           0.00           1793.156            17.949             0.000
     06/05/1989          0.000             213          3.627          3.215         1847.3            0.0       1800.000          2.329        375.931           9.00          18.01         224.75          46.99         137.73            1.13           0.00           0.00           1865.239            17.994            -0.000
     07/05/1989          3.600             214          3.637          3.262         1861.3            0.0       1800.000          0.182        380.962           3.21           6.41         226.53          47.62         138.51            1.14           0.00           0.00           1879.295            18.015 36893488147419103
     08/05/1989         18.400             215          3.650          3.344         1887.8            0.0       1800.000          0.530        387.999           4.46           8.91         229.54          48.50         140.28            1.15           0.00           0.00           1905.839            18.025             0.000
     09/05/1989          1.000             216          3.665          3.469         1952.7            0.0       1800.000          0.928        401.179           8.29          16.58         236.35          50.15         145.12            1.19           0.00           0.00           1970.734            18.037             2.000
     10/05/1989          0.000             217          3.676          3.555         1996.6            0.0       1800.000          0.864        411.020           6.20          12.40         241.05          51.38         148.29            1.21           0.00           0.00           2014.685            18.054             2.000
     11/05/1989          0.000             218          3.692          3.680         2088.8            0.0       1800.000          2.145        428.580          11.02          22.04         250.52          53.57         155.30            1.26           0.00           0.00           2106.817            18.068 -3689348814741910
     12/05/1989          0.000             219          3.705          3.789         2178.2            0.0       1800.000          2.785        447.425          10.75          21.50         259.68          55.93         161.89            1.31           0.00           0.00           2196.256            18.085            -0.000
     13/05/1989          0.000             220          3.722          3.924         2271.5            0.0       1800.000          2.901        465.202          11.14          22.28         269.18          58.15         169.00            1.35           0.00           0.00           2289.584            18.102 -3689348814741910
     14/05/1989          0.000             221          3.741          4.072         2353.7            0.0       1800.000          2.074        481.204          10.03          20.06         277.53          60.15         175.21            1.40           0.00           0.00           2371.760            18.117             0.000
     15/05/1989          0.200             222          3.755          4.153         2381.6            0.0       1800.000          0.427        488.542           4.61           9.22         280.45          61.07         176.84            1.66           0.00           0.25           2399.745            18.128             0.000
     16/05/1989          1.600             223          3.769          4.237         2413.2            0.0       1800.000          0.580        496.459           4.97           9.94         283.70          62.06         178.47            1.96           0.00           0.79           2431.321            18.135             2.000
     17/05/1989          2.200             224          3.781          4.291         2437.1            0.0       1800.000          0.233        503.153           4.21           8.41         286.18          62.89         179.19            2.28           0.00           1.62           2455.242            18.142             0.000
     18/05/1989          1.400             225          3.795          4.376         2513.3            0.0       1800.000          1.709        518.214           9.43          18.87         293.85          64.78         183.88            2.53           0.00           2.67           2531.435            18.148            -2.000
     19/05/1989          0.000             226          3.808          4.447         2584.5            0.0       1800.000          1.659        532.489           8.94          17.88         300.99          66.56         187.83            2.91           0.00           4.06           2602.698            18.157             2.000
     20/05/1989          0.000             227          3.821          4.515         2660.3            0.0       1800.000          1.683        547.488           9.39          18.78         308.54          68.44         191.84            3.24           0.00           5.75           2678.460            18.164 36893488147419103
     21/05/1989          0.000             228          3.833          4.558         2732.1            0.0       1800.000          1.554        561.860           9.00          18.00         315.66          70.23         195.23            3.58           0.00           7.75           2750.275            18.172            -0.000
     22/05/1989          0.000             229          3.841          4.572         2789.3            0.0       1800.000          1.788        574.464           7.54          15.07         321.29          71.81         197.18            3.81           0.00           9.94           2807.472            18.178             2.000
     23/05/1989          8.400             230          3.851          4.598         2842.2            0.0       1800.000          1.002        585.816           7.11          14.22         326.46          73.23         198.79            3.91           0.00          12.20           2860.385            18.184             0.000
     24/05/1989          0.000             231          3.857          4.581         2875.7            0.0       1800.000          1.404        594.057           5.17          10.33         329.67          74.26         198.72            4.04           0.00          14.59           2893.851            18.190             0.000
     25/05/1989          0.000             232          3.865          4.593         2934.5            0.0       1800.000          1.953        608.362           7.70          15.41         335.38          76.05         200.49            4.01           0.00          16.91           2952.696            18.195             0.000
     26/05/1989          0.000             233          3.871          4.569         2942.1            0.0       1800.000          0.227        612.461           2.58           5.15         335.96          76.56         198.37            4.05           0.00          19.28           2960.253            18.200             0.000
     27/05/1989          1.000             234          3.881          4.580         2961.5            0.0       1800.000          0.309        618.462           3.77           7.53         337.72          77.31         197.33            3.94           0.00          21.51           2979.704            18.204             0.000
     28/05/1989          0.000             235          3.891          4.604         3023.5            0.0       1800.000          1.264        631.270           8.02          16.04         343.70          78.91         199.62            4.03           0.00          23.82           3041.691            18.209             0.000
     29/05/1989          0.000             236          3.896          4.590         3063.3            0.0       1800.000          1.359        640.540           5.81          11.61         347.45          80.07         200.03            4.17           0.00          26.24           3081.555            18.214            -2.000
     30/05/1989          0.000             237          3.904          4.593         3113.5            0.0       1800.000          1.604        651.467           6.84          13.69         352.21          81.43         201.31            4.15           0.00          28.61           3131.768            18.219            -0.000
     31/05/1989          0.000             238          3.912          4.602         3165.1            0.0       1800.000          0.971        662.613           6.98          13.96         357.07          82.83         202.67            4.20           0.00          31.01           3183.343            18.225            -0.000
     01/06/1989          3.000             239          3.912          4.534         3157.2            0.0       1800.000          0.155        664.241           1.03           2.06         355.99          83.03         199.24            4.22           0.00          33.45           3175.426            18.229             0.000
     02/06/1989          0.000             240          3.915          4.509         3176.7            0.0       1800.000          0.681        670.262           3.78           7.55         357.64          83.78         198.32            3.93           0.00          35.57           3194.969            18.232             0.000
     03/06/1989          0.000             241          3.922          4.518         3222.0            0.0       1800.000          1.348        680.397           6.35          12.70         361.84          85.05         199.55            3.85           0.00          37.60           3240.223            18.237             0.000
     04/06/1989          0.000             242          3.932          4.554         3280.4            0.0       1800.000          1.678        692.642           7.67          15.33         367.33          86.58         201.79            3.92           0.00          39.67           3298.651            18.242 36893488147419103
     05/06/1989          1.000             243          3.940          4.547         3292.7            0.0       1800.000          0.230        697.502           3.05           6.10         368.20          87.19         200.19            4.07           0.00          41.89           3310.916            18.247             2.000
     06/06/1989         13.200             244          3.943          4.513         3294.6            0.0       1800.000          0.069        700.711           2.02           4.04         368.03          87.59         197.80            4.03           0.00          44.07           3312.861            18.251            -2.000
     07/06/1989          0.400             245          3.943          4.458         3288.1            0.0       1800.000          0.159        702.561           1.17           2.34         367.02          87.82         194.89            3.87           0.00          46.10           3306.314            18.254             0.000
     08/06/1989          0.000             246          3.943          3.914         3281.6            0.0       1800.000          0.213        704.405           1.18           2.36         365.97          88.05         170.69           25.17           0.00          69.42           3299.879            18.235            -0.000
     09/06/1989          0.400             247          3.943          3.919         3284.7            0.0       1800.000          0.247        707.772           2.13           4.27         365.88          88.47         170.58            1.84           0.00          69.42           3302.974            18.239            -0.000
     10/06/1989          1.000             248          3.939          2.937         3266.6            0.0       1800.000          0.000        707.621           0.00           0.00         363.55          88.45         127.86           42.77           0.00         110.35           3284.734            18.143 -3689348814741910
     11/06/1989          0.000             249          3.932          1.256         3248.9            0.0       1800.000          0.000        706.884           0.00           0.00         360.71          88.36          54.68           73.42           0.00         181.85           3266.592            17.664            -0.000
     12/06/1989          0.600             250          3.927          1.236         3237.2            0.0       1800.000          0.055        707.078           0.59           1.18         358.47          88.38          53.57            1.81           0.00         181.76           3254.823            17.661             0.000
     13/06/1989          0.200             251          3.927          1.264         3242.6            0.0       1800.000          0.517        710.026           2.31           4.62         357.95          88.75          53.85            1.80           0.00         181.66           3260.269            17.667             0.000
     14/06/1989          0.000             252          3.928          1.304         3252.8            0.0       1800.000          0.701        713.744           2.79           5.58         357.93          89.22          54.50            1.80           0.00         181.57           3270.485            17.676             0.000
     15/06/1989          0.000             253          3.928          1.335         3260.2            0.0       1800.000          0.616        717.016           2.51           5.01         357.63          89.63          54.92            1.80           0.00         181.47           3277.875            17.685             2.000
     16/06/1989          0.000             254          3.929          1.371         3269.3            0.0       1800.000          0.655        720.573           2.68           5.36         357.51          90.07          55.48            1.80           0.00         181.38           3287.008            17.694 36893488147419103
     17/06/1989          0.000             255          3.933          1.420         3283.3            0.0       1800.000          0.432        724.922           3.17           6.35         357.90          90.62          56.43            1.80           0.00         181.29           3301.042            17.705 36893488147419103
     18/06/1989          0.000             256          3.939          1.500         3317.0            0.0       1800.000          1.153        732.442           5.14          10.28         360.27          91.56          58.95            1.82           0.00         181.20           3334.744            17.725 -3689348814741910
     19/06/1989          0.000             257          3.939          1.529         3325.7            0.0       1800.000          0.461        735.967           2.64           5.28         360.15          92.00          59.46            1.81           0.00         181.12           3343.417            17.735             0.000
     20/06/1989          0.000             258          3.938          1.541         3329.5            0.0       1800.000          0.242        738.713           2.15           4.30         359.55          92.34          59.58            1.81           0.00         181.03           3347.205            17.742             0.000
     21/06/1989          0.000             259          3.931          0.827         3312.1            0.0       1800.000          0.000        737.498           0.00           0.00         356.23          92.19          31.95           28.01           0.00         207.07           3329.463            17.387 -3689348814741910
     22/06/1989          0.000             260          3.928          0.827         3308.2            0.0       1800.000          0.248        738.425           1.35           2.70         354.27          92.30          31.61            1.79           0.00         206.90           3325.575            17.398            -2.000
     23/06/1989          0.000             261          3.926          0.756         3302.0            0.0       1800.000          0.245        738.839           1.12           2.23         352.00          92.35          28.64            4.28           0.00         209.21           3319.351            17.318            -0.000
     24/06/1989          0.000             262          3.919          0.721         3284.7            0.0       1800.000          0.000        737.394           0.00           0.00         348.60          92.17          27.29            1.76           0.00         209.01           3302.034            17.290             0.000
     25/06/1989          0.000             263          3.913          0.379         3268.3            0.0       1800.000          0.000        734.792           0.00           0.00         344.75          91.85          14.35           13.75           0.00         220.63           3284.743            16.464 36893488147419103
     26/06/1989          0.000             264          3.912          0.035         3272.8            0.0       1800.000          0.000        729.885           0.00           0.00         340.38          91.24           3.00           14.93           0.00         233.05           3268.280            14.841            -2.000
     27/06/1989          0.000             265          3.913          0.035         3280.1            0.0       1800.000          0.006        724.985           0.02           0.04         336.09          90.62           3.00            3.84           0.00         234.39           3273.063            14.811 -3689348814741910
     28/06/1989          0.000             266          3.915          0.035         3267.4            0.0       1800.000          0.012        720.602           0.06           0.12         332.00          90.08           3.00            1.68           0.00         233.66           3280.722            15.118            -2.000
     29/06/1989          5.400             267          3.919          0.035         3254.7            0.0       1800.000          0.011        716.274           0.09           0.18         327.99          89.53           3.00            1.66           0.00         232.93           3268.281            15.130 36893488147419103
     30/06/1989          0.800             268          3.922          0.035         3242.0            0.0       1800.000          0.016        711.923           0.08           0.15         324.01          88.99           3.00            1.64           0.00         232.21           3255.448            15.138            -0.000
