Summary_file = oryza-wnl.sum
Title = oryza Sample Simulation
       day      year          no3()             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)
       164      1992       1337.601            964.307             90.038            194.489             54.743             16.153              9.786              8.085
       165      1992       1363.276            990.103             89.959            194.322             54.823             16.195              9.788              8.087
       166      1992       1390.657           1017.596             89.891            194.171             54.888             16.233              9.790              8.088
       167      1992       1419.952           1046.997             89.836            194.035             54.938             16.266              9.791              8.089
       168      1992       1444.720            891.337            251.536            211.674             55.964             16.325              9.793              8.091
       169      1992       1475.122            910.025            252.859            220.636             57.300             16.416              9.795              8.092
       170      1992       1509.290            942.649            249.327            224.289             58.603             16.531              9.797              8.094
       171      1992       1542.987            976.218            246.136            226.276             59.800             16.663              9.799              8.095
       172      1992       1574.712           1007.788            243.997            227.357             60.868             16.805              9.801              8.096
       173      1992       1605.269           1038.395            242.323            227.892             61.807             16.951              9.802              8.098
       174      1992       1635.298           1068.644            240.942            228.087             62.625             17.097              9.804              8.099
       175      1992       1663.580           1097.272            239.767            228.062             63.335             17.238              9.806              8.100
       176      1992       1691.345           1125.467            238.752            227.896             63.947             17.373              9.807              8.102
       177      1992       1718.661           1153.272            237.863            227.638             64.549             17.426              9.809              8.103
       178      1992       1744.588           1179.733            237.075            227.348             65.081             17.436              9.811              8.104
       179      1992       1768.972           1204.685            236.380            227.044             65.502             17.444              9.812              8.105
       180      1992       1792.611           1228.917            235.735            226.755             65.830             17.453              9.814              8.107
       181      1992       1816.475           1253.395            235.116            226.497             66.083             17.461              9.815              8.108
       182      1992       1841.645           1279.190            234.521            226.266             66.272             17.470              9.817              8.109
       183      1992       1869.093           1303.898            237.109            226.247             66.430             17.480              9.818              8.110
       184      1992       1898.957           1334.787            236.116            226.087             66.545             17.490              9.820              8.112
       185      1992       1931.196           1367.685            235.531            225.923             66.622             17.501              9.822              8.113
       186      1992       1965.403           1402.526            234.995            225.766             66.666             17.512              9.823              8.114
       187      1992       2001.936           1439.695            234.479            225.608             66.691             17.524              9.825              8.115
       188      1992       2039.720           1478.113            233.976            225.442             66.709             17.536              9.827              8.117
       189      1992       2077.271           1516.300            233.485            225.270             66.722             17.547              9.829              8.118
       190      1992       2112.884           1552.551            233.000            225.093             66.731             17.559              9.831              8.119
       191      1992       2144.996           1585.307            232.520            224.911             66.735             17.569              9.833              8.121
       192      1992       2173.219           1614.185            232.044            224.722             66.734             17.578              9.834              8.122
       193      1992       2200.168           1641.789            231.575            224.528             66.729             17.587              9.836              8.123
       194      1992       2226.708           1668.980            231.117            224.333             66.721             17.596              9.837              8.124
       195      1992       2253.716           1696.628            230.669            224.138             66.712             17.605              9.839              8.126
       196      1992       2281.753           1725.293            230.233            223.945             66.701             17.614              9.840              8.127
       197      1992       2311.420           1755.570            229.808            223.756             66.691             17.624              9.842              8.128
       198      1992       2341.036           1780.509            234.483            223.753             66.685             17.634              9.844              8.129
       199      1992       2370.305           1797.467            246.347            224.180             66.692             17.643              9.845              8.130
       200      1992       2400.336           1794.812            277.195            225.955             66.743             17.653              9.847              8.132
       201      1992       2430.592           1806.813            293.435            227.829             66.871             17.663              9.848              8.133
       202      1992       2459.218           1797.677            327.745            231.033             67.107             17.672              9.850              8.134
       203      1992       2486.165           1829.423            322.413            231.349             67.312             17.681              9.851              8.135
       204      1992       2513.117           1857.388            321.320            231.255             67.476             17.690              9.853              8.136
       205      1992       2539.406           1884.450            320.540            231.126             67.600             17.698              9.854              8.138
       206      1992       2565.961           1911.813            319.774            230.985             67.688             17.707              9.856              8.139
       207      1992       2593.816           1940.513            319.006            230.840             67.744             17.716              9.857              8.140
       208      1992       2623.669           1971.232            318.240            230.698             67.774             17.726              9.859              8.141
       209      1992       2653.895           2002.341            317.479            230.544             67.794             17.735              9.860              8.142
       210      1992       2683.568           2032.912            316.722            230.377             67.807             17.745              9.862              8.143
       211      1992       2713.402           2063.649            315.975            230.202             67.815             17.754              9.863              8.144
       212      1992       2744.654           2095.798            315.239            230.023             67.819             17.764              9.865              8.146
       213      1992       2776.707           2128.744            314.515            229.840             67.820             17.774              9.866              8.147
       214      1992       2809.728           2162.651            313.804            229.654             67.818             17.784              9.868              8.148
       215      1992       2844.156           2197.955            313.106            229.468             67.814             17.794              9.870              8.149
       216      1992       2880.062           2234.723            312.422            229.282             67.808             17.805              9.871              8.150
       217      1992       2917.062           2272.573            311.752            229.096             67.801             17.816              9.873              8.151
       218      1992       2955.056           2311.402            311.094            228.912             67.793             17.827              9.875              8.153
       219      1992       2991.059           2339.133            319.320            228.946             67.791             17.838              9.877              8.154
       220      1992       3027.839           2318.900            373.537            231.689             67.830             17.849              9.878              8.155
       221      1992       3061.567           2224.278            490.650            242.574             68.171             17.859              9.880              8.156
       222      1992       3087.591           2136.953            586.589            259.242             68.901             17.867              9.881              8.157
       223      1992       3105.783           2024.650            688.420            286.563             70.233             17.876              9.883              8.159
       224      1992       3133.645           2028.786            694.718            302.455             71.757             17.884              9.884              8.160
       225      1992       3161.933           2063.231            680.932            308.672             73.159             17.893              9.885              8.161
       226      1992       3193.361           2096.406            674.544            312.074             74.386             17.902              9.887              8.162
       227      1992       3227.299           2131.880            670.125            313.905             75.424             17.912              9.888              8.163
       228      1992       3263.976           2170.325            666.645            314.746             76.283             17.923              9.890              8.164
       229      1992       3300.569           2208.892            663.784            314.924             76.979             17.933              9.892              8.166
       230      1992       3336.479           2246.923            661.380            314.641             77.531             17.944              9.893              8.167
       231      1992       3372.940           2285.602            659.125            314.236             77.960             17.954              9.895              8.168
       232      1992       3408.603           2323.550            656.887            313.853             78.283             17.964              9.897              8.169
       233      1992       3443.014           2360.288            654.672            313.495             78.517             17.974              9.898              8.170
       234      1992       3477.153           2396.774            652.487            313.161             78.676             17.984              9.900              8.171
       235      1992       3510.547           2427.189            655.439            313.053             78.798             17.994              9.901              8.172
       236      1992       3541.077           2432.912            678.189            314.950             78.948             18.002              9.902              8.174
       237      1992       3571.060           2446.084            692.298            317.452             79.136             18.011              9.904              8.175
       238      1992       3600.987           2483.629            684.762            317.227             79.268             18.020              9.905              8.176
       239      1992       3630.907           2516.546            681.969            316.937             79.344             18.029              9.907              8.177
       240      1992       3660.652           2548.910            679.603            316.645             79.370             18.037              9.908              8.178
       241      1992       3692.884           2583.718            677.308            316.337             79.387             18.046              9.909              8.179
       242      1992       3726.044           2613.090            681.150            316.256             79.401             18.056              9.911              8.180
       243      1992       3762.104           2652.848            677.708            315.980             79.409             18.066              9.912              8.181
       244      1992       3797.663           2674.554            691.318            316.196             79.422             18.076              9.914              8.182
       245      1992       3832.687           2715.303            685.881            315.891             79.428             18.086              9.915              8.183
       246      1992       3864.121           2639.790            783.885            324.665             79.585             18.095              9.917              8.185
       247      1992       3881.881           2333.488           1045.416            385.642             81.129             18.103              9.918              8.186
       248      1992       3897.151           2178.403           1171.089            429.148             82.294             18.111              9.919              8.187
       249      1992       3923.332           2211.496           1143.971            447.870             83.710             18.173              9.923              8.188
       250      1992       3954.810           2261.689           1112.738            458.635             85.342             18.287              9.930              8.190
       251      1992       3992.115           2312.771           1092.204            463.670             86.895             18.441              9.942              8.192
       252      1992       4036.712           2368.198           1078.469            465.057             88.216             18.618              9.958              8.196
       253      1992       4083.649           2424.475           1068.876            464.077             89.240             18.803              9.977              8.201
       254      1992       4129.851           2477.609           1062.145            462.893             90.017             18.983              9.998              8.207
       255      1992       4175.218           2527.196           1058.070            461.962             90.604             19.151             10.021              8.213
       256      1992       4219.581           2566.363           1063.368            461.234             91.049             19.305             10.043              8.220
       257      1992       4260.530           2598.878           1071.862            460.669             91.387             19.442             10.064              8.227
       258      1992       4300.414           2633.155           1077.505            460.232             91.642             19.562             10.084              8.234
       259      1992       4339.915           2676.514           1073.660            459.895             91.837             19.667             10.103              8.240
       260      1992       4358.821           2276.855           1375.606            571.044             97.006             19.938             10.126              8.247
       261      1992       4389.631           2308.742           1351.122            588.851            102.151             20.350             10.160              8.255
       262      1992       4424.643           2370.010           1309.565            598.852            106.878             20.869             10.204              8.264
       263      1992       4463.394           2427.140           1283.390            601.986            110.893             21.451             10.259              8.275
       264      1992       4502.713           2480.582           1266.195            601.157            114.113             22.055             10.323              8.288
       265      1992       4541.395           2531.251           1254.324            597.917            116.560             22.647             10.393              8.303
       266      1992       4580.324           2579.015           1246.289            594.650            118.381             23.203             10.467              8.319
       267      1992       4619.530           2623.896           1241.290            592.044            119.714             23.708             10.542              8.336
       268      1992       4658.300           2667.621           1236.924            589.953            120.676             24.157             10.616              8.353
       269      1992       4699.533           2713.471           1232.860            588.247            121.354             24.547             10.686              8.369
       270      1992       4744.671           2763.018           1228.990            586.838            121.809             24.881             10.751              8.385
       271      1992       4791.468           2814.080           1225.255            585.677            122.087             25.161             10.809              8.399
       272      1992       4839.024           2865.799           1221.616            584.720            122.225             25.392             10.861              8.411
       273      1992       4887.107           2917.971           1218.050            583.933            122.246             25.579             10.907              8.421
       274      1992       4913.777           2775.382           1377.682            593.004            122.590             25.744             10.946              8.429
       275      1992       4952.222           2798.421           1382.768            602.405            123.305             25.906             10.981              8.436
       276      1992       4991.681           2858.067           1356.068            607.876            124.143             26.073             11.012              8.441
       277      1992       5031.094           2912.790           1339.439            608.301            124.842             26.236             11.041              8.445
       278      1992       5069.854           2961.231           1329.930            607.420            125.367             26.390             11.068              8.447
       279      1992       5113.120           3010.697           1323.869            606.722            125.760             26.531             11.093              8.449
       280      1992       5161.490           3064.379           1318.664            606.171            126.053             26.658             11.115              8.449
       281      1992       5212.082           3119.791           1313.918            605.744            126.273             26.770             11.136              8.449
       282      1992       5263.367           3175.519           1309.666            605.272            126.439             26.868             11.154              8.448
       283      1992       5315.430           3232.003           1305.592            604.731            126.536             26.952             11.170              8.447
       284      1992       5366.264           3287.410           1301.464            604.197            126.544             27.020             11.183              8.445
       285      1992       5414.446           3340.284           1297.314            603.664            126.474             27.072             11.195              8.443
       286      1992       5461.572           3392.160           1293.162            603.067            126.425             27.112             11.204              8.441
       287      1992       5508.132           3443.459           1289.052            602.436            126.393             27.143             11.211              8.438
       288      1992       5553.174           3493.181           1285.013            601.787            126.373             27.167             11.217              8.435
       289      1992       5595.478           3540.081           1281.060            601.133            126.364             27.187             11.221              8.432
       290      1992       5637.489           3586.585           1277.202            600.483            126.362             27.203             11.225              8.429
       291      1992       5679.090           3630.515           1275.439            599.898            126.367             27.217             11.227              8.426
       292      1992       5721.773           3676.249           1272.954            599.312            126.377             27.229             11.228              8.423
       293      1992       5765.541           3723.618           1269.919            598.723            126.391             27.240             11.230              8.420
       294      1992       5812.360           3774.477           1266.438            598.138            126.409             27.252             11.230              8.417
       295      1992       5860.054           3826.094           1263.061            597.562            126.429             27.263             11.231              8.414
       296      1992       5908.266           3878.133           1259.766            596.998            126.452             27.273             11.231              8.411
       297      1992       5956.394           3929.998           1256.547            596.446            126.478             27.284             11.232              8.409
       298      1992       6004.456           3981.708           1253.404            595.906            126.505             27.294             11.232              8.406
       299      1992       6050.629           4031.446           1250.332            595.378            126.532             27.304             11.233              8.404
       300      1992       6096.476           4080.775           1247.328            594.862            126.561             27.314             11.233              8.403
       301      1992       6142.909           4130.613           1244.389            594.357            126.591             27.325             11.233              8.401
       302      1992       6189.735           4180.771           1241.511            593.864            126.621             27.335             11.234              8.400
       303      1992       6236.073           4208.633           1259.540            594.271            126.651             27.345             11.235              8.399
       304      1992       6281.886           4262.630           1251.778            593.806            126.682             27.356             11.235              8.398
       305      1992       6327.429           4311.909           1248.499            593.308            126.713             27.366             11.236              8.397
       306      1992       6372.665           4360.414           1245.673            592.823            126.745             27.376             11.237              8.397
       307      1992       6418.279           4409.183           1242.945            592.353            126.776             27.387             11.238              8.396
       308      1992       6466.040           4460.022           1240.279            591.897            126.808             27.398             11.239              8.396
       309      1992       6516.232           4513.224           1237.668            591.453            126.840             27.410             11.240              8.396
       310      1992       6568.321           4568.260           1235.108            591.020            126.873             27.422             11.241              8.396
       311      1992       6620.874           4517.338           1330.275            599.282            126.906             27.434             11.243              8.397
       312      1992       6673.610           4572.943           1323.708            602.932            126.940             27.446             11.244              8.397
       313      1992       6726.251           4626.403           1321.076            604.697            126.974             27.458             11.246              8.398
       314      1992       6778.780           4680.317           1319.096            605.242            127.009             27.471             11.247              8.398
       315      1992       6830.260           4733.746           1317.107            605.234            127.043             27.483             11.248              8.399
       316      1992       6884.978           4790.807           1314.856            605.092            127.078             27.495             11.250              8.400
       317      1992       6940.357           4848.793           1312.431            604.860            127.114             27.508             11.252              8.400
       318      1992       6996.185           4907.396           1309.899            604.565            127.150             27.521             11.253              8.401
       319      1992       7051.021           4965.112           1307.304            604.229            127.186             27.534             11.255              8.402
       320      1992       7104.177           5021.207           1304.678            603.865            127.222             27.546             11.256              8.403
       321      1992       7153.689           5073.688           1302.042            603.482            127.258             27.557             11.258              8.404
       322      1992       7202.514           5125.488           1299.410            603.089            127.294             27.569             11.259              8.405
       323      1992       7251.124           5177.064           1296.794            602.689            127.329             27.580             11.261              8.406
       324      1992       7301.709           5230.594           1294.202            602.288            127.364             27.592             11.263              8.407
       325      1992       7355.303           5287.102           1291.637            601.888            127.399             27.604             11.264              8.408
       326      1992       7411.644           5223.078           1403.057            610.780            127.435             27.618             11.266              8.410
       327      1992       7470.317           5143.656           1522.929            628.951            127.472             27.631             11.268              8.411
       328      1992       7518.748           5067.832           1623.844            652.236            127.509             27.646             11.269              8.412
       329      1992       7578.496           5098.242           1637.207            668.155            127.547             27.660             11.271              8.413
       330      1992       7641.119           5154.588           1633.952            677.631            127.586             27.675             11.273              8.414
       331      1992       7653.588           4341.984           2251.132            877.405            135.427             27.939             11.285              8.416
       332      1992       7707.042           4468.803           2141.027            905.820            143.242             28.417             11.314              8.420
       333      1992       7721.667           4110.228           2412.446            995.867            154.160             29.175             11.364              8.427
       334      1992       7730.149           3683.153           2535.325           1280.707            180.403             30.668             11.456              8.438
       335      1992       7735.284           3302.684           2601.228           1519.203            256.967             35.079             11.661              8.460
       336      1992       7775.946           3430.504           2481.115           1521.020            282.827             39.999             11.987              8.493
       337      1992       7822.254           3516.492           2433.156           1503.645            302.895             45.097             12.429              8.541
       338      1992       7871.379           3597.052           2400.320           1484.297            318.031             50.100             12.977              8.602
       339      1992       7922.473           3674.131           2377.692           1464.471            329.085             54.807             13.611              8.677
       340      1992       7974.300           3748.765           2364.543           1441.940            336.898             59.086             14.304              8.764
       341      1992       8027.437           3822.274           2350.697           1426.212            341.537             62.828             15.028              8.862
       342      1992       8083.736           3895.173           2338.860           1414.743            344.223             66.015             15.755              8.967
       343      1992       8142.845           3966.749           2329.966           1406.220            345.693             68.678             16.462              9.078
       344      1992       8152.106           3533.571           2671.840           1496.614            352.540             71.202             17.147              9.192
       345      1992       8198.626           3664.124           2545.950           1527.515            360.258             73.660             17.812              9.307
       346      1992       8248.007           3747.017           2498.668           1531.533            366.899             76.011             18.456              9.424
       347      1992       8299.294           3825.010           2466.177           1529.074            372.213             78.204             19.077              9.539
       348      1992       8350.640           3898.731           2443.611           1522.605            376.172             80.198             19.669              9.654
       349      1992       8403.784           3972.158           2425.927           1514.825            378.920             81.962             20.227              9.765
