Summary_file = swat.sum
Title = soilwat2 reference dataset
           date             eo            eos         runoff       sw_dep()      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)
     11/02/1977          5.231          5.231          0.000        171.127         33.432         33.926         34.324         34.623         34.823
     12/02/1977          5.189          5.189          0.000        170.672         33.352         33.838         34.230         34.526         34.726
     13/02/1977          5.196          5.196          0.000        170.229         33.273         33.752         34.139         34.433         34.633
     14/02/1977          5.011          5.011          0.000        169.796         33.196         33.667         34.050         34.341         34.541
     15/02/1977          5.199          5.199          0.000        169.372         33.120         33.585         33.963         34.252         34.452
     16/02/1977          5.062          5.062          0.000        168.958         33.045         33.504         33.878         34.165         34.365
     17/02/1977          5.134          5.134          0.000        168.553         32.972         33.425         33.795         34.080         34.280
     18/02/1977          5.121          5.121          0.000        168.155         32.900         33.348         33.714         33.997         34.197
     19/02/1977          5.257          5.257          0.000        167.765         32.829         33.271         33.634         33.916         34.116
     20/02/1977          4.657          4.657          0.000        170.807         34.471         34.052         33.984         34.050         34.250
     21/02/1977          4.617          4.617          0.000        173.753         35.635         34.809         34.430         34.340         34.540
     22/02/1977          4.947          4.947          0.000        174.183         35.337         34.883         34.611         34.576         34.776
     23/02/1977          4.943          4.943          0.000        173.634         34.736         34.673         34.625         34.700         34.900
     24/02/1977          5.172          5.172          0.000        173.104         34.340         34.482         34.591         34.746         34.946
     25/02/1977          5.148          5.148          0.000        172.593         34.055         34.323         34.534         34.740         34.940
     26/02/1977          5.343          5.343          0.000        172.097         33.841         34.188         34.464         34.702         34.902
     27/02/1977          4.957          4.957          0.000        171.616         33.674         34.069         34.385         34.644         34.844
     28/02/1977          4.916          4.916          0.000        171.148         33.538         33.962         34.303         34.573         34.773
     01/03/1977          4.769          4.769          0.000        170.692         33.422         33.862         34.218         34.495         34.695
     02/03/1977          4.552          4.552          0.000        170.248         33.320         33.769         34.132         34.414         34.614
     03/03/1977          4.843          4.843          0.000        169.815         33.228         33.680         34.047         34.330         34.530
     04/03/1977          4.994          4.994          0.000        169.391         33.142         33.594         33.962         34.246         34.446
     05/03/1977          4.727          4.727          0.000        168.976         33.061         33.512         33.879         34.163         34.363
     06/03/1977          4.635          4.635          0.000        168.571         32.983         33.431         33.797         34.080         34.280
     07/03/1977          4.751          4.751          0.000        168.173         32.908         33.353         33.716         33.998         34.198
     08/03/1977          4.505          4.505          0.000        167.783         32.835         33.276         33.637         33.917         34.117
     09/03/1977          4.326          4.326          0.000        167.400         32.764         33.200         33.559         33.838         34.038
     10/03/1977          4.119          4.119         20.283        201.045         46.864         43.052         38.445         36.242         36.442
     11/03/1977          4.099          4.099          0.638        205.848         46.771         43.097         39.669         38.056         38.256
     12/03/1977          4.346          4.346          0.000        201.907         42.675         41.358         39.709         38.982         39.182
     13/03/1977          4.424          4.424          0.000        200.250         41.007         40.439         39.711         39.447         39.647
     14/03/1977          4.388          4.388          0.000        198.979         39.960         39.863         39.655         39.651         39.851
     15/03/1977          4.349          4.349          0.000        197.907         39.276         39.465         39.558         39.704         39.904
     16/03/1977          4.164          4.164          0.000        196.963         38.798         39.178         39.441         39.673         39.873
     17/03/1977          4.200          4.200          0.000        196.109         38.461         38.951         39.312         39.592         39.792
     18/03/1977          4.283          4.283          0.000        195.324         38.214         38.763         39.178         39.485         39.685
     19/03/1977          4.103          4.103          0.000        194.594         38.023         38.600         39.043         39.364         39.564
     20/03/1977          4.098          4.098          0.000        193.907         37.869         38.456         38.910         39.237         39.437
     21/03/1977          4.021          4.021          0.000        193.258         37.738         38.324         38.780         39.108         39.308
     22/03/1977          4.039          4.039          0.000        192.641         37.622         38.201         38.655         38.982         39.182
     23/03/1977          4.096          4.096          0.000        192.051         37.516         38.086         38.534         38.858         39.058
     24/03/1977          4.021          4.021          0.000        191.485         37.418         37.976         38.417         38.737         38.937
     25/03/1977          4.146          4.146          0.000        190.941         37.325         37.871         38.304         38.621         38.821
     26/03/1977          4.139          4.139          0.000        190.415         37.235         37.770         38.195         38.508         38.708
     27/03/1977          4.071          4.071          0.000        193.345         38.867         38.531         38.519         38.614         38.814
     28/03/1977          3.905          3.905          0.000        192.723         38.288         38.404         38.509         38.661         38.861
     29/03/1977          4.011          4.011          0.000        192.130         37.949         38.229         38.445         38.653         38.853
     30/03/1977          4.026          4.026          0.000        191.561         37.705         38.075         38.364         38.609         38.809
     31/03/1977          4.019          4.019          0.064        195.978         39.998         39.181         38.895         38.852         39.052
     01/04/1977          4.025          4.025          0.000        195.203         39.102         38.999         38.925         38.988         39.188
     02/04/1977          3.988          3.988          0.000        194.480         38.589         38.757         38.873         39.031         39.231
     03/04/1977          3.965          3.965          0.000        193.800         38.233         38.553         38.792         39.011         39.211
     04/04/1977          3.906          3.906          0.000        193.156         37.971         38.381         38.696         38.954         39.154
     05/04/1977          3.776          3.776          0.000        192.544         37.770         38.233         38.593         38.874         39.074
     06/04/1977          3.825          3.825          0.000        191.958         37.609         38.101         38.487         38.780         38.980
     07/04/1977          3.711          3.711          0.062        196.686         40.119         39.303         39.042         39.011         39.211
     08/04/1977          3.197          3.197          0.000        195.590         39.063         39.052         39.032         39.121         39.321
     09/04/1977          3.311          3.311          0.000        194.841         38.583         38.808         38.964         39.143         39.343
     10/04/1977          3.271          3.271          0.000        221.570         47.264         47.392         43.685         41.514         41.714
     11/04/1977          3.362          3.362          0.000        219.071         45.668         44.858         43.313         42.516         42.716
     12/04/1977          3.334          3.334          0.000        216.049         43.531         43.500         43.056         42.881         43.081
     13/04/1977          3.368          3.368          0.000        217.340         44.014         43.578         43.242         43.153         43.353
     14/04/1977          3.267          3.267          0.000        214.453         42.239         42.757         42.961         43.148         43.348
     15/04/1977          3.213          3.213          0.000        212.720         41.562         42.252         42.690         43.008         43.208
     16/04/1977          3.260          3.260          0.290        216.817         43.874         43.290         43.134         43.159         43.359
     17/04/1977          3.147          3.147          0.000        213.639         41.895         42.523         42.841         43.090         43.290
     18/04/1977          3.225          3.225          0.000        211.852         41.261         42.031         42.546         42.907         43.107
     19/04/1977          3.309          3.309          0.000        210.352         40.859         41.673         42.269         42.676         42.876
     20/04/1977          3.165          3.165          0.000        209.033         40.577         41.389         42.008         42.430         42.630
     21/04/1977          3.087          3.087          0.000        207.849         40.363         41.150         41.765         42.185         42.385
     22/04/1977          3.009          3.009          8.341        220.735         46.798         44.584         43.394         42.880         43.080
     23/04/1977          3.015          3.015          0.000        218.189         44.225         43.876         43.411         43.239         43.439
     24/04/1977          3.033          3.033          0.000        214.844         42.253         42.855         43.058         43.239         43.439
     25/04/1977          3.020          3.020          0.000        212.859         41.497         42.263         42.741         43.079         43.279
     26/04/1977          2.944          2.944          0.000        211.249         41.035         41.860         42.449         42.852         43.052
     27/04/1977          2.936          2.936          0.000        209.855         40.720         41.551         42.178         42.603         42.803
     28/04/1977          2.880          2.880          0.000        208.611         40.487         41.297         41.925         42.351         42.551
     29/04/1977          2.879          2.879          0.000        207.484         40.301         41.077         41.689         42.108         42.308
     30/04/1977          2.762          2.762          0.000        206.451         40.144         40.882         41.471         41.877         42.077
     01/05/1977          2.749          2.749          0.000        205.497         40.005         40.705         41.267         41.660         41.860
     02/05/1977          2.796          2.796          0.000        204.610         39.878         40.541         41.078         41.456         41.656
     03/05/1977          2.830          2.830          0.000        203.783         39.760         40.389         40.901         41.266         41.466
     04/05/1977          2.834          2.834          0.000        203.008         39.648         40.247         40.736         41.089         41.289
     05/05/1977          2.858          2.858          0.000        202.280         39.541         40.113         40.581         40.923         41.123
     06/05/1977          2.732          2.732          0.000        201.594         39.439         39.986         40.435         40.767         40.967
     07/05/1977          2.701          2.701          0.000        200.947         39.341         39.866         40.298         40.620         40.820
     08/05/1977          2.780          2.780          0.000        200.334         39.242         39.755         40.170         40.484         40.684
     09/05/1977          2.938          2.938          0.000        199.754         39.145         39.649         40.050         40.355         40.555
     10/05/1977          2.857          2.857         10.693        229.104         47.471         48.236         46.146         43.525         43.725
     11/05/1977          2.580          2.580          0.000        228.609         47.252         46.807         45.308         44.521         44.721
     12/05/1977          2.771          2.771          0.000        225.998         45.509         45.482         45.048         44.879         45.079
     13/05/1977          2.728          2.728          0.000        222.708         43.730         44.408         44.654         44.858         45.058
     14/05/1977          2.739          2.739         17.268        238.596         47.530         48.265         48.579         47.010         47.210
     15/05/1977          2.585          2.585          3.239        242.415         47.607         48.304         48.652         48.826         49.026
     16/05/1977          2.577          2.577          0.000        241.833         47.572         48.125         48.468         48.734         48.934
     17/05/1977          2.621          2.621          0.000        239.722         46.736         47.585         48.145         48.528         48.728
     18/05/1977          2.563          2.563          0.000        238.296         46.408         47.250         47.867         48.285         48.485
     19/05/1977          2.500          2.500          0.000        234.856         45.085         46.438         47.337         47.899         48.099
     20/05/1977          2.429          2.429          0.000        231.530         44.099         45.664         46.748         47.410         47.610
     21/05/1977          2.384          2.384          0.000        228.843         43.556         45.088         46.209         46.896         47.096
     22/05/1977          2.173          2.173          0.000        226.987         43.414         44.746         45.780         46.424         46.624
     23/05/1977          2.322          2.322          0.000        225.310         43.253         44.457         45.402         45.999         46.199
     24/05/1977          2.384          2.384          0.000        223.770         43.089         44.191         45.059         45.616         45.816
     25/05/1977          2.187          2.187          0.000        222.342         42.922         43.940         44.745         45.267         45.467
     26/05/1977          2.355          2.355          0.000        221.007         42.754         43.703         44.454         44.948         45.148
     27/05/1977          2.376          2.376          0.000        219.752         42.587         43.477         44.183         44.652         44.852
     28/05/1977          2.075          2.075          1.095        227.044         46.498         45.445         45.036         44.933         45.133
     29/05/1977          2.164          2.164          0.000        224.313         44.485         44.783         44.865         44.990         45.190
     30/05/1977          2.237          2.237          0.000        222.581         43.694         44.272         44.624         44.896         45.096
     31/05/1977          2.084          2.084          0.000        221.017         43.150         43.865         44.364         44.719         44.919
     01/06/1977          1.835          1.835          0.000        219.578         42.751         43.528         44.102         44.498         44.698
     02/06/1977          1.913          1.913          0.000        218.242         42.441         43.238         43.845         44.259         44.459
     03/06/1977          1.980          1.980          0.000        216.993         42.187         42.980         43.596         44.015         44.215
     04/06/1977          2.140          2.140          0.000        215.821         41.970         42.747         43.357         43.773         43.973
     05/06/1977          2.253          2.253          0.000        214.715         41.776         42.533         43.129         43.539         43.739
     06/06/1977          2.168          2.168          0.000        213.670         41.595         42.334         42.913         43.314         43.514
     07/06/1977          2.092          2.092          0.000        212.680         41.434         42.145         42.706         43.098         43.298
     08/06/1977          2.112          2.112          0.000        211.739         41.286         41.964         42.508         42.891         43.091
     09/06/1977          2.056          2.056          0.000        210.843         41.143         41.794         42.320         42.693         42.893
     10/06/1977          1.958          1.958          0.000        209.990         41.006         41.633         42.141         42.505         42.705
     11/06/1977          1.988          1.988          0.000        209.176         40.875         41.479         41.971         42.326         42.526
     12/06/1977          2.029          2.029          0.000        208.398         40.748         41.332         41.808         42.155         42.355
     13/06/1977          2.191          2.191          0.000        207.654         40.627         41.191         41.653         41.992         42.192
     14/06/1977          2.298          2.298          0.000        206.942         40.511         41.055         41.504         41.836         42.036
     15/06/1977          2.313          2.313          0.000        206.260         40.398         40.926         41.362         41.687         41.887
     16/06/1977          2.283          2.283          0.000        205.605         40.290         40.801         41.225         41.544         41.744
     17/06/1977          2.354          2.354          0.000        204.978         40.186         40.682         41.095         41.408         41.608
     18/06/1977          2.293          2.293          0.000        204.376         40.078         40.570         40.972         41.278         41.478
     19/06/1977          1.999          1.999          0.000        203.797         39.987         40.457         40.850         41.152         41.352
     20/06/1977          2.120          2.120          0.000        203.241         39.895         40.350         40.734         41.031         41.231
     21/06/1977          2.146          2.146          0.000        202.707         39.805         40.248         40.623         40.915         41.115
     22/06/1977          2.272          2.272          0.000        202.193         39.718         40.151         40.516         40.804         41.004
     23/06/1977          2.303          2.303          0.000        201.782         39.667         40.080         40.427         40.704         40.904
     24/06/1977          2.308          2.308          0.114        206.262         42.026         41.238         40.958         40.920         41.120
     25/06/1977          1.968          1.968          0.000        204.171         40.476         40.734         40.831         40.966         41.166
     26/06/1977          1.877          1.877          0.000        203.612         40.250         40.534         40.742         40.943         41.143
     27/06/1977          1.968          1.968          0.000        203.065         40.052         40.385         40.653         40.887         41.087
     28/06/1977          1.984          1.984          0.000        202.533         39.893         40.258         40.559         40.812         41.012
     29/06/1977          2.025          2.025          0.000        202.018         39.760         40.143         40.463         40.726         40.926
     30/06/1977          1.943          1.943          0.000        201.521         39.646         40.038         40.367         40.635         40.835
     01/07/1977          1.882          1.882          0.000        201.042         39.545         39.940         40.272         40.542         40.742
     02/07/1977          2.087          2.087          0.000        200.580         39.451         39.848         40.180         40.450         40.650
     03/07/1977          2.109          2.109          0.000        200.135         39.362         39.762         40.092         40.359         40.559
     04/07/1977          2.155          2.155          0.000        199.706         39.278         39.680         40.006         40.271         40.471
     05/07/1977          2.212          2.212          0.000        199.294         39.198         39.601         39.923         40.186         40.386
     06/07/1977          2.266          2.266          0.000        198.896         39.121         39.522         39.845         40.104         40.304
     07/07/1977          2.297          2.297          0.000        198.513         39.046         39.445         39.770         40.026         40.226
     08/07/1977          2.292          2.292          0.000        198.145         38.973         39.371         39.697         39.952         40.152
     09/07/1977          2.258          2.258          0.000        197.788         38.901         39.299         39.626         39.881         40.081
     10/07/1977          2.232          2.232          0.000        197.444         38.832         39.229         39.555         39.814         40.014
     11/07/1977          2.218          2.218          0.000        197.111         38.765         39.160         39.487         39.750         39.950
     12/07/1977          2.197          2.197          0.000        196.784         38.699         39.093         39.421         39.686         39.886
     13/07/1977          2.326          2.326          0.000        196.461         38.634         39.028         39.357         39.621         39.821
     14/07/1977          2.230          2.230          0.000        196.143         38.572         38.964         39.293         39.557         39.757
     15/07/1977          1.990          1.990          0.000        195.828         38.511         38.902         39.229         39.493         39.693
     16/07/1977          2.097          2.097          0.000        195.517         38.451         38.840         39.167         39.430         39.630
     17/07/1977          2.270          2.270          0.000        195.210         38.392         38.779         39.105         39.367         39.567
     18/07/1977          2.265          2.265          0.000        194.907         38.334         38.719         39.043         39.305         39.505
     19/07/1977          2.249          2.249          0.000        194.606         38.276         38.660         38.982         39.244         39.444
     20/07/1977          2.320          2.320          0.000        194.310         38.220         38.601         38.922         39.183         39.383
     21/07/1977          2.371          2.371          0.000        194.016         38.164         38.543         38.863         39.123         39.323
     22/07/1977          2.472          2.472          0.000        193.725         38.108         38.486         38.804         39.064         39.264
     23/07/1977          2.522          2.522          0.000        193.438         38.053         38.429         38.746         39.005         39.205
     24/07/1977          2.167          2.167          0.000        193.153         37.999         38.372         38.689         38.947         39.147
     25/07/1977          2.200          2.200          0.000        192.872         37.945         38.317         38.632         38.889         39.089
     26/07/1977          2.189          2.189          0.000        192.593         37.891         38.261         38.575         38.832         39.032
     27/07/1977          2.290          2.290          0.000        192.316         37.838         38.207         38.520         38.776         38.976
     28/07/1977          2.250          2.250          0.000        192.043         37.786         38.153         38.464         38.720         38.920
     29/07/1977          2.146          2.146          0.000        191.772         37.734         38.099         38.410         38.665         38.865
     30/07/1977          2.232          2.232          0.000        191.503         37.682         38.046         38.355         38.610         38.810
     31/07/1977          2.283          2.283          0.000        191.237         37.631         37.993         38.301         38.556         38.756
     01/08/1977          2.305          2.305          0.000        190.973         37.580         37.941         38.248         38.502         38.702
     02/08/1977          2.409          2.409          0.000        190.711         37.529         37.889         38.195         38.449         38.649
     03/08/1977          2.669          2.669          0.000        190.451         37.479         37.837         38.143         38.396         38.596
     04/08/1977          2.693          2.693          0.000        190.194         37.430         37.786         38.091         38.343         38.543
     05/08/1977          2.699          2.699          0.000        189.939         37.380         37.736         38.040         38.292         38.492
     06/08/1977          2.610          2.610          0.000        189.686         37.331         37.686         37.989         38.240         38.440
     07/08/1977          2.677          2.677          0.000        189.434         37.283         37.636         37.938         38.189         38.389
     08/08/1977          2.562          2.562          0.000        189.185         37.235         37.586         37.888         38.138         38.338
     09/08/1977          2.726          2.726          0.000        188.938         37.187         37.537         37.838         38.088         38.288
     10/08/1977          2.787          2.787          0.000        188.693         37.139         37.489         37.788         38.038         38.238
     11/08/1977          2.862          2.862          0.000        188.449         37.092         37.440         37.739         37.989         38.189
     12/08/1977          2.838          2.838          0.472        197.140         41.512         39.625         38.807         38.498         38.698
     13/08/1977          2.511          2.511          0.000        195.665         39.731         39.269         38.883         38.791         38.991
     14/08/1977          2.566          2.566          0.000        195.356         39.246         39.064         38.928         38.959         39.159
     15/08/1977          2.684          2.684          0.000        195.050         38.902         38.915         38.937         39.048         39.248
     16/08/1977          2.651          2.651          0.000        194.749         38.658         38.797         38.923         39.085         39.285
     17/08/1977          2.681          2.681          0.000        194.450         38.478         38.701         38.893         39.089         39.289
     18/08/1977          2.854          2.854          0.000        194.155         38.342         38.617         38.853         39.071         39.271
     19/08/1977          2.892          2.892          0.000        193.863         38.234         38.543         38.807         39.039         39.239
     20/08/1977          2.989          2.989          0.000        193.574         38.144         38.476         38.758         38.998         39.198
     21/08/1977          3.239          3.239          0.000        193.288         38.067         38.412         38.705         38.952         39.152
     22/08/1977          3.047          3.047          0.000        193.005         37.998         38.352         38.652         38.902         39.102
     23/08/1977          3.052          3.052          0.000        192.725         37.935         38.293         38.598         38.850         39.050
     24/08/1977          3.152          3.152          0.000        192.447         37.875         38.236         38.543         38.796         38.996
     25/08/1977          2.955          2.955          0.000        192.173         37.818         38.181         38.489         38.742         38.942
     26/08/1977          3.060          3.060          0.000        191.900         37.763         38.126         38.434         38.688         38.888
     27/08/1977          3.147          3.147          0.000        191.630         37.710         38.072         38.380         38.634         38.834
     28/08/1977          3.236          3.236          0.000        191.363         37.657         38.019         38.326         38.580         38.780
     29/08/1977          3.311          3.311          0.000        191.098         37.605         37.966         38.273         38.527         38.727
     30/08/1977          3.331          3.331          0.000        190.835         37.554         37.914         38.220         38.473         38.673
     31/08/1977          3.421          3.421          0.000        190.575         37.504         37.862         38.168         38.421         38.621
     01/09/1977          3.413          3.413          0.000        190.316         37.454         37.811         38.116         38.368         38.568
     02/09/1977          3.619          3.619          0.000        190.060         37.404         37.760         38.064         38.316         38.516
     03/09/1977          3.089          3.089          0.000        189.806         37.355         37.709         38.013         38.264         38.464
     04/09/1977          2.925          2.925          0.000        189.554         37.306         37.659         37.962         38.213         38.413
     05/09/1977          3.264          3.264          0.000        189.303         37.258         37.610         37.911         38.162         38.362
     06/09/1977          3.260          3.260          0.000        189.055         37.210         37.561         37.861         38.112         38.312
     07/09/1977          3.131          3.131          0.000        189.925         37.720         37.791         37.951         38.132         38.332
     08/09/1977          3.166          3.166          0.000        188.809         37.097         37.524         37.828         38.080         38.280
     09/09/1977          3.221          3.221          0.000        188.564         37.089         37.458         37.769         38.024         38.224
     10/09/1977          3.269          3.269          0.000        188.322         37.052         37.411         37.717         37.971         38.171
     11/09/1977          3.211          3.211          0.000        188.081         37.011         37.364         37.668         37.919         38.119
     12/09/1977          3.749          3.749          0.000        187.842         36.968         37.318         37.618         37.869         38.069
     13/09/1977          3.372          3.372          0.000        187.604         36.924         37.271         37.570         37.819         38.019
     14/09/1977          3.219          3.219          0.000        187.368         36.880         37.225         37.522         37.771         37.971
     15/09/1977          3.220          3.220          0.000        187.134         36.835         37.179         37.475         37.723         37.923
     16/09/1977          3.434          3.434          0.000        186.902         36.791         37.133         37.428         37.675         37.875
     17/09/1977          3.413          3.413          0.000        186.671         36.746         37.087         37.381         37.628         37.828
     18/09/1977          3.536          3.536          0.000        186.441         36.702         37.041         37.335         37.581         37.781
     19/09/1977          3.643          3.643          0.000        186.213         36.658         36.996         37.289         37.535         37.735
     20/09/1977          3.670          3.670          0.000        185.986         36.614         36.951         37.243         37.489         37.689
     21/09/1977          3.738          3.738          0.000        185.761         36.570         36.907         37.198         37.444         37.644
     22/09/1977          3.846          3.846          0.000        185.538         36.526         36.862         37.153         37.398         37.598
     23/09/1977          4.083          4.083          0.000        185.315         36.483         36.818         37.108         37.353         37.553
     24/09/1977          4.137          4.137          0.000        185.094         36.440         36.774         37.064         37.308         37.508
     25/09/1977          3.858          3.858          0.000        184.875         36.397         36.730         37.019         37.264         37.464
     26/09/1977          3.894          3.894          0.000        184.656         36.355         36.687         36.975         37.220         37.420
     27/09/1977          4.216          4.216          0.000        184.439         36.312         36.644         36.932         37.176         37.376
     28/09/1977          4.377          4.377          0.000        184.224         36.270         36.601         36.888         37.132         37.332
     29/09/1977          4.568          4.568          0.000        184.009         36.228         36.558         36.845         37.089         37.289
     30/09/1977          4.856          4.856          0.000        183.796         36.187         36.516         36.802         37.045         37.245
     01/10/1977          4.699          4.699          0.000        183.584         36.145         36.474         36.760         37.003         37.203
     02/10/1977          4.601          4.601          0.000        183.373         36.104         36.432         36.717         36.960         37.160
     03/10/1977          4.875          4.875          0.000        183.163         36.063         36.390         36.675         36.917         37.117
     04/10/1977          4.965          4.965          0.000        182.954         36.022         36.349         36.633         36.875         37.075
     05/10/1977          4.716          4.716          0.000        182.747         35.982         36.307         36.591         36.833         37.033
     06/10/1977          4.029          4.029          0.000        182.541         35.941         36.266         36.550         36.792         36.992
     07/10/1977          4.173          4.173          0.000        182.335         35.901         36.226         36.509         36.750         36.950
     08/10/1977          4.183          4.183          0.000        182.131         35.861         36.185         36.467         36.709         36.909
     09/10/1977          4.427          4.427          0.000        181.928         35.822         36.144         36.427         36.668         36.868
     10/10/1977          4.547          4.547          0.000        181.726         35.782         36.104         36.386         36.627         36.827
     11/10/1977          4.534          4.534          0.000        181.525         35.743         36.064         36.346         36.586         36.786
     12/10/1977          4.528          4.528          0.000        181.325         35.703         36.024         36.305         36.546         36.746
     13/10/1977          4.521          4.521          0.000        181.126         35.664         35.985         36.265         36.506         36.706
     14/10/1977          4.763          4.763          0.000        180.928         35.626         35.945         36.225         36.466         36.666
     15/10/1977          4.849          4.849          0.000        180.730         35.587         35.906         36.186         36.426         36.626
     16/10/1977          4.955          4.955          0.000        180.534         35.548         35.867         36.146         36.386         36.586
     17/10/1977          4.659          4.659          0.000        180.339         35.510         35.828         36.107         36.347         36.547
     18/10/1977          4.924          4.924          0.000        180.145         35.472         35.790         36.068         36.307         36.507
     19/10/1977          4.606          4.606          0.000        179.951         35.434         35.751         36.029         36.268         36.468
     20/10/1977          4.702          4.702          0.000        179.759         35.396         35.713         35.991         36.229         36.429
     21/10/1977          4.894          4.894          0.000        179.567         35.359         35.675         35.952         36.191         36.391
     22/10/1977          4.963          4.963          0.000        179.376         35.321         35.637         35.914         36.152         36.352
     23/10/1977          4.917          4.917          0.000        181.674         36.528         36.221         36.187         36.269         36.469
     24/10/1977          4.726          4.726          0.000        181.474         36.174         36.180         36.225         36.347         36.547
     25/10/1977          4.786          4.786          0.000        181.274         35.977         36.101         36.224         36.386         36.586
     26/10/1977          4.631          4.631          0.000        181.075         35.840         36.032         36.209         36.397         36.597
     27/10/1977          4.895          4.895          0.000        180.877         35.737         35.973         36.185         36.391         36.591
     28/10/1977          4.867          4.867          0.000        180.680         35.656         35.921         36.156         36.374         36.574
     29/10/1977          5.203          5.203          0.000        180.484         35.591         35.873         36.123         36.348         36.548
     30/10/1977          5.502          5.502          0.000        180.289         35.534         35.829         36.089         36.319         36.519
     31/10/1977          5.555          5.555          0.000        180.095         35.485         35.787         36.053         36.286         36.486
     01/11/1977          5.929          5.929          0.000        179.902         35.439         35.746         36.016         36.251         36.451
     02/11/1977          6.471          6.471          0.000        179.710         35.396         35.706         35.978         36.215         36.415
     03/11/1977          5.534          5.534          3.837        196.055         43.486         39.870         38.042         37.228         37.428
     04/11/1977          5.695          5.695          0.000        195.742         41.405         39.740         38.484         37.956         38.156
     05/11/1977          5.819          5.819          0.000        195.432         40.318         39.401         38.679         38.417         38.617
     06/11/1977          5.235          5.235          0.000        195.126         39.606         39.142         38.780         38.699         38.899
     07/11/1977          5.338          5.338          8.829        208.178         45.429         42.476         40.587         39.743         39.943
     08/11/1977          5.574          5.574          0.000        207.586         43.406         42.103         40.967         40.455         40.655
