Summary_file = gmtb0d.sum
Title = Greenmount B0_SOILWAT
           date       dlayer()      soil_loss  erosion_cover cover_surface_runoff
     26/04/1983       1500.000          0.317          0.052                0.052
     28/04/1983       1500.000          1.215          0.052                0.052
     01/05/1983       1500.000         11.510          0.052                0.052
     02/05/1983       1500.000         13.830          0.052                0.052
     03/05/1983       1500.000         11.987          0.053                0.053
     28/05/1983       1500.000          7.825          0.057                0.057
     21/06/1983       1500.000          0.168          0.034                0.034
     22/06/1983       1500.000         31.497          0.034                0.034
     23/06/1983       1500.000          1.746          0.034                0.034
     29/07/1983       1500.000          1.832          0.035                0.035
     27/08/1983       1500.000          0.158          0.036                0.036
     15/09/1983       1500.000          0.003          0.034                0.034
     06/10/1983       1500.000          1.469          0.033                0.033
     11/10/1983       1500.000          0.019          0.032                0.032
     20/10/1983       1500.000          1.004          0.029                0.029
     04/11/1983       1500.000          0.084          0.029                0.029
     16/11/1983       1500.000          0.530          0.029                0.029
     15/12/1983       1500.000          0.567          0.030                0.030
     05/01/1984       1500.000          0.135          0.034                0.034
     11/01/1984       1500.000          0.349          0.036                0.036
     14/02/1984       1500.000          0.672          0.050                0.050
     16/02/1984       1500.000          2.399          0.051                0.051
     10/03/1984       1500.000          0.501          0.067                0.067
     07/04/1984       1500.000          0.574          0.085                0.085
     08/04/1984       1500.000          3.425          0.085                0.085
     09/04/1984       1500.000          3.485          0.086                0.086
     24/04/1984       1500.000          0.001          0.107                0.107
     15/07/1984       1500.000          0.033          0.056                0.056
     16/07/1984       1500.000          0.134          0.056                0.056
     25/07/1984       1500.000          0.009          0.053                0.053
     26/07/1984       1500.000          0.018          0.053                0.053
     27/07/1984       1500.000          7.879          0.052                0.052
     11/08/1984       1500.000          0.139          0.052                0.052
     05/11/1984       1500.000          4.554          0.047                0.047
     12/11/1984       1500.000          1.060          0.042                0.042
     19/12/1984       1500.000          2.085          0.043                0.043
     09/01/1985       1500.000          0.637          0.044                0.044
     25/01/1985       1500.000          0.087          0.045                0.045
     23/04/1985       1500.000          0.034          0.065                0.065
     17/05/1985       1500.000          0.203          0.072                0.072
     04/06/1985       1500.000          2.765          0.074                0.074
     09/07/1985       1500.000          0.207          0.048                0.048
     31/08/1985       1500.000          0.505          0.048                0.048
     14/10/1985       1500.000          0.046          0.045                0.045
     23/10/1985       1500.000          0.229          0.041                0.041
     08/11/1985       1500.000          1.617          0.039                0.039
     10/12/1985       1500.000          0.927          0.035                0.035
     11/12/1985       1500.000          0.005          0.035                0.035
     23/12/1985       1500.000          0.097          0.036                0.036
     10/01/1986       1500.000          0.325          0.037                0.037
     25/01/1986       1500.000          9.929          0.039                0.039
     08/02/1986       1500.000          0.451          0.042                0.042
     12/02/1986       1500.000          0.037          0.042                0.042
     14/02/1986       1500.000          0.121          0.042                0.042
     25/02/1986       1500.000          5.593          0.044                0.044
     02/05/1986       1500.000          0.341          0.056                0.056
     06/05/1986       1500.000          0.029          0.055                0.055
     05/07/1986       1500.000          0.059          0.044                0.044
     28/07/1986       1500.000          0.251          0.044                0.044
     23/10/1986       1500.000          5.648          0.039                0.039
     13/11/1986       1500.000          7.531          0.033                0.033
     01/12/1986       1500.000          0.360          0.032                0.032
     12/12/1986       1500.000          0.001          0.033                0.033
     26/12/1986       1500.000          0.307          0.033                0.033
     20/01/1987       1500.000          1.392          0.035                0.035
     28/01/1987       1500.000          0.615          0.036                0.036
     29/01/1987       1500.000          0.173          0.036                0.036
     16/05/1987       1500.000          0.883          0.067                0.067
     28/07/1987       1500.000          0.012          0.043                0.043
     03/08/1987       1500.000          0.297          0.042                0.042
     16/10/1987       1500.000          0.841          0.042                0.042
     17/10/1987       1500.000         17.306          0.041                0.041
     25/10/1987       1500.000          0.015          0.039                0.039
     26/10/1987       1500.000          1.141          0.038                0.038
     01/12/1987       1500.000         10.906          0.039                0.039
     02/12/1987       1500.000          3.795          0.038                0.038
     11/12/1987       1500.000          0.218          0.037                0.037
     06/01/1988       1500.000          0.053          0.037                0.037
     20/01/1988       1500.000          9.679          0.035                0.035
     13/02/1988       1500.000         10.993          0.037                0.037
     01/03/1988       1500.000          0.369          0.041                0.041
     01/04/1988       1500.000         45.964          0.050                0.050
     04/04/1988       1500.000         29.413          0.051                0.051
     06/04/1988       1500.000          4.870          0.050                0.050
     11/04/1988       1500.000          0.301          0.050                0.050
     12/04/1988       1500.000         13.494          0.050                0.050
     05/06/1988       1500.000          0.001          0.062                0.062
     06/06/1988       1500.000          0.836          0.062                0.062
     05/07/1988       1500.000          0.003          0.040                0.040
     06/07/1988       1500.000          0.735          0.040                0.040
     22/07/1988       1500.000          0.055          0.038                0.038
     23/08/1988       1500.000          2.037          0.038                0.038
     28/09/1988       1500.000          0.553          0.034                0.034
     12/12/1988       1500.000          0.121          0.033                0.033
     06/01/1989       1500.000          0.093          0.032                0.032
     07/01/1989       1500.000          6.238          0.032                0.032
     08/01/1989       1500.000          0.024          0.032                0.032
     09/01/1989       1500.000          0.019          0.031                0.031
     11/01/1989       1500.000          0.372          0.031                0.031
     20/01/1989       1500.000          0.056          0.032                0.032
     07/02/1989       1500.000          0.011          0.034                0.034
     13/02/1989       1500.000          0.026          0.035                0.035
     26/03/1989       1500.000          0.389          0.046                0.046
     27/03/1989       1500.000          2.464          0.046                0.046
     28/03/1989       1500.000          2.133          0.046                0.046
     25/04/1989       1500.000          1.137          0.054                0.054
     26/04/1989       1500.000          1.415          0.054                0.054
     06/11/1989       1500.000          0.048          0.031                0.031
     11/11/1989       1500.000          0.252          0.030                0.030
     16/11/1989       1500.000          0.101          0.029                0.029
     04/12/1989       1500.000          0.927          0.030                0.030
     05/12/1989       1500.000          0.326          0.029                0.029
     06/12/1989       1500.000          0.333          0.029                0.029
     23/12/1989       1500.000          0.557          0.030                0.030
     28/12/1989       1500.000          0.001          0.030                0.030
     14/01/1990       1500.000          0.074          0.032                0.032
     15/01/1990       1500.000         16.654          0.032                0.032
     03/02/1990       1500.000          2.093          0.035                0.035
     08/02/1990       1500.000          0.013          0.035                0.035
     27/03/1990       1500.000          0.263          0.045                0.045
     28/03/1990       1500.000          0.041          0.045                0.045
     05/04/1990       1500.000          3.311          0.046                0.046
     21/04/1990       1500.000          4.330          0.051                0.051
     18/05/1990       1500.000          0.723          0.059                0.059
     23/05/1990       1500.000          6.518          0.059                0.059
     28/05/1990       1500.000          3.049          0.059                0.059
     01/09/1990       1500.000          0.187          0.036                0.036
     05/11/1990       1500.000          0.001          0.034                0.034
     07/01/1991       1500.000          1.081          0.036                0.036
     18/01/1991       1500.000          0.462          0.037                0.037
     20/01/1991       1500.000          0.544          0.036                0.036
     27/01/1991       1500.000         16.111          0.036                0.036
     08/02/1991       1500.000         16.806          0.038                0.038
     09/02/1991       1500.000          0.090          0.038                0.038
     24/10/1991       1500.000          0.107          0.042                0.042
     28/11/1991       1500.000          1.638          0.039                0.039
     30/11/1991       1500.000          0.012          0.037                0.037
     12/12/1991       1500.000          6.157          0.033                0.033
     01/01/1992       1500.000          0.249          0.033                0.033
     08/01/1992       1500.000          1.035          0.033                0.033
     09/01/1992       1500.000         13.546          0.033                0.033
     01/02/1992       1500.000          1.964          0.038                0.038
     10/02/1992       1500.000         27.251          0.041                0.041
