ApsimVersion = 6.0
Title = jambincerealonly1995
           Date           year            esw         runoff          drain        no3_tot      nw_grainn    nw_anthesis   nw_tops_biom       nw_yield      nw_status         nw_lai  sor_flower_wt        sor_das        sor_lai      sor_yield sor_flowerdate           rain   sw_mm_lay(1)   sw_mm_lay(2)   sw_mm_lay(3)   sw_mm_lay(4)   sw_mm_lay(5)  dul_mm_lay(1)  dul_mm_lay(2)  dul_mm_lay(3)  dul_mm_lay(4)  dul_mm_lay(5) ll15_mm_lay(1) ll15_mm_lay(2) ll15_mm_lay(3) ll15_mm_lay(4) ll15_mm_lay(5)   crop_current        crop_in      next_crop
             ()         (year)           (mm)           (mm)           (mm)        (kg/ha)        (g/m^2)          (doy)        (kg/ha)        (kg/ha)             ()      (m^2/m^2)         (g/m2)         (days)        (m2/m2)        (kg/ha)          (doy)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (?)            (?)            (?)
     11/01/1940           1940         87.235          0.000          0.000          109.4           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         21.799         37.801         80.003         48.132         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     12/01/1940           1940         86.695          0.000          0.000          110.1           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         21.384         37.697         79.909         48.204         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     13/01/1940           1940         86.179          0.000          0.000          110.9           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         20.991         37.596         79.815         48.276         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     14/01/1940           1940         85.684          0.000          0.000          111.6           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         20.619         37.496         79.722         48.348         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     15/01/1940           1940         85.208          0.000          0.000          112.3           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         20.264         37.397         79.628         48.419         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     16/01/1940           1940         84.748          0.000          0.000          113.0           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         19.924         37.300         79.534         48.490         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     17/01/1940           1940         84.304          0.000          0.000          113.7           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.800         19.599         37.205         79.440         48.560         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     18/01/1940           1940         87.426          0.000          0.000          114.3           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          9.700         22.835         37.115         79.346         48.630         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     19/01/1940           1940         87.257          0.000          0.000          114.9           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          6.400         22.778         37.027         79.252         48.700         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     20/01/1940           1940         86.716          0.000          0.000          115.6           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         22.349         36.940         79.158         48.769         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     21/01/1940           1940         86.200          0.000          0.000          116.4           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         21.944         36.853         79.065         48.838         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     22/01/1940           1940         85.704          0.000          0.000          117.2           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         21.560         36.767         78.971         48.906         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     23/01/1940           1940         85.227          0.000          0.000          118.0           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         21.193         36.682         78.878         48.974         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     24/01/1940           1940         84.767          0.000          0.000          118.8           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         20.843         36.598         78.784         49.041         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     25/01/1940           1940         84.322          0.000          0.000          119.6           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         20.507         36.515         78.691         49.109         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     26/01/1940           1940         83.891          0.000          0.000          120.4           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         20.184         36.433         78.598         49.175         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     27/01/1940           1940         83.472          0.000          0.000          121.2           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         19.873         36.352         78.505         49.242         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     28/01/1940           1940         83.065          0.000          0.000          121.9           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         19.573         36.272         78.412         49.308         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     29/01/1940           1940         82.668          0.000          0.000          122.7           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         19.282         36.192         78.320         49.374         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     30/01/1940           1940         82.281          0.000          0.000          123.4           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         19.001         36.114         78.228         49.439         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     31/01/1940           1940         81.904          0.000          0.000          124.1           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         18.728         36.037         78.136         49.504         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     01/02/1940           1940         81.535          0.000          0.000          124.8           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         18.462         35.960         78.044         49.568         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     02/02/1940           1940        101.536          0.000          0.000          125.5           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0         24.600         37.875         36.569         77.959         49.632         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     03/02/1940           1940        132.461         25.397          0.000          124.6           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0         58.700         40.523         44.400         91.663         56.372         54.003         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     04/02/1940           1940        155.211         13.281          0.000          124.3           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0         40.900         38.031         44.400         91.713         81.520         54.047         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     05/02/1940           1940        151.807          0.000          0.000          124.2           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          1.300         34.643         43.826         91.069         82.675         54.094         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     06/02/1940           1940        171.448          7.519          0.000          123.8           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0         33.500         36.743         44.216         91.800         97.480         55.709         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     07/02/1940           1940        168.272          0.000          0.000          123.7           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         33.765         43.497         91.189         97.047         57.273         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     08/02/1940           1940        166.827          0.000          0.000          123.7           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         32.509         42.858         90.575         96.599         58.785         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     09/02/1940           1940        167.915          0.000          0.000          123.9           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          3.600         33.759         42.311         89.965         96.137         60.244         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     10/02/1940           1940        166.055          0.000          0.000          124.1           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.800         32.063         41.816         89.366         95.663         61.647         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     11/02/1940           1940        165.071          0.000          0.000          124.4           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         31.239         41.375         88.783         95.182         62.993         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     12/02/1940           1940        164.214          0.000          0.000          124.8           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         30.536         40.982         88.219         94.695         64.282         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     13/02/1940           1940        163.445          0.000          0.000          125.3           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         29.918         40.633         87.675         94.205         65.513         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     14/02/1940           1940        162.740          0.000          0.000          125.9           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         29.360         40.323         87.155         93.716         66.686         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     15/02/1940           1940        162.087          0.000          0.000          126.6           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         28.851         40.046         86.658         93.229         67.802         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     16/02/1940           1940        161.475          0.000          0.000          127.4           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         28.381         39.800         86.187         92.748         68.860         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     17/02/1940           1940        160.897          0.000          0.000          128.2           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         27.942         39.581         85.740         92.273         69.861         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     18/02/1940           1940        160.349          0.000          0.000          129.0           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         27.531         39.386         85.318         91.807         70.807         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     19/02/1940           1940        161.222          0.000          0.000          129.8           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          3.000         28.533         39.218         84.921         91.351         71.699         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     20/02/1940           1940        159.825          0.000          0.000          130.5           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          1.300         27.269         39.064         84.549         90.907         72.537         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     21/02/1940           1940        159.324          0.000          0.000          131.3           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         26.899         38.926         84.199         90.475         73.324         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     22/02/1940           1940        158.842          0.000          0.000          132.2           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         26.547         38.833         83.842         90.058         74.061         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     23/02/1940           1940        158.377          0.000          0.000          133.2           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         26.212         38.739         83.522         89.654         74.750         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     24/02/1940           1940        157.928          0.000          0.000          134.2           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         25.892         38.644         83.235         89.264         75.392         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     25/02/1940           1940        157.493          0.000          0.000          135.2           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         25.586         38.549         82.978         88.890         75.989         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     26/02/1940           1940        157.070          0.000          0.000          136.3           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         25.292         38.454         82.747         88.534         76.543         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     27/02/1940           1940        156.660          0.000          0.000          137.3           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         25.009         38.359         82.540         88.195         77.057         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     28/02/1940           1940        156.260          0.000          0.000          138.3           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         24.736         38.265         82.354         87.873         77.533         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     29/02/1940           1940        200.269          6.863          0.000          137.4           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0         52.300         41.472         44.400         91.800         97.914         79.183         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     01/03/1940           1940        221.363          8.804          1.547          136.0           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0         32.800         41.545         44.400         91.800        100.200         97.919         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     02/03/1940           1940        222.250          4.571         16.692          129.1           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0         24.900         40.150         44.400         91.800        100.200        100.200         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     03/03/1940           1940        217.149          0.000          1.793          128.0           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         36.751         43.925         91.230         99.603        100.140         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     04/03/1940           1940        211.925          0.000          1.781          127.0           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         33.500         43.241         90.650         99.008        100.027         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     05/03/1940           1940        208.713          0.000          1.763          126.1           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         32.235         42.631         90.067         98.414         99.866         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     06/03/1940           1940        205.860          0.000          1.740          125.4           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         31.301         42.091         89.487         97.821         99.661         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     07/03/1940           1940        203.209          0.000          1.713          124.9           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         30.533         41.611         88.916         97.230         99.418         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     08/03/1940           1940        200.701          0.000          1.682          124.4           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         29.871         41.186         88.360         96.643         99.141         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     09/03/1940           1940        198.306          0.000          1.648          124.1           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         29.283         40.809         87.821         96.061         98.833         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     10/03/1940           1940        196.008          0.000          1.611          123.9           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         28.750         40.474         87.301         95.485         98.498         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     11/03/1940           1940        193.798          0.000          1.571          123.8           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         28.261         40.177         86.804         94.917         98.140         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     12/03/1940           1940        191.668          0.000          1.529          123.7           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         27.807         39.912         86.329         94.358         97.762         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     13/03/1940           1940        189.615          0.000          1.485          123.6           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          1.500         27.382         39.677         85.878         93.810         97.367         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     14/03/1940           1940        187.635          0.000          1.440          123.6           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          1.300         26.983         39.468         85.452         93.274         96.957         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     15/03/1940           1940        185.726          0.000          1.393          123.7           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         26.606         39.282         85.049         92.752         96.537         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     16/03/1940           1940        184.591          0.000          1.345          123.7           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          2.500         26.952         39.119         84.669         92.244         96.107         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     17/03/1940           1940        223.651         14.113          7.178          120.5           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0         61.700         41.551         44.400         91.800        100.200        100.200         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     18/03/1940           1940        221.286         26.978         29.574          110.0           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0         57.900         39.186         44.400         91.800        100.200        100.200         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     19/03/1940           1940        217.594          0.000          1.793          109.0           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          3.000         36.994         44.106         91.248         99.605        100.140         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     20/03/1940           1940        214.202          0.000          1.781          108.2           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          3.000         35.318         43.636         90.705         99.015        100.028         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     21/03/1940           1940        209.955          0.000          1.763          107.5           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         33.023         42.984         90.152         98.429         99.868         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     22/03/1940           1940        206.823          0.000          1.741          107.0           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         31.814         42.403         89.595         97.845         99.666         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     23/03/1940           1940        204.024          0.000          1.714          106.6           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         30.903         41.888         89.042         97.265         99.426         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
