ApsimVersion = 6.1
Title = populneaW60
           Date            day            lai        stem_wt        leaf_wt             fw             fn           rain     irrigation             es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)         sw(11)         sw(12)       sw_dep()             ft      plantleaf      plantstem        plantla   plantbiomass           swsi         plants           slai          no3()          nh4()     root_depth         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)         rlv(8)         rlv(9)        rlv(10)        rlv(11)        rlv(12)             ep             eo            rtr          sw150           petr           peta          ffasw         height       ftcanopy      sw_demand      sw_supply         runoff     cum_stress            esw       fwcanopy             ga        biomass           fvpd
             ()          (day)        (m2/m2)        (kg/ha)        (kg/ha)          (0-1)          (0-1)           (mm)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)          (0-1)            (?)            (?)            (?)            (?)            (?)          (/ha)        (m2/m2)        (kg/ha)        (kg/ha)             ()       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)           (mm)            (?)            (?)             ()             ()          (0-1)           (mm)          (0-1)           (mm)           (mm)           (mm)            (d)           (mm)          (0-1)             ()        (kg/ha)          (0-1)
     21/08/1908            234          0.882          545.4         1422.2          1.000          1.000          3.900          0.000          1.280          0.302          0.379          0.406          0.315          0.253          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1328.369          1.000          0.000          0.000          0.000          0.000          0.000      62496.914          0.000          295.9          105.1       1066.284          0.020          0.020          0.033          0.014          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.812          3.927          0.000          0.000          0.192          0.620          1.000        475.409          0.750          0.812          0.915          0.000          0.272        138.869          0.126          0.044         1968.0          1.000
     21/08/1909            233          0.536          346.0          864.8          1.000          1.000         10.400          0.000          2.139          0.344          0.339          0.380          0.300          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1316.129          1.000          0.000          0.000          0.000          0.000          0.000      62498.758          0.000          322.2          100.8        339.215          0.058          0.043          0.003          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.327          3.197          0.000          0.000          0.063          0.263          1.000        435.946          0.850          0.327          0.408          0.000          6.208        126.629          0.249          0.042         1211.0          1.000
     21/08/1910            233          0.646          405.6         1042.3          0.827          1.000         11.700          0.000          0.401          0.284          0.432          0.382          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1322.005          1.000          0.000          0.000          0.000          0.000          0.000      62498.293          0.001          309.8          106.3        434.420          0.039          0.055          0.012          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.571          3.968          0.000          0.000          0.127          0.563          1.000        449.392          0.975          0.690          0.571          0.000          2.676        132.505          0.000          0.043         1449.2          1.000
     21/08/1911            233          0.288          260.1          465.1          0.067          1.000          0.700          0.000          0.017          0.190          0.323          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1290.143          1.000          0.000          0.000          0.000          0.000          0.000      62499.297          0.002          331.1          111.4        303.644          0.027          0.031          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.010          2.966          0.000          0.000          0.019          0.133          1.000        413.024          0.775          0.152          0.010          0.000         59.115        100.643          0.000          0.041          727.9          1.000
     21/08/1912            234          0.556          357.1          896.0          1.000          0.993          0.000          0.000          0.658          0.363          0.446          0.382          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1336.083          1.000          0.000          0.000          0.000          0.000          0.000      62498.676          0.000          330.4          114.6        417.228          0.030          0.045          0.012          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.494          3.920          0.000          0.000          0.086          0.407          1.000        437.759          0.675          0.494          0.788          0.000          9.546        146.584          0.595          0.042         1253.3          1.000
     21/08/1913            233          0.773          482.4         1246.2          0.732          1.000          0.000          0.000          0.526          0.299          0.420          0.384          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1323.094          1.000          0.000          0.000          0.000          0.000          0.000      62497.582          0.001          334.6          115.9        626.489          0.037          0.044          0.025          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.606          3.765          0.000          0.000          0.152          0.675          1.000        464.458          0.750          0.828          0.606          0.000          1.524        133.594          0.000          0.043         1731.0          1.000
     21/08/1914            233          0.379          262.8          611.6          0.142          1.000          0.000          0.000          0.481          0.207          0.326          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1292.982          1.000          0.000          0.000          0.000          0.000          0.000      62499.281          0.002          346.5          115.0        301.937          0.050          0.031          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.058          4.137          0.000          0.000          0.050          0.359          1.000        413.844          0.625          0.409          0.058          0.000         16.679        103.482          0.000          0.041          877.8          1.000
     21/08/1915            233          0.092           84.5          149.2          0.000          1.000          0.000          0.000          0.000          0.190          0.320          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1289.500          1.000          0.000          0.000          0.000          0.000          0.000      38889.094          0.001          349.3          117.5        299.693          0.020          0.006          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.270          0.000          0.000          0.004          0.098          1.000        340.109          0.675          0.102          0.000          0.000         82.694        100.000          0.000          0.038          248.4          1.000
     21/08/1916            234          0.997          616.0         1608.6          1.000          0.993          4.000          0.000          1.668          0.515          0.416          0.387          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1355.834          1.000          0.000          0.000          0.000          0.000          0.000      62496.062          0.000          323.8          120.2        752.068          0.035          0.033          0.031          0.005          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.607          3.239          0.000          0.000          0.167          0.440          1.000        485.502          0.725          0.607          1.119          1.326          0.019        166.334          0.844          0.044         2225.0          1.000
     21/08/1917            233          0.351          275.4          566.1          0.273          1.000          0.000          0.000          1.838          0.221          0.329          0.380          0.300          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1296.292          1.000          0.000          0.000          0.000          0.000          0.000      62499.215          0.002          351.3          123.2        374.577          0.033          0.036          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.099          3.596          0.000          0.000          0.037          0.324          1.000        417.517          0.700          0.361          0.099          0.000         36.659        106.792          0.000          0.041          844.1          1.000
