"Change in Total Rainfall (mm) , in AUSTRALIA for the year 2030, Sep"
"Model: GFDL CM2.1. Emission Scenario: SRES marker scenario A1FI, Climate Sensitivity: high"
"Created on 2/14/2008 4:13:09 PM using OzClim OzClimWebService Date: 2007-10-19 14:21:20 +1000 (Fri, 19 Oct 2007) Revision: 865 "
"www.csiro.au/ozclim"
"latitude","longitude","value"
    -10.25,     114.5,-9999.0
    -10.25,    114.75,-9999.0
    -10.25,       115,-9999.0
    -10.25,    115.25,-9999.0
    -10.25,     115.5,-9999.0
    -10.25,    115.75,-9999.0
    -10.25,       116,-9999.0
    -10.25,    116.25,-9999.0
    -10.25,     116.5,-9999.0
    -10.25,    116.75,-9999.0
    -10.25,       117,-9999.0
    -10.25,    117.25,-9999.0
    -10.25,     117.5,-9999.0
    -10.25,    117.75,-9999.0
    -10.25,       118,-9999.0
    -10.25,    118.25,-9999.0
    -10.25,     118.5,-9999.0
    -10.25,    118.75,-9999.0
    -10.25,       119,-9999.0
    -10.25,    119.25,-9999.0
    -10.25,     119.5,-9999.0
    -10.25,    119.75,-9999.0
    -10.25,       120,-9999.0
    -10.25,    120.25,-9999.0
    -10.25,     120.5,-9999.0
    -10.25,    120.75,-9999.0
    -10.25,       121,-9999.0
    -10.25,    121.25,-9999.0
    -10.25,     121.5,-9999.0
    -10.25,    121.75,-9999.0
    -10.25,       122,-9999.0
    -10.25,    122.25,-9999.0
    -10.25,     122.5,-9999.0
    -10.25,    122.75,-9999.0
    -10.25,       123,-9999.0
    -10.25,    123.25,-9999.0
    -10.25,     123.5,-9999.0
    -10.25,    123.75,-9999.0
    -10.25,       124,-9999.0
    -10.25,    124.25,-9999.0
    -10.25,     124.5,-9999.0
    -10.25,    124.75,-9999.0
    -10.25,       125,-9999.0
    -10.25,    125.25,-9999.0
    -10.25,     125.5,-9999.0
    -10.25,    125.75,-9999.0
    -10.25,       126,-9999.0
    -10.25,    126.25,-9999.0
    -10.25,     126.5,-9999.0
    -10.25,    126.75,-9999.0
    -10.25,       127,-9999.0
    -10.25,    127.25,-9999.0
    -10.25,     127.5,-9999.0
    -10.25,    127.75,-9999.0
    -10.25,       128,-9999.0
    -10.25,    128.25,-9999.0
    -10.25,     128.5,-9999.0
    -10.25,    128.75,-9999.0
    -10.25,       129,-9999.0
    -10.25,    129.25,-9999.0
    -10.25,     129.5,-9999.0
    -10.25,    129.75,-9999.0
    -10.25,       130,-9999.0
    -10.25,    130.25,-9999.0
    -10.25,     130.5,-9999.0
    -10.25,    130.75,-9999.0
    -10.25,       131,-9999.0
    -10.25,    131.25,-9999.0
    -10.25,     131.5,-9999.0
    -10.25,    131.75,-9999.0
    -10.25,       132,-9999.0
    -10.25,    132.25,-9999.0
    -10.25,     132.5,-9999.0
    -10.25,    132.75,-9999.0
    -10.25,       133,-9999.0
    -10.25,    133.25,-9999.0
    -10.25,     133.5,-9999.0
    -10.25,    133.75,-9999.0
    -10.25,       134,-9999.0
    -10.25,    134.25,-9999.0
    -10.25,     134.5,-9999.0
    -10.25,    134.75,-9999.0
    -10.25,       135,-9999.0
    -10.25,    135.25,-9999.0
    -10.25,     135.5,-9999.0
    -10.25,    135.75,-9999.0
    -10.25,       136,-9999.0
    -10.25,    136.25,-9999.0
    -10.25,     136.5,-9999.0
    -10.25,    136.75,-9999.0
    -10.25,       137,-9999.0
    -10.25,    137.25,-9999.0
    -10.25,     137.5,-9999.0
    -10.25,    137.75,-9999.0
    -10.25,       138,-9999.0
    -10.25,    138.25,-9999.0
    -10.25,     138.5,-9999.0
    -10.25,    138.75,-9999.0
    -10.25,       139,-9999.0
    -10.25,    139.25,-9999.0
    -10.25,     139.5,-9999.0
    -10.25,    139.75,-9999.0
    -10.25,       140,-9999.0
    -10.25,    140.25,-9999.0
    -10.25,     140.5,-9999.0
    -10.25,    140.75,-9999.0
    -10.25,       141,-9999.0
    -10.25,    141.25,-9999.0
    -10.25,     141.5,-9999.0
    -10.25,    141.75,-9999.0
    -10.25,       142,-9999.0
    -10.25,    142.25,-9999.0
    -10.25,     142.5,-9999.0
    -10.25,    142.75,-9999.0
    -10.25,       143,-9999.0
    -10.25,    143.25,-9999.0
    -10.25,     143.5,-9999.0
    -10.25,    143.75,-9999.0
    -10.25,       144,-9999.0
    -10.25,    144.25,-9999.0
    -10.25,     144.5,-9999.0
    -10.25,    144.75,-9999.0
    -10.25,       145,-9999.0
    -10.25,    145.25,-9999.0
    -10.25,     145.5,-9999.0
    -10.25,    145.75,-9999.0
    -10.25,       146,-9999.0
    -10.25,    146.25,-9999.0
    -10.25,     146.5,-9999.0
    -10.25,    146.75,-9999.0
    -10.25,       147,-9999.0
    -10.25,    147.25,-9999.0
    -10.25,     147.5,-9999.0
    -10.25,    147.75,-9999.0
    -10.25,       148,-9999.0
    -10.25,    148.25,-9999.0
    -10.25,     148.5,-9999.0
    -10.25,    148.75,-9999.0
    -10.25,       149,-9999.0
    -10.25,    149.25,-9999.0
    -10.25,     149.5,-9999.0
    -10.25,    149.75,-9999.0
    -10.25,       150,-9999.0
    -10.25,    150.25,-9999.0
    -10.25,     150.5,-9999.0
    -10.25,    150.75,-9999.0
    -10.25,       151,-9999.0
    -10.25,    151.25,-9999.0
    -10.25,     151.5,-9999.0
    -10.25,    151.75,-9999.0
    -10.25,       152,-9999.0
    -10.25,    152.25,-9999.0
    -10.25,     152.5,-9999.0
    -10.25,    152.75,-9999.0
    -10.25,       153,-9999.0
    -10.25,    153.25,-9999.0
    -10.25,     153.5,-9999.0
    -10.25,    153.75,-9999.0
    -10.25,       154,-9999.0
     -10.5,       112,-9999.0
     -10.5,    112.25,-9999.0
     -10.5,     112.5,-9999.0
     -10.5,    112.75,-9999.0
     -10.5,       113,-9999.0
     -10.5,    113.25,-9999.0
     -10.5,     113.5,-9999.0
     -10.5,    113.75,-9999.0
     -10.5,       114,-9999.0
     -10.5,    114.25,-9999.0
     -10.5,     114.5,-9999.0
     -10.5,    114.75,-9999.0
     -10.5,       115,-9999.0
     -10.5,    115.25,-9999.0
     -10.5,     115.5,-9999.0
     -10.5,    115.75,-9999.0
     -10.5,       116,-9999.0
     -10.5,    116.25,-9999.0
     -10.5,     116.5,-9999.0
     -10.5,    116.75,-9999.0
     -10.5,       117,-9999.0
     -10.5,    117.25,-9999.0
     -10.5,     117.5,-9999.0
     -10.5,    117.75,-9999.0
     -10.5,       118,-9999.0
     -10.5,    118.25,-9999.0
     -10.5,     118.5,-9999.0
     -10.5,    118.75,-9999.0
     -10.5,       119,-9999.0
     -10.5,    119.25,-9999.0
     -10.5,     119.5,-9999.0
     -10.5,    119.75,-9999.0
     -10.5,       120,-9999.0
     -10.5,    120.25,-9999.0
     -10.5,     120.5,-9999.0
     -10.5,    120.75,-9999.0
     -10.5,       121,-9999.0
     -10.5,    121.25,-9999.0
     -10.5,     121.5,-9999.0
     -10.5,    121.75,-9999.0
     -10.5,       122,-9999.0
     -10.5,    122.25,-9999.0
     -10.5,     122.5,-9999.0
     -10.5,    122.75,-9999.0
     -10.5,       123,-9999.0
     -10.5,    123.25,-9999.0
     -10.5,     123.5,-9999.0
     -10.5,    123.75,-9999.0
     -10.5,       124,-9999.0
     -10.5,    124.25,-9999.0
     -10.5,     124.5,-9999.0
     -10.5,    124.75,-9999.0
     -10.5,       125,-9999.0
     -10.5,    125.25,-9999.0
     -10.5,     125.5,-9999.0
     -10.5,    125.75,-9999.0
     -10.5,       126,-9999.0
     -10.5,    126.25,-9999.0
     -10.5,     126.5,-9999.0
     -10.5,    126.75,-9999.0
     -10.5,       127,-9999.0
     -10.5,    127.25,-9999.0
     -10.5,     127.5,-9999.0
     -10.5,    127.75,-9999.0
     -10.5,       128,-9999.0
     -10.5,    128.25,-9999.0
     -10.5,     128.5,-9999.0
     -10.5,    128.75,-9999.0
     -10.5,       129,-9999.0
     -10.5,    129.25,-9999.0
     -10.5,     129.5,-9999.0
     -10.5,    129.75,-9999.0
     -10.5,       130,-9999.0
     -10.5,    130.25,-9999.0
     -10.5,     130.5,-9999.0
     -10.5,    130.75,-9999.0
     -10.5,       131,-9999.0
     -10.5,    131.25,-9999.0
     -10.5,     131.5,-9999.0
     -10.5,    131.75,-9999.0
     -10.5,       132,-9999.0
     -10.5,    132.25,-9999.0
     -10.5,     132.5,-9999.0
     -10.5,    132.75,-9999.0
     -10.5,       133,-9999.0
     -10.5,    133.25,-9999.0
     -10.5,     133.5,-9999.0
     -10.5,    133.75,-9999.0
     -10.5,       134,-9999.0
     -10.5,    134.25,-9999.0
     -10.5,     134.5,-9999.0
     -10.5,    134.75,-9999.0
     -10.5,       135,-9999.0
     -10.5,    135.25,-9999.0
     -10.5,     135.5,-9999.0
     -10.5,    135.75,-9999.0
     -10.5,       136,-9999.0
     -10.5,    136.25,-9999.0
     -10.5,     136.5,-9999.0
     -10.5,    136.75,-9999.0
     -10.5,       137,-9999.0
     -10.5,    137.25,-9999.0
     -10.5,     137.5,-9999.0
     -10.5,    137.75,-9999.0
     -10.5,       138,-9999.0
     -10.5,    138.25,-9999.0
     -10.5,     138.5,-9999.0
     -10.5,    138.75,-9999.0
     -10.5,       139,-9999.0
     -10.5,    139.25,-9999.0
     -10.5,     139.5,-9999.0
     -10.5,    139.75,-9999.0
     -10.5,       140,-9999.0
     -10.5,    140.25,-9999.0
     -10.5,     140.5,-9999.0
     -10.5,    140.75,-9999.0
     -10.5,       141,-9999.0
     -10.5,    141.25,-9999.0
     -10.5,     141.5,-9999.0
     -10.5,    141.75,-9999.0
     -10.5,       142,-9999.0
     -10.5,    142.25, 0.4
     -10.5,     142.5,-9999.0
     -10.5,    142.75,-9999.0
     -10.5,       143,-9999.0
     -10.5,    143.25,-9999.0
     -10.5,     143.5,-9999.0
     -10.5,    143.75,-9999.0
     -10.5,       144,-9999.0
     -10.5,    144.25,-9999.0
     -10.5,     144.5,-9999.0
     -10.5,    144.75,-9999.0
     -10.5,       145,-9999.0
     -10.5,    145.25,-9999.0
     -10.5,     145.5,-9999.0
     -10.5,    145.75,-9999.0
     -10.5,       146,-9999.0
     -10.5,    146.25,-9999.0
     -10.5,     146.5,-9999.0
     -10.5,    146.75,-9999.0
     -10.5,       147,-9999.0
     -10.5,    147.25,-9999.0
     -10.5,     147.5,-9999.0
     -10.5,    147.75,-9999.0
     -10.5,       148,-9999.0
     -10.5,    148.25,-9999.0
     -10.5,     148.5,-9999.0
     -10.5,    148.75,-9999.0
     -10.5,       149,-9999.0
     -10.5,    149.25,-9999.0
     -10.5,     149.5,-9999.0
     -10.5,    149.75,-9999.0
     -10.5,       150,-9999.0
     -10.5,    150.25,-9999.0
     -10.5,     150.5,-9999.0
     -10.5,    150.75,-9999.0
     -10.5,       151,-9999.0
     -10.5,    151.25,-9999.0
     -10.5,     151.5,-9999.0
     -10.5,    151.75,-9999.0
     -10.5,       152,-9999.0
     -10.5,    152.25,-9999.0
     -10.5,     152.5,-9999.0
     -10.5,    152.75,-9999.0
     -10.5,       153,-9999.0
     -10.5,    153.25,-9999.0
     -10.5,     153.5,-9999.0
     -10.5,    153.75,-9999.0
     -10.5,       154,-9999.0
    -10.75,       112,-9999.0
    -10.75,    112.25,-9999.0
    -10.75,     112.5,-9999.0
    -10.75,    112.75,-9999.0
    -10.75,       113,-9999.0
    -10.75,    113.25,-9999.0
    -10.75,     113.5,-9999.0
    -10.75,    113.75,-9999.0
    -10.75,       114,-9999.0
    -10.75,    114.25,-9999.0
    -10.75,     114.5,-9999.0
    -10.75,    114.75,-9999.0
    -10.75,       115,-9999.0
    -10.75,    115.25,-9999.0
    -10.75,     115.5,-9999.0
    -10.75,    115.75,-9999.0
    -10.75,       116,-9999.0
    -10.75,    116.25,-9999.0
    -10.75,     116.5,-9999.0
    -10.75,    116.75,-9999.0
    -10.75,       117,-9999.0
    -10.75,    117.25,-9999.0
    -10.75,     117.5,-9999.0
    -10.75,    117.75,-9999.0
    -10.75,       118,-9999.0
    -10.75,    118.25,-9999.0
    -10.75,     118.5,-9999.0
    -10.75,    118.75,-9999.0
    -10.75,       119,-9999.0
    -10.75,    119.25,-9999.0
    -10.75,     119.5,-9999.0
    -10.75,    119.75,-9999.0
    -10.75,       120,-9999.0
    -10.75,    120.25,-9999.0
    -10.75,     120.5,-9999.0
    -10.75,    120.75,-9999.0
    -10.75,       121,-9999.0
    -10.75,    121.25,-9999.0
    -10.75,     121.5,-9999.0
    -10.75,    121.75,-9999.0
    -10.75,       122,-9999.0
    -10.75,    122.25,-9999.0
    -10.75,     122.5,-9999.0
    -10.75,    122.75,-9999.0
    -10.75,       123,-9999.0
    -10.75,    123.25,-9999.0
    -10.75,     123.5,-9999.0
    -10.75,    123.75,-9999.0
    -10.75,       124,-9999.0
    -10.75,    124.25,-9999.0
    -10.75,     124.5,-9999.0
    -10.75,    124.75,-9999.0
    -10.75,       125,-9999.0
    -10.75,    125.25,-9999.0
    -10.75,     125.5,-9999.0
    -10.75,    125.75,-9999.0
    -10.75,       126,-9999.0
    -10.75,    126.25,-9999.0
    -10.75,     126.5,-9999.0
    -10.75,    126.75,-9999.0
    -10.75,       127,-9999.0
    -10.75,    127.25,-9999.0
    -10.75,     127.5,-9999.0
    -10.75,    127.75,-9999.0
    -10.75,       128,-9999.0
    -10.75,    128.25,-9999.0
    -10.75,     128.5,-9999.0
    -10.75,    128.75,-9999.0
    -10.75,       129,-9999.0
    -10.75,    129.25,-9999.0
    -10.75,     129.5,-9999.0
    -10.75,    129.75,-9999.0
    -10.75,       130,-9999.0
    -10.75,    130.25,-9999.0
    -10.75,     130.5,-9999.0
    -10.75,    130.75,-9999.0
    -10.75,       131,-9999.0
    -10.75,    131.25,-9999.0
    -10.75,     131.5,-9999.0
    -10.75,    131.75,-9999.0
    -10.75,       132,-9999.0
    -10.75,    132.25,-9999.0
    -10.75,     132.5,-9999.0
    -10.75,    132.75,-9999.0
    -10.75,       133,-9999.0
    -10.75,    133.25,-9999.0
    -10.75,     133.5,-9999.0
    -10.75,    133.75,-9999.0
    -10.75,       134,-9999.0
    -10.75,    134.25,-9999.0
    -10.75,     134.5,-9999.0
    -10.75,    134.75,-9999.0
    -10.75,       135,-9999.0
    -10.75,    135.25,-9999.0
    -10.75,     135.5,-9999.0
    -10.75,    135.75,-9999.0
    -10.75,       136,-9999.0
    -10.75,    136.25,-9999.0
    -10.75,     136.5,-9999.0
    -10.75,    136.75,-9999.0
    -10.75,       137,-9999.0
    -10.75,    137.25,-9999.0
    -10.75,     137.5,-9999.0
    -10.75,    137.75,-9999.0
    -10.75,       138,-9999.0
    -10.75,    138.25,-9999.0
    -10.75,     138.5,-9999.0
    -10.75,    138.75,-9999.0
    -10.75,       139,-9999.0
    -10.75,    139.25,-9999.0
    -10.75,     139.5,-9999.0
    -10.75,    139.75,-9999.0
    -10.75,       140,-9999.0
    -10.75,    140.25,-9999.0
    -10.75,     140.5,-9999.0
    -10.75,    140.75,-9999.0
    -10.75,       141,-9999.0
    -10.75,    141.25,-9999.0
    -10.75,     141.5,-9999.0
    -10.75,    141.75,-9999.0
    -10.75,       142,-9999.0
    -10.75,    142.25,-9999.0
    -10.75,     142.5, 0.6
    -10.75,    142.75,-9999.0
    -10.75,       143,-9999.0
    -10.75,    143.25,-9999.0
    -10.75,     143.5,-9999.0
    -10.75,    143.75,-9999.0
    -10.75,       144,-9999.0
    -10.75,    144.25,-9999.0
    -10.75,     144.5,-9999.0
    -10.75,    144.75,-9999.0
    -10.75,       145,-9999.0
    -10.75,    145.25,-9999.0
    -10.75,     145.5,-9999.0
    -10.75,    145.75,-9999.0
    -10.75,       146,-9999.0
    -10.75,    146.25,-9999.0
    -10.75,     146.5,-9999.0
    -10.75,    146.75,-9999.0
    -10.75,       147,-9999.0
    -10.75,    147.25,-9999.0
    -10.75,     147.5,-9999.0
    -10.75,    147.75,-9999.0
    -10.75,       148,-9999.0
    -10.75,    148.25,-9999.0
    -10.75,     148.5,-9999.0
    -10.75,    148.75,-9999.0
    -10.75,       149,-9999.0
    -10.75,    149.25,-9999.0
    -10.75,     149.5,-9999.0
    -10.75,    149.75,-9999.0
    -10.75,       150,-9999.0
    -10.75,    150.25,-9999.0
    -10.75,     150.5,-9999.0
    -10.75,    150.75,-9999.0
    -10.75,       151,-9999.0
    -10.75,    151.25,-9999.0
    -10.75,     151.5,-9999.0
    -10.75,    151.75,-9999.0
    -10.75,       152,-9999.0
    -10.75,    152.25,-9999.0
    -10.75,     152.5,-9999.0
    -10.75,    152.75,-9999.0
    -10.75,       153,-9999.0
    -10.75,    153.25,-9999.0
    -10.75,     153.5,-9999.0
    -10.75,    153.75,-9999.0
    -10.75,       154,-9999.0
       -11,       112,-9999.0
       -11,    112.25,-9999.0
       -11,     112.5,-9999.0
       -11,    112.75,-9999.0
       -11,       113,-9999.0
       -11,    113.25,-9999.0
       -11,     113.5,-9999.0
       -11,    113.75,-9999.0
       -11,       114,-9999.0
       -11,    114.25,-9999.0
       -11,     114.5,-9999.0
       -11,    114.75,-9999.0
       -11,       115,-9999.0
       -11,    115.25,-9999.0
       -11,     115.5,-9999.0
       -11,    115.75,-9999.0
       -11,       116,-9999.0
       -11,    116.25,-9999.0
       -11,     116.5,-9999.0
       -11,    116.75,-9999.0
       -11,       117,-9999.0
       -11,    117.25,-9999.0
       -11,     117.5,-9999.0
       -11,    117.75,-9999.0
       -11,       118,-9999.0
       -11,    118.25,-9999.0
       -11,     118.5,-9999.0
       -11,    118.75,-9999.0
       -11,       119,-9999.0
       -11,    119.25,-9999.0
       -11,     119.5,-9999.0
       -11,    119.75,-9999.0
       -11,       120,-9999.0
       -11,    120.25,-9999.0
       -11,     120.5,-9999.0
       -11,    120.75,-9999.0
       -11,       121,-9999.0
       -11,    121.25,-9999.0
       -11,     121.5,-9999.0
       -11,    121.75,-9999.0
       -11,       122,-9999.0
       -11,    122.25,-9999.0
       -11,     122.5,-9999.0
       -11,    122.75,-9999.0
       -11,       123,-9999.0
       -11,    123.25,-9999.0
       -11,     123.5,-9999.0
       -11,    123.75,-9999.0
       -11,       124,-9999.0
       -11,    124.25,-9999.0
       -11,     124.5,-9999.0
       -11,    124.75,-9999.0
       -11,       125,-9999.0
       -11,    125.25,-9999.0
       -11,     125.5,-9999.0
       -11,    125.75,-9999.0
       -11,       126,-9999.0
       -11,    126.25,-9999.0
       -11,     126.5,-9999.0
       -11,    126.75,-9999.0
       -11,       127,-9999.0
       -11,    127.25,-9999.0
       -11,     127.5,-9999.0
       -11,    127.75,-9999.0
       -11,       128,-9999.0
       -11,    128.25,-9999.0
       -11,     128.5,-9999.0
       -11,    128.75,-9999.0
       -11,       129,-9999.0
       -11,    129.25,-9999.0
       -11,     129.5,-9999.0
       -11,    129.75,-9999.0
       -11,       130,-9999.0
       -11,    130.25,-9999.0
       -11,     130.5,-9999.0
       -11,    130.75,-9999.0
       -11,       131,-9999.0
       -11,    131.25,-9999.0
       -11,     131.5,-9999.0
       -11,    131.75,-9999.0
       -11,       132,-9999.0
       -11,    132.25,-9999.0
       -11,     132.5,-9999.0
       -11,    132.75,-9999.0
       -11,       133,-9999.0
       -11,    133.25,-9999.0
       -11,     133.5,-9999.0
       -11,    133.75,-9999.0
       -11,       134,-9999.0
       -11,    134.25,-9999.0
       -11,     134.5,-9999.0
       -11,    134.75,-9999.0
       -11,       135,-9999.0
       -11,    135.25,-9999.0
       -11,     135.5,-9999.0
       -11,    135.75,-9999.0
       -11,       136,-9999.0
       -11,    136.25,-9999.0
       -11,     136.5,-9999.0
       -11,    136.75,-0.5
       -11,       137,-9999.0
       -11,    137.25,-9999.0
       -11,     137.5,-9999.0
       -11,    137.75,-9999.0
       -11,       138,-9999.0
       -11,    138.25,-9999.0
       -11,     138.5,-9999.0
       -11,    138.75,-9999.0
       -11,       139,-9999.0
       -11,    139.25,-9999.0
       -11,     139.5,-9999.0
       -11,    139.75,-9999.0
       -11,       140,-9999.0
       -11,    140.25,-9999.0
       -11,     140.5,-9999.0
       -11,    140.75,-9999.0
       -11,       141,-9999.0
       -11,    141.25,-9999.0
       -11,     141.5,-9999.0
       -11,    141.75,-9999.0
       -11,       142,-9999.0
       -11,    142.25, 0.2
       -11,     142.5, 0.5
       -11,    142.75, 0.5
       -11,       143,-9999.0
       -11,    143.25,-9999.0
       -11,     143.5,-9999.0
       -11,    143.75,-9999.0
       -11,       144,-9999.0
       -11,    144.25,-9999.0
       -11,     144.5,-9999.0
       -11,    144.75,-9999.0
       -11,       145,-9999.0
       -11,    145.25,-9999.0
       -11,     145.5,-9999.0
       -11,    145.75,-9999.0
       -11,       146,-9999.0
       -11,    146.25,-9999.0
       -11,     146.5,-9999.0
       -11,    146.75,-9999.0
       -11,       147,-9999.0
       -11,    147.25,-9999.0
       -11,     147.5,-9999.0
       -11,    147.75,-9999.0
       -11,       148,-9999.0
       -11,    148.25,-9999.0
       -11,     148.5,-9999.0
       -11,    148.75,-9999.0
       -11,       149,-9999.0
       -11,    149.25,-9999.0
       -11,     149.5,-9999.0
       -11,    149.75,-9999.0
       -11,       150,-9999.0
       -11,    150.25,-9999.0
       -11,     150.5,-9999.0
       -11,    150.75,-9999.0
       -11,       151,-9999.0
       -11,    151.25,-9999.0
       -11,     151.5,-9999.0
       -11,    151.75,-9999.0
       -11,       152,-9999.0
       -11,    152.25,-9999.0
       -11,     152.5,-9999.0
       -11,    152.75,-9999.0
       -11,       153,-9999.0
       -11,    153.25,-9999.0
       -11,     153.5,-9999.0
       -11,    153.75,-9999.0
       -11,       154,-9999.0
    -11.25,       112,-9999.0
    -11.25,    112.25,-9999.0
    -11.25,     112.5,-9999.0
    -11.25,    112.75,-9999.0
    -11.25,       113,-9999.0
    -11.25,    113.25,-9999.0
    -11.25,     113.5,-9999.0
    -11.25,    113.75,-9999.0
    -11.25,       114,-9999.0
    -11.25,    114.25,-9999.0
    -11.25,     114.5,-9999.0
    -11.25,    114.75,-9999.0
    -11.25,       115,-9999.0
    -11.25,    115.25,-9999.0
    -11.25,     115.5,-9999.0
    -11.25,    115.75,-9999.0
    -11.25,       116,-9999.0
    -11.25,    116.25,-9999.0
    -11.25,     116.5,-9999.0
    -11.25,    116.75,-9999.0
    -11.25,       117,-9999.0
    -11.25,    117.25,-9999.0
