Summary_file = intercropping.sum
Title = Canopy Sample Simulation
       day      year stage_sunflower  lai_sunflower biom_sunflower   stage_cowpea     lai_cowpea    biom_cowpea       sw_dep()
     (day)    (year)              ()      (m^2/m^2)        (kg/ha)             ()      (m^2/m^2)        (kg/ha)           (mm)
        55      1988           5.221          1.598       2160.919          4.000          1.561        972.977        760.896
        56      1988           5.245          1.623       2236.071          4.839          1.595        997.627        754.463
        57      1988           5.270          1.650       2278.308          5.000          1.614       1011.775        751.209
        58      1988           5.295          1.675       2308.442          6.000          1.621       1021.409        749.244
        59      1988           5.321          1.702       2359.980          6.184          1.633       1036.769        747.150
        60      1988           5.348          1.730       2418.667          6.332          1.646       1053.560        743.209
        61      1988           5.371          1.752       2445.515          6.449          1.650       1060.966        751.681
        62      1988           5.394          1.774       2488.404          6.559          1.659       1071.981        769.790
        63      1988           5.416          1.796       2524.107          6.671          1.661       1080.747        773.557
        64      1988           5.442          1.821       2595.508          6.810          1.666       1097.414        775.716
        65      1988           5.468          1.843       2674.770          6.959          1.672       1115.563        770.372
        66      1988           5.493          1.864       2739.650          7.000          1.659       1130.247        766.830
        67      1988           5.517          1.882       2808.212          7.080          1.648       1145.188        789.851
        68      1988           5.541          1.899       2890.152          7.121          1.635       1162.608        785.026
        69      1988           5.563          1.914       2969.761          7.161          1.620       1179.140        780.355
        70      1988           5.587          1.929       3053.600          7.208          1.603       1196.111        774.923
        71      1988           5.611          1.943       3141.426          7.257          1.585       1213.310        768.934
        72      1988           5.632          1.955       3233.990          7.312          1.565       1230.930        760.849
        73      1988           5.655          1.966       3311.620          7.352          1.548       1245.275        757.883
        74      1988           5.673          1.975       3404.879          7.381          1.316       1258.767        752.226
        75      1988           5.693          1.986       3509.065          7.413          1.316       1271.590        746.111
        76      1988           5.716          1.998       3611.983          7.451          1.316       1284.710        740.150
        77      1988           5.742          2.010       3712.343          7.495          1.316       1296.915        735.680
        78      1988           5.766          2.021       3817.384          7.533          1.316       1309.226        731.055
        79      1988           5.790          2.030       3924.488          7.570          1.316       1321.430        726.255
        80      1988           5.814          2.039       4030.413          7.606          1.316       1333.233        721.760
        81      1988           5.838          2.046       4136.354          7.642          1.316       1344.767        717.108
        82      1988           5.863          2.053       4241.855          7.681          1.299       1356.005        712.829
        83      1988           5.889          2.058       4349.786          7.718          1.261       1367.123        707.879
        84      1988           5.915          2.063       4456.600          7.759          1.220       1377.685        703.461
        85      1988           5.942          2.066       4564.020          7.798          1.181       1387.802        698.745
        86      1988           5.968          2.069       4652.880          7.837          1.140       1395.787        698.098
        87      1988           5.993          2.070       4766.572          7.871          1.093       1404.967        692.807
        88      1988           6.000          2.062       4879.288          7.906          1.043       1413.861        687.817
        89      1988           7.000          2.053       4996.655          7.943          0.991       1422.904        682.254
        90      1988           7.536          2.038       5113.582          7.982          0.936       1431.533        676.652
        91      1988           7.753          2.022       5227.944          8.000          0.878       1434.787        671.524
        92      1988           7.935          2.008       5280.931          8.739          0.836       1435.954        670.746
        93      1988           8.000          1.988       5340.827          9.000          0.770       1437.747        705.075
        94      1988           8.067          1.966       5407.227         12.000          0.020          0.000        720.248
        95      1988           8.104          1.944       5458.414         12.000          0.000          0.000        736.265
        96      1988           8.142          1.920       5526.241         12.000          0.000          0.000        759.209
        97      1988           8.176          1.898       5566.243         12.000          0.000          0.000        764.739
        98      1988           8.215          1.869       5644.574         12.000          0.000          0.000        783.027
        99      1988           8.256          1.836       5718.854         12.000          0.000          0.000        780.003
       100      1988           8.297          1.800       5772.354         12.000          0.000          0.000        783.309
       101      1988           8.334          1.765       5829.223         12.000          0.000          0.000        781.978
       102      1988           8.367          1.735       5900.439         12.000          0.000          0.000        779.788
       103      1988           8.395          1.707       5928.844         12.000          0.000          0.000        800.163
       104      1988           8.429          1.670       5988.457         12.000          0.000          0.000        815.826
       105      1988           8.466          1.627       6054.830         12.000          0.000          0.000        815.331
       106      1988           8.503          1.580       6143.773         12.000          0.000          0.000        811.366
       107      1988           8.539          1.531       6232.763         12.000          0.000          0.000        807.048
       108      1988           8.573          1.482       6316.908         12.000          0.000          0.000        803.071
       109      1988           8.606          1.434       6388.341         12.000          0.000          0.000        800.017
       110      1988           8.639          1.382       6462.682         12.000          0.000          0.000        796.660
       111      1988           8.669          1.332       6510.662         12.000          0.000          0.000        796.821
       112      1988           8.703          1.270       6557.013         12.000          0.000          0.000        794.800
       113      1988           8.737          1.203       6633.639         12.000          0.000          0.000        790.363
       114      1988           8.772          1.130       6701.886         12.000          0.000          0.000        786.625
       115      1988           8.807          1.053       6780.387         12.000          0.000          0.000        781.251
       116      1988           8.843          0.968       6841.215         12.000          0.000          0.000        777.939
       117      1988           8.877          0.880       6911.366         12.000          0.000          0.000        773.360
       118      1988           8.911          0.791       6979.103         12.000          0.000          0.000        768.916
       119      1988           8.944          0.697       7041.508         12.000          0.000          0.000        764.428
       120      1988           8.975          0.604       7072.611         12.000          0.000          0.000        762.422
       121      1988           9.000          0.508       7096.972         12.000          0.000          0.000        766.011
       122      1988           9.676          0.383       7137.740         12.000          0.000          0.000        763.153
       123      1988          10.000          0.247       7177.535         12.000          0.000          0.000        760.697
