APSIM output file, version = 5.3
Title = p0N175
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1972             92     01/04/1972        986.400              86.706            399.509          5.163          2.341          1.853          1.876          1.083          1.105          1.089          1.078          1.075          1.070          0.000          0.025        109.359          0.705          1.225         28.229         78.419       1282.311         431.819          0.298          0.303          0.306          0.306          0.306          0.306          0.306          0.306          0.306          0.306        519.067        131.067          0.000          0.000                 0.372                 0.370                 0.832             32       1204.805       4352.791          0.310          7.166       1700.000         63.604          1.991          2.633          3.512         11.232         15.086         17.105         17.276         15.911         13.616         10.997         37.613        127.718              ?              ?              ?
           1973            111     21/04/1973        563.000              12.815            196.962          5.430          2.522          1.943          1.944          1.146          1.151          1.119          1.102          1.095          1.088          0.000          0.022        157.221          0.584          1.164         26.439         82.718       1281.764         354.921          0.194          0.264          0.277          0.288          0.295          0.300          0.300          0.300          0.300          0.300        490.018        102.663          0.143          0.143                 0.361                 0.382                 0.802             55       1094.872       3350.700          0.250          5.541       1700.000         52.591         22.064         19.011         21.038         37.236         26.434         15.568          8.146          4.132          2.236          1.357         37.554         44.234              ?              ?              ?
           1974            110     20/04/1974       1186.800              73.166            600.433          4.874          2.243          1.791          1.831          1.078          1.117          1.091          1.081          1.078          1.073          0.000          0.024         96.602          0.495          1.104         25.290         71.343       1279.108         480.830          0.194          0.268          0.280          0.289          0.295          0.298          0.300          0.300          0.300          0.300        490.469        103.066          0.000          0.000                 0.420                 0.429                 0.818             47       1535.533       4446.482          0.363          6.697       1700.000         63.820          7.226          3.370          2.915          7.643         10.823         12.924         13.832         13.629         12.732         11.507         37.650        136.723              ?              ?              ?
           1975             93     03/04/1975       1165.200             155.598            542.068          5.170          2.290          1.817          1.869          1.097          1.125          1.091          1.077          1.073          1.068          0.000          0.028        113.509          0.496          1.124         28.092         75.695       1277.900         446.394          0.183          0.263          0.277          0.288          0.294          0.298          0.300          0.300          0.300          0.300        488.374        102.073          0.000          0.000                 0.402                 0.399                 0.821             34       1336.616       3922.159          0.311          6.069       1700.000         59.281          4.447          2.968          3.645         12.916         17.556         18.692         17.053         14.435         11.934          9.862         37.591        124.881              ?              ?              ?
           1976            108     17/04/1976        801.900              36.909            295.623          5.301          2.268          1.826          1.865          1.097          1.131          1.099          1.084          1.079          1.074          0.000          0.021        140.369          0.535          0.866         21.767         68.326       1275.150         431.447          0.215          0.283          0.291          0.297          0.299          0.300          0.300          0.300          0.300          0.300        498.303        110.303          0.000          0.000                 0.371                 0.368                 0.831             47       1402.227       4399.964          0.352          6.875       1700.000         65.099         10.045         10.377         13.878         31.357         25.896         18.433         12.442          8.396          5.687          3.859         37.600         70.991              ?              ?              ?
           1977            114     24/04/1977       1122.500             131.949            520.056          5.408          2.318          1.857          1.881          1.118          1.140          1.114          1.092          1.086          1.080          0.000          0.021         94.639          0.480          0.773         19.977         72.003       1273.645         454.757          0.188          0.264          0.276          0.286          0.292          0.296          0.299          0.300          0.300          0.300        487.398        100.617          0.000          0.000                 0.368                 0.366                 0.844             52       1647.641       4406.689          0.373          6.543       1700.000         61.377          5.299          2.033          1.965          5.505          8.397         11.543         14.126         15.544         15.631         14.596         37.570        147.821              ?              ?              ?
           1978             97     07/04/1978       1159.600              84.982            595.849          5.074          2.285          1.836          1.885          1.092          1.119          1.093          1.079          1.075          1.070          0.000          0.020         81.806          0.583          0.757         19.965         58.793       1269.123         438.432          0.227          0.287          0.294          0.299          0.300          0.300          0.300          0.301          0.301          0.301        501.432        113.432          0.000          0.000                 0.374                 0.371                 0.845             41       1542.124       4469.824          0.376          6.765       1700.000         68.348          3.512          1.692          1.277          3.659          6.368          9.606         12.379         14.172         14.792         14.349         37.760        144.503              ?              ?              ?
           1979            123     03/05/1979        678.800              21.293            221.874          4.630          2.379          1.850          1.877          1.111          1.147          1.114          1.091          1.085          1.079          0.000          0.028        144.743          0.411          1.096         28.163         72.537       1268.378         408.169          0.194          0.263          0.276          0.287          0.294          0.299          0.300          0.300          0.300          0.300        489.226        101.873          0.019          0.019                 0.379                 0.376                 0.810             62       1136.592       3554.343          0.268          5.825       1700.000         52.291         25.809         19.021         19.791         32.072         20.896         12.009          6.819          4.045          2.562          1.719         37.677         34.536              ?              ?              ?
           1980             94     03/04/1980        669.900              26.122            281.142          4.143          2.341          1.841          1.859          1.082          1.114          1.089          1.075          1.070          1.065          0.000          0.034        146.743          0.478          1.970         43.008         69.007       1266.217         353.767          0.189          0.264          0.277          0.288          0.294          0.299          0.300          0.300          0.300          0.300        489.042        102.112          0.023          0.023                 0.420                 0.417                 0.783             38       1037.766       3418.272          0.254          5.614       1700.000         54.747         22.517         19.405         19.648         28.286         18.437         12.618          9.500          7.226          5.325          3.782         37.684         53.439              ?              ?              ?
           1981             90     31/03/1981       1078.200              93.349            517.723          5.062          2.233          1.796          1.847          1.073          1.106          1.083          1.070          1.065          1.061          0.000          0.020         90.543          0.664          0.897         20.813         66.047       1263.706         427.772          0.273          0.294          0.299          0.301          0.302          0.302          0.303          0.304          0.304          0.305        510.828        122.828          0.000          0.000                 0.376                 0.373                 0.845             32       1564.214       4000.283          0.364          5.954       1700.000         57.634          2.126          1.712          1.702          4.134          6.536         10.187         13.875         16.457         17.318         16.498         37.554        142.733              ?              ?              ?
