Summary_file = step8.sum
Title = Step 8. swim
           date  transpiration
      7/08/1977          0.000
      8/08/1977          0.000
      9/08/1977          0.000
     10/08/1977          0.000
     11/08/1977          0.000
     12/08/1977          0.000
     13/08/1977          0.000
     14/08/1977          0.000
     15/08/1977          0.000
     16/08/1977          0.000
     17/08/1977          0.000
     18/08/1977          0.000
     19/08/1977          0.000
     20/08/1977          0.000
     21/08/1977          0.000
     22/08/1977          0.000
     23/08/1977          0.000
     24/08/1977          0.000
     25/08/1977          0.000
     26/08/1977          0.000
     27/08/1977          0.000
     28/08/1977          0.000
     29/08/1977          0.000
     30/08/1977          0.000
     31/08/1977          0.000
      1/09/1977          0.000
      2/09/1977          0.000
      3/09/1977          0.000
      4/09/1977          0.000
      5/09/1977          0.000
      6/09/1977          0.000
      7/09/1977          0.000
      8/09/1977          0.000
      9/09/1977          0.000
     10/09/1977          0.000
     11/09/1977          0.000
     12/09/1977          0.000
     13/09/1977          0.000
     14/09/1977          0.000
     15/09/1977          0.000
     16/09/1977          0.000
     17/09/1977          0.000
     18/09/1977          0.000
     19/09/1977          0.000
     20/09/1977          0.000
     21/09/1977          0.000
     22/09/1977          0.000
     23/09/1977          0.000
     24/09/1977          0.000
     25/09/1977          0.000
     26/09/1977          0.000
     27/09/1977          0.000
     28/09/1977          0.000
     29/09/1977          0.000
     30/09/1977          0.000
      1/10/1977          0.000
      2/10/1977          0.000
      3/10/1977          0.000
      4/10/1977          0.000
      5/10/1977          0.000
      6/10/1977          0.000
      7/10/1977          0.000
      8/10/1977          0.000
      9/10/1977          0.000
     10/10/1977          0.000
     11/10/1977          0.000
     12/10/1977          0.000
     13/10/1977          0.000
     14/10/1977          0.000
     15/10/1977          0.000
     16/10/1977          0.000
     17/10/1977          0.000
     18/10/1977          0.000
     19/10/1977          0.000
     20/10/1977          0.000
     21/10/1977          0.000
     22/10/1977          0.000
     23/10/1977          0.000
     24/10/1977          0.001
     25/10/1977          0.002
     26/10/1977          0.002
     27/10/1977          0.002
     28/10/1977          0.002
     29/10/1977          0.003
     30/10/1977          0.003
     31/10/1977          0.003
      1/11/1977          0.003
      2/11/1977          0.003
      3/11/1977          0.003
      4/11/1977          0.004
      5/11/1977          0.006
      6/11/1977          0.008
      7/11/1977          0.005
      8/11/1977          0.007
      9/11/1977          0.018
     10/11/1977          0.018
     11/11/1977          0.019
     12/11/1977          0.015
     13/11/1977          0.018
     14/11/1977          0.011
     15/11/1977          0.013
     16/11/1977          0.024
     17/11/1977          0.030
     18/11/1977          0.016
