Summary_file = canopy.sum
Title = Canopy Sample Simulation
       day      year       sw_dep()      lai_maize     biom_maize     lai_cowpea    biom_cowpea
     (day)    (year)           (mm)      (m^2/m^2)        (kg/ha)      (m^2/m^2)        (kg/ha)
       233      1988        766.466          0.000          0.000          0.000          0.000
       234      1988        766.159          0.000          0.000          0.000          0.000
       235      1988        765.867          0.000          0.000          0.000          0.000
       236      1988        785.223          0.000          0.000          0.000          0.000
       237      1988        783.836          0.000          0.000          0.000          0.000
       238      1988        781.335          0.000          0.000          0.000          0.000
       239      1988        780.254          0.000          0.000          0.000          0.000
       240      1988        779.412          0.000          0.000          0.000          0.000
       241      1988        783.029          0.000          0.000          0.000          0.000
       242      1988        780.432          0.000          0.000          0.000          0.000
       243      1988        779.497          0.000          0.000          0.000          0.000
       244      1988        778.701          0.000          0.000          0.000          0.000
       245      1988        777.982          0.000          0.000          0.000          0.000
       246      1988        777.310          0.000          0.000          0.000          0.000
       247      1988        776.669          0.000          0.000          0.000          0.000
       248      1988        776.051          0.000          0.000          0.000          0.000
       249      1988        775.450          0.000          0.000          0.000          0.000
       250      1988        774.862          0.000          0.000          0.000          0.000
       251      1988        780.054          0.000          0.000          0.000          0.000
       252      1988        777.626          0.000          0.000          0.000          0.000
       253      1988        776.804          0.000          0.000          0.000          0.000
       254      1988        776.049          0.000          0.000          0.000          0.000
       255      1988        775.346          0.000          0.000          0.000          0.000
       256      1988        784.459          0.000          0.000          0.000          0.000
       257      1988        791.277          0.000          0.000          0.000          0.000
       258      1988        789.753          0.000          0.000          0.000          0.000
       259      1988        797.251          0.000          0.000          0.000          0.000
       260      1988        795.320          0.000          0.000          0.000          0.000
       261      1988        793.640          0.000          0.000          0.000          0.000
       262      1988        792.444          0.000          0.000          0.000          0.000
       263      1988        791.391          0.000          0.000          0.000          0.000
       264      1988        790.393          0.000          0.000          0.000          0.000
       265      1988        789.412          0.000          0.000          0.000          0.000
       266      1988        788.427          0.000          0.000          0.000          0.000
       267      1988        787.430          0.000          0.000          0.000          0.000
       268      1988        786.416          0.000          0.000          0.000          0.000
       269      1988        785.386          0.000          0.000          0.000          0.000
       270      1988        784.346          0.000          0.000          0.000          0.000
       271      1988        783.300          0.000          0.000          0.000          0.000
       272      1988        784.507          0.000          0.000          0.000          0.000
       273      1988        783.356          0.000          0.000          0.000          0.000
       274      1988        782.236          0.000          0.000          0.000          0.000
       275      1988        781.150          0.000          0.000          0.000          0.000
       276      1988        780.101          0.000          0.000          0.000          0.000
       277      1988        779.091          0.000          0.000          0.000          0.000
       278      1988        778.124          0.000          0.000          0.000          0.000
       279      1988        777.201          0.000          0.000          0.000          0.000
       280      1988        776.322          0.000          0.000          0.000          0.000
       281      1988        775.490          0.000          0.000          0.000          0.000
       282      1988        774.702          0.000          0.000          0.000          0.000
       283      1988        773.960          0.000          0.000          0.000          0.000
       284      1988        773.262          0.000          0.000          0.000          0.000
       285      1988        772.606          0.000          0.000          0.000          0.000
       286      1988        771.990          0.000          0.000          0.000          0.000
       287      1988        771.413          0.000          0.000          0.000          0.000
       288      1988        770.872          0.000          0.000          0.000          0.000
       289      1988        770.365          0.000          0.000          0.000          0.000
       290      1988        769.889          0.000          0.000          0.000          0.000
       291      1988        769.442          0.000          0.000          0.000          0.000
       292      1988        769.023          0.000          0.000          0.000          0.000
       293      1988        768.628          0.000          0.000          0.000          0.000
       294      1988        768.255          0.000          0.000          0.000          0.000
       295      1988        767.903          0.000          0.000          0.000          0.000
       296      1988        767.570          0.000          0.000          0.000          0.000
       297      1988        767.254          0.000          0.000          0.000          0.000
       298      1988        766.952          0.000          0.000          0.000          0.000
       299      1988        766.665          0.000          0.000          0.000          0.000
       300      1988        766.390          0.000          0.000          0.000          0.000
       301      1988        766.126          0.000          0.000          0.000          0.000
       302      1988        765.873          0.000          0.000          0.000          0.000
       303      1988        765.628          0.000          0.000          0.000          0.000
       304      1988        765.392          0.000          0.000          0.000          0.000
       305      1988        765.163          0.000          0.000          0.000          0.000
       306      1988        764.940          0.000          0.000          0.000          0.000
       307      1988        764.724          0.000          0.000          0.000          0.000
       308      1988        764.513          0.000          0.000          0.000          0.000
       309      1988        764.307          0.000          0.000          0.000          0.000
       310      1988        764.106          0.000          0.000          0.000          0.000
       311      1988        763.908          0.000          0.000          0.000          0.000
       312      1988        763.715          0.000          0.000          0.000          0.000
       313      1988        763.524          0.000          0.000          0.000          0.000
       314      1988        763.337          0.000          0.000          0.000          0.000
       315      1988        763.153          0.000          0.000          0.000          0.000
       316      1988        762.972          0.000          0.000          0.000          0.000
       317      1988        762.793          0.000          0.000          0.000          0.000
       318      1988        762.616          0.000          0.000          0.000          0.000
       319      1988        762.442          0.000          0.000          0.000          0.000
       320      1988        762.270          0.000          0.000          0.000          0.000
       321      1988        772.960          0.000          0.000          0.000          0.000
       322      1988        772.568          0.000          0.000          0.000          0.000
       323      1988        772.194          0.000          0.000          0.000          0.000
       324      1988        771.836          0.000          0.000          0.000          0.000
       325      1988        771.492          0.000          0.000          0.000          0.000
       326      1988        771.160          0.000          0.000          0.000          0.000
       327      1988        770.839          0.000          0.000          0.000          0.000
       328      1988        770.529          0.000          0.000          0.000          0.000
       329      1988        770.227          0.000          0.000          0.000          0.000
       330      1988        769.934          0.000          0.000          0.000          0.000
       331      1988        769.649          0.000          0.000          0.000          0.000
       332      1988        769.371          0.000          0.000          0.000          0.000
       333      1988        769.100          0.000          0.000          0.000          0.000
       334      1988        768.835          0.000          0.000          0.000          0.000
       335      1988        768.576          0.000          0.000          0.000          0.000
       336      1988        768.322          0.000          0.000          0.000          0.000
       337      1988        768.073          0.000          0.000          0.000          0.000
       338      1988        767.829          0.000          0.000          0.000          0.000
       339      1988        767.589          0.000          0.000          0.000          0.000
       340      1988        767.354          0.000          0.000          0.000          0.000
       341      1988        767.123          0.000          0.000          0.000          0.000
       342      1988        766.896          0.000          0.000          0.000          0.000
       343      1988        767.720          0.000          0.000          0.000          0.000
       344      1988        767.876          0.000          0.000          0.000          0.000
       345      1988        785.304          0.000          0.000          0.000          0.000
       346      1988        783.742          0.000          0.000          0.000          0.000
       347      1988        793.013          0.000          0.000          0.000          0.000
       348      1988        791.187          0.000          0.000          0.000          0.000
       349      1988        790.134          0.000          0.000          0.000          0.000
       350      1988        789.264          0.000          0.000          0.000          0.000
       351      1988        788.466          0.000          0.000          0.000          0.000
       352      1988        790.561          0.000          0.000          0.000          0.000
       353      1988        800.784          0.000          0.000          0.000          0.000
       354      1988        800.228          0.000          0.000          0.000          0.000
       355      1988        798.306          0.000          0.000          0.000          0.000
       356      1988        796.908          0.000          0.000          0.000          0.000
       357      1988        795.640          0.000          0.000          0.000          0.000
       358      1988        794.415          0.000          0.000          0.000          0.000
       359      1988        793.200          0.000          0.000          0.000          0.000
       360      1988        791.977          0.000          0.000          0.000          0.000
       361      1988        790.744          0.000          0.000          0.000          0.000
       362      1988        795.452          0.000          0.000          0.000          0.000
       363      1988        793.064          0.000          0.000          0.000          0.000
       364      1988        791.250          0.000          0.000          0.000          0.000
       365      1988        789.618          0.000          0.000          0.000          0.000
