Summary_file = sorghum.sum
Title = sorghum Sample Simulation
           year     dd/mm/yyyy            das          stage            lai        biomass          yield      biomass_n    swdef_expan    nfact_expan    swdef_pheno    nfact_pheno   dlt_dm_light   dlt_dm_water         dlt_dm  extinct_coeff
           1990     15/01/1990             76          8.554          1.935       8505.656       2842.591          9.193          1.000          1.000          1.000          1.000         17.059         40.907         17.059              ?
           1990     16/01/1990             77          8.583          1.882       8638.560       3042.710          9.248          1.000          1.000          1.000          1.000         13.290         71.231         13.290              ?
           1990     17/01/1990             78          8.612          1.830       8774.668       3240.967          9.309          1.000          1.000          1.000          1.000         13.611         54.145         13.611              ?
           1990     18/01/1990             79          8.643          1.771       8922.193       3454.067          9.372          1.000          1.000          1.000          1.000         14.753         64.287         14.753              ?
           1990     19/01/1990             80          8.673          1.712       9069.018       3662.943          9.428          1.000          1.000          1.000          1.000         14.682         57.401         14.682              ?
           1990     20/01/1990             81          8.706          1.652       9218.652       3884.775          9.486          1.000          1.000          1.000          1.000         14.963         44.006         14.963              ?
           1990     21/01/1990             82          8.740          1.588       9355.221       4108.440          9.534          1.000          1.000          1.000          1.000         13.657         48.082         13.657              ?
           1990     22/01/1990             83          8.773          1.519       9484.719       4328.471          9.568          1.000          1.000          1.000          1.000         12.950         55.057         12.950              ?
           1990     23/01/1990             84          8.804          1.454       9614.767       4532.170          9.591          1.000          1.000          1.000          1.000         13.005         61.307         13.005              ?
           1990     24/01/1990             85          8.830          1.401       9740.764       4604.896          9.636          1.000          1.000          1.000          1.000         12.600         52.121         12.600              ?
           1990     25/01/1990             86          8.860          1.341       9869.762       4688.045          9.727          1.000          1.000          1.000          1.000         12.900         43.690         12.900              ?
           1990     26/01/1990             87          8.889          1.280       9992.755       4771.415          9.826          1.000          1.000          1.000          1.000         12.299         41.776         12.299              ?
           1990     27/01/1990             88          8.924          1.226      10118.944       4868.975          9.932          1.000          1.000          1.000          1.000         12.619         26.075         12.619              ?
           1990     28/01/1990             89          8.963          1.173      10235.438       4976.735         10.032          1.000          1.000          1.000          1.000         11.649         23.639         11.649              ?
           1990     29/01/1990             90          8.999          1.097      10308.475       5076.956         10.115          1.000          1.000          1.000          1.000          7.303         74.725          7.303              ?
           1990     30/01/1990             91          9.000          1.031      10389.141       5165.204         10.175          1.000          1.000          1.000          1.000          8.067         77.915          8.067              ?
           1990     31/01/1990             92         10.000          0.979      10473.455       5240.591         10.247          1.000          1.000          1.000          0.991          8.431         43.633          8.431              ?
           1990     01/02/1990             93         11.000          0.954      10520.918       5240.591         10.251          1.000          1.000          1.000          1.000          4.746         63.802          4.746              ?
