ApsimVersion = 6.1
Title = stock lablab SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep         height         dlt_dm   dlt_dm_green    RootGreenWt    StemGreenWt    LeafGreenWt dlt_dm_senesced StemSenescedWt LeafSenescedWt dm_feed_on_offer() dm_feed_removed() herbage_trampling
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)                (?)               (?)               (?)
     30/11/1988          0.000             56          3.526          0.470         1347.7            0.0       1070.000          2.389        488.273           4.26           8.51         182.96          61.03          22.73            1.92           0.00          51.00           1514.405           161.448          5117.132
     01/12/1988          0.000             57          3.468          0.321         1230.1            0.0       1090.000          2.350        472.070           4.44           8.88         178.15          59.01          14.36            1.30           0.00          49.64           1392.080           156.869          5137.778
     02/12/1988          0.000             58          3.417          0.222         1118.2            0.0       1110.000          2.313        444.355           4.45           8.91         172.57          55.54           8.91            0.96           0.00          47.37           1274.606           151.507          5155.798
     03/12/1988          4.000             59          3.372          0.136          996.4            0.0       1130.000          1.224        401.846           2.88           5.77         164.95          50.23           5.03            0.88           0.00          44.38           1147.011           145.981          5170.887
     04/12/1988          0.000             60          3.327          0.079          874.2            0.0       1150.000          0.969        348.969           2.11           4.21         156.37          43.62           3.00            0.84           0.00          40.80           1017.445           141.571          5183.095
     05/12/1988          0.000             61          3.284          0.043          759.7            0.0       1170.000          0.562        289.963           1.25           2.49         147.01          36.25           3.00            0.79           0.00          36.73            886.719           138.184          5193.114
     06/12/1988          0.000             62          3.239          0.035          643.7            0.0       1190.000          0.256        231.690           0.62           1.24         137.38          28.96           3.00            0.74           0.00          32.41            765.917           136.504          5201.565
     07/12/1988          0.000             63          3.195          0.035          528.7            0.0       1210.000          0.109        176.196           0.37           0.73         127.85          22.02           3.00            0.69           0.00          27.85            647.328           134.842          5209.334
     08/12/1988          4.800             64          3.149          0.035          417.2            0.0       1230.000          0.080        125.295           0.32           0.64         118.59          15.66           3.00            0.64           0.00          23.06            531.928           132.542          5216.514
     09/12/1988          4.400             65          3.104          0.035          312.7            0.0       1250.000          0.183         81.764           0.44           0.88         109.90          10.22           3.00            0.60           0.00          18.05            421.639           127.696          5223.005
     10/12/1988         40.000             66          3.069          0.035          219.8            0.0       1270.000          0.163         48.158           0.47           0.95         101.99           6.02           3.00            0.55           0.00          12.96            317.417           116.583          5228.180
     11/12/1988          0.000             67          3.046          0.035          149.7            0.0       1290.000          0.222         26.965           0.54           1.08          95.22           3.37           3.00            0.51           0.00           8.60            225.144            93.140          5230.808
     12/12/1988         19.000             68          3.036          0.035          105.2            0.0       1310.000          0.150         15.551           0.44           0.88          89.48           1.94           3.00            0.48           0.00           5.58            154.050            64.795          5227.381
     13/12/1988          0.000             69          3.031          0.035           79.7            0.0       1330.000          0.134          9.860           0.51           1.01          84.82           1.23           3.00            0.45           0.00           3.74            110.281            44.089          5213.769
     14/12/1988          0.000             70          3.029          0.035           64.8            0.0       1350.000          0.183          6.901           0.53           1.05          80.95           0.86           3.00            0.43           0.00           2.62             84.951            31.666          5192.986
     15/12/1988          0.000             71          3.033          0.035           55.5            0.0       1370.000          0.176          5.219           0.49           0.99          77.60           0.65           3.00            0.41           0.00           1.90             69.715            24.422          5167.908
     16/12/1988          0.000             72          3.038          0.035           49.2            0.0       1390.000          0.080          4.048           0.34           0.69          74.50           0.51           3.00            0.39           0.00           1.41             58.961            19.753          5140.333
     17/12/1988          4.800             73          3.039          0.035           44.8            0.0       1410.000          0.024          3.187           0.22           0.44          71.63           0.40           3.00            0.37           0.00           1.08             51.402            16.359          5111.144
     18/12/1988         17.000             74          3.042          0.035           41.9            0.0       1430.000          0.043          2.686           0.24           0.48          69.14           0.34           3.00            0.36           0.00           0.85             47.175            13.906          5080.797
     19/12/1988          5.000             75          3.052          0.035           40.2            0.0       1450.000          0.164          2.688           0.47           0.94          67.21           0.34           3.00            0.35           0.00           0.69             46.576            12.465          5049.651
     20/12/1988          0.000             76          3.058          0.035           38.9            0.0       1470.000          0.199          2.700           0.50           0.99          65.33           0.34           3.00            0.34           0.00           0.56             45.201            12.559          5018.115
     21/12/1988          0.000             77          3.061          0.035           37.9            0.0       1490.000          0.253          2.728           0.52           1.05          63.48           0.34           3.00            0.33           0.00           0.45             44.173            12.691          4986.842
     22/12/1988          0.000             78          3.066          0.035           37.0            0.0       1510.000          0.172          2.714           0.48           0.97          61.70           0.34           3.00            0.32           0.00           0.36             42.713            12.205          4955.844
     23/12/1988          0.000             79          3.065          0.035           36.2            0.0       1530.000          0.209          2.669           0.50           0.99          59.86           0.33           3.00            0.31           0.00           0.29             41.952            12.829          4924.825
     24/12/1988          0.000             80          3.068          0.035           35.6            0.0       1550.000          0.174          2.663           0.49           0.97          58.18           0.33           3.00            0.30           0.00           0.23             41.070            12.076          4894.298
     25/12/1988          0.000             81          3.067          0.035           35.1            0.0       1570.000          0.220          2.645           0.51           1.02          56.48           0.33           3.00            0.29           0.00           0.18             40.755            12.717          4863.617
     26/12/1988          0.000             82          3.066          0.035           34.7            0.0       1590.000          0.218          2.638           0.52           1.04          54.84           0.33           3.00            0.28           0.00           0.14             40.333            12.678          4833.426
     27/12/1988         12.000             83          3.065          0.035           34.2            0.0       1610.000          0.126          2.477           0.41           0.82          53.12           0.31           3.00            0.28           0.00           0.11             38.835            12.561          4803.404
     28/12/1988          0.000             84          3.064          0.035           34.1            0.0       1630.000          0.262          2.573           0.55           1.09          51.69           0.32           3.00            0.27           0.00           0.09             39.711            12.164          4773.511
     29/12/1988          0.000             85          3.064          0.035           33.9            0.0       1650.000          0.203          2.576           0.51           1.03          50.23           0.32           3.00            0.26           0.00           0.07             39.269            12.472          4743.615
     30/12/1988          0.000             86          3.064          0.035           33.7            0.0       1670.000          0.157          2.529           0.48           0.96          48.77           0.32           3.00            0.25           0.00           0.06             38.742            12.458          4714.041
     31/12/1988          0.000             87          3.064          0.035           33.6            0.0       1690.000          0.136          2.490           0.47           0.94          47.37           0.31           3.00            0.25           0.00           0.05             38.458            12.304          4684.635
     01/01/1989          0.000             88          3.063          0.035           33.5            0.0       1710.000          0.172          2.496           0.49           0.99          46.06           0.31           3.00            0.24           0.00           0.04             38.505            12.205          4655.333
     02/01/1989          2.600             89          3.060          0.035           33.2            0.0       1730.000          0.075          2.296           0.34           0.69          44.62           0.29           3.00            0.23           0.00           0.03             36.933            12.088          4626.156
     03/01/1989         10.000             90          3.062          0.035           33.1            0.0       1750.000          0.176          2.308           0.44           0.87          43.41           0.29           3.00            0.23           0.00           0.02             37.529            11.481          4597.098
     04/01/1989          0.000             91          3.063          0.035           33.2            0.0       1770.000          0.226          2.417           0.51           1.02          42.34           0.30           3.00            0.22           0.00           0.02             38.232            11.571          4567.925
     05/01/1989          0.000             92          3.064          0.035           33.3            0.0       1790.000          0.254          2.516           0.54           1.08          41.30           0.31           3.00            0.21           0.00           0.01             38.610            12.010          4538.964
     06/01/1989         20.800             93          3.062          0.035           33.0            0.0       1800.000          0.080          2.299           0.34           0.68          40.02           0.29           3.00            0.21           0.00           0.01             36.708            12.158          4510.378
     07/01/1989          0.200             94          3.063          0.035           33.0            0.0       1800.000          0.158          2.297           0.43           0.86          38.97           0.29           3.00            0.20           0.00           0.01             37.290            11.505          4482.029
     08/01/1989          0.000             95          3.065          0.035           33.0            0.0       1800.000          0.169          2.378           0.49           0.98          38.03           0.30           3.00            0.20           0.00           0.01             37.863            11.530          4453.541
     09/01/1989          0.000             96          3.065          0.035           33.1            0.0       1800.000          0.189          2.419           0.49           0.97          37.09           0.30           3.00            0.19           0.00           0.01             37.922            11.847          4425.229
     10/01/1989          0.000             97          3.064          0.035           33.2            0.0       1800.000          0.294          2.536           0.56           1.11          36.25           0.32           3.00            0.19           0.00           0.00             38.639            12.040          4397.232
     11/01/1989         31.600             98          3.063          0.035           33.1            0.0       1800.000          0.199          2.485           0.47           0.94          35.32           0.31           3.00            0.18           0.00           0.00             37.936            12.351          4369.487
     12/01/1989          0.000             99          3.062          0.035           33.2            0.0       1800.000          0.243          2.550           0.54           1.08          34.51           0.32           3.00            0.18           0.00           0.00             38.538            12.253          4342.051
     13/01/1989          0.000            100          3.062          0.035           33.3            0.0       1800.000          0.224          2.582           0.54           1.07          33.71           0.32           3.00            0.18           0.00           0.00             38.590            12.462          4314.729
     14/01/1989          0.000            101          3.059          0.035           33.2            0.0       1800.000          0.137          2.513           0.47           0.95          32.86           0.31           3.00            0.17           0.00           0.00             37.990            12.511          4287.666
     15/01/1989          0.000            102          3.059          0.035           33.2            0.0       1800.000          0.175          2.520           0.51           1.01          32.09           0.32           3.00            0.17           0.00           0.00             38.235            12.323          4260.784
     16/01/1989          0.000            103          3.059          0.035           33.2            0.0       1800.000          0.172          2.524           0.51           1.01          31.36           0.32           3.00            0.16           0.00           0.00             38.236            12.351          4233.974
     17/01/1989          0.000            104          3.059          0.035           33.2            0.0       1800.000          0.204          2.545           0.52           1.04          30.66           0.32           3.00            0.16           0.00           0.00             38.381            12.378          4207.333
     18/01/1989          0.000            105          3.058          0.035           33.2            0.0       1800.000          0.262          2.585           0.54           1.08          30.02           0.32           3.00            0.16           0.00           0.00             38.603            12.470          4180.863
     19/01/1989          0.000            106          3.058          0.035           33.3            0.0       1800.000          0.288          2.621           0.55           1.11          29.40           0.33           3.00            0.15           0.00           0.00             38.763            12.612          4154.593
     20/01/1989          5.000            107          3.058          0.035           33.2            0.0       1800.000          0.220          2.515           0.46           0.92          28.69           0.31           3.00            0.15           0.00           0.00             37.886            12.648          4128.543
     21/01/1989          0.000            108          3.058          0.035           33.2            0.0       1800.000          0.279          2.567           0.54           1.08          28.12           0.32           3.00            0.15           0.00           0.00             38.567            12.383          4102.665
     22/01/1989          0.000            109          3.059          0.035           33.0            0.0       1800.000          0.136          2.382           0.39           0.77          27.38           0.30           3.00            0.14           0.00           0.00             37.062            12.411          4076.817
     23/01/1989          2.600            110          3.062          0.035           32.8            0.0       1800.000          0.085          2.222           0.34           0.69          26.67           0.28           3.00            0.14           0.00           0.00             36.416            11.774          4051.137
     24/01/1989          0.400            111          3.061          0.035           32.7            0.0       1800.000          0.061          2.119           0.34           0.67          26.02           0.26           3.00            0.14           0.00           0.00             36.129            11.219          4025.313
     25/01/1989          0.000            112          3.059          0.035           32.9            0.0       1800.000          0.137          2.284           0.50           0.99          25.60           0.29           3.00            0.13           0.00           0.00             37.619            10.899          3999.384
     26/01/1989          0.000            113          3.058          0.035           33.1            0.0       1800.000          0.208          2.447           0.55           1.10          25.20           0.31           3.00            0.13           0.00           0.00             38.331            11.574          3973.456
     27/01/1989          1.600            114          3.054          0.035           33.0            0.0       1800.000          0.137          2.378           0.43           0.86          24.66           0.30           3.00            0.13           0.00           0.00             37.381            12.081          3947.999
     28/01/1989          0.000            115          3.052          0.035           33.1            0.0       1800.000          0.155          2.444           0.51           1.02          24.24           0.31           3.00            0.13           0.00           0.00             38.068            11.927          3922.933
     29/01/1989          0.000            116          3.051          0.035           33.1            0.0       1800.000          0.184          2.492           0.52           1.03          23.82           0.31           3.00            0.12           0.00           0.00             38.228            12.159          3897.945
     30/01/1989          0.000            117          3.053          0.035           33.2            0.0       1800.000          0.294          2.578           0.56           1.12          23.46           0.32           3.00            0.12           0.00           0.00             38.728            12.358          3873.215
     31/01/1989          0.000            118          3.051          0.035           33.3            0.0       1800.000          0.385          2.639           0.57           1.14          23.11           0.33           3.00            0.12           0.00           0.00             38.930            12.651          3848.726
     01/02/1989          0.000            119          3.054          0.035           33.3            0.0       1800.000          0.231          2.602           0.52           1.04          22.71           0.33           3.00            0.12           0.00           0.00             38.498            12.803          3824.521
     02/02/1989          0.000            120          3.054          0.035           33.0            0.0       1800.000          0.092          2.403           0.39           0.78          22.18           0.30           3.00            0.12           0.00           0.00             37.146            12.564          3800.532
     03/02/1989          0.000            121          3.055          0.035           32.8            0.0       1800.000          0.074          2.262           0.37           0.73          21.69           0.28           3.00            0.11           0.00           0.00             36.670            11.901          3776.578
     04/02/1989          1.000            122          3.052          0.035           32.4            0.0       1800.000          0.012          1.912           0.17           0.33          21.02           0.24           3.00            0.11           0.00           0.00             34.497            11.257          3752.461
     05/02/1989          4.000            123          3.049          0.035           32.0            0.0       1800.000          0.006          1.625           0.11           0.22          20.38           0.20           3.00            0.11           0.00           0.00             33.465             9.929          3728.192
     06/02/1989         20.900            124          3.051          0.035           32.2            0.0       1800.000          0.046          1.729           0.31           0.63          20.06           0.22           3.00            0.10           0.00           0.00             35.167             8.886          3703.445
     07/02/1989          0.000            125          3.054          0.035           32.4            0.0       1800.000          0.079          1.896           0.39           0.77          19.80           0.24           3.00            0.10           0.00           0.00             36.026             9.343          3678.348
     08/02/1989          0.000            126          3.060          0.035           32.7            0.0       1800.000          0.163          2.125           0.48           0.96          19.62           0.27           3.00            0.10           0.00           0.00             37.151            10.058          3653.620
     09/02/1989          0.000            127          3.062          0.035           32.9            0.0       1800.000          0.241          2.306           0.51           1.03          19.43           0.29           3.00            0.10           0.00           0.00             37.783            10.985          3629.379
     10/02/1989          0.000            128          3.062          0.035           33.1            0.0       1800.000          0.308          2.445           0.54           1.08          19.25           0.31           3.00            0.10           0.00           0.00             38.286            11.714          3605.724
     11/02/1989          3.400            129          3.064          0.035           33.0            0.0       1800.000          0.150          2.372           0.41           0.82          18.93           0.30           3.00            0.10           0.00           0.00             37.140            11.640          3582.556
     12/02/1989          1.000            130          3.064          0.035           32.9            0.0       1800.000          0.126          2.319           0.40           0.80          18.62           0.29           3.00            0.10           0.00           0.00             36.958            11.369          3398.711
     13/02/1989          0.000            131          3.065          0.035           33.1            0.0       1800.000          0.222          2.460           0.52           1.04          18.47           0.31           3.00            0.10           0.00           0.00             38.117            11.234          3376.984
     14/02/1989          0.000            132          3.064          0.035           33.2            0.0       1800.000          0.251          2.555           0.53           1.07          18.31           0.32           3.00            0.10           0.00           0.00             38.418            11.766          3355.324
     15/02/1989          0.000            133          3.062          0.035           33.3            0.0       1800.000          0.250          2.605           0.53           1.07          18.14           0.33           3.00            0.09           0.00           0.00             38.522            12.112          3334.047
     16/02/1989          0.000            134          3.061          0.035           33.3            0.0       1800.000          0.249          2.632           0.53           1.06          17.97           0.33           3.00            0.09           0.00           0.00             38.575            12.269          3313.062
     17/02/1989          0.000            135          3.059          0.035           33.3            0.0       1800.000          0.194          2.610           0.50           1.01          17.78           0.33           3.00            0.09           0.00           0.00             38.340            12.330          3292.279
     18/02/1989          0.000            136          3.058          0.035           33.2            0.0       1800.000          0.196          2.583           0.50           0.99          17.58           0.32           3.00            0.09           0.00           0.00             38.212            12.255          3271.654
     19/02/1989          0.000            137          3.059          0.035           33.2            0.0       1800.000          0.225          2.585           0.51           1.01          17.40           0.32           3.00            0.09           0.00           0.00             38.298            12.187          3251.120
     20/02/1989          0.000            138          3.059          0.035           33.3            0.0       1800.000          0.247          2.597           0.52           1.03          17.25           0.32           3.00            0.09           0.00           0.00             38.389            12.203          3230.683
     21/02/1989         99.000            139          3.060          0.035           33.1            0.0       1800.000          0.163          2.475           0.40           0.79          16.99           0.31           3.00            0.09           0.00           0.00             37.208            11.647          3210.379
