Summary_file = sugar.sum
Title = Sugar Sample Simulation
           Date             es            eos             eo          drain   infiltration            esw          esw()             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)     residue_wt     irrigation            lai        biomass  green_biomass    swdef_photo    nfact_photo
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     06/06/1980          1.327          1.327          4.907          2.905          0.000        359.534        359.586             30.069             35.943             34.036             18.540             12.908             10.350              8.801       4148.803          0.000          0.021          4.997          4.997          1.000          1.000
     07/06/1980          0.708          1.197          4.354          2.934          0.000        355.841        355.892             30.217             35.828             33.876             18.443             12.848             10.321              8.806       4096.831          0.000          0.022          5.248          5.248          1.000          1.000
     08/06/1980          0.491          1.388          4.974          2.932          0.000        352.379        352.418             30.373             35.780             33.788             18.345             12.782             10.282              8.802       4052.621          0.000          0.025          5.559          5.559          1.000          1.000
     09/06/1980          1.232          1.232          4.362          2.900          5.000        353.223        353.247             28.750             36.589             33.793             18.254             12.714             10.235              8.790       3951.268          0.000          0.027          5.855          5.855          1.000          1.000
     10/06/1980          0.979          0.979          3.363          2.842          7.000        356.363        356.402             26.806             37.187             33.993             18.197             12.647             10.183              8.769       3852.450          0.000          0.029          6.096          6.096          1.000          1.000
     11/06/1980          1.116          1.116          3.725          2.760          0.000        352.428        352.487             25.519             37.299             34.244             18.173             12.586             10.127              8.741       3761.481          0.000          0.031          6.382          6.382          1.000          1.000
     12/06/1980          0.834          0.834          2.710          2.660          2.000        350.910        350.934             24.202             37.317             34.526             18.178             12.532             10.070              8.708       3667.410          0.000          0.032          6.614          6.614          1.000          1.000
     13/06/1980          0.404          0.404          1.277          2.545          5.000        352.946        352.961             22.424             37.441             34.922             18.220             12.489             10.014              8.672       3575.691          0.000          0.033          6.727          6.727          1.000          1.000
     14/06/1980          0.858          0.858          2.637          2.420          0.000        349.656        349.669             21.194             37.218             35.306             18.289             12.456              9.961              8.632       3490.103          0.000          0.035          6.971          6.971          1.000          1.000
     15/06/1980          0.954          0.954          2.858          2.288          0.000        346.386        346.414             20.252             36.898             35.639             18.378             12.435              9.912              8.592       3410.727          0.000          0.037          7.257          7.257          1.000          1.000
