Summary_file = sugar.sum
Title = Sugar Sample Simulation
           Date          esw()          no3()     residue_wt     irrigation            lai        biomass  green_biomass    swdef_photo    nfact_photo
     27/05/1980        369.414        170.723       4990.049          0.000          0.000          0.000          0.000          1.000          0.000
     28/05/1980        375.766        168.217       4865.252          0.000          0.010          3.530          3.530          1.000          0.000
     29/05/1980        384.130        165.696       4743.577          0.000          0.011          3.609          3.609          1.000          1.000
     30/05/1980        380.725        163.665       4632.360          0.000          0.012          3.761          3.761          1.000          1.000
     31/05/1980        377.440        161.991       4529.179          0.000          0.013          3.882          3.882          1.000          1.000
     01/06/1980        373.652        160.674       4435.655          0.000          0.014          4.058          4.058          1.000          1.000
     02/06/1980        370.073        159.623       4348.856          0.000          0.015          4.183          4.183          1.000          1.000
     03/06/1980        366.026        158.856       4270.224          0.000          0.016          4.367          4.367          1.000          1.000
     04/06/1980        362.076        158.308       4198.352          0.000          0.017          4.536          4.536          1.000          1.000
     05/06/1980        357.958        157.952       4133.506          0.000          0.019          4.733          4.733          1.000          1.000
     06/06/1980        353.585        157.776       4078.089          0.000          0.021          4.997          4.997          1.000          1.000
     07/06/1980        350.040        157.698       4028.261          0.000          0.022          5.248          5.248          1.000          1.000
     08/06/1980        346.602        157.737       3986.183          0.000          0.025          5.559          5.559          1.000          1.000
     09/06/1980        347.488        156.873       3886.492          0.000          0.027          5.855          5.855          1.000          1.000
     10/06/1980        350.715        155.704       3789.294          0.000          0.029          6.096          6.096          1.000          1.000
     11/06/1980        346.894        154.838       3699.921          0.000          0.031          6.382          6.382          1.000          1.000
     12/06/1980        345.512        153.928       3607.389          0.000          0.032          6.614          6.614          1.000          1.000
     13/06/1980        347.695        152.809       3517.171          0.000          0.033          6.727          6.727          1.000          1.000
     14/06/1980        344.532        151.964       3433.053          0.000          0.035          6.971          6.971          1.000          1.000
     15/06/1980        341.364        151.293       3355.113          0.000          0.037          7.257          7.257          1.000          1.000
     16/06/1980        338.732        150.737       3281.176          0.000          0.038          7.416          7.416          1.000          1.000
     17/06/1980        335.101        150.379       3216.220          0.000          0.042          7.943          7.943          1.000          1.000
     18/06/1980        331.528        150.185       3158.990          0.000          0.046          8.445          8.445          1.000          1.000
     19/06/1980        328.841        150.091       3106.031          0.000          0.048          8.730          8.730          1.000          1.000
     20/06/1980        326.087        150.091       3057.771          0.000          0.050          9.088          9.088          1.000          1.000
     21/06/1980        323.039        150.335       3028.727          0.000          0.055          9.780          9.780          1.000          1.000
     22/06/1980        320.750        150.524       2996.569          0.000          0.061         10.540         10.540          1.000          1.000
     23/06/1980        318.610        150.766       2969.478          0.000          0.066         11.301         11.301          1.000          1.000
     24/06/1980        319.733        150.992       2941.824          0.000          0.068         11.528         11.528          1.000          1.000
     25/06/1980        319.871        151.070       2905.050          0.000          0.070         11.778         11.778          1.000          1.000
     26/06/1980        317.234        151.092       2865.839          0.000          0.074         12.403         12.403          1.000          1.000
     27/06/1980        314.928        151.231       2836.054          0.000          0.078         12.967         12.967          1.000          1.000
     28/06/1980        311.760        151.377       2811.816          0.000          0.086         14.001         14.001          1.000          1.000
     29/06/1980        309.973        151.576       2789.734          0.000          0.093         15.052         15.052          1.000          1.000
     30/06/1980        308.342        151.844       2775.546          0.000          0.098         15.666         15.666          1.000          1.000
     01/07/1980        306.723        152.136       2762.193          0.000          0.104         16.573         16.573          1.000          1.000
     02/07/1980        305.180        152.491       2754.175          0.000          0.111         17.526         17.526          1.000          1.000
     03/07/1980        303.698        152.885       2751.785          0.000          0.118         18.417         18.417          1.000          1.000
     04/07/1980        302.229        153.292       2751.785          0.000          0.125         19.407         19.407          1.000          1.000
     05/07/1980        300.822        153.728       2751.785          0.000          0.133         20.511         20.511          1.000          1.000
     06/07/1980        299.401        154.142       2751.785          0.000          0.143         21.885         21.885          1.000          1.000
     07/07/1980        298.124        154.537       2751.785          0.000          0.153         23.304         23.304          1.000          1.000
     08/07/1980        296.834        154.937       2751.785          0.000          0.162         24.474         24.474          1.000          1.000
     09/07/1980        295.531        155.345       2751.785          0.000          0.171         25.774         25.774          1.000          1.000
     10/07/1980        294.095        155.680       2751.785          0.000          0.188         28.131         28.131          1.000          1.000
     11/07/1980        292.707        156.012       2751.785          0.000          0.204         30.318         30.318          1.000          1.000
     12/07/1980        291.421        156.357       2751.785          0.000          0.223         33.012         33.012          1.000          1.000
     13/07/1980        290.682        156.772       2751.785          0.000          0.236         34.688         34.688          1.000          1.000
     14/07/1980        301.091        156.823       2669.596          0.000          0.247         36.193         36.193          1.000          1.000
     15/07/1980        307.990        156.152       2585.568          0.000          0.253         37.041         37.041          1.000          1.000
     16/07/1980        306.815        155.407       2502.032          0.000          0.259         37.913         37.913          1.000          1.000
     17/07/1980        311.710        154.528       2416.803          0.000          0.265         38.807         38.807          1.000          1.000
     18/07/1980        308.941        153.748       2346.479          0.000          0.289         42.016         42.016          1.000          1.000
     19/07/1980        306.788        153.017       2271.488          0.000          0.308         44.675         44.675          1.000          1.000
     20/07/1980        304.763        152.339       2203.307          0.000          0.332         47.952         47.952          1.000          1.000
     21/07/1980        301.660        151.659       2144.565          0.000          0.365         52.535         52.535          1.000          1.000
     22/07/1980        299.644        151.157       2092.055          0.000          0.389         55.874         55.874          1.000          1.000
     23/07/1980        297.952        150.777       2049.280          0.000          0.420         60.200         60.200          1.000          1.000
     24/07/1980        297.793        150.497       2002.673          0.000          0.433         61.941         61.941          1.000          1.000
     25/07/1980        316.603        149.261       1913.495          0.000          0.444         63.432         63.432          1.000          1.000
     26/07/1980        313.369        148.079       1833.817          0.000          0.483         68.875         68.875          1.000          1.000
     27/07/1980        310.924        147.096       1760.639          0.000          0.511         72.667         72.667          1.000          1.000
     28/07/1980        308.592        146.253       1695.478          0.000          0.547         77.654         77.654          1.000          1.000
     29/07/1980        305.216        145.415       1641.130          0.000          0.601         85.141         85.141          1.000          1.000
     30/07/1980        302.598        144.750       1593.829          0.000          0.640         90.583         90.583          1.000          1.000
     31/07/1980        306.322        143.948       1510.103          0.000          0.656         92.756         92.756          1.000          1.000
     01/08/1980        303.196        143.172       1449.026          0.000          0.703         99.182         99.182          1.000          1.000
     02/08/1980        298.794        142.257       1403.826          0.000          0.746        108.466        108.466          1.000          1.000
     03/08/1980        296.831        141.394       1348.754          0.000          0.791        114.721        114.721          1.000          1.000
     04/08/1980        294.046        140.433       1303.328          0.000          0.844        123.953        123.953          1.000          1.000
     05/08/1980        291.576        139.400       1260.363          0.000          0.911        133.739        133.739          1.000          1.000
     06/08/1980        293.301        138.449       1209.256          0.000          0.959        140.351        140.351          1.000          1.000
     07/08/1980        292.713        137.829       1167.316          0.000          0.985        143.930        143.930          1.000          1.000
     08/08/1980        288.783        136.780       1124.415          0.000          1.045        154.509        154.509          1.000          1.000
     09/08/1980        284.764        135.567       1089.964          0.000          1.113        168.235        168.235          1.000          1.000
     10/08/1980        282.205        134.339       1062.287          0.000          1.179        180.993        180.993          1.000          1.000
     11/08/1980        279.841        133.024       1041.299          0.000          1.248        195.590        195.590          1.000          1.000
     12/08/1980        276.823        131.524       1026.411          0.000          1.307        211.270        211.270          1.000          1.000
     13/08/1980        275.948        130.800       1010.949          0.000          1.350        217.160        217.160          1.000          1.000
     14/08/1980        281.733        130.105        955.986          0.000          1.381        221.457        221.457          1.000          1.000
     15/08/1980        277.514        128.706        908.653          0.000          1.454        236.286        236.286          1.000          1.000
     16/08/1980        273.237        127.045        868.256          0.000          1.516        253.261        253.261          1.000          1.000
     17/08/1980        274.302        125.706        828.431          0.000          1.573        266.384        266.384          1.000          1.000
     18/08/1980        273.352        124.491        787.373          0.000          1.628        273.996        273.996          1.000          1.000
     19/08/1980        277.978        123.584        744.566          0.000          1.666        279.243        279.243          1.000          1.000
     20/08/1980        274.000        122.072        707.371          0.000          1.728        296.246        296.246          1.000          1.000
     21/08/1980        269.853        120.515        674.787          0.000          1.801        311.192        311.192          1.000          1.000
     22/08/1980        270.335        119.599        640.963          0.000          1.842        316.874        316.874          1.000          1.000
     23/08/1980        269.739        118.881        608.071          0.000          1.887        323.045        323.045          1.000          1.000
     24/08/1980        270.951        117.908        575.012          0.000          1.962        333.831        333.831          1.000          1.000
     25/08/1980        265.859        116.381        546.048          0.000          2.044        350.733        350.733          1.000          1.000
     26/08/1980        262.322        114.784        520.979          0.000          2.126        370.729        370.729          1.000          1.000
     27/08/1980        258.237        112.898        499.209          0.000          2.191        391.000        390.819          1.000          1.000
     28/08/1980        253.810        111.118        482.366          0.000          2.245        408.471        408.023          1.000          1.000
     29/08/1980        248.000        109.236        466.446          0.000          2.304        428.291        427.557          1.000          1.000
     30/08/1980        243.024        107.334        452.299          0.000          2.365        450.544        449.511          1.000          1.000
     31/08/1980        240.791        106.147        438.415          0.000          2.436        462.701        461.325          1.000          1.000
     01/09/1980        235.551        104.220        427.257          0.000          2.495        486.238        484.584          1.000          1.000
     02/09/1980        229.788        102.206        417.727          0.000          2.559        510.115        508.161          1.000          1.000
     03/09/1980        223.902        100.178        410.152          0.000          2.621        534.574        532.336          1.000          1.000
     04/09/1980        217.494         98.011        404.587          0.000          2.689        561.592        559.047          1.000          1.000
     05/09/1980        211.787         96.004        400.762          0.000          2.754        586.903        584.221          1.000          1.000
     06/09/1980        206.388         94.020        398.707          0.000          2.812        612.374        609.719          1.000          1.000
     07/09/1980        266.365         91.510        377.314         66.759          2.880        636.964        634.335          1.000          1.000
     08/09/1980        259.389         89.332        358.541          0.000          2.947        663.077        660.475          1.000          1.000
     09/09/1980        252.858         87.176        342.128          0.000          3.021        689.704        687.127          1.000          1.000
     10/09/1980        246.503         85.013        327.704          0.000          3.086        715.351        712.800          1.000          1.000
     11/09/1980        239.830         82.794        315.138          0.000          3.156        742.480        739.955          1.000          1.000
     12/09/1980        233.219         80.586        304.250          0.000          3.234        769.401        766.901          1.000          1.000
     13/09/1980        227.545         78.399        294.808          0.000          3.303        795.784        793.309          1.000          1.000
     14/09/1980        221.330         76.127        286.711          0.000          3.369        823.272        820.742          1.000          1.000
     15/09/1980        215.121         73.942        279.842          0.000          3.440        850.095        847.458          1.000          1.000
     16/09/1980        208.411         71.710        274.116          0.000          3.506        877.693        874.957          1.000          1.000
     17/09/1980        202.516         69.511        269.502          0.000          3.577        906.591        903.750          1.000          1.000
     18/09/1980        197.730         67.396        265.920          0.000          3.657        934.749        931.788          1.000          1.000
     19/09/1980        189.960         64.963        263.310          0.000          3.722        964.006        960.954          1.000          1.000
     20/09/1980        248.265         62.242        249.350         64.791          3.801        993.485        990.315          1.000          1.000
     21/09/1980        241.595         59.920        237.021          0.000          3.886       1022.393       1019.097          1.000          1.000
     22/09/1980        232.271         57.363        226.160          0.000          3.958       1053.333       1049.938          1.000          1.000
     23/09/1980        224.497         55.029        216.570          0.000          4.032       1082.753       1079.254          1.000          1.000
     24/09/1980        216.087         52.692        208.120          0.000          4.103       1112.661       1109.066          1.000          1.000
     25/09/1980        207.808         50.398        200.692          0.000          4.174       1142.518       1138.827          1.000          1.000
     26/09/1980        199.132         48.106        194.190          0.000          4.246       1172.355       1168.567          1.000          1.000
     27/09/1980        191.656         45.862        188.530          0.000          4.318       1202.299       1198.415          1.000          1.000
     28/09/1980        184.177         43.542        183.667          0.000          4.394       1233.343       1229.357          1.000          1.000
     29/09/1980        178.531         41.261        179.529          0.000          4.465       1264.409       1260.034          1.000          1.000
     30/09/1980        176.685         39.571        174.924          0.000          4.542       1284.093       1279.462          1.000          1.000
     01/10/1980        168.872         37.291        171.026          0.000          4.618       1315.487       1310.605          1.000          1.000
     02/10/1980        232.253         35.089        162.297         67.036          4.697       1335.253       1330.112          1.000          1.000
     03/10/1980        222.920         32.422        154.663          0.000          4.772       1372.919       1367.539          1.000          1.000
     04/10/1980        212.427         29.613        148.020          0.000          4.846       1411.880       1406.261          1.000          1.000
     05/10/1980        202.290         26.768        142.254          0.000          4.920       1450.340       1444.490          1.000          1.000
     06/10/1980        201.997         24.910        135.884          0.000          4.988       1470.729       1464.148          1.000          1.000
     07/10/1980        198.941         23.211        129.432          0.000          5.055       1491.449       1484.417          1.000          1.000
     08/10/1980        188.365         20.503        123.864          0.000          5.123       1533.536       1526.049          1.000          1.000
     09/10/1980        179.908         17.608        119.067          0.000          5.187       1574.893       1566.994          1.000          1.000
     10/10/1980        171.629         14.612        114.968          0.000          5.258       1615.838       1607.469          1.000          1.000
     11/10/1980        163.561         11.727        111.475          0.000          5.330       1653.486       1644.651          1.000          1.000
     12/10/1980        153.997          9.267        108.601          0.000          5.407       1697.163       1687.825          1.000          1.000
     13/10/1980        214.694          5.778        103.760         67.059          5.477       1736.586       1725.655          1.000          1.000
     14/10/1980        205.008          4.023         99.734          0.000          5.541       1780.509       1768.581          1.000          1.000
     15/10/1980        193.980          3.070         96.395          0.000          5.611       1824.019       1810.990          1.000          1.000
     16/10/1980        193.713          2.519         92.609          0.000          5.685       1844.403       1830.216          1.000          1.000
     17/10/1980        185.228          2.186         89.494          0.000          5.759       1887.338       1872.020          1.000          1.000
     18/10/1980        183.248          1.995         86.333          0.000          5.836       1904.286       1887.792          1.000          1.000
     19/10/1980        173.135          1.890         83.797          0.000          5.906       1948.921       1930.916          1.000          1.000
     20/10/1980        165.085          1.888         81.815          0.000          5.972       1987.571       1968.245          1.000          1.000
     21/10/1980        156.604          1.942         80.350          0.000          6.038       2029.678       2009.025          1.000          1.000
     22/10/1980        147.754          2.048         79.383          0.000          6.116       2072.297       2050.051          1.000          1.000
     23/10/1980        144.185          2.203         78.867          0.000          6.182       2111.145       2087.615          1.000          1.000
     24/10/1980        206.768          1.400         77.204         65.281          6.246       2137.173       2112.423          1.000          1.000
     25/10/1980        199.640          1.171         76.033          0.000          6.315       2180.802       2154.720          1.000          1.000
     26/10/1980        193.099          1.129         75.325          0.000          6.367       2223.552       2194.216          1.000          1.000
     27/10/1980        185.230          1.137         75.246          0.000          6.429       2265.976       2233.950          1.000          1.000
     28/10/1980        173.791          1.214         75.727          0.000          6.491       2311.610       2277.028          1.000          1.000
     29/10/1980        161.390          1.340         76.754          0.000          6.548       2362.592       2325.685          1.000          1.000
     30/10/1980        152.627          1.512         78.266          0.000          6.607       2409.575       2370.288          1.000          1.000
     31/10/1980        143.637          1.692         80.227          0.000          6.664       2450.825       2409.202          1.000          1.000
     01/11/1980        132.841          1.879         82.645          0.000          6.694       2495.842       2449.488          1.000          1.000
     02/11/1980        188.054          1.198         83.351         65.972          6.732       2540.874       2490.618          1.000          1.000
     03/11/1980        176.714          1.150         84.720          0.000          6.772       2586.586       2532.045          1.000          1.000
     04/11/1980        167.947          1.191         86.709          0.000          6.809       2623.501       2564.993          1.000          1.000
     05/11/1980        158.987          1.277         89.295          0.000          6.848       2665.115       2602.544          1.000          1.000
     06/11/1980        149.918          1.400         92.469          0.000          6.888       2705.454       2638.677          1.000          1.000
     07/11/1980        143.262          1.552         96.215          0.000          6.897       2742.280       2667.875          1.000          1.000
     08/11/1980        138.282          1.678        100.484          0.000          6.875       2765.020       2682.961          1.000          1.000
     09/11/1980        123.638          1.808        105.730          0.000          6.890       2812.653       2723.623          1.000          1.000
     10/11/1980        115.752          2.027        111.846          0.000          6.905       2856.518       2760.708          1.000          1.000
     11/11/1980        186.231          1.263        116.523         69.598          6.896       2878.499       2776.909          1.000          1.000
     12/11/1980        188.011          0.923        121.614          0.000          6.882       2900.549       2792.631          1.000          1.000
     13/11/1980        185.089          0.841        127.157          0.000          6.868       2921.475       2807.435          1.000          1.000
     14/11/1980        186.263          0.826        133.113          0.000          6.852       2941.363       2821.262          1.000          1.000
     15/11/1980        187.319          0.779        139.459          0.000          6.832       2961.764       2834.983          1.000          1.000
     16/11/1980        185.710          0.802        146.241          0.000          6.813       2983.051       2849.476          1.000          1.000
     17/11/1980        178.046          0.868        153.822          0.000          6.831       3023.701       2883.625          1.000          1.000
     18/11/1980        167.888          0.948        162.221          0.000          6.849       3068.625       2921.796          1.000          1.000
     19/11/1980        157.619          1.047        171.460          0.000          6.865       3114.639       2962.397          1.000          1.000
     20/11/1980        147.663          1.179        181.505          0.000          6.883       3166.408       3007.619          1.000          1.000
     21/11/1980        134.629          1.321        192.413          0.000          6.896       3211.268       3046.442          1.000          1.000
     22/11/1980        121.935          1.506        204.151          0.000          6.910       3255.234       3084.660          1.000          1.000
     23/11/1980        110.392          1.715        216.735          0.000          6.924       3300.163       3123.903          1.000          1.000
     24/11/1980        169.521          1.078        225.514         71.598          6.944       3346.190       3164.319          1.000          1.000
     25/11/1980        158.612          1.024        235.057          0.000          6.958       3386.440       3198.879          1.000          1.000
     26/11/1980        149.756          1.062        245.373          0.000          6.971       3425.614       3232.109          1.000          1.000
     27/11/1980        146.581          1.120        255.354          0.000          6.938       3446.595       3244.513          1.000          1.000
     28/11/1980        136.736          1.182        266.407          0.000          6.937       3485.365       3275.460          1.000          1.000
     29/11/1980        127.668          1.277        278.414          0.000          6.934       3520.062       3301.882          1.000          1.000
     30/11/1980        118.041          1.399        291.521          0.000          6.934       3560.572       3334.047          1.000          1.000
     01/12/1980        106.728          1.547        305.834          0.000          6.933       3604.707       3369.509          1.000          1.000
     02/12/1980        160.274          0.991        317.081         66.294          6.933       3648.387       3405.428          1.000          1.000
     03/12/1980        150.617          0.954        329.526          0.000          6.948       3695.666       3444.815          1.000          1.000
     04/12/1980        147.172          0.968        341.424          0.000          6.914       3716.041       3457.033          1.000          1.000
     05/12/1980        135.142          1.007        354.580          0.000          6.914       3761.110       3493.838          1.000          1.000
     06/12/1980        126.686          1.109        368.841          0.000          6.910       3796.961       3521.171          1.000          1.000
     07/12/1980        114.850          1.215        384.296          0.000          6.910       3835.078       3551.629          1.000          1.000
     08/12/1980        116.532          1.292        397.329          0.000          6.875       3855.118       3563.765          1.000          1.000
     09/12/1980        129.655          1.174        410.647          0.000          6.849       3875.039       3576.987          1.000          1.000
     10/12/1980        131.100          1.107        424.119          0.000          6.826       3894.841       3590.537          1.000          1.000
     11/12/1980        135.161          0.995        437.693          0.000          6.797       3914.582       3603.231          1.000          1.000
     12/12/1980        135.280          0.915        451.445          0.000          6.769       3934.265       3616.221          1.000          1.000
     13/12/1980        130.614          0.887        465.502          0.000          6.744       3953.862       3629.387          1.000          1.000
     14/12/1980        130.506          0.869        479.485          0.000          6.733       3973.409       3641.412          1.000          1.000
     15/12/1980        121.499          0.888        495.006          0.000          6.733       4022.533       3682.973          1.000          1.000
     16/12/1980        114.620          0.952        511.755          0.000          6.733       4058.827       3711.836          1.000          1.000
     17/12/1980        119.080          0.966        526.186          0.000          6.703       4078.109       3724.389          1.000          1.000
     18/12/1980        108.826          0.993        542.141          0.000          6.703       4126.102       3765.198          1.000          1.000
     19/12/1980         97.927          1.071        559.755          0.000          6.703       4176.048       3807.822          1.000          1.000
     20/12/1980        109.490          1.048        574.435          0.000          6.670       4195.028       3819.929          1.000          1.000
     21/12/1980        106.767          1.046        589.229          0.000          6.643       4213.916       3832.746          1.000          1.000
     22/12/1980        103.547          1.048        604.053          0.000          6.616       4232.706       3845.604          1.000          1.000
     23/12/1980         93.195          1.064        620.342          0.000          6.616       4275.667       3881.911          1.000          1.000
     24/12/1980        148.228          0.691        635.209         65.650          6.616       4316.263       3916.355          1.000          1.000
     25/12/1980        139.510          0.620        651.337          0.000          6.616       4351.223       3945.591          1.000          1.000
     26/12/1980        128.332          0.620        668.896          0.000          6.616       4393.371       3982.716          1.000          1.000
     27/12/1980        116.656          0.688        687.855          0.000          6.660       4434.294       4017.620          1.000          1.000
     28/12/1980        108.977          0.790        708.125          0.000          6.660       4469.359       4046.622          1.000          1.000
     29/12/1980        100.981          0.896        729.858          0.000          6.660       4507.543       4078.499          1.000          1.000
     30/12/1980         91.358          1.014        753.156          0.000          6.660       4545.599       4110.043          1.000          1.000
     31/12/1980         82.346          1.155        778.008          0.000          6.660       4583.225       4141.909          1.000          1.000
     01/01/1981        172.187          0.683        791.452         71.648          6.634       4601.459       4154.910          1.000          1.000
     02/01/1981        194.552          0.401        804.893          0.000          6.607       4619.836       4167.830          1.000          1.000
     03/01/1981        198.207          0.306        825.400          0.000          6.583       4638.105       4181.135          1.000          1.000
     04/01/1981        230.823          0.228        848.379          0.000          6.561       4656.340       4194.754          1.000          1.000
     05/01/1981        272.686          0.183        873.368          0.000          6.544       4674.494       4208.909          1.000          1.000
     06/01/1981        305.520          0.153        900.123          0.000          6.528       4692.529       4223.251          1.000          1.000
     07/01/1981        339.209          0.137        928.540          0.000          6.514       4710.450       4237.688          1.000          1.000
     08/01/1981        375.551          0.128        958.590          0.000          6.510       4728.307       4252.317          1.000          1.000
     09/01/1981        401.454          0.123        989.994          0.000          6.496       4746.228       4266.842          1.000          1.000
     10/01/1981        405.120          0.119       1022.374          0.000          6.488       4764.269       4282.243          1.000          1.000
     11/01/1981        404.646          0.117       1055.517          0.000          6.473       4782.029       4296.565          1.000          1.000
     12/01/1981        405.959          0.115       1089.080          0.000          6.466       4799.629       4311.780          1.000          1.000
     13/01/1981        406.090          0.113       1123.215          0.000          6.459       4817.363       4327.113          1.000          1.000
     14/01/1981        405.908          0.112       1157.904          0.000          6.448       4835.413       4342.180          1.000          1.000
     15/01/1981        405.321          0.111       1193.122          0.000          6.428       4853.112       4355.869          1.000          1.000
     16/01/1981        405.563          0.110       1228.470          0.000          6.410       4870.506       4369.679          1.000          1.000
     17/01/1981        405.054          0.111       1264.099          0.000          6.386       4887.984       4382.780          1.000          1.000
     18/01/1981        404.249          0.111       1299.378          0.000          6.420       4905.365       4395.184          1.000          1.000
     19/01/1981        403.114          0.118       1333.920          0.000          6.395       4923.102       4408.339          1.000          1.000
     20/01/1981        405.887          0.117       1367.942          0.000          6.367       4940.295       4420.835          1.000          1.000
     21/01/1981        404.878          0.117       1401.909          0.000          6.349       4958.141       4434.984          1.000          1.000
     22/01/1981        406.015          0.117       1435.760          0.000          6.329       4973.951       4447.500          1.000          1.000
     23/01/1981        402.008          0.117       1470.031          0.000          6.305       4990.777       4460.291          1.000          1.000
     24/01/1981        403.042          0.118       1504.774          0.000          6.284       5007.918       4474.483          1.000          1.000
     25/01/1981        401.746          0.119       1539.852          0.000          6.255       5025.273       4488.307          1.000          1.000
     26/01/1981        402.164          0.119       1574.914          0.000          6.230       5041.801       4501.918          1.000          1.000
     27/01/1981        394.475          0.167       1609.717          0.000          6.204       5058.279       4515.321          1.000          1.000
     28/01/1981        380.068          0.223       1642.980          0.000          6.204       5101.199       4555.654          1.000          1.000
     29/01/1981        367.053          0.283       1674.482          0.000          6.204       5130.977       4583.163          1.000          1.000
     30/01/1981        349.938          0.319       1704.032          0.000          6.204       5176.098       4625.744          1.000          1.000
