Summary_file = referenc.sum
Title = sugar reference run
      year       day           date             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass avg@swdef_photo avg@nfact_photo     root_depth avg@oxdef_photo    crop_status      dm_dead() lodge_redn_photo lodge_redn_sucrose lodge_redn_green_leaf     residue_wt      residue_n        fom_c()        fom_n()
    (year)     (day)             ()            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (oC)      (m^2/m^2)        (g/m^2)              ()              ()           (mm)           (0-1)             ()        (g/m^2)               ()                 ()                    ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)
      1984       169     17/06/1984              8.776             18.395              7.394             27.796             78.771             79.841        996.046          0.114         17.857           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000         71.342          1.448
      1984       176     24/06/1984              9.337             18.641              7.197             24.800             77.989             79.603       1075.295          0.168         25.404           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000         68.512          1.368
      1984       183     01/07/1984              9.386             18.947              6.945             31.732             78.390             79.296       1153.245          0.255         37.390           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000         64.517          1.269
      1984       190     08/07/1984              9.419             17.527              6.284             26.728             75.880             78.320       1206.095          0.458         65.380           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000         62.124          1.201
      1984       197     15/07/1984              8.723             16.487              5.526             30.774             76.667             77.608       1303.895          0.691         97.580           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000         57.875          1.102
      1984       204     22/07/1984              8.232             16.455              5.049             39.569             79.359             77.199       1398.395          0.832        116.991           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000         55.197          1.033
      1984       212     30/07/1984              7.472             12.721              3.843             28.373             74.853             75.531       1499.696          1.252        182.973           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.099          0.000         52.654          0.966
      1984       219     06/08/1984              5.174              9.156              2.597             30.877             75.760             74.035       1590.346          1.688        248.234           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.241          0.001         51.296          0.923
      1984       226     13/08/1984              1.235              2.501              0.782             38.289             78.612             71.423       1676.896          2.171        373.475           0.999           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.235          0.001         50.443          0.888
      1984       233     20/08/1984              0.191              0.149              0.026             34.116             75.903             69.202       1761.746          2.634        515.167           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.262          0.001         51.497          0.882
      1984       240     27/08/1984              0.158              0.129              0.003             37.724             78.543             69.032       1864.996          3.100        663.921           0.994           0.969       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          1.706          0.006         53.699          0.893
      1984       247     03/09/1984              0.186              0.121              0.001             33.780             76.331             68.864       1961.446          3.434        794.654           1.000           0.806       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          3.914          0.014         57.467          0.926
      1984       254     10/09/1984              0.150              0.130              0.002             38.798             78.608             69.382       2065.096          3.727        929.181           0.999           0.682       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          6.460          0.024         61.726          0.967
      1984       261     17/09/1984              0.228              0.135              0.001             32.626             75.192             68.289       2170.496          3.978       1051.487           1.000           0.596       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          9.643          0.035         66.602          1.016
      1984       268     24/09/1984              0.149              0.129              0.002             39.896             79.956             70.452       2280.446          4.202       1159.379           1.000           0.531       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         13.001          0.048         72.400          1.078
      1984       275     01/10/1984              0.168              0.121              0.001             37.208             78.527             70.023       2389.096          4.344       1258.514           1.000           0.496       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         18.083          0.066         78.802          1.149
      1984       282     08/10/1984              0.182              0.120              0.001             35.447             77.606             70.567       2496.896          4.369       1343.001           1.000           0.494       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         27.053          0.099         86.066          1.232
      1984       289     15/10/1984              0.181              0.125              0.001             33.608             75.300             69.216       2606.546          4.277       1437.625           0.992           0.514       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         47.098          0.173         93.591          1.319
      1984       296     22/10/1984              0.121              0.124              0.002             40.895             80.464             70.457       2717.846          4.315       1533.271           1.000           0.514       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         73.049          0.268        101.112          1.407
      1984       303     29/10/1984              0.112              0.114              0.001             37.394             78.280             69.655       2827.396          4.327       1647.829           1.000           0.516       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        102.066          0.374        109.709          1.509
      1984       310     05/11/1984              0.157              0.124              0.001             32.224             75.972             70.046       2953.446          3.971       1762.927           1.000           0.534       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        148.293          0.543        118.544          1.615
      1984       317     12/11/1984              0.064              0.125              0.002             39.777             79.773             70.361       3078.252          3.702       1866.051           0.973           0.574       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        211.920          0.776        128.138          1.731
      1984       324     19/11/1984              0.082              0.128              0.001             34.226             76.145             69.200       3203.802          3.392       1973.317           1.000           0.630       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        304.366          1.115        138.422          1.856
      1984       331     26/11/1984              0.053              0.113              0.002             40.922             80.488             70.551       3317.953          3.203       2081.083           0.930           0.694       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        432.368          1.584        149.892          1.997
      1984       338     03/12/1984              0.058              0.114              0.001             37.876             77.990             68.992       3437.203          3.111       2182.873           0.945           0.746       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        584.410          2.141        161.758          2.142
      1984       345     10/12/1984              0.094              0.130              0.001             33.747             76.305             69.030       3570.399          3.081       2292.350           0.977           0.760       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        750.220          2.748        172.933          2.279
      1984       352     17/12/1984              0.074              0.127              0.002             38.513             78.570             69.656       3706.139          3.091       2408.595           0.963           0.769       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        927.446          3.397        184.444          2.420
      1984       359     24/12/1984              0.093              0.129              0.001             34.488             76.454             69.378       3840.053          3.139       2509.833           0.949           0.741       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       1110.644          4.068        196.162          2.564
      1984       366     31/12/1984              0.066              0.144              0.002             43.170             78.510             68.902       3966.361          3.189       2598.582           0.832           0.726       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       1297.236          4.752        208.706          2.718
      1985         7     07/01/1985              0.105              0.136              0.002             34.064             75.178             67.228       4101.411          3.297       2715.309           0.848           0.680       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       1478.207          5.415        219.861          2.855
      1985        14     14/01/1985              0.087              0.132              0.002             38.419             78.324             67.432       4234.220          3.443       2817.549           0.903           0.616       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       1656.071          6.066        232.248          3.007
      1985        21     21/01/1985              0.071              0.115              0.001             38.037             78.742             68.549       4357.820          3.443       2881.588           1.000           0.580       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       1833.029          6.715        246.767          3.187
      1985        28     28/01/1985              0.080              0.122              0.001             36.986             77.487             68.333       4486.070          3.465       2973.561           1.000           0.556       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       2008.073          7.356        260.956          3.362
      1985        35     04/02/1985              0.079              0.117              0.001             36.569             77.915             70.271       4612.620          3.443       3028.410           1.000           0.530       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       2182.328          7.994        275.476          3.542
      1985        42     11/02/1985              0.057              0.106              0.002             38.475             79.196             71.888       4735.021          3.427       3086.062           1.000           0.529       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       2354.547          8.625        290.715          3.731
      1985        49     18/02/1985              0.090              0.124              0.001             32.147             74.761             70.498       4858.320          3.392       3139.719           1.000           0.520       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       2523.880          9.245        305.543          3.914
      1985        56     25/02/1985              0.096              0.124              0.001             33.461             75.923             71.555       4988.070          3.359       3220.552           1.000           0.505       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       2694.427          9.870        320.087          4.094
      1985        63     04/03/1985              0.113              0.141              0.001             32.806             73.588             69.350       5120.402          2.809       3304.394           0.992           0.484       1000.000           1.000          alive         11.017            0.920              0.770                 0.850       2869.458         10.509        333.805          4.261
      1985        70     11/03/1985              0.088              0.121              0.001             35.580             77.465             69.443       5246.852          1.488       3333.423           1.000           0.746       1000.000           1.000          alive         30.944            0.500              0.500                 0.500       3161.224         11.548        354.380          4.484
      1985        77     18/03/1985              0.060              0.103              0.002             39.246             80.110             73.199       5364.052          1.391       3326.895           1.000           1.000       1000.000           1.000          alive         46.046            0.500              0.500                 0.500       3529.661         12.839        379.716          4.750
      1985        84     25/03/1985              0.063              0.097              0.001             34.852             78.645             72.886       5476.502          1.285       3316.760           1.000           1.000       1000.000           1.000          alive         58.290            0.500              0.500                 0.500       3910.369         14.155        407.328          5.037
      1985        91     01/04/1985              0.090              0.110              0.001             31.044             77.018             72.435       5593.352          1.193       3301.409           1.000           1.000       1000.000           1.000          alive         68.789            0.500              0.500                 0.500       4290.094         15.450        434.565          5.319
      1985        92     02/04/1985              0.091              0.110              0.001             30.582             76.847             72.390          0.000          0.000          0.000           1.000           1.000       1000.000           1.000          alive          0.000            0.000              0.000                 0.000      10222.446         41.473        803.223          8.093
      1985        98     08/04/1985            300.030              0.586              0.004             23.673             76.677             72.435         59.086          0.000          0.000           1.000           0.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        783.771          7.971
      1985       105     15/04/1985            288.701              0.510              0.002             21.502             76.452             72.480        117.715          0.011          3.674           1.000           0.143       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        775.910          7.973
      1985       112     22/04/1985            271.569              0.154              0.001             19.655             76.124             72.487        234.015          0.018          4.636           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        783.104          8.113
      1985       119     29/04/1985            271.570              0.637              0.003             18.039             75.772             72.484        352.915          0.029          6.135           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        791.439          8.260
      1985       126     06/05/1985            271.572              0.925              0.003             16.592             75.224             72.410        462.065          0.049          8.942           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        795.406          8.361
      1985       133     13/05/1985            271.575              0.959              0.003             15.275             74.674             72.331        570.515          0.073         12.222           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        798.819          8.453
      1985       140     20/05/1985            271.577              1.017              0.003             14.065             74.243             72.292        674.765          0.093         15.045           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        804.099          8.560
      1985       147     27/05/1985            271.580              0.675              0.002             12.943             73.592             72.168        770.915          0.145         22.238           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        810.671          8.677
      1985       154     03/06/1985            271.581              0.180              0.001             11.891             72.535             71.877        872.915          0.215         31.879           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        820.652          8.827
      1985       161     10/06/1985            271.581              0.126              0.001             10.898             70.667             71.244        953.665          0.363         52.349           1.000           0.941       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        833.174          9.001
      1985       168     17/06/1985            271.582              0.147              0.001             10.028             69.275             70.770       1044.415          0.458         65.400           1.000           0.663       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        845.326          9.171
      1985       175     24/06/1985            271.582              0.139              0.001             10.027             68.066             70.348       1120.115          0.545         77.397           1.000           0.587       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        857.593          9.340
      1985       182     01/07/1985            271.583              0.152              0.001             10.025             66.557             69.768       1200.515          0.656         93.715           1.000           0.491       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.088          0.000        870.110          9.511
      1985       189     08/07/1985            271.583              0.167              0.001             10.024             65.692             69.452       1291.115          0.726        104.685           1.000           0.421       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          0.565          0.002        881.861          9.673
      1985       196     15/07/1985            271.583              0.167              0.001             10.022             63.727             68.600       1359.265          0.832        123.423           1.000           0.386       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          2.457          0.009        893.959          9.837
      1985       203     22/07/1985            271.584              0.185              0.001             10.021             62.158             67.888       1429.715          0.918        138.433           1.000           0.303       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          4.235          0.016        905.613          9.996
      1985       211     30/07/1985            271.584              0.200              0.001             10.020             61.082             67.398       1527.665          1.003        151.087           1.000           0.282       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          6.428          0.024        918.728         10.174
      1985       218     06/08/1985            271.585              0.220              0.001             10.019             59.632             66.676       1610.715          1.086        166.658           1.000           0.262       1000.000           1.000          alive          0.000            1.000              1.000                 1.000          8.712          0.032        929.797         10.325
      1985       225     13/08/1985            271.585              0.246              0.001             10.017             57.831             65.712       1700.415          1.162        185.269           1.000           0.229       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         11.607          0.043        940.741         10.473
      1985       232     20/08/1985            271.586              0.257              0.001             10.016             56.432             64.923       1796.865          1.225        199.105           1.000           0.202       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         15.549          0.057        952.017         10.625
      1985       239     27/08/1985            271.586              0.269              0.001             10.015             55.107             64.132       1899.365          1.281        211.396           1.000           0.187       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         20.393          0.075        963.846         10.782
      1985       246     03/09/1985            271.586              0.272              0.001             10.014             53.657             63.209       1996.015          1.322        225.625           1.000           0.173       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         26.456          0.097        976.090         10.943
      1985       253     10/09/1985            271.587              0.262              0.001             10.013             52.502             62.430       2083.765          1.311        238.419           1.000           0.178       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         34.447          0.126        989.497         11.118
      1985       260     17/09/1985            139.711            106.858              5.512             36.746             79.151             66.090       2185.480          1.346        279.199           1.000           0.422       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         41.082          0.150        919.416         10.357
      1985       267     24/09/1985            134.829            103.591              3.061             26.830             69.829             63.545       2282.880          1.429        379.573           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         54.085          0.198        789.260          8.922
      1985       274     01/10/1985            132.063            100.065              1.615             21.655             60.945             60.543       2383.780          1.527        465.699           0.864           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000         76.992          0.282        724.322          8.213
      1985       281     08/10/1985            131.830             96.762              0.783             19.098             55.079             58.078       2485.230          1.552        520.178           0.945           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        104.407          0.382        697.302          7.929
      1985       288     15/10/1985            131.910             93.383              0.282             17.061             50.496             55.691       2598.380          1.546        567.078           0.532           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        137.095          0.502        686.993          7.834
      1985       295     22/10/1985             66.747            138.490             12.563             33.705             77.909             62.426       2721.530          1.620        654.875           0.882           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        153.585          0.563        596.883          6.833
      1985       302     29/10/1985             64.950            134.481             10.487             26.061             69.460             60.424       2839.930          1.703        743.832           0.882           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        191.949          0.703        504.285          5.801
      1985       309     05/11/1985             64.183            131.037              9.036             21.483             61.215             58.013       2957.080          1.781        821.284           0.790           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        242.721          0.889        451.774          5.220
      1985       316     12/11/1985             64.195            127.770              8.027             19.047             54.759             55.652       3083.130          1.795        871.027           0.568           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        297.081          1.088        424.521          4.926
      1985       323     19/11/1985             64.301            125.870              7.308             17.091             50.268             53.591       3207.130          1.788        908.547           0.426           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        356.258          1.305        410.835          4.787
      1985       330     26/11/1985             31.693            135.986             22.467             30.428             74.590             61.124       3342.930          1.971       1025.759           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        355.147          1.301        354.349          4.149
      1985       337     03/12/1985             31.333            131.811             21.820             23.451             64.554             58.550       3473.793          2.094       1109.463           0.682           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        410.809          1.505        320.051          3.765
      1985       344     10/12/1985             31.163            128.042             21.293             20.045             57.077             56.127       3605.606          2.176       1180.672           0.483           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        478.655          1.753        306.274          3.618
      1985       351     17/12/1985             31.271            126.813             20.975             17.875             51.881             54.008       3742.613          2.168       1218.740           0.303           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        549.465          2.013        303.561          3.600
      1985       358     24/12/1985             15.146            125.126             34.105             34.037             77.046             60.512       3875.700          2.301       1304.407           0.655           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        546.328          2.001        283.717          3.378
      1985       365     31/12/1985             14.796            120.393             33.669             24.101             66.070             57.967       4012.708          2.301       1398.026           0.792           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        567.605          2.079        259.443          3.101
      1986         7     07/01/1986             14.980            119.239             33.507             20.185             58.126             55.628       4148.812          2.274       1450.022           0.476           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        652.115          2.389        253.300          3.038
      1986        14     14/01/1986             15.086            118.219             33.332             17.848             52.607             53.579       4284.382          2.238       1481.193           0.298           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        740.439          2.712        256.107          3.081
      1986        21     21/01/1986              6.336            108.057             49.917             37.505             79.416             64.308       4417.746          2.262       1539.627           0.738           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        720.450          2.639        245.251          2.959
      1986        28     28/01/1986              5.749            105.181             49.561             25.941             71.137             62.272       4545.456          2.283       1625.488           0.877           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        703.318          2.576        227.634          2.754
      1986        35     04/02/1986              5.799            102.085             49.115             21.629             64.649             60.394       4664.106          2.315       1708.971           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        772.950          2.831        224.624          2.724
      1986        42     11/02/1986              5.910             99.881             48.711             18.984             57.142             57.724       4794.883          2.299       1759.054           0.406           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        876.586          3.211        224.390          2.727
      1986        49     18/02/1986              6.006             99.239             48.544             16.911             51.924             55.390       4923.661          2.283       1796.636           0.333           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        982.075          3.597        230.275          2.805
      1986        56     25/02/1986              1.737             89.840             57.063             33.953             76.511             60.900       5055.099          2.404       1894.953           0.585           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        953.181          3.492        221.974          2.708
      1986        63     04/03/1986              1.502             87.313             56.668             24.131             65.806             58.331       5186.771          2.446       1980.443           0.837           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000        950.867          3.483        209.922          2.565
      1986        70     11/03/1986              1.438             85.426             56.273             20.234             58.590             56.166       5310.221          2.414       2036.100           0.707           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       1032.470          3.782        211.827          2.593
      1986        77     18/03/1986              1.516             85.357             56.217             17.843             52.996             54.074       5436.171          2.336       2073.760           0.531           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       1148.568          4.207        219.379          2.690
      1986        84     25/03/1986              0.260             73.437             67.994             39.060             80.374             65.554       5556.921          2.375       2121.417           0.775           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       1183.197          4.334        220.964          2.713
      1986        91     01/04/1986              0.244             71.326             67.618             30.758             74.879             64.468       5674.471          2.489       2197.018           1.000           1.000       1000.000           1.000          alive          0.000            1.000              1.000                 1.000       1187.213          4.349        217.591          2.674
      1986        92     02/04/1986              0.246             71.148             67.565             29.994             74.340             64.334          0.000          0.000          0.000           1.000           1.000       1000.000           1.000            out          0.000            0.000              0.000                 0.000       6205.346         32.919       2235.344         53.166
      1986        98     08/04/1986              0.469             66.903             63.006             24.177             74.172             64.398          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000       1736.674         40.980
      1986       105     15/04/1986              0.592             64.395             60.207             21.629             73.965             64.470          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000       1387.396         32.482
      1986       112     22/04/1986              0.719             63.368             58.832             19.553             73.750             64.541          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000       1169.776         27.205
      1986       119     29/04/1986              0.854             63.100             58.206             17.773             73.525             64.610          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000       1009.123         23.321
      1986       126     06/05/1986              1.000             63.257             58.096             16.203             73.288             64.676          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        891.328         20.482
      1986       133     13/05/1986              1.157             63.777             58.261             14.792             73.042             64.741          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        800.864         18.307
      1986       140     20/05/1986              1.326             64.526             58.655             13.505             72.787             64.804          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        731.823         16.653
      1986       147     27/05/1986              1.505             65.430             59.227             12.320             72.526             64.865          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        677.736         15.361
      1986       154     03/06/1986              1.694             66.353             59.893             11.221             72.259             64.924          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        636.823         14.387
      1986       161     10/06/1986              1.893             67.311             60.632             10.194             71.986             64.981          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        604.474         13.619
      1986       168     17/06/1986              2.099             68.385             61.456             10.031             71.713             65.035          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        576.884         12.968
      1986       175     24/06/1986              2.307             69.487             62.318             10.031             71.445             65.088          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        554.105         12.432
      1986       182     01/07/1986              2.516             70.506             63.162             10.030             71.180             65.139          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        536.286         12.016
      1986       189     08/07/1986              2.728             71.712             64.091             10.030             70.920             65.188          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        519.892         11.634
      1986       196     15/07/1986              2.941             72.843             64.993             10.030             70.664             65.235          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        506.480         11.324
      1986       203     22/07/1986              3.156             74.004             65.905             10.029             70.412             65.280          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        494.929         11.059
      1986       211     30/07/1986              3.404             75.247             66.908             10.029             70.128             65.330          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        484.048         10.811
      1986       218     06/08/1986              3.623             76.255             67.743             10.029             69.884             65.371          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        476.142         10.631
      1986       225     13/08/1986              3.844             77.247             68.564             10.029             69.643             65.411          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        469.206         10.475
      1986       232     20/08/1986              4.066             78.345             69.416             10.028             69.407             65.449          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        462.580         10.327
      1986       239     27/08/1986              4.289             79.371             70.228             10.028             69.173             65.486          0.000          0.000          0.000           0.000           0.000          0.000           0.000            out          0.000            0.000              0.000                 0.000          0.000          0.000        456.820         10.198
      1986       246     03/09/1986              3.240             79.080             73.442             41.878             82.036             68.032         27.400          0.000          0.000           0.143           0.000        600.000           0.286          alive          0.000            1.000              1.000                 1.000          0.000          0.000        432.394          9.630
      1986       253     10/09/1986              3.261             77.478             76.973             33.485             79.973             70.970        128.232          0.000          0.000           1.000           0.000        600.000           1.000          alive          0.000            1.000              1.000                 1.000          0.000          0.000        365.108          8.059
