Summary_file = step1.sum
Title = Step 1. All off.
           date     root_depth       sw_index  transpiration       sw_dep()
     02/06/1957       1250.000           ????          0.000        265.455
     03/06/1957       1250.000           ????          0.000        265.203
     04/06/1957       1250.000           ????          0.000        264.955
     05/06/1957       1250.000           ????          0.000        264.711
     06/06/1957       1250.000           ????          0.000        264.471
     07/06/1957       1250.000           ????          0.000        264.314
     08/06/1957       1250.000           ????          0.000        264.158
     09/06/1957       1250.000           ????          0.000        264.004
     10/06/1957       1250.000           ????          0.000        263.775
     11/06/1957       1250.000           ????          0.000        263.549
     12/06/1957       1250.000           ????          0.000        263.326
     13/06/1957       1250.000           ????          0.000        263.107
     14/06/1957       1250.000           ????          0.000        262.891
     15/06/1957       1250.000           ????          0.000        262.679
     16/06/1957       1250.000           ????          0.000        262.539
     17/06/1957       1250.000           ????          0.000        262.400
     18/06/1957       1250.000           ????          0.000        262.263
     19/06/1957       1250.000           ????          0.000        262.127
     20/06/1957       1250.000           ????          0.000        261.992
     21/06/1957       1250.000           ????          0.000        279.302
     22/06/1957       1250.000           ????          0.000        278.102
     23/06/1957       1250.000           ????          0.000        277.163
     24/06/1957       1250.000           ????          0.000        276.383
     25/06/1957       1250.000           ????          0.000        275.711
     26/06/1957       1250.000           ????          0.000        275.119
     27/06/1957       1250.000           ????          0.000        274.591
     28/06/1957       1250.000           ????          0.000        274.114
     29/06/1957       1250.000           ????          0.000        273.463
     30/06/1957       1250.000           ????          0.000        272.890
     01/07/1957       1250.000           ????          0.000        276.541
     02/07/1957       1250.000           ????          0.000        292.113
     03/07/1957       1250.000           ????          0.000        290.279
     04/07/1957       1250.000           ????          0.000        289.299
     05/07/1957       1250.000           ????          0.000        288.418
     06/07/1957       1250.000           ????          0.000        287.612
     07/07/1957       1250.000           ????          0.000        287.791
     08/07/1957       1250.000           ????          0.000        287.033
     09/07/1957       1250.000           ????          0.000        286.327
     10/07/1957       1250.000           ????          0.000        285.664
     11/07/1957       1250.000           ????          0.000        285.039
     12/07/1957       1250.000           ????          0.000        284.447
     13/07/1957       1250.000           ????          0.000        283.883
     14/07/1957       1250.000           ????          0.000        283.344
     15/07/1957       1250.000           ????          0.000        282.828
     16/07/1957       1250.000           ????          0.000        283.023
     17/07/1957       1250.000           ????          0.000        282.268
     18/07/1957       1250.000           ????          0.000        281.555
     19/07/1957       1250.000           ????          0.000        280.880
     20/07/1957       1250.000           ????          0.000        281.188
     21/07/1957       1250.000           ????          0.000        282.423
     22/07/1957       1250.000           ????          0.000        281.702
     23/07/1957       1250.000           ????          0.000        281.020
     24/07/1957       1250.000           ????          0.000        280.371
     25/07/1957       1250.000           ????          0.000        279.752
     26/07/1957       1250.000           ????          0.000        285.274
     27/07/1957       1250.000           ????          0.000        286.950
     28/07/1957       1250.000           ????          0.000        286.153
     29/07/1957       1250.000           ????          0.000        284.904
     30/07/1957       1250.000           ????          0.000        283.921
     31/07/1957       1250.000           ????          0.000        283.107
     01/08/1957       1250.000           ????          0.000        282.347
     02/08/1957       1250.000           ????          0.000        281.630
     03/08/1957       1250.000           ????          0.000        280.951
     04/08/1957       1250.000           ????          0.000        280.305
     05/08/1957       1250.000           ????          0.000        279.689
     06/08/1957       1250.000           ????          0.000        279.100
     07/08/1957       1250.000           ????          0.000        278.535
     08/08/1957       1250.000           ????          0.000        277.991
     09/08/1957       1250.000           ????          0.000        277.294
     10/08/1957       1250.000           ????          0.000        276.628
     11/08/1957       1250.000           ????          0.000        275.992
     12/08/1957       1250.000           ????          0.000        275.383
     13/08/1957       1250.000           ????          0.000        274.798
     14/08/1957       1250.000           ????          0.000        274.375
     15/08/1957       1250.000           ????          0.000        273.965
     16/08/1957       1250.000           ????          0.000        280.915
     17/08/1957       1250.000           ????          0.000        281.654
     18/08/1957       1250.000           ????          0.000        280.335
     19/08/1957       1250.000           ????          0.000        279.310
     20/08/1957       1250.000           ????          0.000        278.680
     21/08/1957       1250.000           ????          0.000        278.125
     22/08/1957       1250.000           ????          0.000        277.597
     23/08/1957       1250.000           ????          0.000        282.812
     24/08/1957       1250.000           ????          0.000        281.568
     25/08/1957       1250.000           ????          0.000        280.262
     26/08/1957       1250.000           ????          0.000        279.245
     27/08/1957       1250.000           ????          0.000        278.410
     28/08/1957       1250.000           ????          0.000        277.692
     29/08/1957       1250.000           ????          0.000        277.008
     30/08/1957       1250.000           ????          0.000        276.356
     31/08/1957       1250.000           ????          0.000        275.731
     01/09/1957       1250.000           ????          0.000        275.133
     02/09/1957       1250.000           ????          0.000        274.557
     03/09/1957       1250.000           ????          0.000        274.003
     04/09/1957       1250.000           ????          0.000        273.468
     05/09/1957       1250.000           ????          0.000        272.952
     06/09/1957       1250.000           ????          0.000        272.453
     07/09/1957       1250.000           ????          0.000        272.808
     08/09/1957       1250.000           ????          0.000        272.190
     09/09/1957       1250.000           ????          0.000        271.596
     10/09/1957       1250.000           ????          0.000        271.025
     11/09/1957       1250.000           ????          0.000        270.474
     12/09/1957       1250.000           ????          0.000        269.942
     13/09/1957       1250.000           ????          0.000        269.428
     14/09/1957       1250.000           ????          0.000        268.931
     15/09/1957       1250.000           ????          0.000        268.449
     16/09/1957       1250.000           ????          0.000        267.982
     17/09/1957       1250.000           ????          0.000        267.529
     18/09/1957       1250.000           ????          0.000        267.089
     19/09/1957       1250.000           ????          0.000        266.662
     20/09/1957       1250.000           ????          0.000        266.246
     21/09/1957       1250.000           ????          0.000        265.841
     22/09/1957       1250.000           ????          0.000        265.446
     23/09/1957       1250.000           ????          0.000        264.985
     24/09/1957       1250.000           ????          0.000        264.538
     25/09/1957       1250.000           ????          0.000        264.103
     26/09/1957       1250.000           ????          0.000        263.681
     27/09/1957       1250.000           ????          0.000        263.271
     28/09/1957       1250.000           ????          0.000        262.872
     29/09/1957       1250.000           ????          0.000        262.483
     30/09/1957       1250.000           ????          0.000        262.105
     01/10/1957       1250.000           ????          0.000        262.710
     02/10/1957       1250.000           ????          0.000        262.326
     03/10/1957       1250.000           ????          0.000        261.952
     04/10/1957       1250.000           ????          0.000        261.587
     05/10/1957       1250.000           ????          0.000        261.231
     06/10/1957       1250.000           ????          0.000        260.884
     07/10/1957       1250.000           ????          0.000        260.545
     08/10/1957       1250.000           ????          0.000        260.214
     09/10/1957       1250.000           ????          0.000        259.891
     10/10/1957       1250.000           ????          0.000        259.575
     11/10/1957       1250.000           ????          0.000        259.266
     12/10/1957       1250.000           ????          0.000        258.964
     13/10/1957       1250.000           ????          0.000        258.669
     14/10/1957       1250.000           ????          0.000        258.380
     15/10/1957       1250.000           ????          0.000        258.097
     16/10/1957       1250.000           ????          0.000        257.820
     17/10/1957       1250.000           ????          0.000        257.549
     18/10/1957       1250.000           ????          0.000        257.284
     19/10/1957       1250.000           ????          0.000        257.023
     20/10/1957       1250.000           ????          0.000        256.768
     21/10/1957       1250.000           ????          0.000        256.518
     22/10/1957       1250.000           ????          0.000        256.273
     23/10/1957       1250.000           ????          0.000        256.032
     24/10/1957       1250.000           ????          0.000        255.796
     25/10/1957       1250.000           ????          0.000        257.525
     26/10/1957       1250.000           ????          0.000        257.260
     27/10/1957       1250.000           ????          0.000        258.857
     28/10/1957       1250.000           ????          0.000        258.505
     29/10/1957       1250.000           ????          0.000        272.925
     30/10/1957       1250.000           ????          0.000        292.150
     31/10/1957       1250.000           ????          0.000        290.558
     01/11/1957       1250.000           ????          0.000        288.155
     02/11/1957       1250.000           ????          0.000        287.844
     03/11/1957       1250.000           ????          0.000        298.333
     04/11/1957       1250.000           ????          0.000        295.427
     05/11/1957       1250.000           ????          0.000        299.595
     06/11/1957       1250.000           ????          0.000        303.351
     07/11/1957       1250.000           ????          0.000        298.612
     08/11/1957       1250.000           ????          0.000        294.967
     09/11/1957       1250.000           ????          0.000        292.064
     10/11/1957       1250.000           ????          0.000        289.454
     11/11/1957       1250.000           ????          0.000        287.317
     12/11/1957       1250.000           ????          0.000        285.528
     13/11/1957       1250.000           ????          0.000        284.178
     14/11/1957       1250.000           ????          0.000        282.825
     15/11/1957       1250.000           ????          0.000        281.622
     16/11/1957       1250.000           ????          0.000        280.535
     17/11/1957       1250.000           ????          0.000        279.540
     18/11/1957       1250.000           ????          0.000        278.618
     19/11/1957       1250.000           ????          0.000        277.758
     20/11/1957       1250.000           ????          0.000        276.949
     21/11/1957       1250.000           ????          0.000        276.185
     22/11/1957       1250.000           ????          0.000        275.460
     23/11/1957       1250.000           ????          0.000        282.410
     24/11/1957       1250.000           ????          0.000        281.033
     25/11/1957       1250.000           ????          0.000        280.000
     26/11/1957       1250.000           ????          0.000        282.123
     27/11/1957       1250.000           ????          0.000        280.824
     28/11/1957       1250.000           ????          0.000        279.837
     29/11/1957       1250.000           ????          0.000        278.925
     30/11/1957       1250.000           ????          0.000        278.065
     01/12/1957       1250.000           ????          0.000        277.252
     02/12/1957       1250.000           ????          0.000        276.480
     03/12/1957       1250.000           ????          0.000        275.745
     04/12/1957       1250.000           ????          0.000        276.949
     05/12/1957       1250.000           ????          0.000        276.192
     06/12/1957       1250.000           ????          0.000        275.471
     07/12/1957       1250.000           ????          0.000        274.782
     08/12/1957       1250.000           ????          0.000        274.124
     09/12/1957       1250.000           ????          0.000        273.403
     10/12/1957       1250.000           ????          0.000        272.714
     11/12/1957       1250.000           ????          0.000        272.056
     12/12/1957       1250.000           ????          0.000        271.425
     13/12/1957       1250.000           ????          0.000        270.820
     14/12/1957       1250.000           ????          0.000        278.369
     15/12/1957       1250.000           ????          0.000        276.592
     16/12/1957       1250.000           ????          0.000        284.003
     17/12/1957       1250.000           ????          0.000        287.441
     18/12/1957       1250.000           ????          0.000        285.481
     19/12/1957       1250.000           ????          0.000        284.144
     20/12/1957       1250.000           ????          0.000        282.929
     21/12/1957       1250.000           ????          0.000        281.810
     22/12/1957       1250.000           ????          0.000        280.771
     23/12/1957       1250.000           ????          0.000        279.802
     24/12/1957       1250.000           ????          0.000        278.891
     25/12/1957       1250.000           ????          0.000        278.034
     26/12/1957       1250.000           ????          0.000        277.222
     27/12/1957       1250.000           ????          0.000        276.452
     28/12/1957       1250.000           ????          0.000        275.719
     29/12/1957       1250.000           ????          0.000        275.019
     30/12/1957       1250.000           ????          0.000        274.351
     31/12/1957       1250.000           ????          0.000        273.710
     01/01/1958       1250.000           ????          0.000        274.055
