Summary_file = oryza-wnl.sum
Title = oryza Sample Simulation - water and N limited
      year       day   plant_status      crop_type   cropsta       dae            dvs            dvr             hu         lrstrs         ldstrs         lestrs           pcew         tnsoil           nflv           fnlv           nacr           ancr           anso           anlv         rnstrs           wagt            wso            wst           wlvg           wlvd           dtga            gcr           rlai           ssga            zrt            eff            etd           etrd           etae            trc
    (year)     (day)             ()             ()        ()        ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()       (mm/day)             ()             ()             ()
      1992        73          alive           rice         4        70          0.883          0.014         17.562          0.388          1.000          0.217          0.526         57.573          1.472          0.036          0.262         31.897          1.045         17.804          1.000       1344.089         59.725        748.900        490.075         45.389        133.638         48.103          1.209          0.000          0.400          0.431          5.638          4.228          1.409          3.619
      1992        74          alive           rice         4        71          0.898          0.014         18.417          0.357          1.000          0.206          0.502         57.693          1.473          0.036          0.188         32.085          1.234         17.783          1.000       1377.787         70.495        767.104        489.596         50.593        126.715         42.533          1.207          0.000          0.400          0.426          5.932          4.449          1.483          3.812
      1992        75          alive           rice         4        72          0.912          0.014         18.170          0.326          1.000          0.195          0.478         57.868          1.478          0.036          0.188         32.273          1.422         17.762          1.000       1408.149         81.251        782.979        487.862         56.057        116.968         37.667          1.201          0.000          0.400          0.426          5.264          3.948          1.316          3.377
      1992        76          alive           rice         4        73          0.926          0.014         17.550          0.301          1.000          0.187          0.459         58.019          1.486          0.037          0.216         32.489          1.638         17.739          1.000       1439.886         93.579        799.031        485.514         61.762        115.776         38.569          1.194          0.000          0.400          0.433          6.077          4.557          1.519          3.883
      1992        77          alive           rice         4        74          0.940          0.014         17.760          0.273          0.968          0.177          0.437         58.122          1.491          0.038          0.204         32.693          1.842         17.653          1.000       1467.547        105.237        812.565        466.504         83.241        107.335         32.928          1.184          0.000          0.400          0.426          5.712          4.284          1.428          3.631
      1992        78          alive           rice         4        75          0.954          0.014         18.233          0.249          0.939          0.169          0.419         58.222          1.604          0.039          0.174         32.893          2.042         17.577          1.000       1492.716        116.686        824.458        449.397        102.175         99.530         29.231          1.096          0.000          0.400          0.425          5.323          3.992          1.331          3.360
      1992        79          alive           rice         4        76          0.969          0.015         19.150          0.929          1.000          0.457          1.000         58.447          1.654          0.037          1.285         34.293          2.915         17.667          1.000       1594.700        166.576        870.902        477.630         79.592        254.396        106.596          1.068          0.000          0.400          0.429          3.375          2.531          0.844          1.992
      1992        80          alive           rice         4        77          0.984          0.015         18.953          0.925          1.000          0.416          1.000         57.597          1.428          0.037          1.742         36.196          4.152         17.641          1.000       1729.270        237.255        929.762        476.054         86.199        325.859        139.050          1.235          0.000          0.400          0.425          5.801          4.351          1.450          3.349
      1992        81          alive           rice         4        78          0.999          0.015         18.990          0.835          1.000          0.371          0.872         56.320          1.528          0.037          1.259         37.606          5.316         17.614          1.000       1847.835        303.756        979.506        471.523         93.049        292.449        120.867          1.153          0.000          0.400          0.423          5.995          4.496          1.499          3.924
      1992        82          alive           rice         4        79          1.013          0.014         17.850          0.740          1.000          0.338          0.798         55.537          1.550          0.038          0.966         38.686          6.184         17.585          1.000       1931.009        353.379       1012.917        464.616        100.097        211.853         83.327          1.134          0.000          0.400          0.436          3.565          2.674          0.891          2.199
      1992        83          alive           rice         4        80          1.045          0.032         18.045          0.687          1.000          0.320          0.758         55.046          1.573          0.038          1.321         40.164          7.386         17.557          1.000       2020.628        422.071       1033.844        457.550        107.163        238.616        109.877          1.116          0.000          0.400          0.425          6.349          4.762          1.587          3.862
      1992        84          alive           rice         4        81          1.077          0.032         18.000          0.615          1.000          0.295          0.702         54.190          1.600          0.039          0.985         41.297          8.519         17.528          1.000       2095.433        486.793       1043.927        450.345        114.368        206.551         93.861          1.096          0.000          0.400          0.432          5.149          3.862          1.287          3.088
      1992        85          alive           rice         4        82          1.109          0.032         18.047          0.563          1.000          0.277          0.661         53.655          1.627          0.040          0.879         42.307          9.530         17.499          1.000       2154.313        544.543       1045.057        443.013        121.700        175.073         76.614          1.076          0.000          0.400          0.428          4.427          3.320          1.107          2.613
