APSIM output file, version = 5.3
Title = p10N175
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1984            114     23/04/1984        627.200              19.051            171.059         12.432          2.448          1.910          1.956          1.165          1.196          1.168          1.113          1.078          1.070          0.000          0.029        132.663          0.705          1.388         33.380         97.741       1356.790         357.559          0.179          0.257          0.270          0.280          0.287          0.291          0.297          0.299          0.300          0.300        481.466         95.616          0.029          0.029                 0.361                 0.358                 0.880             56       2864.320       6748.374          0.636          9.467       1700.000         87.960         13.495         12.411         16.656         34.285         24.983         14.715          7.835          4.260          2.456          1.567         74.230         39.950              ?              ?              ?
           1985             95     05/04/1985       1049.100              56.605            494.720         10.944          2.422          1.863          1.938          1.138          1.154          1.107          1.074          1.065          1.059          0.000          0.034         40.773          0.649          1.419         37.586         94.647       1356.191         406.220          0.207          0.275          0.285          0.293          0.297          0.299          0.300          0.300          0.300          0.300        494.436        106.437          0.000          0.000                 0.378                 0.375                 0.880             38       3129.128       8795.367          0.737         13.956       1700.000        130.312          6.283          2.393          2.225          4.059          3.711          3.291          3.426          4.056          5.064          6.265         75.018        104.025              ?              ?              ?
           1986            107     17/04/1986        931.300              60.475            406.042         11.224          2.494          1.907          1.953          1.156          1.184          1.140          1.111          1.069          1.062          0.000          0.041         67.238          0.606          1.759         43.120         95.829       1356.037         390.587          0.200          0.265          0.277          0.286          0.292          0.296          0.299          0.300          0.300          0.300        488.682        100.700          0.000          0.000                 0.355                 0.353                 0.896             49       2824.242       8359.676          0.673         13.201       1700.000        132.104          8.373          3.818          4.193          8.771          8.151          6.835          6.617          6.601          6.788          7.091         75.744         96.085              ?              ?              ?
           1987             96     06/04/1987        650.000              30.944            252.444         12.561          2.604          1.964          2.048          1.209          1.212          1.165          1.108          1.074          1.060          0.000          0.044        107.881          0.780          2.116         49.944        116.951       1358.437         305.405          0.210          0.276          0.284          0.285          0.252          0.251          0.271          0.287          0.296          0.300        465.675         77.675          0.064          0.064                 0.359                 0.356                 0.866             43       1814.036       6358.545          0.476         10.534       1700.000        102.779         14.137         12.047         13.851         25.448         15.702          9.643          6.900          4.712          3.203          2.237         76.333         47.720              ?              ?              ?
           1988             96     05/04/1988        919.200             107.439            450.033         11.127          2.436          1.905          1.960          1.158          1.184          1.155          1.121          1.073          1.061          0.000          0.044        102.539          0.624          2.423         53.525        101.413       1357.776         300.285          0.219          0.267          0.278          0.287          0.293          0.296          0.299          0.300          0.300          0.300        491.357        103.357          0.023          0.023                 0.345                 0.342                 0.897             40       3119.958       7114.137          0.681         10.067       1700.000        102.718          5.630          2.591          3.522         12.440         16.118         16.562         14.710         12.298         10.150          8.518         77.373        118.093              ?              ?              ?
           1989            104     14/04/1989        826.400              42.744            334.253         11.126          2.341          1.864          1.935          1.134          1.161          1.134          1.095          1.063          1.056          0.000          0.037         81.550          0.711          1.535         37.139        104.831       1358.705         372.404          0.193          0.267          0.275          0.276          0.268          0.272          0.283          0.294          0.299          0.300        471.776         84.505          0.000          0.000                 0.364                 0.361                 0.909             45       3560.699       8088.586          0.743         11.821       1700.000        114.300          7.371          3.328          3.661         10.774         12.191         11.655         10.764          9.142          7.219          5.446         77.809         81.104              ?              ?              ?
           1990             86     27/03/1990        812.500              58.166            396.926         11.336          2.434          1.895          1.963          1.144          1.173          1.136          1.094          1.060          1.054          0.000          0.054         73.555          1.016          2.284         55.894        113.115       1359.974         297.899          0.288          0.277          0.263          0.271          0.276          0.280          0.287          0.295          0.299          0.300        484.266         96.266          0.054          0.054                 0.378                 0.380                 0.886             29       2845.906       7747.164          0.639         11.651       1700.000        104.274          5.911          3.259          2.271          6.094          7.961          8.836          9.985         10.292          9.918          9.027         78.280        110.000              ?              ?              ?
           1991             84     25/03/1991        811.400              58.130            252.839         13.199          2.467          1.897          1.957          1.136          1.157          1.119          1.085          1.058          1.052          0.000          0.032        107.477          1.123          1.119         29.347        117.731       1363.132         379.865          0.275          0.294          0.299          0.301          0.302          0.302          0.303          0.303          0.303          0.303        510.024        122.024          0.000          0.000                 0.342                 0.339                 0.918             31       3483.388       8475.079          0.799         12.234       1700.000        128.058          9.507          9.107         11.281         25.209         20.917         13.855          8.021          4.673          2.917          1.991         78.699         54.912              ?              ?              ?
           1992             68     08/03/1992         87.100               2.582             29.256         14.031          3.040          2.096          2.115          1.179          1.159          1.133          1.086          1.053          1.046          0.000          0.056        161.972          1.091          2.434         62.800        118.333       1364.551         119.100          0.158          0.200          0.204          0.204          0.208          0.219          0.253          0.278          0.292          0.298        406.834         23.084         41.396         41.396                 0.298                 0.307                 0.882             23        912.723       4090.449          0.233          6.751       1700.000         75.377        134.734         16.283          3.550          2.230          1.204          0.935          1.028          0.789          0.615          0.606         79.799          1.121              ?              ?              ?
           1993             91     01/04/1993        775.000              99.492            323.088         12.931          2.454          1.870          1.929          1.147          1.181          1.132          1.079          1.059          1.053          0.000          0.055        128.454          0.765          2.630         63.409        112.831       1365.027         297.331          0.160          0.246          0.265          0.277          0.286          0.291          0.296          0.300          0.300          0.300        477.073         93.034          0.144          0.144                 0.326                 0.324                 0.875             33       2109.072       5519.273          0.461          8.330       1700.000         77.491         13.128          9.860         12.687         26.259         20.617         14.139         10.320          8.531          7.148          5.765         80.897         76.376              ?              ?              ?
