Summary_file = referenc.sum
Title = sugar reference run
   year    day           date         no3(1)         no3(2)         no3(3)      sw_dep(1)      sw_dep(2)      sw_dep(3)       tt_tot()            lai        biomass avg@swdef_phot avg@nfact_phot     root_depth avg@oxdef_phot    crop_status      dm_dead()     residue_wt      residue_n        fom_c()        fom_n()
 (year)  (day)             ()        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)           (oC)      (m^2/m^2)        (g/m^2)             ()             ()           (mm)          (0-1)             ()        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)
   1987     35     04/02/1987          0.839          2.242          4.380         37.033         77.861         68.526       2731.205          5.457       2071.912          0.883          1.000       1000.000          1.000          alive          0.000        258.089          0.945        112.931          1.810
   1987     42     11/02/1987          0.167          0.467          1.018         34.068         74.934         67.603       2862.055          5.191       2201.240          0.951          1.000       1000.000          1.000          alive          0.000        367.775          1.347        116.613          1.836
   1987     49     18/02/1987          0.061          0.160          0.151         45.068         79.832         67.850       2987.705          4.992       2335.134          0.970          1.000       1000.000          1.000          alive          0.000        522.098          1.913        125.794          1.938
   1987     56     25/02/1987          0.073          0.156          0.117         39.263         78.525         67.527       3114.835          4.825       2468.259          0.883          1.000       1000.000          1.000          alive          0.000        714.909          2.619        136.039          2.056
   1987     63     04/03/1987          0.114          0.173          0.113         33.938         75.034         67.376       3247.201          4.619       2581.692          0.843          1.000       1000.000          1.000          alive          0.000        936.658          3.431        145.308          2.161
   1987     70     11/03/1987          0.063          0.152          0.104         45.393         80.647         68.372       3376.138          4.366       2680.031          0.986          1.000       1000.000          1.000          alive          0.000       1187.042          4.348        154.946          2.272
   1987     77     18/03/1987          0.062          0.151          0.090         45.282         79.669         69.232       3499.188          4.151       2764.181          0.968          1.000       1000.000          1.000          alive          0.000       1465.516          5.368        165.498          2.396
   1987     84     25/03/1987          0.082          0.150          0.093         37.254         76.462         67.820       3623.738          4.177       2899.529          0.873          1.000       1000.000          1.000          alive          0.000       1757.898          6.439        175.064          2.508
   1987     91     01/04/1987          0.092          0.150          0.084         35.441         76.165         68.918       3744.388          4.146       2985.172          0.910          1.000       1000.000          1.000          alive          0.000       2053.375          7.522        185.373          2.629
   1987     98     08/04/1987          0.073          0.133          0.071         36.937         77.487         70.686       3863.938          4.140       3046.214          1.000          1.000       1000.000          1.000          alive          0.000       2344.480          8.588        196.223          2.758
   1987    105     15/04/1987          0.060          0.122          0.064         38.181         78.393         71.341       3975.938          4.135       3117.651          0.926          1.000       1000.000          1.000          alive          0.000       2628.603          9.629        207.281          2.890
   1987    112     22/04/1987          0.063          0.129          0.066         39.612         79.004         69.663       4088.538          4.119       3188.368          0.979          1.000       1000.000          1.000          alive          0.000       2906.442         10.647        218.395          3.024
   1987    119     29/04/1987          0.074          0.140          0.064         35.363         75.236         68.583       4201.938          4.054       3235.019          1.000          1.000       1000.000          1.000          alive          0.000       3176.867         11.637        229.715          3.160
   1987    126     06/05/1987          0.076          0.137          0.064         36.330         75.876         68.406       4317.388          4.098       3328.895          1.000          1.000       1000.000          1.000          alive          0.000       3440.562         12.603        239.972          3.283
   1987    133     13/05/1987          0.058          0.114          0.053         39.227         79.351         71.102       4428.238          4.057       3379.125          1.000          1.000       1000.000          1.000          alive          0.000       3699.351         13.551        251.537          3.423
   1987    140     20/05/1987          0.051          0.110          0.051         38.552         78.072         69.941       4530.388          4.157       3497.501          0.994          1.000       1000.000          1.000          alive          0.000       3950.145         14.470        262.471          3.555
   1987    147     27/05/1987          0.054          0.108          0.046         38.403         78.339         71.265       4635.588          4.171       3577.504          0.998          1.000       1000.000          1.000          alive          0.000       4196.317         15.372        274.575          3.702
   1987    154     03/06/1987          0.045          0.099          0.039         40.135         80.291         72.600       4730.838          4.171       3652.983          0.979          1.000       1000.000          1.000          alive          0.000       4436.225         16.251        287.225          3.856
   1987    161     10/06/1987          0.061          0.116          0.037         33.629         73.314         70.518       4827.138          4.250       3762.206          0.996          1.000       1000.000          1.000          alive          0.000       4671.413         17.112        300.523          4.018
   1987    168     17/06/1987          0.042          0.091          0.031         39.017         79.174         73.007       4924.988          4.191       3802.104          1.000          1.000       1000.000          1.000          alive          0.000       4902.291         17.958        314.076          4.184
   1987    175     24/06/1987          0.064          0.115          0.031         34.492         74.154         71.334       5027.238          4.164       3868.127          1.000          1.000       1000.000          1.000          alive          0.000       5126.151         18.778        326.534          4.337
   1987    182     01/07/1987          0.051          0.101          0.030         35.332         74.349         69.739       5116.738          4.315       4022.786          1.000          1.000       1000.000          1.000          alive          0.000       5346.233         19.584        339.394          4.494
   1987    189     08/07/1987          0.041          0.091          0.027         37.053         76.366         69.420       5199.189          4.364       4109.708          1.000          1.000       1000.000          1.000          alive          0.000       5561.523         20.373        353.907          4.673
   1987    196     15/07/1987          0.033          0.079          0.025         39.392         78.719         69.028       5279.089          4.423       4197.829          1.000          1.000       1000.000          1.000          alive          0.000       5770.980         21.140        369.195          4.861
   1987    203     22/07/1987          0.036          0.083          0.024         40.974         79.052         68.281       5359.889          4.508       4294.226          1.000          1.000       1000.000          1.000          alive          0.000       5973.218         21.881        384.388          5.048
   1987    211     30/07/1987          0.039          0.079          0.020         38.258         77.715         69.189       5453.989          4.574       4439.170          1.000          1.000       1000.000          1.000          alive          0.000       6197.110         22.701        401.068          5.254
   1987    218     06/08/1987          0.056          0.096          0.020         36.824         75.309         68.009       5554.839          4.677       4587.876          0.993          1.000       1000.000          1.000          alive          0.000       6387.061         23.397        413.037          5.400
   1987    225     13/08/1987          0.041          0.076          0.015         36.959         76.461         70.670       5641.138          4.705       4666.438          0.964          1.000       1000.000          1.000          alive          0.000       6577.316         24.094        428.590          5.592
   1987    232     20/08/1987          0.040          0.079          0.016         38.562         77.167         69.446       5736.089          4.784       4771.678          0.984          1.000       1000.000          1.000          alive          0.000       6760.999         24.767        442.885          5.768
   1987    239     27/08/1987          0.055          0.088          0.018         35.794         74.343         67.767       5827.339          4.952       4906.750          0.910          1.000       1000.000          1.000          alive          0.000       6939.778         25.422        456.999          5.942
   1987    245     02/09/1987          0.043          0.086          0.019         45.431         78.855         67.582          0.000          0.000          0.000          0.735          0.833       1000.000          0.833          alive          0.000      17646.547        100.358        974.277         13.176
   1987    246     03/09/1987          0.126          0.142          0.029         37.871         80.766         68.382         13.400          0.000          0.000          1.000          0.000       1000.000          1.000          alive          0.000          0.000          0.000        965.841         13.062
   1987    253     10/09/1987          0.798          0.267          0.052         30.949         79.903         69.145        107.013          0.008          2.824          1.000          0.000       1000.000          1.000          alive          0.000          0.000          0.000        936.864         12.640
   1987    260     17/09/1987          0.189          0.029          0.014         33.835         80.131         74.049        207.163          0.012          3.399          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        921.283         12.401
   1987    267     24/09/1987          0.309          0.031          0.013         29.639         79.793         74.175        308.213          0.019          4.352          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        906.121         12.170
   1987    274     01/10/1987          0.386          0.038          0.014         26.865         79.435         74.192        409.613          0.030          5.892          1.000          1.000       1000.000          1.000          alive          0.000          0.000          0.000        898.678         12.045
   1987    281     08/10/1987          0.273          0.046          0.014         31.688         79.810         75.928        518.513          0.050          8.572          1.000          0.940       1000.000          1.000          alive          0.000          0.000          0.000        885.371         11.844
   1987    288     15/10/1987          0.444          0.057          0.015         28.045         79.353         75.886        631.163          0.071         11.574          1.000          0.486       1000.000          1.000          alive          0.000          0.000          0.000        871.534         11.638
   1987    295     22/10/1987          0.379          0.072          0.016         36.471         80.477         76.367        749.198          0.088         13.893          1.000          0.281       1000.000          1.000          alive          0.000          0.000          0.000        859.872         11.463
   1987    302     29/10/1987          0.410          0.071          0.015         30.009         79.797         76.726        876.198          0.103         15.918          1.000          0.224       1000.000          1.000          alive          0.000          0.000          0.000        845.084         11.249
   1987    309     05/11/1987          0.491          0.070          0.014         26.866         79.433         76.714        994.598          0.116         17.700          1.000          0.239       1000.000          1.000          alive          0.000          0.000          0.000        836.124         11.112
   1987    316     12/11/1987          0.330          0.084          0.015         33.859         80.089         77.263       1118.124          0.132         19.989          1.000          0.237       1000.000          1.000          alive          0.000          0.000          0.000        827.796         10.986
   1987    323     19/11/1987          0.451          0.079          0.014         28.878         79.663         77.277       1243.374          0.147         23.167          1.000          0.274       1000.000          1.000          alive          0.000          0.134          0.000        814.673         10.797
   1987    330     26/11/1987          0.574          0.095          0.016         25.863         79.055         77.166       1375.206          0.179         27.849          1.000          0.306       1000.000          1.000          alive          0.000          0.191          0.001        807.362         10.686
   1987    337     03/12/1987          0.345          0.095          0.016         32.072         79.773         77.485       1508.878          0.201         31.822          1.000          0.330       1000.000          1.000          alive          0.000          0.247          0.001        796.697         10.533
   1987    344     10/12/1987          0.544          0.106          0.017         27.698         78.688         77.183       1636.354          0.248         39.585          1.000          0.406       1000.000          1.000          alive          0.000          1.199          0.004        785.700         10.376
   1987    351     17/12/1987          0.352          0.106          0.017         33.480         79.556         76.892       1764.349          0.303         49.617          1.000          0.392       1000.000          1.000          alive          0.000          3.749          0.014        775.298         10.227
   1987    358     24/12/1987          0.533          0.117          0.017         28.186         77.607         76.257       1891.521          0.402         65.760          1.000          0.454       1000.000          1.000          alive          0.000          7.762          0.028        763.705         10.064
   1987    365     31/12/1987          0.356          0.104          0.016         31.458         79.026         75.888       2021.366          0.479         80.982          1.000          0.482       1000.000          1.000          alive          0.000         11.317          0.041        754.362          9.931
   1988      1     01/01/1988          0.381          0.106          0.016         30.753         78.776         75.812       2040.066          0.458         79.456          1.000          0.615       1000.000          1.000          alive          0.000         30.874          0.170        753.272          9.915
   1988      2     02/01/1988          0.411          0.108          0.016         30.103         78.527         75.736       2058.316          0.438         78.056          1.000          0.655       1000.000          1.000          alive          0.000         50.094          0.297        752.079          9.898
   1988      3     03/01/1988          0.444          0.112          0.017         29.346         77.903         75.520       2076.116          0.426         79.523          1.000          0.694       1000.000          1.000          alive          0.000         69.705          0.422        750.816          9.880
   1988      4     04/01/1988          0.475          0.115          0.017         28.772         77.645         75.438       2094.116          0.407         78.169          1.000          0.710       1000.000          1.000          alive          0.000         88.941          0.546        749.641          9.863
   1988      5     05/01/1988          0.501          0.118          0.017         28.217         77.350         75.342       2112.316          0.391         76.904          1.000          0.748       1000.000          1.000          alive          0.000        107.856          0.668        748.565          9.847
   1988      6     06/01/1988          0.522          0.120          0.017         27.714         77.128         75.272       2130.916          0.376         75.728          1.000          0.782       1000.000          1.000          alive          0.000        126.450          0.788        747.601          9.833
   1988      7     07/01/1988          0.311          0.123          0.017         40.150         79.962         75.378       2149.066          0.361         74.623          1.000          0.817       1000.000          1.000          alive          0.000        136.556          0.860        746.356          9.816
   1988      8     08/01/1988          0.228          0.114          0.017         37.765         79.811         75.336       2166.866          0.347         73.694          1.000          0.893       1000.000          1.000          alive          0.000        146.980          0.934        745.463          9.802
   1988      9     09/01/1988          0.201          0.111          0.017         35.476         79.511         75.244       2185.281          0.334         72.885          1.000          0.939       1000.000          1.000          alive          0.000        157.989          1.012        744.686          9.791
