Summary_file = output\xifeng_w_n0.sum
Title = Continuous winter wheat at Xifeng with low N
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)      residue_n     residue_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
       151      1962     31/05/1962          0.000          0.000         22.100          0.645              0.229              0.235              0.244              0.251              0.258              0.264              0.270              0.280              0.280         16.485          0.000          0.000        789.869          1.028         71.256              6.271              6.362              5.904              7.877              7.773              6.894             10.224             10.063              9.888          0.000      13999.038        272.239         33.702          0.155         34.874          0.008         34.419        370.515          9.455       1632.530          1.203         0          1.000          1.000        167.528
       181      1962     30/06/1962          2.000          2.000         10.100          0.752              0.218              0.226              0.238              0.248              0.256              0.263              0.270              0.280              0.280         15.838          0.000          0.000        783.379          1.052         81.037             11.445              9.740              7.466              7.844              7.659              6.788             10.138             10.066              9.892          0.000      13970.552        261.250         18.904          0.155         34.874          0.002         95.893        406.407          8.176       2274.230          1.262       179          0.931          1.000        196.519
       181      1962     30/06/1962          2.000          2.000         21.500          0.000              0.299              0.265              0.243              0.248              0.256              0.263              0.270              0.280              0.280          3.405          0.669          0.000        800.805          1.131         81.378              9.062             12.040              7.880              7.854              7.658              6.787             10.138             10.066              9.892          0.013      13969.734        261.244         28.630          0.498         15.871          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000          5.112
       212      1962     31/07/1962          0.000          0.000         85.900          0.000              0.258              0.262              0.270              0.273              0.274              0.276              0.274              0.283              0.283         46.870          7.455          6.150        826.229          1.228         93.371              6.781             14.308             15.279             10.327              8.640              7.365             10.420             10.232             10.019          0.139      13941.477        252.232         15.136          0.108          3.426          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        170.886
       243      1962     31/08/1962          0.000          1.000         74.300          0.000              0.265              0.268              0.276              0.277              0.277              0.277              0.274              0.283              0.283         40.212         13.537         14.572        832.209          1.240        104.745              7.507             16.508             20.157             12.529              9.360              7.701             10.646             10.300             10.036          0.143      13912.146        239.812          9.797          0.061          1.940          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        180.552
       264      1962     21/09/1962          0.000          3.000         55.100          0.000              0.249              0.254              0.266              0.270              0.270              0.271              0.271              0.281              0.281         32.866         11.049         28.026        815.367          1.285        108.820              8.675             15.148             21.345             14.087             10.111              8.067             10.955             10.386             10.045          0.135      13897.833        233.918          8.298          0.040          1.263          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         97.981
       273      1962     30/09/1962          0.000          0.000        105.600          0.000              0.266              0.269              0.273              0.276              0.279              0.281              0.278              0.288              0.288         12.476         40.035         28.263        840.193          9.604        119.691              7.855             14.743             22.619             17.821             13.085              9.896             12.243             11.014             10.415          0.262      13894.690        232.657          8.070          0.030          0.965          0.000          0.000          0.000          0.000        113.420          0.000         0          0.000          0.800         13.654
       304      1962     31/10/1962          0.000          0.000         46.100          2.682              0.246              0.249              0.255              0.265              0.270              0.270              0.270              0.280              0.280         31.068          1.041         44.190        807.313          2.802        106.560              6.162              7.272             15.392             18.395             14.192             10.684             12.947             11.196             10.322          0.135      13888.345        230.233         10.687          0.021          0.684          0.581          0.000        331.667         27.202        409.520          1.608         0          0.903          1.000         55.830
       334      1962     30/11/1962          0.000          0.000         42.500          1.695              0.268              0.270              0.270              0.271              0.271              0.272              0.272              0.282              0.282         13.568          0.000         10.533        824.017          2.274         99.472              2.085              6.319             11.672             17.620             14.881             11.380             13.540             11.493             10.483          0.040      13886.635        229.719         16.703          0.018          0.563          0.002          0.000        524.001         34.391        496.640          2.180         0          1.000          1.000         23.638
       365      1962     31/12/1962          0.000          0.000          0.000          0.001              0.249              0.253              0.261              0.269              0.270              0.270              0.270              0.280              0.280          8.516          0.000          4.151        811.350          2.208         99.365              2.956              6.014             11.312             17.486             14.823             11.338             13.530             11.468             10.440          0.002      13886.375        229.674         22.976          0.016          0.505          0.002          0.000        524.083         29.446        508.220          2.180         0          1.000          1.000         12.700
        31      1963     31/01/1963          0.000          0.000          0.000          0.000              0.231              0.239              0.252              0.262              0.269              0.270              0.270              0.280              0.280          9.675          0.000          0.000        801.675          2.105         99.585              4.064              5.838             11.075             17.031             14.787             11.340             13.533             11.473             10.444          0.000      13885.949        229.635         28.102          0.014          0.451          0.002          0.000        524.100         25.209        510.260          2.180         0          1.000          1.000         14.396
        59      1963     28/02/1963          0.000          0.000          1.500          0.003              0.221              0.230              0.244              0.256              0.264              0.270              0.270              0.280              0.280          9.965          0.000          0.000        793.207          2.036         99.745              5.059              5.802             10.972             16.593             14.518             11.342             13.536             11.476             10.448          0.000      13885.700        229.637         32.084          0.014          0.451          0.002          0.000        524.414         21.924        529.580          2.180         0          1.000          1.000         36.106
        90      1963     31/03/1963          0.000          0.000          4.300          0.242              0.217              0.226              0.239              0.252              0.261              0.268              0.270              0.280              0.280          9.598          0.000          0.000        787.667          1.416        101.384              6.508              6.346             11.193             16.300             14.309             11.257             13.541             11.480             10.452          0.000      13882.112        229.642         31.744          0.014          0.451          0.026          0.000        541.006         19.298        722.960          2.180         0          1.000          1.000         79.648
       120      1963     30/04/1963          0.000          0.000         30.800          1.303              0.258              0.258              0.244              0.249              0.258              0.265              0.270              0.280              0.280         20.097          0.000          0.000        797.066          1.163        103.206              5.515              9.040             11.905             16.055             14.060             11.144             13.547             11.484             10.456          0.000      13875.290        229.100         28.493          0.012          0.368          0.074          0.000        667.779         20.152       1027.220          2.220         0          1.000          1.000         88.364
       151      1963     31/05/1963          0.000          0.000        113.200          3.128              0.249              0.254              0.266              0.270              0.271              0.273              0.273              0.284              0.285         41.211         12.771         32.596        820.561          1.133        101.304              2.438              6.200             12.125             14.842             14.603             12.434             15.216             12.476             10.971          0.172      13863.228        227.059         23.273          0.005          0.165          0.074         20.572        938.999         20.707       1555.640          2.524         0          1.000          1.000        130.992
       181      1963     30/06/1963          0.000          0.000         24.300          6.011              0.228              0.237              0.250              0.260              0.267              0.270              0.270              0.280              0.280         32.371          0.000          7.242        799.236          1.039         99.379              6.627              8.120             11.744             12.684             12.516             10.925             13.842             12.073             10.847          0.010      13838.136        220.670         15.408          0.003          0.100          0.074        528.618       1289.795         17.816       2244.020          3.518         0          1.000          1.000        187.911
       187      1963     06/07/1963          2.000          2.000         24.600          0.358              0.255              0.259              0.266              0.265              0.267              0.270              0.270              0.280              0.280         10.681          0.097          0.000        812.699          1.099        100.777              5.493              9.179             12.867             12.959             12.554             10.943             13.856             12.077             10.849          0.017      13834.034        219.505         14.633          0.002          0.073          0.002        532.595       1305.668         17.375       2285.480          3.518       185          0.600          1.000         21.542
       212      1963     31/07/1963          0.000          0.000         56.200          0.000              0.253              0.258              0.268              0.270              0.270              0.271              0.271              0.281              0.281         39.244          5.712          7.069        816.874          1.205        110.983              8.110             12.187             15.488             13.657             12.899             11.203             14.194             12.275             10.971          0.069      13809.541        217.791         16.712          0.640         21.672          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        166.417
       243      1963     31/08/1963          0.000          1.000         54.900          0.000              0.305              0.272              0.265              0.267              0.270              0.270              0.270              0.280              0.280         42.481          1.442          6.272        821.579          1.182        123.322             10.986             17.459             18.625             14.082             13.103             11.340             14.367             12.357             11.003          0.051      13778.746        210.330          9.807          0.328         11.123          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        173.689
       264      1963     21/09/1963          0.000          3.000        139.700          0.000              0.287              0.294              0.288              0.289              0.288              0.287              0.279              0.289              0.288         36.578         20.598         43.232        860.871          1.322        123.359              1.546              9.900             20.631             18.980             16.068             13.606             16.883             13.873             11.871          0.395      13769.789        208.567          8.664          0.124          4.210          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         42.243
       273      1963     30/09/1963          0.000          0.000         11.400          0.000              0.243              0.250              0.263              0.270              0.270              0.270              0.270              0.281              0.281         14.682          0.002         44.938        812.649          9.135        133.226             15.034              8.377             18.269             17.949             15.734             13.574             17.577             14.478             12.233          0.105      13766.244        207.575          8.423          0.095          3.218          0.080          0.000         18.400          3.980        121.660          0.108         0          0.100          0.800         28.530
       304      1963     31/10/1963          0.000          0.000         10.200          9.330              0.209              0.223              0.244              0.260              0.269              0.270              0.270              0.280              0.280         18.630          0.000          1.526        793.363          2.012        108.283              5.231              3.742              8.308             17.438             15.718             13.592             17.582             14.467             12.205          0.001      13757.530        205.221         12.869          0.088          2.983          1.389          0.000        850.395         64.498        472.060          2.843         0          0.974          1.000         74.432
       334      1963     30/11/1963          0.000          0.000         47.800          3.906              0.313              0.278              0.271              0.271              0.270              0.270              0.270              0.280              0.280         10.681          0.000          0.018        826.557          1.672        100.778              1.313              3.010              5.087             17.543             15.885             13.624             17.608             14.487             12.221          0.008      13755.347        204.934         25.469          0.078          2.630          0.705          0.000       1399.209         84.328        600.760          3.546         0          0.584          1.000         30.048
       365      1963     31/12/1963          0.000          0.000          7.800          0.000              0.262              0.265              0.270              0.270              0.270              0.270              0.270              0.280              0.280          3.465          0.000         12.605        818.288          1.616         99.825              1.066              2.752              4.976             15.780             15.952             13.944             18.083             14.836             12.436          0.025      13754.932        205.070         38.697          0.061          2.069          0.002          0.000       1399.209         72.192        600.760          3.546         0          1.000          1.000          8.154
        31      1964     31/01/1964          0.000          0.000          7.300          0.000              0.268              0.270              0.270              0.270              0.270              0.270              0.270              0.280              0.280          2.094          0.000          3.426        820.068          1.486         99.762              1.055              2.791              4.953             15.301             15.939             14.040             18.231             14.946             12.506          0.006      13754.207        205.421         49.030          0.044          1.492          0.002          0.000       1399.209         61.802        600.760          3.546         0          1.000          1.000          4.795
        60      1964     29/02/1964          0.000          0.000          2.500          0.000              0.265              0.268              0.270              0.270              0.270              0.270              0.270              0.280              0.280          1.972          0.000          1.377        819.219          1.160        100.235              1.351              2.937              5.019             15.148             15.926             14.066             18.278             14.981             12.529          0.002      13752.307        206.337         54.299          0.026          0.896          0.002          0.000       1399.209         53.441        600.760          3.546         0          1.000          1.000          4.514
        91      1964     31/03/1964          0.000          0.000         30.400          0.142              0.240              0.249              0.263              0.270              0.270              0.270              0.270              0.280              0.281         28.086          0.000          9.916        811.475          0.855         99.744              1.553              2.758              4.888             13.781             15.740             14.288             18.694             15.303             12.739          0.021      13750.031        207.511         57.494          0.022          0.759          0.019          0.000       1410.321         46.105        769.900          3.557         0          1.000          1.000         72.565
       121      1964     30/04/1964          0.000          0.000        101.800          0.990              0.264              0.267              0.274              0.274              0.275              0.275              0.273              0.283              0.283         34.214          3.058         46.080        828.934          0.680         95.989              0.701              2.060              4.441              9.435             13.488             14.556             20.528             16.944             13.835          0.115      13742.980        209.863         51.182          0.012          0.401          0.052          0.000       1521.560         42.704       1149.880          3.599         0          1.000          1.000         91.410
       152      1964     31/05/1964          0.000          0.000         98.800          2.035              0.256              0.260              0.269              0.272              0.273              0.275              0.274              0.284              0.285         40.078          1.643         58.140        825.837          0.817         86.992              0.659              1.685              3.647              6.308              9.483             11.583             19.807             18.545             15.274          0.124      13732.617        211.395         43.035          0.004          0.144          0.052         51.529       1709.620         38.730       1638.220          4.103         0          1.000          1.000        123.770
       182      1964     30/06/1964          0.000          0.000         34.700          4.232              0.263              0.264              0.260              0.264              0.269              0.270              0.270              0.280              0.280         34.328          0.000          9.212        812.765          0.949         81.741              2.769              4.110              4.291              5.623              7.794              9.123             15.648             17.214             15.170          0.009      13710.522        210.597         28.136          0.002          0.062          0.052        537.209       1968.981         33.322       2284.660          5.131         0          1.000          1.000        189.540
       189      1964     07/07/1964          2.000          2.000         10.400          0.533              0.255              0.258              0.260              0.264              0.269              0.270              0.270              0.280              0.280         11.818          0.000          0.000        810.815          0.981         83.126              3.316              4.605              4.545              5.670              7.809              9.131             15.659             17.218             15.172          0.000      13706.012        210.007         26.258          0.001          0.038          0.002        553.143       1992.019         32.335       2355.160          5.131       187          0.667          1.000         31.618
       213      1964     31/07/1964          0.000          0.000        131.300          0.000              0.252              0.256              0.267              0.270              0.270              0.271              0.271              0.282              0.283         53.337         17.262         53.602        817.914          1.224         84.139              2.505              4.959              7.034              6.243              7.031              8.263             15.269             16.941             15.895          0.182      13689.701        219.877         34.929          0.467         18.465          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        119.834
       244      1964     31/08/1964          0.000          1.000        110.100          0.000              0.252              0.256              0.266              0.270              0.270              0.270              0.270              0.281              0.281         59.142         20.391         32.893        815.588          1.220         91.607              4.273              7.450              9.969              7.380              7.109              7.914             14.879             16.630             16.003          0.120      13662.832        216.399         19.445          0.138          5.452          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        179.275
       264      1964     20/09/1964          0.000          3.000        151.000          0.000              0.258              0.262              0.269              0.271              0.272              0.274              0.274              0.285              0.286         39.643         29.319         71.252        826.375          1.317         87.007              1.564              4.399              9.427              8.946              8.071              7.883             14.220             16.148             16.350          0.263      13654.236        214.520         16.713          0.053          2.109          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         51.386
       274      1964     30/09/1964          0.000          0.000         27.200          0.000              0.247              0.254              0.267              0.270              0.271              0.271              0.271              0.281              0.281         16.852          1.657         19.403        815.663         10.821         96.604             10.759              5.542              9.405              9.027              8.172              7.846             13.977             15.800             16.077          0.044      13651.438        213.789         16.034          0.037          1.468          0.000          0.000          0.000          0.000        119.920          0.000         0          0.000          0.818         17.090
       305      1964     31/10/1964          0.000          0.000         87.200          1.999              0.267              0.270              0.273              0.273              0.274              0.274              0.273              0.283              0.283         35.363          2.437         35.257        827.809          2.825         83.572              2.036              4.027              6.161              8.954              8.664              8.177             13.918             15.578             16.058          0.132      13644.933        212.126         18.620          0.021          0.817          0.612          0.000        352.062         28.635        459.080          1.630         0          1.000          1.000         51.108
       335      1964     30/11/1964          0.000          0.000          5.600          2.306              0.244              0.245              0.251              0.262              0.270              0.270              0.270              0.280              0.280         18.877          0.000          8.169        804.057          2.255         78.188              1.874              2.382              3.586              8.618              8.567              8.086             13.789             15.397             15.889          0.008      13643.168        211.827         24.748          0.020          0.784          1.121          0.000        689.448         42.999        582.680          2.106         0          0.916          1.000         33.891
       366      1964     31/12/1964          0.000          0.000          4.700          0.000              0.233              0.240              0.251              0.261              0.268              0.270              0.270              0.280              0.280          7.498          0.000          0.000        801.258          2.213         78.351              1.966              2.407              3.691              8.578              8.519              8.091             13.796             15.405             15.897          0.000      13643.015        211.829         32.276          0.018          0.710          0.002          0.000        689.475         36.812        586.700          2.106         0          0.990          1.000         12.639
        31      1965     31/01/1965          0.000          0.000          1.500          0.000              0.221              0.230              0.243              0.255              0.263              0.270              0.270              0.280              0.280         10.434          0.000          0.000        792.324          2.182         78.467              2.377              2.331              3.780              8.390              8.383              8.090             13.801             15.411             15.903          0.000      13642.930        211.839         38.727          0.017          0.692          0.002          0.000        689.506         31.515        590.600          2.098         0          1.000          1.000         20.896
        59      1965     28/02/1965          0.000          0.000          4.000          0.002              0.218              0.228              0.240              0.251              0.260              0.267              0.270              0.280              0.280          8.283          0.000          0.000        788.039          2.075         78.680              2.643              2.427              3.910              8.269              8.287              8.020             13.804             15.414             15.907          0.000      13642.595        211.898         43.312          0.017          0.690          0.002          0.000        689.745         27.399        608.900          2.098         0          1.000          1.000         27.292
        90      1965     31/03/1965          0.000          0.000         19.700          0.056              0.241              0.245              0.250              0.252              0.258              0.265              0.270              0.280              0.280         11.928          0.000          0.000        795.754          1.570         79.708              2.522              3.255              4.344              8.278              8.228              7.947             13.807             15.418             15.910          0.000      13640.510        212.363         44.644          0.017          0.663          0.009          0.000        694.718         23.609        734.420          2.099         0          1.000          1.000         71.832
       120      1965     30/04/1965          0.000          0.000         63.100          0.914              0.255              0.260              0.269              0.271              0.271              0.272              0.271              0.281              0.281         32.107          1.567          5.103        819.163          1.063         81.372              2.035              3.859              5.365              8.115              8.541              8.203             13.857             15.437             15.959          0.029      13632.842        213.264         37.968          0.012          0.487          0.031          0.000        771.436         22.435       1086.980          2.127         0          1.000          1.000        115.607
       151      1965     31/05/1965          0.000          0.000         30.000          2.372              0.262              0.263              0.259              0.264              0.270              0.270              0.270              0.280              0.280         31.440          0.000          2.877        812.473          1.085         82.883              3.739              5.825              5.990              7.450              7.818              7.547             13.256             15.368             15.889          0.003      13615.019        211.842         26.747          0.008          0.325          0.031         80.493        919.914         20.666       1657.460          2.489         0          1.000          1.000        177.910
       181      1965     30/06/1965          0.000          0.000         37.900          2.900              0.248              0.250              0.254              0.263              0.269              0.270              0.270              0.280              0.280         31.964          1.668          7.368        806.474          1.050         83.570              6.059              7.605              7.289              6.739              6.957              6.755             11.738             14.559             15.867          0.029      13589.880        206.864         18.211          0.005          0.197          0.031        323.316       1080.388         17.780       2312.720          3.200         0          1.000          1.000        206.837
       184      1965     03/07/1965          2.000          2.000          3.600          0.000              0.250              0.252              0.255              0.263              0.269              0.270              0.270              0.280              0.280          2.734          0.000          0.000        807.339          1.080         84.140              6.119              7.952              7.440              6.745              6.957              6.759             11.740             14.561             15.867          0.000      13588.200        206.478         17.841          0.004          0.165          0.002        323.316       1080.388         17.603       2312.720          3.200       182          0.000          1.000          4.561
       212      1965     31/07/1965          0.000          0.000        114.000          0.000              0.242              0.249              0.261              0.269              0.270              0.270              0.270              0.280              0.280         58.532         14.942         37.605        810.259          1.128         90.597              6.308              9.217             11.396              8.251              7.324              6.922             11.677             14.007             15.494          0.160      13563.819        208.080         19.658          0.210          7.370          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        164.456
       243      1965     31/08/1965          0.000          1.000         98.400          0.000              0.269              0.269              0.267              0.270              0.270              0.270              0.270              0.280              0.280         56.967          9.313         23.763        818.616          1.200         99.602              6.922             12.448             14.913              9.657              7.856              7.126             11.708             13.730             15.242          0.109      13535.636        201.505         12.289          0.086          3.033          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        172.248
       264      1965     21/09/1965          0.000          3.000         13.700          0.000              0.239              0.246              0.258              0.268              0.270              0.270              0.270              0.280              0.280         20.872          0.481          3.099        807.865          1.231        104.706             10.164             12.878             15.861              9.963              7.996              7.181             11.733             13.710             15.219          0.019      13522.887        198.132         10.398          0.064          2.242          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         91.709
