Summary_file = 
Title = Stock Supplement PI SAMPLE Simulation
           Date no_stores no_paddocks     padd_names   padd_amounts    number            sex            age         weight    supp_intake      wt_change
             ()        ()          ()             ()             ()       (?)            (?)            (?)            (?)            (?)            (?)
     30/01/1989         2           1         (null)          0.000         5          steer        432.000        165.411          0.000         -1.423
     31/01/1989         2           1         (null)          0.000         5          steer        433.000        163.997          0.000         -1.414
     01/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     02/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     03/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     04/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     05/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     06/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     07/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     08/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     09/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     10/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     11/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     12/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     13/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     14/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     15/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     16/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     17/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     18/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     19/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     20/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     21/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     22/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     23/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     24/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     25/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     26/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     27/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     28/02/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     01/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     02/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     03/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     04/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     05/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     06/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     07/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     08/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     09/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     10/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     11/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     12/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     13/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     14/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     15/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     16/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     17/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     18/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     19/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     20/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     21/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     22/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     23/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     24/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     25/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     26/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     27/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     28/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     29/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     30/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     31/03/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     01/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     02/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     03/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     04/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     05/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     06/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     07/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     08/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     09/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     10/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     11/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     12/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     13/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     14/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     15/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     16/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     17/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     18/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     19/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     20/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     21/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     22/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     23/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     24/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     25/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     26/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     27/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     28/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     29/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
     30/04/1989         2           1         (null)          0.000         ?              ?              ?              ?              ?              ?
