Summary_file=step6.sum
Title =step 6. growth by regrowth + transpiration
           date       sw_dep()      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)     basal_area     root_depth       sw_index  transpiration vpd_estimation  max_n_avail()   growth_photo    death_frost     residue_wt
     30/01/1957        252.063         10.255         56.678         90.130         95.000          4.000        750.000          0.572          0.882         15.960         15.000         45.441          0.000          0.531
     31/01/1957        250.625          9.672         56.096         89.858         95.000          4.000        750.000          0.545          0.854         21.300         15.000         42.384          0.000          0.612
      1/02/1957        249.302          9.173         55.543         89.586         95.000          4.000        750.000          0.521          0.824         21.120         15.000         40.037          0.000          0.706
      2/02/1957        248.077          8.742         55.019         89.315         95.000          4.000        750.000          0.498          0.795         22.140         15.000         60.613          0.000          0.812
      3/02/1957        246.934          8.367         54.522         89.046         95.000          4.000        750.000          0.477          0.767         23.410         15.000         56.652          0.000          0.930
      4/02/1957        245.864          8.037         54.049         88.777         95.000          4.000        750.000          0.457          0.741         18.120         15.000         43.404          0.000          1.060
      5/02/1957        244.857          7.746         53.601         88.510         95.000          4.000        750.000          0.438          0.716         14.060         15.000         38.199          0.000          1.204
      6/02/1957        243.904          7.489         53.172         88.243         95.000          4.000        750.000          0.421          0.695         13.560         15.000         35.004          0.000          1.362
      7/02/1957        243.000          7.260         52.764         87.976         95.000          4.000        750.000          0.404          0.675          9.690         15.000         25.984          0.000          1.533
      8/02/1957        242.135          7.055         52.372         87.708         95.000          4.000        750.000          0.389          0.661         18.590         15.000         50.554          0.000          1.719
      9/02/1957        241.314          6.872         52.000         87.442         95.000          4.000        750.000          0.374          0.638         18.690         15.000         36.291          0.000          1.921
     10/02/1957        240.532          6.707         51.647         87.178         95.000          4.000        750.000          0.360          0.616         16.420         15.000         46.164          0.000          2.137
     11/02/1957        239.784          6.558         51.308         86.917         95.000          4.000        750.000          0.347          0.596         18.960         15.000         43.968          0.000          2.370
     12/02/1957        239.062          6.423         50.980         86.659         95.000          4.000        750.000          0.334          0.576         12.300         15.000         41.641          0.000          2.618
     13/02/1957        238.364          6.302         50.661         86.401         95.000          4.000        750.000          0.322          0.560         15.210         15.000         46.935          0.000          2.883
     14/02/1957        237.691          6.191         50.353         86.146         95.000          4.000        750.000          0.311          0.542         16.570         15.000         47.141          0.000          3.165
     15/02/1957        237.041          6.091         50.056         85.894         95.000          4.000        750.000          0.300          0.524         20.580         15.000         62.193          0.000          3.463
     16/02/1957        236.415          6.000         49.770         85.645         95.000          4.000        750.000          0.290          0.505         21.580         15.000         62.178          0.000          3.778
     17/02/1957        235.816          5.916         49.498         85.402         95.000          4.000        750.000          0.280          0.483         24.410         15.000         64.019          0.000          4.111
     18/02/1957        235.241          5.839         49.237         85.164         95.000          4.000        750.000          0.271          0.463         23.040         15.000         60.934          0.000          4.461
     19/02/1957        234.690          5.769         48.988         84.932         95.000          4.000        750.000          0.263          0.444         25.350         15.000         57.898          0.000          4.828
     20/02/1957        234.160          5.705         48.750         84.704         95.000          4.000        750.000          0.255          0.426         25.250         15.000         47.749          0.000          5.212
     21/02/1957        233.651          5.646         48.523         84.482         95.000          4.000        750.000          0.247          0.409         25.980         15.000         51.975          0.000          5.612
     22/02/1957        233.161          5.592         48.304         84.264         95.000          4.000        750.000          0.240          0.393         19.450         15.000         42.076          0.000          6.030
     23/02/1957        232.689          5.543         48.095         84.051         95.000          4.000        750.000          0.233          0.377          8.300         15.000         30.064          0.000          6.463
     24/02/1957        232.235          5.498         47.894         83.843         95.000          4.000        750.000          0.227          0.363         15.740         15.000         36.604          0.000          6.913
     25/02/1957        231.797          5.456         47.701         83.639         95.000          4.000        750.000          0.220          0.350         10.810         15.000         27.156          0.000          7.380
     26/02/1957        231.374          5.418         47.516         83.440         95.000          4.000        750.000          0.215          0.337         14.660         15.000         33.574          0.000          7.862
     27/02/1957        238.361         12.712         47.392         83.257         95.000          4.000        750.000          0.418          0.610         13.560         15.000         24.350          0.000          8.360
     28/02/1957        237.159         11.773         47.288         83.098         95.000          0.500        750.000          0.291          0.371         16.820         15.000         50.189          0.000          8.535
      1/03/1957        236.178         11.053         47.186         82.940         95.000          0.500        750.000          0.232          0.298         18.660         15.000         48.408          0.000          8.778
      2/03/1957        235.333         10.463         47.087         82.784         95.000          0.500        750.000          0.205          0.262         20.900         15.000         47.337          0.000          9.092
      3/03/1957        234.577          9.955         46.991         82.630         95.000          0.500        750.000          0.197          0.249         23.470         15.000         52.010          0.000          9.478
      4/03/1957        233.888          9.508         46.900         82.480         95.000          0.500        750.000          0.194          0.242         24.080         15.000         49.282          0.000          9.941
      5/03/1957        234.979         10.834         46.811         82.333         95.000          0.500        750.000          0.209          0.257         20.050         15.000         42.263          0.000         10.486
      6/03/1957        235.778         11.858         46.728         82.193         95.000          0.500        750.000          0.281          0.334         20.900         15.000         45.249          0.000         11.077
      7/03/1957        234.809         11.111         46.646         82.052         95.000          0.500        750.000          0.218          0.261         20.480         15.000         42.191          0.000         11.688
      8/03/1957        234.791         11.308         46.568         81.914         95.000          0.500        750.000          0.228          0.269         18.660         15.000         44.799          0.000         12.312
      9/03/1957        233.934         10.665         46.491         81.778         95.000          0.500        750.000          0.192          0.226         21.020         15.000         45.475          0.000         12.950
     10/03/1957        233.181         10.121         46.417         81.644         95.000          0.500        750.000          0.179          0.209         20.130         15.000         38.090          0.000         13.601
     11/03/1957        239.772         15.230         48.026         81.515         95.000          0.500        750.000          0.861          0.974         16.260         15.000         31.705          0.000         14.266
     12/03/1957        238.005         13.729         47.904         81.372         95.000          0.500        750.000          0.586          0.745         20.180         15.000         42.712          0.000         14.361
     13/03/1957        236.276         12.283         47.775         81.218         95.000          0.500        750.000          0.350          0.483         21.230         15.000         43.188          0.000         14.558
     14/03/1957        234.997         11.290         47.647         81.060         95.000          0.500        750.000          0.246          0.349         20.700         15.000         39.129          0.000         14.886
     15/03/1957        235.429         11.994         47.526         80.908         95.000          0.500        750.000          0.307          0.423         12.700         15.000         27.809          0.000         15.349
     16/03/1957        234.235         11.076         47.405         80.754         95.000          0.500        750.000          0.224          0.319         16.660         15.000         30.747          0.000         15.890
     17/03/1957        233.409         10.474         47.308         80.627         95.000          0.500        750.000          0.196          0.231         22.010         15.000         27.875          0.000         16.577
     18/03/1957        232.673          9.956         47.215         80.502         95.000          0.500        750.000          0.187          0.218         21.870         15.000         36.076          0.000         17.311
     19/03/1957        232.006          9.502         47.125         80.379         95.000          0.500        750.000          0.184          0.213         24.780         15.000         39.229          0.000         18.057
     20/03/1957        231.396          9.099         47.038         80.259         95.000          0.500        750.000          0.182          0.207         32.110         15.000         47.003          0.000         18.816
     21/03/1957        230.835          8.741         46.954         80.141         95.000          0.500        750.000          0.179          0.202         22.240         15.000         42.588          0.000         19.587
     22/03/1957        230.317          8.419         46.873         80.025         95.000          0.500        750.000          0.177          0.197         18.120         15.000         38.267          0.000         20.371
     23/03/1957        229.836          8.130         46.795         79.911         95.000          0.500        750.000          0.174          0.192         20.720         15.000         32.148          0.000         21.166
     24/03/1957        229.387          7.869         46.719         79.800         95.000          0.500        750.000          0.172          0.187         19.670         15.000         28.035          0.000         21.974
     25/03/1957        262.845         16.295         71.799         79.751         95.000          0.500        750.000          1.000          0.847         17.740         15.000         33.247          0.000         22.793
     26/03/1957        260.148         14.274         71.192         79.682         95.000          0.500        750.000          1.000          0.967         16.380         15.000         33.245          0.000         22.698
     27/03/1957        257.919         12.913         70.412         79.593         95.000          0.500        750.000          1.000          1.063         15.970         15.000         24.923          0.000         22.775
     28/03/1957        255.899         11.925         69.489         79.486         95.000          0.500        750.000          1.000          1.136         12.200         15.000         17.686          0.000         23.016
     29/03/1957        254.014         11.171         68.477         79.365         95.000          0.500        750.000          0.975          1.175         16.830         15.000         29.426          0.000         23.418
     30/03/1957        252.274         10.566         67.466         79.242         95.000          0.500        750.000          0.916          1.145         18.050         15.000         34.055          0.000         23.981
     31/03/1957        250.620         10.054         66.451         79.116         95.000          0.500        750.000          0.874          1.122         20.210         15.000         37.821          0.000         24.710
      1/04/1957        249.044          9.607         65.449         78.988         95.000          0.500        750.000          0.839          1.097         23.420         15.000         41.112          0.000         25.036
      2/04/1957        247.544          9.213         64.472         78.860         95.000          0.500        750.000          0.803          1.066         24.290         15.000         45.931          0.000         25.363
      3/04/1957        246.118          8.863         63.525         78.731         95.000          0.500        750.000          0.766          1.031         19.160         15.000         44.374          0.000         25.692
      4/04/1957        245.700          9.445         62.654         78.601         95.000          0.500        750.000          0.732          1.001         18.610         15.000         41.597          0.000         26.024
      5/04/1957        244.360          9.075         61.816         78.470         95.000          0.500        750.000          0.698          0.969         18.930         15.000         35.593          0.000         26.359
      6/04/1957        243.095          8.745         61.012         78.338         95.000          0.500        750.000          0.665          0.936         19.030         15.000         41.712          0.000         26.697
      7/04/1957        241.895          8.448         60.240         78.206         95.000          0.500        750.000          0.632          0.901         19.830         15.000         39.791          0.000         27.038
      8/04/1957        240.753          8.182         59.498         78.074         95.000          0.500        750.000          0.601          0.865         18.800         15.000         33.456          0.000         27.383
      9/04/1957        239.666          7.940         58.784         77.941         95.000          0.500        750.000          0.571          0.830         19.310         15.000         34.337          0.000         27.733
     10/04/1957        247.163         15.932         58.372         77.859         95.000          0.500        750.000          1.000          1.172         19.100         15.000         35.623          0.000         28.087
     11/04/1957        244.456         13.923         57.793         77.740         95.000          0.500        750.000          0.944          1.253         24.510         15.000         52.426          0.000         27.318
     12/04/1957        242.841         12.881         57.321         77.638         95.000          0.500        750.000          0.727          0.829         20.580         15.000         47.942          0.000         26.764
     13/04/1957        241.489         12.103         56.853         77.533         95.000          0.500        750.000          0.603          0.714         23.270         15.000         52.225          0.000         26.375
     14/04/1957        240.314         11.491         56.396         77.427         95.000          0.500        750.000          0.524          0.634         24.290         15.000         48.747          0.000         26.141
     15/04/1957        239.264         10.987         55.956         77.321         95.000          0.500        750.000          0.473          0.577         16.300         15.000         28.750          0.000         26.057
     16/04/1957        238.304         10.556         55.533         77.214         95.000          0.500        750.000          0.438          0.540         18.500         15.000         29.902          0.000         26.118
     17/04/1957        237.412         10.176         55.128         77.108         95.000          0.500        750.000          0.415          0.512         19.000         15.000         31.051          0.000         26.331
     18/04/1957        236.575          9.832         54.741         77.003         95.000          0.500        750.000          0.399          0.492         17.570         15.000         32.443          0.000         26.679
     19/04/1957        235.786          9.517         54.371         76.898         95.000          0.500        750.000          0.384          0.475         18.610         15.000         42.987          0.000         27.073
     20/04/1957        235.041          9.229         54.017         76.794         95.000          0.500        750.000          0.370          0.457         21.450         15.000         38.896          0.000         27.474
     21/04/1957        234.336          8.964         53.680         76.691         95.000          0.500        750.000          0.357          0.440          8.280         15.000         18.396          0.000         27.881
     22/04/1957        236.331         11.382         53.359         76.590         95.000          0.500        750.000          0.395          0.485         14.270         15.000         36.312          0.000         28.295
     23/04/1957        235.436         10.900         53.048         76.488         95.000          0.500        750.000          0.354          0.439         23.170         15.000         39.320          0.000         28.716
     24/04/1957        234.620         10.484         52.750         76.386         95.000          0.500        750.000          0.328          0.407         19.160         15.000         41.282          0.000         29.143
     25/04/1957        233.865         10.114         52.465         76.286         95.000          0.500        750.000          0.312          0.386         18.660         15.000         39.135          0.000         29.578
     26/04/1957        233.155          9.777         52.192         76.187         95.000          0.500        750.000          0.302          0.372         21.120         15.000         43.834          0.000         30.021
     27/04/1957        232.488          9.468         51.931         76.088         95.000          0.500        750.000          0.292          0.359         15.500         15.000         36.852          0.000         30.470
     28/04/1957        231.859          9.184         51.683         75.992         95.000          0.500        750.000          0.283          0.345         19.430         15.000         33.449          0.000         30.928
     29/04/1957        231.265          8.922         51.446         75.897         95.000          0.500        750.000          0.275          0.331         21.020         15.000         46.965          0.000         31.392
     30/04/1957        230.704          8.679         51.221         75.803         95.000          0.500        750.000          0.267          0.319         19.310         15.000         35.763          0.000         31.864
      1/05/1957        230.172          8.454         51.006         75.712         95.000          0.500        750.000          0.260          0.307         23.220         15.000         25.567          0.000         32.343
      2/05/1957        229.667          8.245         50.801         75.621         95.000          0.500        750.000          0.253          0.295         13.970         15.000         27.121          0.000         32.830
      3/05/1957        229.188          8.050         50.605         75.533         95.000          0.500        750.000          0.246          0.285         16.240         15.000          9.246          0.000         33.324
      4/05/1957        228.731          7.868         50.418         75.445         95.000          0.500        750.000          0.240          0.275         17.430         15.000         12.581          0.000         33.825
      5/05/1957        228.405          7.740         50.284         75.381         95.000          0.500        750.000          0.234          0.199         17.950         15.000         10.185          0.000         34.333
      6/05/1957        228.090          7.619         50.154         75.318         95.000          0.500        750.000          0.230          0.193         16.000         15.000         15.924          0.000         34.848
      7/05/1957        227.787          7.504         50.028         75.255         95.000          0.500        750.000          0.226          0.188         16.560         15.000         20.676          0.000         35.371
      8/05/1957        227.495          7.394         49.907         75.194         95.000          0.500        750.000          0.222          0.183         15.780         15.000         19.480          0.000         35.900
      9/05/1957        227.212          7.289         49.790         75.133         95.000          0.500        750.000          0.218          0.178         18.120         15.000         16.379          0.000         36.436
     10/05/1957        226.939          7.189         49.677         75.074         95.000          0.500        750.000          0.215          0.173         17.910         15.000         13.163          0.000         36.979
     11/05/1957        226.675          7.093         49.567         75.015         95.000          0.500        750.000          0.211          0.168         18.180         15.000         12.018          0.000         37.529
     12/05/1957        226.420          7.002         49.461         74.957         95.000          0.500        750.000          0.208          0.164         19.220         15.000         11.886          0.000         38.085
     13/05/1957        226.174          6.915         49.358         74.901         95.000          0.500        750.000          0.205          0.160         20.010         15.000         12.735          0.000         38.648
     14/05/1957        225.935          6.832         49.259         74.845         95.000          0.500        750.000          0.202          0.156         20.570         15.000         15.386          0.000         39.217
     15/05/1957        225.704          6.753         49.162         74.789         95.000          0.500        750.000          0.199          0.152         20.010         15.000         12.453          0.000         39.793
     16/05/1957        225.481          6.677         49.069         74.735         95.000          0.500        750.000          0.196          0.148         15.430         15.000          9.807          0.000         40.375
     17/05/1957        225.264          6.604         48.978         74.682         95.000          0.500        750.000          0.193          0.144         16.040         15.000          3.030          0.000         40.963
     18/05/1957        225.054          6.535         48.890         74.629         95.000          0.500        750.000          0.191          0.141         13.100         15.000          4.412          0.000         41.558
     19/05/1957        224.851          6.469         48.805         74.577         95.000          0.500        750.000          0.188          0.137         16.880         15.000         10.502          0.000         42.158
     20/05/1957        224.654          6.406         48.722         74.526         95.000          0.500        750.000          0.186          0.134          9.740         15.000          0.000          0.000         42.764
     21/05/1957        224.462          6.345         48.642         74.476         95.000          0.500        750.000          0.183          0.131         11.550         15.000          0.000        139.164         43.377
     22/05/1957        224.330          6.280         48.601         74.449         95.000          0.500        750.000          0.181          0.068         11.110         15.000          0.000          0.000         44.266
     23/05/1957        224.202          6.218         48.560         74.423         95.000          0.500        750.000          0.180          0.066         10.790         15.000          0.000          0.000         45.157
     24/05/1957        224.078          6.160         48.520         74.398         95.000          0.500        750.000          0.179          0.065         14.650         15.000          0.000        135.665         46.050
     25/05/1957        224.012          6.097         48.517         74.398         95.000          0.500        750.000          0.178          0.000         16.960         15.000          0.000          0.000         47.212
     26/05/1957        223.947          6.038         48.511         74.398         95.000          0.500        750.000          0.178          0.000         17.370         15.000          0.000          0.000         48.372
     27/05/1957        223.882          5.982         48.503         74.398         95.000          0.500        750.000          0.177          0.000         12.310         15.000          0.000          0.000         49.530
     28/05/1957        223.818          5.929         48.491         74.398         95.000          0.500        750.000          0.177          0.000         11.190         15.000          0.000          0.000         50.685
     29/05/1957        223.754          5.879         48.477         74.398         95.000          0.500        750.000          0.177          0.000         14.050         15.000          0.000          0.000         51.838
     30/05/1957        223.691          5.832         48.461         74.398         95.000          0.500        750.000          0.176          0.000         15.120         15.000          0.000          0.000         52.989
     31/05/1957        223.629          5.788         48.443         74.398         95.000          0.500        750.000          0.176          0.000         13.810         15.000          0.000          0.000         54.138
      1/06/1957        223.566          5.746         48.423         74.398         95.000          0.500        750.000          0.175          0.000          5.250         15.000          0.000          0.000         55.284
      2/06/1957        227.252          9.432         48.423         74.398         95.000          0.500        750.000          0.175          0.000         10.590         15.000          0.000          0.000         56.428
      3/06/1957        226.964          9.144         48.423         74.398         95.000          0.500        750.000          0.175          0.000         13.100         15.000          0.000          0.000         57.569
      4/06/1957        226.700          8.879         48.423         74.398         95.000          0.500        750.000          0.175          0.000         12.740         15.000          0.000          0.000         58.709
      5/06/1957        226.456          8.636         48.423         74.398         95.000          0.500        750.000          0.175          0.000         12.390         15.000          0.000          0.000         59.846
      6/06/1957        226.231          8.410         48.423         74.398         95.000          0.500        750.000          0.175          0.000         10.620         15.000          0.000          0.000         60.980
      7/06/1957        226.092          8.271         48.423         74.398         95.000          0.500        750.000          0.175          0.000          9.440         15.000          0.000          0.000         62.113
      8/06/1957        225.960          8.139         48.423         74.398         95.000          0.500        750.000          0.175          0.000         11.220         15.000          0.000          0.000         63.243
      9/06/1957        225.834          8.013         48.423         74.398         95.000          0.500        750.000          0.175          0.000         14.700         15.000          0.000          0.000         64.371
     10/06/1957        225.653          7.833         48.423         74.398         95.000          0.500        750.000          0.175          0.000         16.690         15.000          0.000          0.000         65.497
     11/06/1957        225.486          7.665         48.423         74.398         95.000          0.500        750.000          0.175          0.000         15.120         15.000          0.000          0.000         66.620
     12/06/1957        225.329          7.509         48.423         74.398         95.000          0.500        750.000          0.175          0.000         16.240         15.000          0.000          0.000         67.741
     13/06/1957        225.183          7.363         48.423         74.398         95.000          0.500        750.000          0.175          0.000         13.940         15.000          0.000          0.000         68.860
     14/06/1957        225.047          7.226         48.423         74.398         95.000          0.500        750.000          0.175          0.000         14.050         15.000          0.000          0.000         69.977
     15/06/1957        224.919          7.099         48.423         74.398         95.000          0.500        750.000          0.175          0.000         15.390         15.000          0.000          0.000         71.092
     16/06/1957        224.840          7.019         48.423         74.398         95.000          0.500        750.000          0.175          0.000         12.310         15.000          0.000          0.000         72.204
     17/06/1957        224.763          6.943         48.423         74.398         95.000          0.500        750.000          0.175          0.000         12.920         15.000          0.000          0.000         73.314
     18/06/1957        224.690          6.870         48.423         74.398         95.000          0.500        750.000          0.175          0.000         14.050         15.000          0.000          0.000         74.422
     19/06/1957        224.620          6.800         48.423         74.398         95.000          0.500        750.000          0.175          0.000         13.760         15.000          0.000          0.000         75.527
     20/06/1957        224.553          6.733         48.423         74.398         95.000          0.500        750.000          0.175          0.000         11.220         15.000          0.000          0.000         76.631
     21/06/1957        241.514         18.603         53.513         74.398         95.000          0.500        750.000          1.000          0.000          4.740         15.000          0.000          0.000         77.732
     22/06/1957        240.193         17.282         53.513         74.398         95.000          0.500        750.000          1.000          0.000          9.430         15.000          0.000          0.000         76.903
     23/06/1957        239.180         16.269         53.513         74.398         95.000          0.500        750.000          1.000          0.000         10.920         15.000          0.005          0.000         77.033
     24/06/1957        238.348         15.437         53.513         74.398         95.000          0.500        750.000          0.895          0.001         14.200         15.000          0.007          0.000         76.407
     25/06/1957        237.637         14.727         53.513         74.398         95.000          0.500        750.000          0.783          0.001         13.810         15.000          0.006          0.000         76.202
     26/06/1957        237.016         14.106         53.512         74.398         95.000          0.500        750.000          0.688          0.001         14.520         15.000          0.000          0.000         76.231
     27/06/1957        236.466         13.556         53.512         74.398         95.000          0.500        750.000          0.607          0.001         17.370         15.000          0.000          0.000         76.496
     28/06/1957        235.971         13.062         53.512         74.397         95.000          0.500        750.000          0.540          0.001         14.750         15.000          0.000          0.000         76.916
     29/06/1957        235.299         12.390         53.511         74.397         95.000          0.500        750.000          0.460          0.001         15.010         15.000          0.014          0.000         77.461
     30/06/1957        234.713         11.805         53.511         74.397         95.000          0.500        750.000          0.404          0.001          7.570         15.000          0.010          0.000         78.061
      1/07/1957        238.326         15.419         53.510         74.397         95.000          0.500        750.000          0.892          0.002          0.970         15.000          0.000          0.000         78.933
      2/07/1957        254.533         17.699         67.437         74.397         95.000          0.500        750.000          1.000          0.002          5.690         15.000          0.000          0.000         79.098
      3/07/1957        252.880         16.047         67.436         74.397         95.000          0.500        750.000          1.000          0.002         10.080         15.000          0.000          0.000         79.172
      4/07/1957        252.080         15.248         67.435         74.397         95.000          0.500        750.000          1.000          0.001         11.730         15.000          0.000          0.625         79.417
      5/07/1957        251.394         14.563         67.435         74.397         95.000          0.500        750.000          1.000          0.000         13.670         15.000          0.000          0.208         79.904
      6/07/1957        250.793         13.961         67.435         74.397         95.000          0.500        750.000          1.000          0.000         11.450         15.000          0.000          0.000         80.427
      7/07/1957        251.144         14.312         67.435         74.397         95.000          0.500        750.000          1.000          0.000          7.980         15.000          0.000          0.000         80.489
      8/07/1957        250.571         13.739         67.435         74.397         95.000          0.500        750.000          1.000          0.000          9.990         15.000          0.000          0.000         80.939
      9/07/1957        250.058         13.227         67.435         74.397         95.000          0.500        750.000          1.000          0.000         10.520         15.000          0.000          0.000         81.607
     10/07/1957        249.594         12.763         67.434         74.397         95.000          0.500        750.000          1.000          0.000         10.590         15.000          0.000          0.000         82.152
     11/07/1957        249.173         12.341         67.434         74.397         95.000          0.500        750.000          0.975          0.000          9.420         15.000          0.000          0.013         82.916
     12/07/1957        248.786         11.955         67.434         74.397         95.000          0.500        750.000          0.937          0.000         10.420         15.000          0.000          0.039         83.836
     13/07/1957        248.430         11.599         67.434         74.397         95.000          0.500        750.000          0.907          0.000         12.420         15.000          0.000          0.000         84.824
     14/07/1957        248.100         11.269         67.434         74.397         95.000          0.500        750.000          0.885          0.000         14.970         15.000          0.000          0.000         85.866
     15/07/1957        247.794         10.963         67.434         74.397         95.000          0.500        750.000          0.868          0.000          9.220         15.000          0.000          0.000         86.917
     16/07/1957        248.259         11.428         67.434         74.397         95.000          0.500        750.000          0.895          0.000          2.620         15.000          0.000          0.000         87.967
     17/07/1957        247.783         10.952         67.434         74.397         95.000          0.500        750.000          0.868          0.000         10.860         15.000          0.000          0.000         89.014
     18/07/1957        247.357         10.525         67.434         74.397         95.000          0.500        750.000          0.852          0.000         14.540         15.000          0.000          0.000         90.059
     19/07/1957        246.954         10.140         67.417         74.397         95.000          0.500        750.000          0.845          0.000         13.180         15.000          0.000          0.000         91.102
     20/07/1957        247.508         10.695         67.417         74.397         95.000          0.500        750.000          0.857          0.000         10.920         15.000          0.001          0.000         92.143
     21/07/1957        248.884         12.071         67.417         74.397         95.000          0.500        750.000          0.947          0.001         10.320         15.000          0.003          0.000         93.181
     22/07/1957        248.335         11.523         67.416         74.397         95.000          0.500        750.000          0.901          0.001         12.050         15.000          0.000          0.000         94.218
     23/07/1957        247.848         11.037         67.415         74.397         95.000          0.500        750.000          0.871          0.001         10.110         15.000          0.000          0.361         95.253
     24/07/1957        247.413         10.602         67.415         74.397         95.000          0.500        750.000          0.854          0.000          9.050         15.000          0.000          0.000         96.286
     25/07/1957        247.009         10.209         67.403         74.397         95.000          0.500        750.000          0.846          0.000         10.680         15.000          0.000          0.000         97.317
     26/07/1957        252.510         15.710         67.403         74.397         95.000          0.500        750.000          1.000          0.000          3.880         15.000          0.000          0.000         98.346
     27/07/1957        253.982         17.182         67.403         74.397         95.000          0.500        750.000          1.000          0.000          5.470         15.000          0.000          0.000         97.898
     28/07/1957        253.160         16.360         67.403         74.397         95.000          0.500        750.000          1.000          0.000          9.470         15.000          0.000          0.000         97.331
     29/07/1957        251.887         15.087         67.403         74.397         95.000          0.500        750.000          1.000          0.000         11.720         15.000          0.000          0.000         96.417
     30/07/1957        250.888         14.088         67.403         74.396         95.000          0.500        750.000          1.000          0.000         10.080         15.000          0.000          0.000         95.912
     31/07/1957        250.063         13.264         67.403         74.396         95.000          0.500        750.000          1.000          0.000         12.760         15.000          0.000          0.000         96.183
      1/08/1957        249.362         12.563         67.403         74.396         95.000          0.500        750.000          0.998          0.000         14.750         15.000          0.000          0.000         96.465
