Summary_file=eo.sum
Title =eo sample
   year    day          eo_pm             ra           evap
   1996    145          2.295        478.483          2.200
   1996    146          2.494        388.334          4.000
   1996    147          2.354        330.803          1.000
   1996    148          2.375        454.153          2.400
   1996    149          1.991        496.204          2.000
   1996    150          2.676        330.803          3.000
   1996    151          2.171        339.177          2.400
   1996    152          2.087        394.044          1.800
   1996    153          1.028        546.837          1.000
   1996    154          1.398        432.178          2.000
   1996    155          0.984        558.230          1.200
   1996    156          2.511        570.107          2.400
   1996    157          1.548        478.483          0.800
   1996    158          1.262        669.875          2.200
   1996    159          1.659        357.267          2.000
   1996    160          2.049        558.230          3.800
   1996    161          1.614        446.584          0.600
   1996    162          1.152        372.153          1.800
   1996    163          1.387        318.988          1.800
   1996    164          1.996        311.570          2.800
   1996    165          1.612        311.570          2.000
   1996    166          1.069        304.489          0.800
   1996    167          0.206        570.107          1.300
   1996    168          2.378        470.088          2.800
   1996    169          2.348        432.178          2.000
   1996    170          2.283        357.267          2.600
   1996    171          2.040        432.178          2.400
   1996    172          1.893        347.987          2.400
   1996    173          0.721        558.230          2.500
   1996    174          1.411        864.355          1.000
   1996    175          1.449         98.150          4.600
   1996    176          2.603        141.773          4.600
   1996    177          1.841        191.393          3.000
   1996    178          1.783        161.416          3.200
   1996    179          2.361        165.401          4.000
   1996    180          2.341        311.570          3.600
   1996    181          1.947        217.846          3.400
   1996    182          2.174        151.384          3.600
   1996    183          1.971        478.483          2.800
   1996    184          1.947        311.570          2.400
   1996    185          1.248        653.537          1.200
   1996    186          1.819        454.153          2.200
   1996    187          1.243        595.445          1.600
   1996    188          1.913        367.055          1.900
   1996    189          2.456        273.419          3.600
   1996    190          1.065        439.263          1.600
   1996    191          2.188        382.786          2.200
   1996    192          2.068        439.263          2.100
   1996    193          2.409        478.483          2.600
   1996    194          2.126        343.526          3.800
   1996    195          1.604         92.716          3.200
   1996    196          2.062        144.059          3.000
   1996    197          2.408        135.328          4.600
   1996    198          2.567        164.387          3.800
   1996    199          2.188        267.950          3.400
   1996    200          2.516        439.263          2.600
   1996    201          2.318        347.987          3.200
   1996    202          2.852        115.496          6.500
   1996    203          2.446        142.527          3.800
   1996    204          2.579        227.076          3.600
   1996    205          2.547        288.118          3.200
   1996    206          2.387        330.803          3.200
   1996    207          2.613        478.483          2.800
   1996    208          0.892        233.000          3.000
   1996    209          0.428        255.191          0.000
   1996    210          3.011        145.625          3.600
   1996    211          1.484        212.659          2.600
   1996    212          2.163        138.119          3.000
   1996    213          2.581        127.595          3.800
   1996    214          2.021        282.053          3.200
   1996    215          2.758        245.826          4.000
   1996    216          2.488        461.983          4.000
   1996    217          3.154        225.168          4.400
   1996    218          1.955        285.053          4.000
   1996    219          2.621        362.095          2.400
   1996    220          0.515        191.393          2.000
   1996    221          0.443        267.950          2.100
   1996    222          2.182        267.950          2.100
   1996    223          2.622        243.591          2.900
   1996    224          2.845        367.055          3.900
   1996    225          3.141        248.102          3.200
   1996    226          3.093        399.926          3.600
   1996    227          3.019        405.985          3.000
   1996    228          2.982        405.985          3.400
   1996    229          3.007        257.644          4.400
   1996    230          0.247        864.355          0.000
   1996    231          1.017        199.963          2.000
   1996    232          2.993         99.610          4.600
   1996    233          3.178        192.770          4.400
   1996    234          3.017        367.055          2.600
   1996    235          2.814        412.231          2.800
   1996    236          2.977        399.926          4.000
   1996    237          1.959        470.088          1.800
   1996    238          3.158        425.318          4.200
   1996    239          3.423        388.334          2.100
   1996    240          3.082        388.334          3.100
   1996    241          3.165        388.334          3.100
   1996    242          3.339        212.659          3.200
   1996    243          1.503        135.328          3.300
   1996    244          2.680         68.529          4.000
   1996    245          3.770        153.994          6.000
   1996    246          3.834        217.846          5.000
   1996    247          3.817        115.996          6.400
   1996    248          3.575        267.950          4.000
   1996    249          3.532        318.988          4.200
   1996    250          4.017        262.696          5.800
   1996    251          3.939        257.644          5.400
   1996    252          4.194        225.168          6.400
   1996    253          4.159        285.053          5.600
   1996    254          4.390        191.393          7.000
   1996    255          3.921        326.768          3.800
   1996    256          4.733        130.707          8.800
   1996    257          4.449        195.584          7.000
   1996    258          4.120        214.360          6.200
   1996    259          3.944        347.987          4.200
   1996    260          3.990        322.832          4.000
   1996    261          3.987        399.926          4.400
   1996    262          4.235        285.053          4.400
   1996    263          3.130        207.713          4.000
   1996    264          0.559        233.000          2.800
   1996    265          4.300        132.649          4.800
   1996    266          4.530        166.429          5.600
   1996    267          4.713        204.542          6.600
   1996    268          4.744        301.068          6.200
   1996    269          4.424        352.566          4.400
   1996    270          4.170        382.786          4.000
   1996    271          4.618        318.988          6.400
   1996    272          4.430        230.992          4.900
   1996    273          2.160        151.384          3.700
   1996    274          2.882        188.697          3.800
   1996    275          5.126        230.992          6.400
   1996    276          4.795        311.570          4.300
   1996    277          4.499        311.570          4.900
   1996    278          3.974        223.292          4.500
   1996    279          4.259        315.236          3.900
   1996    280          2.219        343.526          3.600
   1996    281          2.801        171.763          4.800
   1996    282          1.982        291.250          2.800
   1996    283          4.138        301.068          4.000
   1996    284          5.090        311.570          4.400
   1996    285          5.350        297.722          8.000
   1996    286          4.523        132.649          8.000
   1996    287          5.160        248.102          4.600
   1996    288          4.409       1786.334          5.300
   1996    289          2.952       1786.334          5.300
   1996    290          4.270         82.193          4.400
   1996    291          5.081        273.419          5.200
   1996    292          4.885        282.053          5.100
   1996    293          3.696        326.768          1.200
   1996    294          6.135        206.116          7.600
   1996    295          5.787        243.591          6.600
   1996    296          5.241        188.697          6.700
   1996    297          4.458        227.076          4.400
   1996    298          5.127        285.053          6.200
   1996    299          5.306        285.053          6.200
   1996    300          5.191        294.451          5.800
   1996    301          5.518        279.115          5.800
   1996    302          5.775        334.938          5.800
   1996    303          5.374        237.124          6.800
   1996    304          5.564        276.237          5.800
   1996    305          2.612        201.466          5.200
   1996    306          4.635        235.044          6.400
   1996    307          4.464        217.846          6.000
   1996    308          4.643        223.292          5.800
   1996    309          4.902        183.528          7.200
   1996    310          2.023        339.177          2.000
   1996    311          2.017        330.803          2.600
   1996    312          5.698        225.168          5.800
   1996    313          4.372        270.657          5.800
   1996    314          5.580        291.250          5.800
   1996    315          6.559        194.167          9.600
   1996    316          5.871        282.053          6.600
   1996    317          5.720        210.984          9.200
   1996    318          6.691        250.421          9.000
   1996    319          6.453        210.984          9.800
   1996    320          7.041        194.167         11.800
   1996    321          5.110        212.659          8.600
   1996    322          5.898        124.051          7.800
   1996    323          7.085        191.393         10.600
   1996    324          4.867        178.633          6.600
   1996    325          4.825        273.419          5.000
   1996    326          4.465        362.095          3.400
   1996    327          6.298        288.118          8.000
   1996    328          4.850        282.053          7.000
   1996    329          3.498        318.988          2.800
   1996    330          5.447        362.095          4.800
   1996    331          6.707        352.566          7.200
   1996    332          6.914        245.826          9.400
   1996    333          5.796        248.102          9.000
   1996    334          6.981        148.861         11.600
   1996    335          7.853        181.047         12.800
   1996    336          6.343        282.053          9.400
   1996    337          4.746        223.292          7.600
   1996    338          5.530        206.116          8.800
   1996    339          4.374        352.566          3.400
   1996    340          5.460        288.118          5.400
   1996    341          5.280        169.589          8.200
   1996    342          1.347        525.393          0.400
   1996    343          2.518        496.204          2.600
   1996    344          5.689        405.985          5.800
   1996    345          6.457        285.053          6.200
   1996    346          3.858        276.237          5.600
   1996    347          5.531        343.526          4.400
   1996    348          4.516        199.963          7.400
   1996    349          4.867        209.336          5.800
   1996    350          4.633        276.237          5.000
   1996    351          6.080        237.124          8.000
   1996    352          6.276        294.451          7.000
   1996    353          3.419        362.095          4.200
   1996    354          6.569        270.657          7.400
   1996    355          6.106        173.994          7.800
   1996    356          5.088        209.336          6.700
   1996    357          3.871        229.017          4.900
   1996    358          5.920        288.118          7.800
   1996    359          6.751        166.429          8.000
   1996    360          4.808        227.076          5.400
   1996    361          5.563        245.826          8.000
   1996    362          5.047        202.993          6.200
   1996    363          5.401        262.696          8.000
   1996    364          6.869        262.696          7.400
   1996    365          6.608        237.124          7.300
   1996    366          5.974        279.115          8.000
