Summary_file = 
Title = Sample Butterfly pea Simulation
           Date       das            lai        biomass         leaf_n   n_fixed_tops         root_n sw_stress_photo           rain           radn sw_stress_pheno sw_stress_fixation sw_stress_expan     stage_name
     15/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         26.000           0.000              0.000           0.000            out
     16/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         24.000           0.000              0.000           0.000            out
     17/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         28.000           0.000              0.000           0.000            out
     18/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         18.000           0.000              0.000           0.000            out
     19/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          1.800         22.000           0.000              0.000           0.000            out
     20/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          2.000         21.000           0.000              0.000           0.000            out
     21/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         21.000           0.000              0.000           0.000            out
     22/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         27.000           0.000              0.000           0.000            out
     23/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         26.000           0.000              0.000           0.000            out
     24/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         25.000           0.000              0.000           0.000            out
     25/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         26.000           0.000              0.000           0.000            out
     26/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         18.000           0.000              0.000           0.000            out
     27/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         17.000           0.000              0.000           0.000            out
     28/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         25.000           0.000              0.000           0.000            out
     29/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         28.000           0.000              0.000           0.000            out
     30/01/2006         0          0.000          0.000          0.000          0.000          0.000           0.000          0.000         29.000           0.000              0.000           0.000            out
     31/01/2006         1          0.000          0.000          0.000          0.000          0.000           0.000          0.000         29.000           0.000              0.000           0.000         sowing
     01/02/2006         2          0.000          0.000          0.000          0.000          0.000           0.000          0.000         29.000           0.000              0.000           0.000    germination
     02/02/2006         3          0.000          0.000          0.000          0.000          0.000           0.000          0.000         29.000           0.000              0.808           0.000    germination
     03/02/2006         4          0.000          0.000          0.000          0.000          0.000           0.000          0.000         30.000           0.000              0.817           0.000    germination
     04/02/2006         5          0.000          0.000          0.000          0.000          0.000           0.000          0.000         28.000           0.000              0.827           0.000    germination
     05/02/2006         6          0.000          0.000          0.000          0.000          0.000           0.000          0.000         22.000           0.000              0.836           0.000    germination
     06/02/2006         7          0.000          0.000          0.000          0.000          0.000           0.000          4.300         27.000           0.000              0.845           0.000    germination
     07/02/2006         8          0.000          0.000          0.000          0.000          0.000           0.000         14.900         26.000           0.000              0.234           0.000    germination
     08/02/2006         9          0.000          0.000          0.000          0.000          0.000           0.000          0.000         24.000           0.000              0.280           0.000    germination
     09/02/2006        10          0.000          0.000          0.000          0.000          0.000           0.000          0.000         28.000           0.000              0.322           0.000    germination
     10/02/2006        11          0.000          0.000          0.000          0.000          0.000           0.000          0.000         26.000           0.000              0.358           0.000    germination
     11/02/2006        12          0.000          0.000          0.000          0.000          0.000           0.000          0.000         20.000           0.000              0.392           0.000    germination
     12/02/2006        13          0.070        140.000          0.390          0.020          0.088           0.000          0.800         23.000           0.000              0.422           0.000      emergence
     13/02/2006        14          0.092        148.033          0.431          0.037          0.088           0.000          0.000         21.000           0.000              0.450           0.000      emergence
     14/02/2006        15          0.127        160.449          0.495          0.067          0.090           0.000         22.400         23.000           0.000              0.000           0.000      emergence
     15/02/2006        16          0.181        179.562          0.589          0.110          0.117           0.000          0.000         26.000           0.000              0.000           0.000      emergence
     16/02/2006        17          0.235        199.092          0.688          0.158          0.145           0.000          0.000         19.000           0.000              0.000           0.000      emergence
     17/02/2006        18          0.314        227.508          0.824          0.208          0.185           0.101          0.000         24.000           0.000              0.083           0.201      emergence
     18/02/2006        19          0.370        250.046          0.968          0.255          0.231           0.447          0.000         25.000           0.000              0.221           0.547      emergence
     19/02/2006        20          0.422        272.048          1.093          0.298          0.274           0.525          0.000         26.000           0.000              0.337           0.625      emergence
     20/02/2006        21          0.459        290.385          1.186          0.336          0.310           0.673          0.000         26.000           0.000              0.436           0.773      emergence
     21/02/2006        22          0.503        311.351          1.262          0.369          0.341           0.621          0.000         23.000           0.000              0.520           0.721      emergence
     22/02/2006        23          0.540        330.540          1.313          0.399          0.367           0.693          0.000         24.000           0.000              0.593           0.793      emergence
     23/02/2006        24          0.567        347.043          1.345          0.425          0.388           0.702          0.000         20.000           0.000              0.656           0.802      emergence
     24/02/2006        25          0.569        360.175          1.353          0.447          0.405           0.818          0.000         25.000           0.000              0.711           0.918      emergence
     25/02/2006        26          0.563        370.990          1.347          0.466          0.419           0.844          0.000         24.000           0.000              0.758           0.944      emergence
     26/02/2006        27          0.581        384.465          1.341          0.482          0.429           0.724          0.000         17.000           0.000              0.800           0.824      emergence
     27/02/2006        28          0.564        391.950          1.313          0.495          0.439           0.873          0.600         20.000           0.000              0.836           0.973      emergence
     28/02/2006        29          0.580        404.311          1.295          0.506          0.444           0.669          0.000         13.000           0.000              0.868           0.769      emergence
     01/03/2006        30          0.687        442.530          1.477          0.595          0.490           0.000         24.400         13.000           0.000              0.000           0.000      emergence
     02/03/2006        31          0.782        476.321          1.636          0.690          0.534           0.000          1.800         10.000           0.000              0.000           0.000      emergence
     03/03/2006        32          0.939        532.487          1.784          0.791          0.576           0.000          0.000         15.000           0.000              0.064           0.000      emergence
     04/03/2006        33          1.095        594.045          1.897          0.892          0.614           0.248          0.200         19.000           0.000              0.175           0.348      emergence
     05/03/2006        34          1.137        634.112          1.949          0.980          0.646           0.638          0.000         23.000           0.000              0.322           0.738      emergence
     06/03/2006        35          1.209        670.288          1.997          1.057          0.673           0.512          0.000         15.000           0.000              0.433           0.612      emergence
     07/03/2006        36          1.239        695.518          2.012          1.123          0.696           0.674          0.000         15.000           0.000              0.531           0.774      emergence
     08/03/2006        37          1.200        711.123          1.980          1.171          0.715           0.865          0.000         22.000           0.000              0.646           0.965      emergence
     09/03/2006        38          1.176        725.535          1.944          1.208          0.728           0.844          0.000         18.000           0.000              0.734           0.944      emergence
     10/03/2006        39          1.123        736.840          1.878          1.232          0.741           0.903          0.000         23.000           0.000              0.803           0.000      emergence
     11/03/2006        40          1.071        746.161          1.806          1.251          0.753           0.927          0.000         26.000           0.000              0.845           0.000      emergence
     12/03/2006        41          1.021        752.845          1.736          1.265          0.763           0.939          0.000         23.000           0.000              0.876           0.000      emergence
     13/03/2006        42          0.972        759.107          1.667          1.277          0.773           0.945          0.000         25.000           0.000              0.886           0.000      emergence
     14/03/2006        43          0.926        764.948          1.599          1.287          0.782           0.949          0.000         26.000           0.000              0.895           0.000      emergence
     15/03/2006        44          0.883        771.037          1.536          1.296          0.793           0.943          0.000         25.000           0.000              0.903           0.000      emergence
     16/03/2006        45          0.841        775.905          1.474          1.303          0.803           0.949          0.000         23.000           0.000              0.911           0.000      emergence
     17/03/2006        46          0.800        779.265          1.413          1.309          0.812           0.963          0.000         23.000           0.000              0.918           0.000      emergence
     18/03/2006        47          0.762        783.663          1.356          1.315          0.820           0.945          0.000         21.000           0.000              0.925           0.000      emergence
     19/03/2006        48          0.726        787.289          1.300          1.320          0.828           0.948          0.000         19.000           0.000              0.931           0.000      emergence
     20/03/2006        49          0.693        791.543          1.248          1.324          0.834           0.914          0.000         14.000           0.000              0.936           0.000      emergence
     21/03/2006        50          0.694        800.779          1.213          1.331          0.837           0.729          0.000         10.000           0.000              0.942           0.829      emergence
     22/03/2006        51          0.717        815.128          1.194          1.336          0.840           0.473          1.800          8.000           0.000              0.946           0.573      emergence
     23/03/2006        52          0.685        819.687          1.148          1.341          0.844           0.900          0.000         13.000           0.000              0.951           1.000      emergence
     24/03/2006        53          0.652        822.875          1.098          1.344          0.848           0.957          0.000         22.000           0.000              0.955           0.000      emergence
     25/03/2006        54          0.621        825.425          1.050          1.347          0.852           0.967          0.000         24.000           0.000              0.959           0.000      emergence
     26/03/2006        55          0.591        827.640          1.004          1.349          0.855           0.969          0.000         23.000           0.000              0.963           0.000      emergence
     27/03/2006        56          0.562        829.441          0.959          1.352          0.858           0.974          0.000         23.000           0.000              0.966           0.000      emergence
     28/03/2006        57          0.535        831.404          0.917          1.354          0.861           0.964          0.000         19.000           0.000              0.969           0.000      emergence
     29/03/2006        58          0.509        833.345          0.876          1.355          0.863           0.963          0.000         19.000           0.000              0.972           0.000      emergence
     30/03/2006        59          0.485        835.006          0.836          1.357          0.865           0.968          0.000         20.000           0.000              0.975           0.000      emergence
     31/03/2006        60          0.475        838.983          0.805          1.359          0.865           0.842          0.200         10.000           0.000              0.978           0.942      emergence
     01/04/2006        61          0.452        840.081          0.768          1.360          0.866           0.981          0.000         23.000           0.000              0.980           0.000 end_of_juvenil
     02/04/2006        62          0.430        841.233          0.733          1.361          0.867           0.976          0.200         22.000           0.000              0.983           0.000 end_of_juvenil
     03/04/2006        63          0.409        841.768          0.698          1.362          0.868           0.988          0.000         20.000           0.000              0.985           0.000 end_of_juvenil
     04/04/2006        64          0.389        842.571          0.666          1.363          0.868           0.978          1.600         17.000           0.000              0.987           0.000 end_of_juvenil
     05/04/2006        65          0.440        863.373          0.729          1.423          0.899           0.000         30.400         10.000           0.000              0.320           0.000 end_of_juvenil
     06/04/2006        66          0.514        893.516          0.802          1.491          0.929           0.000          1.800         13.000           0.000              0.315           0.000 end_of_juvenil
     07/04/2006        67          0.622        937.798          0.877          1.561          0.955           0.000          0.000         20.000           0.000              0.382           0.000 end_of_juvenil
     08/04/2006        68          0.720        979.346          0.941          1.626          0.978           0.136          0.000         21.000           0.000              0.471           0.236 end_of_juvenil
     09/04/2006        69          0.808       1020.344          0.988          1.684          0.998           0.336          0.000         20.000           0.000              0.560           0.436 end_of_juvenil
     10/04/2006        70          0.830       1040.528          1.007          1.733          1.014           0.673          0.000         22.000           0.000              0.649           0.773 end_of_juvenil
     11/04/2006        71          0.943       1086.667          1.053          1.775          1.028           0.000          0.000         12.000           0.000              0.706           0.000 end_of_juvenil
     12/04/2006        72          1.092       1150.723          1.152          1.879          1.064           0.177         13.200         18.000           0.000              0.351           0.277 end_of_juvenil
     13/04/2006        73          1.198       1193.979          1.254          1.977          1.097           0.000          0.200          9.000           0.000              0.418           0.000 end_of_juvenil
     14/04/2006        74          1.278       1239.574          1.319          2.070          1.128           0.532          0.000         19.000           0.000              0.479           0.632 end_of_juvenil
     15/04/2006        75          1.300       1267.906          1.354          2.150          1.154           0.735          0.000         20.000           0.000              0.565           0.835 end_of_juvenil
     16/04/2006        76          1.328       1297.281          1.379          2.217          1.177           0.671          0.000         20.000           0.000              0.639           0.771 end_of_juvenil
     17/04/2006        77          1.308       1315.715          1.382          2.274          1.196           0.823          0.000         19.000           0.000              0.694           0.923 end_of_juvenil
     18/04/2006        78          1.310       1337.112          1.378          2.320          1.211           0.769          0.000         17.000           0.000              0.754           0.869 end_of_juvenil
     19/04/2006        79          1.280       1351.350          1.355          2.355          1.222           0.862          0.000         19.000           0.000              0.814           0.962 end_of_juvenil
     20/04/2006        80          1.253       1362.311          1.327          2.381          1.230           0.843          0.000         13.000           0.000              0.856           0.943 end_of_juvenil
     21/04/2006        81          1.195       1370.577          1.282          2.396          1.237           0.922          0.000         20.000           0.000              0.907           0.000 end_of_juvenil
     22/04/2006        82          1.141       1375.043          1.233          2.404          1.239           0.913          0.000         20.000           0.000              0.950           0.000 end_of_juvenil
     23/04/2006        83          0.753       1378.235          0.822          2.410          1.240           0.902          0.000         20.000           0.000              0.961           0.000 end_of_juvenil
     24/04/2006        84          0.308       1381.024          0.334          2.414          1.241           0.858          0.000         20.000           0.000              0.965           0.958 end_of_juvenil
     25/04/2006        85          0.257       1383.018          0.277          2.417          1.242           0.882          0.000         18.000           0.000              0.968           0.982 end_of_juvenil
     26/04/2006        86          0.246       1384.885          0.267          2.418          1.244           0.913          0.000         19.000           0.000              0.972           0.000 end_of_juvenil
     27/04/2006        87          0.234       1386.394          0.256          2.420          1.245           0.934          0.000         19.000           0.000              0.975           0.000 end_of_juvenil
     28/04/2006        88          0.224       1387.905          0.246          2.421          1.246           0.904          0.000         12.000           0.000              0.977           0.000 end_of_juvenil
     29/04/2006        89          0.213       1389.178          0.236          2.422          1.247           0.932          0.000         15.000           0.000              0.980           0.000 end_of_juvenil
     30/04/2006        90          0.230       1396.875          0.235          2.423          1.246           0.199          0.000          8.000           0.000              0.982           0.299 end_of_juvenil
     01/05/2006        91          0.224       1398.757          0.226          2.424          1.246           0.878          3.400         15.000           0.000              0.984           0.978 end_of_juvenil
     02/05/2006        92          0.219       1400.237          0.218          2.425          1.245           0.841          0.000         19.000           0.000              0.986           0.941 end_of_juvenil
     03/05/2006        93          0.191       1401.297          0.188          2.425          1.244           0.870          0.000         19.000           0.000              0.988           0.970 end_of_juvenil
     04/05/2006        94          0.119       1402.067          0.117          2.426          1.243           0.896          0.000         19.000           0.000              0.990           0.996 end_of_juvenil
     05/05/2006        95          0.102       1402.647          0.101          2.426          1.242           0.911          0.000         19.000           0.000              0.992           0.000 end_of_juvenil
     06/05/2006        96          0.098       1403.120          0.097          2.426          1.241           0.928          0.000         19.000           0.000              0.994           0.000 end_of_juvenil
     07/05/2006        97          0.093       1403.410          0.093          2.427          1.239           0.962          0.000         18.000           0.000              0.995           0.000 end_of_juvenil
     08/05/2006        98          0.089       1403.805          0.089          2.427          1.237           0.900          0.000         18.000           0.000              0.997           1.000 end_of_juvenil
     09/05/2006        99          0.004       1404.016          0.004          2.427          1.235           0.498          0.000         18.000           0.000              0.998           0.598 end_of_juvenil
     10/05/2006       100          0.002       1404.082          0.001          2.427          1.233           0.000          0.000         16.000           0.000              0.998           0.000 end_of_juvenil
     11/05/2006       101          0.001       1404.135          0.001          2.427          1.231           0.000          0.400         15.000           0.000              0.998           0.000 end_of_juvenil
     12/05/2006       102          0.001       1404.206          0.001          2.427          1.229           0.000          0.000         18.000           0.000              0.998           0.000 end_of_juvenil
     13/05/2006       103          0.002       1404.302          0.001          2.427          1.227           0.000          0.000         16.000           0.000              0.998           0.000 end_of_juvenil
     14/05/2006       104          0.002       1404.407          0.001          2.427          1.225           0.000          0.000         18.000           0.000              0.998           0.000 end_of_juvenil
     15/05/2006       105          0.002       1404.505          0.001          2.427          1.223           0.000          0.000         18.000           0.000              0.998           0.000 end_of_juvenil
     16/05/2006       106          0.002       1404.621          0.001          2.427          1.221           0.000          0.000         16.000           0.000              0.998           0.050 end_of_juvenil
     17/05/2006       107          0.002       1404.746          0.001          2.427          1.219           0.047          0.000         17.000           0.000              0.999           0.147 end_of_juvenil
     18/05/2006       108          0.002       1404.834          0.001          2.427          1.217           0.000          0.000         16.000           0.000              0.999           0.000 end_of_juvenil
     19/05/2006       109          0.002       1404.939          0.001          2.427          1.215           0.095          0.000         15.000           0.000              0.999           0.195 end_of_juvenil
     20/05/2006       110          0.002       1405.030          0.001          2.427          1.213           0.314          0.000         16.000           0.000              0.999           0.414 end_of_juvenil
     21/05/2006       111          0.002       1405.099          0.001          2.427          1.211           0.000          0.000         13.000           0.000              0.999           0.000 end_of_juvenil
