Summary_file = gmtb0e.sum
Title = Greenmount B0_SOILWAT
           date       dlayer()      soil_loss  erosion_cover cover_surface_runoff
     07/02/1981        711.659        197.328          0.039                0.039
     08/02/1981        573.599       1518.656          0.039                0.039
     10/02/1981        573.348          3.269          0.038                0.038
     14/03/1981        573.083          3.443          0.050                0.050
     23/03/1981        572.989          1.226          0.053                0.053
     02/04/1981        548.347        320.344          0.060                0.060
     06/04/1981        544.124         54.896          0.063                0.063
     08/04/1981        542.911         15.768          0.064                0.064
     02/06/1981        542.751          2.081          0.060                0.060
     22/07/1981        541.529         15.891          0.042                0.042
     26/08/1981        541.527          0.018          0.043                0.043
     21/09/1981        530.817        139.234          0.045                0.045
     01/11/1981        520.941        128.384          0.042                0.042
     02/11/1981        509.101        153.920          0.041                0.041
     03/11/1981        503.237         76.241          0.040                0.040
     04/11/1981        502.910          4.240          0.039                0.039
     03/12/1981        489.767        170.865          0.034                0.034
     04/12/1981        422.880        869.536          0.034                0.034
     20/12/1981        422.738          1.838          0.035                0.035
     21/12/1981        421.158         20.545          0.035                0.035
     24/12/1981        414.460         87.074          0.034                0.034
     19/01/1982        400.053        187.294          0.041                0.041
     21/01/1982        399.318          9.549          0.041                0.041
     25/02/1982        393.562         74.823          0.058                0.058
     01/03/1982        387.643         76.952          0.060                0.060
     02/03/1982        387.446          2.568          0.060                0.060
     05/03/1982        387.374          0.927          0.061                0.061
     08/03/1982        386.320         13.708          0.063                0.063
     11/03/1982        375.292        143.364          0.065                0.065
     28/04/1982        375.078          2.772          0.123                0.123
     09/09/1982        374.934          1.883          0.063                0.063
     11/10/1982        359.956        194.705          0.057                0.057
     01/11/1982        354.358         72.778          0.055                0.055
     03/12/1982        346.733         99.125          0.058                0.058
     20/12/1982        339.521         93.753          0.054                0.054
     30/12/1982        339.505          0.217          0.053                0.053
     04/01/1983        338.965          7.020          0.053                0.053
     05/01/1983        338.351          7.981          0.052                0.052
     20/03/1983        338.341          0.122          0.078                0.078
     21/03/1983        335.994         30.514          0.078                0.078
     26/04/1983        335.867          1.650          0.105                0.105
     28/04/1983        332.436         44.609          0.104                0.104
     01/05/1983        296.468        467.581          0.106                0.106
     02/05/1983        253.791        554.802          0.106                0.106
     03/05/1983        218.081        464.227          0.107                0.107
     28/05/1983        198.683        252.176          0.122                0.122
     21/06/1983        198.330          4.591          0.061                0.061
     22/06/1983        110.814       1137.701          0.061                0.061
     23/06/1983        106.282         63.445          0.061                0.061
     20/10/1983        105.255         14.380          0.050                0.050
     16/02/1984        100.698         63.798          0.041                0.041
