Summary_file = wheatgrass.sum
Title = Wheat Winter-grass Simulation
    day   year       weed_lai   weed_biomass weed_grn_bioma            lai        biomass  green_biomass
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)
    116   1989          0.000          0.000          0.000          0.000          0.000          0.000
    117   1989          0.000          0.000          0.000          0.000          0.000          0.000
    118   1989          0.000          0.000          0.000          0.000          0.000          0.000
    119   1989          0.000          0.000          0.000          0.000          0.000          0.000
    120   1989          0.000          0.000          0.000          0.000          0.000          0.000
    121   1989          0.000          0.000          0.000          0.000          0.000          0.000
    122   1989          0.000          0.000          0.000          0.000          0.000          0.000
    123   1989          0.000          0.000          0.000          0.000          0.000          0.000
    124   1989          0.000          0.000          0.000          0.000          0.000          0.000
    125   1989          0.000          0.000          0.000          0.000          0.000          0.000
    126   1989          0.000          0.000          0.000          0.000          0.000          0.000
    127   1989          0.000          0.000          0.000          0.000          0.000          0.000
    128   1989          0.000          0.000          0.000          0.000          0.000          0.000
    129   1989          0.000          0.000          0.000          0.000          0.000          0.000
    130   1989          0.000          0.000          0.000          0.000          0.000          0.000
    131   1989          0.000          0.000          0.000          0.000          0.000          0.000
    132   1989          0.000          0.000          0.000          0.000          0.000          0.000
    133   1989          0.000          0.000          0.000          0.000          0.000          0.000
    134   1989          0.000          0.000          0.000          0.000          0.000          0.000
    135   1989          0.000          0.000          0.000          0.000          0.000          0.000
    136   1989          0.000          0.000          0.000          0.000          0.000          0.000
    137   1989          0.000          0.000          0.000          0.000          0.000          0.000
    138   1989          0.000          0.000          0.000          0.000          0.000          0.000
    139   1989          0.000          0.000          0.000          0.000          0.000          0.000
    140   1989          0.000          0.000          0.000          0.000          0.000          0.000
    141   1989          0.000          0.000          0.000          0.000          0.000          0.000
    142   1989          0.000          0.000          0.000          0.000          0.000          0.000
    143   1989          0.000          0.000          0.000          0.000          0.000          0.000
    144   1989          0.000          0.000          0.000          0.000          0.000          0.000
    145   1989          0.000          0.000          0.000          0.000          0.000          0.000
    146   1989          0.000          0.000          0.000          0.000          0.000          0.000
    147   1989          0.000          0.000          0.000          0.000          0.000          0.000
    148   1989          0.000          0.000          0.000          0.000          0.000          0.000
    149   1989          0.000          0.000          0.000          0.000          0.000          0.000
    150   1989          0.000          0.000          0.000          0.000          0.000          0.000
