APSIM output file, version = 5.4
Title = Millet Sample Simulation
            day           year       sw_dep()  biomass_total    yield_total   mainstem_lai mainstem_biomass mainstem_yield    tiller1_lai tiller1_biomass  tiller1_yield    tiller2_lai tiller2_biomass  tiller2_yield    tiller3_lai tiller3_biomass  tiller3_yield    tiller4_lai tiller4_biomass  tiller4_yield    tiller5_lai tiller5_biomass  tiller5_yield
          (day)         (year)           (mm)            (?)            (?)      (m^2/m^2)          (kg/ha)        (kg/ha)      (m^2/m^2)         (kg/ha)        (kg/ha)      (m^2/m^2)         (kg/ha)        (kg/ha)      (m^2/m^2)         (kg/ha)        (kg/ha)      (m^2/m^2)         (kg/ha)        (kg/ha)      (m^2/m^2)         (kg/ha)        (kg/ha)
             27           1988        793.606         40.842          0.000          0.042             40.0            0.0          0.005             0.8            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             28           1988        792.337         51.716          0.000          0.050             49.9            0.0          0.008             1.8            0.0          0.002             0.1            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             29           1988        791.029         64.813          0.000          0.060             61.4            0.0          0.012             2.9            0.0          0.003             0.4            0.0          0.002             0.1            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             30           1988        789.447         82.843          0.000          0.071             76.8            0.0          0.017             5.3            0.0          0.003             0.4            0.0          0.003             0.4            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             31           1988        792.263        100.470          0.000          0.086             91.7            0.0          0.023             7.7            0.0          0.004             0.7            0.0          0.003             0.4            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             32           1988        789.542        127.376          0.000          0.104            113.3            0.0          0.030            11.9            0.0          0.008             1.5            0.0          0.005             0.8            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             33           1988        787.512        158.610          0.000          0.125            137.7            0.0          0.044            16.7            0.0          0.012             2.5            0.0          0.008             1.6            0.0          0.002             0.1            0.0          0.000             0.0            0.0
             34           1988        785.618        190.854          0.000          0.145            161.3            0.0          0.059            22.6            0.0          0.019             4.2            0.0          0.012             2.5            0.0          0.003             0.3            0.0          0.000             0.0            0.0
             35           1988        783.221        244.502          0.000          0.166            198.7            0.0          0.075            33.4            0.0          0.026             7.3            0.0          0.019             4.7            0.0          0.003             0.3            0.0          0.002             0.1            0.0
             36           1988        780.273        314.275          0.000          0.190            243.7            0.0          0.095            49.8            0.0          0.034            11.8            0.0          0.028             7.7            0.0          0.005             0.9            0.0          0.003             0.4            0.0
             37           1988        776.884        393.411          0.000          0.219            293.1            0.0          0.121            68.4            0.0          0.052            17.5            0.0          0.038            12.3            0.0          0.009             1.7            0.0          0.003             0.4            0.0
             38           1988        775.264        448.430          0.000          0.249            325.2            0.0          0.149            82.2            0.0          0.071            22.4            0.0          0.052            15.6            0.0          0.012             2.5            0.0          0.004             0.6            0.0
             39           1988        809.314        538.281          0.000          0.273            373.9            0.0          0.172           104.6            0.0          0.087            32.3            0.0          0.068            22.4            0.0          0.019             3.9            0.0          0.006             1.1            0.0
             40           1988        803.405        673.648          0.000          0.302            444.6            0.0          0.196           138.5            0.0          0.108            47.6            0.0          0.087            34.5            0.0          0.027             6.6            0.0          0.010             1.9            0.0
             41           1988        797.074        826.842          0.000          0.337            522.3            0.0          0.227           176.3            0.0          0.134            66.7            0.0          0.112            48.0            0.0          0.038            10.2            0.0          0.015             3.2            0.0
             42           1988        791.465        994.455          0.000          0.380            603.7            0.0          0.265           216.7            0.0          0.168            88.7            0.0          0.144            65.5            0.0          0.051            14.9            0.0          0.023             5.0            0.0
             43           1988        785.107       1190.918          0.000          0.432            696.3            0.0          0.315           263.1            0.0          0.207           115.3            0.0          0.185            87.0            0.0          0.080            21.5            0.0          0.035             7.7            0.0
             44           1988        829.739       1354.187          0.000          0.482            772.3            0.0          0.364           301.9            0.0          0.247           137.9            0.0          0.226           105.6            0.0          0.104            27.0            0.0          0.042             9.4            0.0
             45           1988        850.837       1540.685          0.000          0.532            858.1            0.0          0.414           346.1            0.0          0.289           163.8            0.0          0.268           127.4            0.0          0.134            33.9            0.0          0.051            11.4            0.0
             46           1988        847.060       1771.831          0.000          0.576            967.7            0.0          0.460           397.4            0.0          0.329           195.3            0.0          0.308           153.5            0.0          0.164            44.5            0.0          0.060            13.3            0.0
             47           1988        839.705       2001.084          0.000          0.620           1088.6            0.0          0.507           444.9            0.0          0.370           222.2            0.0          0.349           176.7            0.0          0.196            52.7            0.0          0.071            16.0            0.0
             48           1988        832.553       2222.927          0.000          0.664           1213.3            0.0          0.554           488.0            0.0          0.412           245.3            0.0          0.390           196.1            0.0          0.224            60.3            0.0          0.087            20.0            0.0
             49           1988        825.932       2406.794          0.000          0.707           1320.6            0.0          0.602           522.9            0.0          0.455           263.3            0.0          0.432           211.1            0.0          0.242            65.5            0.0          0.099            23.4            0.0
             50           1988        817.107       2632.644          0.000          0.757           1456.4            0.0          0.658           565.0            0.0          0.507           284.7            0.0          0.477           228.7            0.0          0.259            71.2            0.0          0.111            26.8            0.0
             51           1988        806.274       2866.353          0.000          0.815           1599.6            0.0          0.723           608.4            0.0          0.558           306.2            0.0          0.517           245.9            0.0          0.274            76.5            0.0          0.121            29.9            0.0
             52           1988        798.331       3071.802          0.000          0.868           1727.5            0.0          0.782           646.3            0.0          0.596           324.5            0.0          0.546           260.3            0.0          0.285            80.9            0.0          0.128            32.4            0.0
             53           1988        790.178       3286.823          0.000          0.917           1862.6            0.0          0.837           686.3            0.0          0.629           342.5            0.0          0.571           274.8            0.0          0.296            85.7            0.0          0.134            35.0            0.0
             54           1988        781.348       3518.274          0.000          0.966           2008.7            0.0          0.889           729.7            0.0          0.659           361.0            0.0          0.593           289.6            0.0          0.307            91.1            0.0          0.142            38.2            0.0
             55           1988        772.847       3739.386          0.000          1.008           2149.0            0.0          0.932           771.6            0.0          0.684           378.1            0.0          0.610           303.3            0.0          0.316            96.0            0.0          0.148            41.5            0.0
             56           1988        768.001       3869.599          0.000          1.045           2231.8            0.0          0.948           796.4            0.0          0.692           388.2            0.0          0.618           311.1            0.0          0.320            98.8            0.0          0.152            43.3            0.0
             57           1988        764.727       3965.048          0.000          1.072           2292.4            0.0          0.956           814.7            0.0          0.696           395.6            0.0          0.620           316.9            0.0          0.322           100.9            0.0          0.154            44.6            0.0
             58           1988        761.060       4130.329          0.000          1.104           2397.2            0.0          0.968           845.6            0.0          0.702           408.8            0.0          0.621           327.0            0.0          0.326           104.7            0.0          0.157            47.0            0.0
             59           1988        755.612       4324.681          0.000          1.129           2520.8            0.0          0.976           881.4            0.0          0.708           424.0            0.0          0.621           339.3            0.0          0.330           109.3            0.0          0.160            49.8            0.0
             60           1988        763.140       4416.370          0.000          1.132           2579.2            0.0          0.974           898.1            0.0          0.706           431.2            0.0          0.618           345.0            0.0          0.331           111.6            0.0          0.161            51.2            0.0
             61           1988        779.972       4563.530          0.000          1.126           2672.6            0.0          0.973           924.8            0.0          0.703           442.8            0.0          0.617           354.3            0.0          0.330           115.4            0.0          0.163            53.7            0.0
             62           1988        782.889       4687.626          0.000          1.118           2750.9            0.0          0.968           947.4            0.0          0.701           452.7            0.0          0.613           362.2            0.0          0.325           118.6            0.0          0.164            55.8            0.0
             63           1988        783.342       4941.397          0.000          1.109           2910.7            0.0          0.959           993.7            0.0          0.698           473.2            0.0          0.605           378.6            0.0          0.321           125.2            0.0          0.166            59.9            0.0
             64           1988        775.615       5236.121          0.000          1.099           3095.5            0.0          0.949          1047.0            0.0          0.691           497.7            0.0          0.595           397.9            0.0          0.317           133.2            0.0          0.163            64.8            0.0
             65           1988        770.219       5485.380          0.000          1.089           3249.1            0.0          0.939          1093.2            0.0          0.683           519.0            0.0          0.587           414.9            0.0          0.311           140.3            0.0          0.159            68.8            0.0
             66           1988        790.823       5751.369          0.000          1.081           3409.2            0.0          0.931          1144.2            0.0          0.675           542.7            0.0          0.579           433.8            0.0          0.306           148.5            0.0          0.154            73.1            0.0
             67           1988        783.560       6074.252          0.000          1.072           3599.8            0.0          0.920          1208.0            0.0          0.664           572.3            0.0          0.572           457.5            0.0          0.297           158.6            0.0          0.150            78.1            0.0
             68           1988        776.442       6392.110          0.000          1.061           3784.4            0.0          0.910          1272.3            0.0          0.655           602.2            0.0          0.565           481.6            0.0          0.289           168.7            0.0          0.146            82.9            0.0
             69           1988        767.995       6730.835          0.000          1.049           3977.3            0.0          0.897          1342.7            0.0          0.643           635.0            0.0          0.552           508.1            0.0          0.279           179.8            0.0          0.141            87.9            0.0
             70           1988        758.219       7087.176          0.000          1.037           4176.4            0.0          0.884          1419.4            0.0          0.631           671.2            0.0          0.539           536.1            0.0          0.269           191.1            0.0          0.136            93.1            0.0
             71           1988        745.090       7465.778          0.000          1.023           4383.8            0.0          0.870          1504.2            0.0          0.618           711.2            0.0          0.525           565.3            0.0          0.258           202.8            0.0          0.131            98.5            0.0
             72           1988        740.639       7784.561          0.000          1.012           4555.2            0.0          0.859          1577.8            0.0          0.608           746.7            0.0          0.514           589.5            0.0          0.250           212.4            0.0          0.128           102.9            0.0
             73           1988        732.665       8059.896         36.721          1.005           4683.3           36.7          0.851          1651.1            0.0          0.600           782.6            0.0          0.507           613.6            0.0          0.243           221.9            0.0          0.125           107.3            0.0
             74           1988        725.244       8349.914         75.738          0.996           4818.3           75.7          0.841          1728.5            0.0          0.590           820.4            0.0          0.498           639.0            0.0          0.234           231.8            0.0          0.122           112.0            0.0
             75           1988        717.883       8616.268        147.271          0.983           4955.0          118.7          0.828          1786.2           21.4          0.579           858.7            0.0          0.488           658.0            7.2          0.223           241.6            0.0          0.119           116.7            0.0
             76           1988        712.700       8866.164        226.234          0.969           5083.1          166.1          0.814          1840.6           45.0          0.565           894.7            0.0          0.473           676.0           15.1          0.210           250.7            0.0          0.115           121.2            0.0
             77           1988        707.681       9110.648        310.135          0.956           5213.3          209.6          0.801          1896.0           66.6          0.554           921.7           11.5          0.460           694.2           22.4          0.199           259.7            0.0          0.111           125.7            0.0
             78           1988        702.734       9352.336        392.206          0.944           5343.2          252.1          0.789          1951.5           87.7          0.542           948.8           22.8          0.447           712.3           29.5          0.188           266.2            0.1          0.106           130.2            0.0
             79           1988        698.239       9585.450        473.045          0.932           5469.6          293.9          0.777          2003.7          108.5          0.531           975.2           33.8          0.435           730.0           36.5          0.178           272.4            0.3          0.101           134.6            0.0
             80           1988        693.702       9810.712        554.376          0.919           5593.7          336.0          0.765          2052.7          129.4          0.520          1001.2           45.0          0.422           747.2           43.6          0.167           278.3            0.4          0.000           137.7            0.0
             81           1988        689.695       9888.213        638.172          0.907           5715.1          379.3          0.753          2098.6          151.0          0.507          1026.6           56.5          0.409           764.1           50.9          0.157           283.9            0.6          0.000             0.0            0.0
             82           1988        685.190      10101.324        721.229          0.893           5836.6          422.3          0.737          2142.6          172.3          0.492          1052.0           67.9          0.396           780.9           58.0          0.148           289.3            0.7          0.000             0.0            0.0
             83           1988        681.265      10305.822        808.968          0.877           5954.2          467.7          0.720          2183.4          194.9          0.476          1076.5           79.9          0.381           797.2           65.7          0.139           294.4            0.8          0.000             0.0            0.0
             84           1988        677.206      10504.140        893.750          0.861           6069.2          511.5          0.704          2222.0          216.7          0.461          1100.5           91.5          0.365           813.1           73.0          0.130           299.3            1.0          0.000             0.0            0.0
             85           1988        676.765      10662.422        978.532          0.845           6161.7          555.4          0.688          2252.1          238.5          0.446          1119.6          103.1          0.348           825.7           80.3          0.121           303.2            1.1          0.000             0.0            0.0
             86           1988        672.132      10850.519       1056.413          0.832           6271.4          595.7          0.674          2288.5          258.6          0.433          1142.4          113.8          0.334           840.6           87.1          0.113           307.6            1.3          0.000             0.0            0.0
             87           1988        668.117      11034.124       1135.773          0.817           6380.1          636.8          0.659          2322.7          279.0          0.419          1164.3          124.7          0.319           855.2           94.0          0.104           311.8            1.4          0.000             0.0            0.0
             88           1988        664.179      11221.327       1217.598          0.803           6492.7          679.1          0.644          2356.2          300.0          0.405          1186.2          135.9          0.304           870.2          101.1          0.096           316.0            1.5          0.000             0.0            0.0
             89           1988        660.024      11403.359       1302.133          0.787           6603.5          722.8          0.627          2388.1          321.8          0.388          1207.1          147.5          0.287           884.7          108.4          0.089           320.0            1.7          0.000             0.0            0.0
             90           1988        656.323      11575.219       1390.612          0.769           6709.2          768.6          0.607          2417.6          344.5          0.369          1226.5          159.6          0.270           898.2          116.1          0.084           323.6            1.8          0.000             0.0            0.0
             91           1988        655.687      11643.515       1462.332          0.755           6749.9          805.7          0.592          2430.6          363.0          0.355          1234.6          169.4          0.257           903.4          122.3          0.081           325.0            1.9          0.000             0.0            0.0
             92           1988        690.215      11743.334       1552.536          0.735           6811.7          852.4          0.571          2447.6          386.2          0.335          1245.8          181.8          0.240           911.1          130.1          0.076           327.2            2.1          0.000             0.0            0.0
             93           1988        705.477      11849.634       1647.423          0.714           6877.3          901.5          0.548          2466.1          410.6          0.314          1257.8          194.8          0.222           919.1          138.3          0.071           329.4            2.3          0.000             0.0            0.0
             94           1988        722.854      11932.613       1735.162          0.695           6928.5          946.8          0.528          2480.6          433.2          0.295          1267.2          206.8          0.205           925.2          145.9          0.067           331.1            2.4          0.000             0.0            0.0
             95           1988        749.383      12034.922       1825.120          0.675           6991.5          993.4          0.507          2498.8          456.3          0.275          1278.9          219.2          0.188           932.4          153.7          0.062           333.2            2.6          0.000             0.0            0.0
             96           1988        754.904      12094.527       1903.740          0.659           7028.2         1034.1          0.490          2509.7          476.5          0.259          1285.7          229.9          0.175           936.5          160.5          0.058           334.4            2.7          0.000             0.0            0.0
             97           1988        776.476      12204.212       1997.888          0.637           7096.1         1082.8          0.466          2529.8          500.8          0.242          1297.9          242.8          0.156           943.8          168.7          0.054           336.6            2.8          0.000             0.0            0.0
             98           1988        773.997      12305.626       2095.485          0.613           7159.3         1133.3          0.440          2548.3          525.9          0.224          1309.2          256.2          0.138           950.3          177.1          0.050           338.6            3.0          0.000             0.0            0.0
             99           1988        777.570      12379.005       2193.576          0.589           7205.2         1184.0          0.414          2561.9          551.1          0.206          1317.2          269.7          0.127           954.7          185.6          0.045           340.0            3.2          0.000             0.0            0.0
            100           1988        776.434      12453.864       2283.041          0.567           7252.0         1230.3          0.392          2576.3          574.1          0.190          1325.1          281.9          0.117           959.1          193.4          0.042           341.4            3.3          0.000             0.0            0.0
            101           1988        774.648      12534.097       2357.225          0.552           7301.0         1268.7          0.375          2593.4          593.2          0.178          1333.2          292.1          0.110           963.6          199.8          0.039           342.9            3.4          0.000             0.0            0.0
            102           1988        798.128      12561.150       2420.319          0.540           7317.0         1301.3          0.363          2600.0          609.4          0.170          1335.8          300.7          0.104           965.1          205.3          0.037           343.3            3.6          0.000             0.0            0.0
            103           1988        816.662      12630.776       2498.693          0.523           7360.4         1341.9          0.344          2614.3          629.6          0.157          1342.6          311.5          0.096           968.9          212.1          0.034           344.5            3.7          0.000             0.0            0.0
            104           1988        816.499      12707.669       2584.460          0.503           7409.0         1386.2          0.323          2629.7          651.7          0.144          1350.1          323.2          0.087           973.0          219.5          0.031           345.9            3.8          0.000             0.0            0.0
            105           1988        813.765      12803.626       2672.447          0.482           7469.9         1431.7          0.302          2649.1          674.3          0.134          1359.1          335.3          0.077           978.0          227.1          0.030           347.5            4.0          0.000             0.0            0.0
            106           1988        810.716      12896.381       2713.367          0.462           7529.2         1431.7          0.282          2667.7          696.1          0.124          1367.8          346.9          0.069           982.6          234.5          0.028           349.1            4.1          0.000             0.0            0.0
            107           1988        808.289      12980.914       2751.908          0.445           7583.8         1431.7          0.263          2684.4          716.7          0.115          1375.5          357.9          0.064           986.6          241.4          0.027           350.6            4.3          0.000             0.0            0.0
            108           1988        805.871      13047.216       2762.235          0.429           7626.0         1431.7          0.247          2698.5          716.7          0.106          1381.4          368.1          0.060           989.6          241.4          0.026           351.7            4.4          0.000             0.0            0.0
            109           1988        803.630      13072.410       2772.595          0.003           7626.0         1431.7          0.231          2713.7          716.7          0.098          1387.2          378.3          0.056           992.7          241.4          0.024           352.9            4.5          0.000             0.0            0.0
            110           1988        804.017       5464.141       1340.963          0.000              0.0            0.0          0.217          2724.6          716.7          0.091          1391.1          378.3          0.052           994.7          241.4          0.023           353.7            4.6          0.000             0.0            0.0
            111           1988        801.951       5472.641       1341.094          0.000              0.0            0.0          0.002          2724.6          716.7          0.082          1396.0          378.3          0.047           997.3          241.4          0.022           354.8            4.8          0.000             0.0            0.0
            112           1988        799.490       2758.111        624.437          0.000              0.0            0.0          0.000             0.0            0.0          0.073          1404.2          378.3          0.002           997.3          241.4          0.021           356.6            4.8          0.000             0.0            0.0
            113           1988        797.411       1770.005        383.039          0.000              0.0            0.0          0.000             0.0            0.0          0.069          1411.6          378.3          0.000             0.0            0.0          0.019           358.4            4.8          0.000             0.0            0.0
            114           1988        795.449       1772.095        383.039          0.000              0.0            0.0          0.000             0.0            0.0          0.002          1411.6          378.3          0.000             0.0            0.0          0.018           360.5            4.8          0.000             0.0            0.0
            115           1988        793.526        360.503          4.751          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.002           360.5            4.8          0.000             0.0            0.0
            116           1988        791.613          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            117           1988        789.725          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            118           1988        787.874          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            119           1988        786.074          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            120           1988        788.096          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            121           1988        784.181          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            122           1988        782.525          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            123           1988        780.964          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            124           1988        779.498          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            125           1988        778.127          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            126           1988        776.849          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            127           1988        775.662          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            128           1988        774.562          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            129           1988        773.545          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            130           1988        772.606          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            131           1988        771.740          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            132           1988        770.942          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            133           1988        770.207          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            134           1988        769.530          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            135           1988        768.905          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            136           1988        768.328          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            137           1988        767.795          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            138           1988        767.300          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            139           1988        783.054          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            140           1988        780.371          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            141           1988        778.318          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            142           1988        777.168          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            143           1988        776.260          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            144           1988        775.483          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
