APSIM output file, version = 5.4
Title = Pasture PI SAMPLE Simulation
           Date           rain          rtdep         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)          rwu()       sw_dep()             es          no3()          nh4()          fom()            rwu      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)            fom      cover_tot  residue_cover
             ()           (mm)           (mm)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)            (?)           (mm)           (mm)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)      (m^2/m^2)      (m^2/m^2)
     26/10/1988          0.000        100.000     211487.453          0.000          0.000          0.000          0.000          0.000          0.000              ?        624.883          0.261         94.653          1.091              ?              ?         31.867         42.576         84.528        109.649        115.334        119.125        121.804         18.277         17.603         22.142         12.681          7.140          9.130          7.679          0.345          0.220          0.209          0.223          0.041          0.011          0.042              ?          0.270          0.128
     27/10/1988          0.000        100.000     208252.766          0.000          0.000          0.000          0.000          0.000          0.000              ?        624.628          0.256         94.824          1.060              ?              ?         31.701         42.476         84.907        109.565        115.238        119.028        121.713         18.314         17.621         22.233         12.702          7.149          9.124          7.680          0.345          0.206          0.205          0.215          0.041          0.010          0.037              ?          0.266          0.133
     28/10/1988          0.000        100.000     204898.172          0.000          0.000          0.000          0.000          0.000          0.000              ?        624.377          0.251         94.991          1.039              ?              ?         31.539         42.380         85.282        109.477        115.142        118.933        121.623         18.351         17.637         22.323         12.722          7.159          9.119          7.680          0.345          0.197          0.204          0.209          0.042          0.010          0.033              ?          0.262          0.137
     29/10/1988          0.000        100.000     201365.203          0.000          0.000          0.000          0.000          0.000          0.000              ?        624.131          0.246         95.160          1.038              ?              ?         31.382         42.288         85.653        109.388        115.048        118.840        121.533         18.388         17.654         22.413         12.742          7.171          9.113          7.679          0.345          0.194          0.210          0.208          0.042          0.009          0.029              ?          0.259          0.142
     30/10/1988          0.000        100.000     197443.641          0.000          0.000          0.000          0.000          0.000          0.000              ?        623.890          0.241         95.334          1.050              ?              ?         31.228         42.199         86.018        109.296        114.955        118.748        121.444         18.425         17.673         22.503         12.762          7.185          9.108          7.678          0.345          0.196          0.220          0.212          0.041          0.009          0.026              ?          0.255          0.147
     31/10/1988          0.000        100.000     193362.969          0.000          0.000          0.000          0.000          0.000          0.000              ?        623.653          0.237         95.515          1.073              ?              ?         31.079         42.115         86.379        109.204        114.864        118.657        121.357         18.461         17.695         22.596         12.783          7.200          9.102          7.677          0.345          0.202          0.234          0.218          0.040          0.009          0.024              ?          0.250          0.152
     01/11/1988          0.000        100.000     189334.688          0.000          0.000          0.000          0.000          0.000          0.000              ?        623.421          0.233         95.701          1.096              ?              ?         30.933         42.034         86.734        109.110        114.773        118.567        121.269         18.498         17.719         22.690         12.806          7.216          9.097          7.675          0.345          0.206          0.249          0.224          0.040          0.009          0.022              ?          0.247          0.153
     02/11/1988          0.000        100.000     185640.172          0.000          0.000          0.000          0.000          0.000          0.000              ?        623.192          0.229         95.892          1.114              ?              ?         30.791         41.956         87.084        109.016        114.683        118.479        121.183         18.534         17.744         22.786         12.830          7.232          9.092          7.673          0.345          0.209          0.262          0.229          0.039          0.009          0.021              ?          0.245          0.154
     03/11/1988          0.000        100.000     182139.516          0.000          0.000          0.000          0.000          0.000          0.000              ?        622.967          0.225         96.085          1.127              ?              ?         30.653         41.882         87.428        108.921        114.594        118.391        121.098         18.571         17.771         22.884         12.855          7.246          9.087          7.671          0.345          0.209          0.273          0.232          0.039          0.009          0.019              ?          0.242          0.155
     04/11/1988          0.000        100.000     178832.953          0.000          0.000          0.000          0.000          0.000          0.000              ?        622.746          0.221         96.279          1.135              ?              ?         30.518         41.812         87.766        108.826        114.505        118.305        121.013         18.607         17.798         22.982         12.880          7.261          9.082          7.669          0.345          0.208          0.281          0.234          0.039          0.009          0.018              ?          0.240          0.156
