Summary_file = csu-N09.sum
Title = south plots
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          no3ppm(7)          no3ppm(8)          no3ppm(9)         no3ppm(10)         no3ppm(11)         no3ppm(12)         no3ppm(13)         no3ppm(14)         no3ppm(15)         no3ppm(16)         no3ppm(17)         no3ppm(18)         no3ppm(19)         no3ppm(20)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)          nh4ppm(7)          nh4ppm(8)          nh4ppm(9)         nh4ppm(10)         nh4ppm(11)         nh4ppm(12)         nh4ppm(13)         nh4ppm(14)         nh4ppm(15)         nh4ppm(16)         nh4ppm(17)         nh4ppm(18)         nh4ppm(19)         nh4ppm(20)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)
      1994         5       145        25              0.050              0.086              0.202              0.237              0.247              0.277              0.286              0.304              0.315              0.324              0.317              0.338              0.339              0.327              0.340              0.328              0.334              0.340              0.340              0.341              1.437              0.843              3.166              1.222              0.877              0.688              0.575              1.363              1.444              1.277              0.986              0.889              0.718              0.551              0.585              0.503              0.535              0.567              0.559              0.557              0.007              0.100              0.594              0.074              0.043              0.027              0.019              0.010              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994         6       166        15              0.051              0.150              0.201              0.237              0.245              0.276              0.285              0.303              0.314              0.323              0.316              0.337              0.338              0.326              0.339              0.327              0.333              0.339              0.339              0.340              1.273              1.608              3.951              1.684              1.073              0.838              0.695              1.387              1.449              1.280              0.985              0.886              0.715              0.547              0.579              0.496              0.527              0.558              0.550              0.549              0.000              0.274              0.533              0.084              0.045              0.028              0.020              0.010              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994         7       207        26              0.051              0.096              0.205              0.235              0.243              0.274              0.283              0.301              0.313              0.321              0.314              0.336              0.337              0.325              0.337              0.325              0.332              0.338              0.338              0.338              3.694              2.223              4.924              2.330              1.333              1.070              0.881              1.422              1.454              1.288              0.991              0.889              0.715              0.544              0.573              0.488              0.517              0.547              0.539              0.538              0.040              0.194              0.504              0.086              0.045              0.029              0.020              0.010              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994         8       222        10              0.050              0.075              0.203              0.231              0.239              0.270              0.282              0.300              0.312              0.321              0.314              0.336              0.336              0.324              0.337              0.325              0.331              0.337              0.338              0.338              4.669              1.891              4.324              1.807              0.972              0.769              0.793              1.432              1.455              1.290              0.994              0.891              0.717              0.544              0.572              0.487              0.515              0.544              0.537              0.536              0.053              0.196              0.476              0.086              0.045              0.029              0.020              0.010              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994         9       250         7              0.052              0.172              0.204              0.212              0.213              0.241              0.264              0.292              0.309              0.319              0.313              0.335              0.335              0.323              0.336              0.324              0.330              0.337              0.337              0.337              1.727              1.135              0.491              0.134              0.078              0.051              0.031              0.032              1.439              1.292              0.998              0.898              0.721              0.546              0.572              0.485              0.513              0.542              0.534              0.533              0.062              0.650              0.733              0.087              0.037              0.023              0.017              0.009              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994        10       279         6              0.051              0.101              0.189              0.194              0.194              0.212              0.220              0.250              0.304              0.317              0.311              0.333              0.334              0.323              0.336              0.324              0.330              0.336              0.336              0.336              2.530              1.143              0.733              0.193              0.106              0.079              0.052              0.050              1.398              1.286              0.998              0.902              0.727              0.550              0.574              0.486              0.512              0.541              0.533              0.532              0.117              0.284              0.738              0.070              0.025              0.013              0.008              0.007              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994        11       312         8              0.052              0.159              0.200              0.184              0.184              0.203              0.212              0.240              0.295              0.314              0.309              0.332              0.333              0.321              0.335              0.323              0.329              0.335              0.336              0.336              2.271              3.878              3.298              0.727              0.290              0.199              0.119              0.159              1.337              1.281              0.997              0.906              0.733              0.554              0.578              0.488              0.514              0.541              0.534              0.533              0.572              0.742              1.007              0.050              0.016              0.009              0.005              0.004              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994        12       348        14              0.051              0.151              0.195              0.203              0.202              0.216              0.208              0.237              0.284              0.308              0.307              0.330              0.332              0.320              0.334              0.322              0.328              0.335              0.335              0.335              6.238              5.598              5.442              4.526              2.585              0.784              0.203              0.249              1.332              1.282              0.996              0.910              0.740              0.560              0.583              0.492              0.517              0.545              0.537              0.536              0.996              0.805              1.283              0.125              0.040              0.016              0.003              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         2        45        14              0.065              0.206              0.235              0.258              0.259              0.291              0.296              0.314              0.321              0.329              0.320              0.341              0.338              0.322              0.333              0.320              0.327              0.333              0.334              0.334             12.079              7.474              4.575              4.426              5.480              6.926              4.780              2.029              1.486              1.422              1.074              0.961              0.775              0.578              0.596              0.501              0.525              0.552              0.545              0.544              1.668              1.300              1.415              0.115              0.041              0.019              0.010              0.006              0.002              0.001              0.000              0.000              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         5       129         9              0.052              0.173              0.171              0.176              0.176              0.194              0.205              0.238              0.277              0.299              0.303              0.329              0.333              0.322              0.336              0.325              0.331              0.338              0.338              0.338             12.478             12.327             10.169              5.967              4.960              5.419              4.152              2.091              1.448              1.323              1.011              0.905              0.754              0.570              0.588              0.495              0.522              0.553              0.549              0.549              2.163              1.475              0.540              0.052              0.042              0.053              0.039              0.008              0.004              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
